LIVRO,preço capa,preço usp,AUTOR,ISBN,PAG
"História da polidez, A","R$ 74,00","R$ 37,00",Frédéric Rovillois,978-85-61578-08-4,544
"Homem que corrompeu Hadleyburg, O","R$ 26,90","R$ 13,45",Mark Twain,978-85-61578-50-3,96
"Homem que queria ser rei, O","R$ 26,90","R$ 13,45",Rudyard Kipling,978-85-61578-49-7,80
"Horlá, O","R$ 26,90","R$ 13,45",Guy de Maupassant,978-85-61578-61-9,88
"","Hortensias, As",,,,Felisberto Hernández,978-85-61578-23-7,224
37,,,"R$ 42,00","R$ 21,00",,,
"","Inomináveis, Os",,,,Hansjorg Schertenleib,978-85-61578-02-2,288
38,,,"R$ 42,00","R$ 21,00",,,
"","Jacarés, OS",,,,Carlos Eduardo de Magalhães,978-85-61578-85-5,128
39,,,"R$ 36,00","R$ 18,00",,,
"","Laçador de cães, O",,,,Luiz Andrioli,978-85-61578-20-6,112
40,,,"R$ 34,00","R$ 17,00",,,
"",Lady Susan,,,,Jane Austen,978-85-61578-70-1,144
41,,,"R$ 26,90","R$ 13,45",,,
"",Lar em chamas,,,,Kamila Shamsie,978-65-88410-08-0,288
42,,,"R$ 59,90","R$ 29,95",,,
"","Loucura dos homens e outros escritos, Da",,,,Rodrigo Faria e Silva,978-85-61578-04-6,78
43,,,"R$ 29,00","R$ 14,50",,,
"","Lua depois do gravador, A",,,,Simone Magno,978-85-61578-14-5,80
44,,,"R$ 29,00","R$ 14,50",,,
"","Margem as linha, À",,,,Paulo Rodrigues,978-85-61578-86-2,96
45,,,"R$ 36,00","R$ 18,00",,,
"",Mathilda,,,,Mary Shelley,978-85-61578-47-3,160
46,,,"R$ 27,90","R$ 13,95",,,
"","Menina dos olhos de ouro, A",,,,Honoré de Balzac,978-85-61578-45-9,128
47,,,"R$ 26,90","R$ 13,45",,,
"",Mera Fotografia,,,,Carlos Eduardo de Magalhães,978-85-61578-43-5,144
48,,,"R$ 36,00","R$ 18,00",,,
"","Metamorfose, A",,,,Franz Kafka,978-65-88410-13-4,96
49,,,"R$ 26,90","R$ 13,45",,,
"",Michael Kohlhass,,,,Heinruch Von Kleist,978-85-61578-37-4,160
50,,,"R$ 27,90","R$ 13,95",,,
"","Moças, As",,,,Isabel Cãmara,978-85-61578-87-9,80
51,,,"R$ 36,00","R$ 18,00",,,
52,Morrer por ideias,R$,"64,00","R$ 32,00",Costica Bradatan,978-65-88410-02-8,320
"","Mortos, Os",,,,James Joyce,978-85-61578-42-8,88
53,,,"R$ 26,90","R$ 13,45",,,
"",Mudança,,,,Fernando Cabrera,978-85-61578-30-5,144
54,,,"R$ 37,00","R$ 18,50",,,
"","Mundo como empresa global, O",,,,José Carlos de Magalhães,978-85-61578-59-6,256
55,,,"R$ 56,00","R$ 28,00",,,
"","Museu do peixe morto, O",,,,Charles D'Ambrosio,978-85-61578-12-1,254
56,,,"R$ 45,00","R$ 22,50",,,
"",Na baía,,,,Katherine Mansfield,978-85-61578-71-8,80
57,,,"R$ 26,90","R$ 13,45",,,
Na Ilha de Falesá,"R$ 27,90","R$ 13,95",Robert Louis Stevenson,978-85-61578-62-6,136
Noite Adentro,"R$ 38,00","R$ 19,00",Tailor Diniz,978-85-61578-63-3,173
"Orquestra da chuva, A","R$ 42,00","R$ 21,00",Hansjorg Schertenleib,978-85-61578-16-9,248
"Pedra de toque, A","R$ 27,90","R$ 13,95",Edith Warton,978-85-61578-52-7,160
Petrolina,"R$ 39,00","R$ 19,50",Carlos Eduardo de Magalhães,978-85-61578-69-5,176
Pitanga,"R$ 36,00","R$ 18,00",Carlos Eduardo de Magalhães,978-85-61578-00-8,224
"Ponta, A","R$ 39,00","R$ 19,50",Charles D'Ambrosio,978-85-61578-03-9,248
Ponte sobre o Drina,"R$ 74,00","R$ 37,00",Ivo Andrić,978-85-61578-89-3,448
Primeiro do ano,"R$ 29,00","R$ 14,50",Adauto Leva,978-85-61578-05-3,76
Quando o imperador era divino,"R$ 39,90","R$ 19,95",Julie Otsuka,978-85-61578-54-1,144
"Quarto de Jacob, O","R$ 28,90","R$ 14,45",Virginia Woolf,978-85-61578-72-5,256
Quem tem medo de Virginia Woolf?,"R$ 46,00","R$ 23,00",Edward Albee,978-85-61578-79-4,176
Sobressalto,"R$ 39,00","R$ 19,50",Kenneth Cook,978-85-61578-11-4,176
Stempenyu: um romance judaico,"R$ 28,90","R$ 14,45",Sholem Aleichem,978-85-61578-36-7,216
"Superfície da sombra, A","R$ 36,00","R$ 18,00",Tailor Diniz,978-85-61578-21-3,160
"Super-homem, não-homem, Carol e Os Invisíveis","R$ 38,00","R$ 19,00",Carlos Eduardo de Magalhães,9788561578534,160
"Tempo em estado sólido, O","R$ 34,00","R$ 17,00",Tércia Montenegro,978-85-61578-18-3,112
Terra sem Mapa,"R$ 36,00","R$ 18,00",Ángel Rama,978-85-61578-01-5,160
"Teta racional, A","R$ 38,00","R$ 19,00",Giovana Madalosso,978-85-61578-58-9,128
Torquator,"R$ 38,00","R$ 19,00",Henry Trujillo,978-85-61578-25-1,184
Trem para o Paquistão,"R$ 45,00","R$ 22,50",Khushwant Singh,978-85-61578-19-0,224
"",Três mulheres altas,,,Edward Albee,978-85-61578-80-0,144
79,,"R$ 42,90","R$ 21,45",,,
"",Trova,,,Carlos Eduardo de Magalhães,978-85-61578-26-8,224
80,,"R$ 42,00","R$ 21,00",,,
"",Ubirajara,,,José de Alencar,978-85-61578-51-0,160
81,,"R$ 26,90","R$ 13,45",,,
"","Última Tentação, A",,,Nikos Kazantzákis,978-85-61578-48-0,520
82,,"R$ 69,00","R$ 34,50",,,
"",Valentia,,,Deborah K. Goldemberg,978-85-61578-24-4,216
83,,"R$ 38,00","R$ 19,00",,,
"","Véu erguido, O",,,George Eliot,978-85-61578-46-6,88
84,,"R$ 26,90","R$ 13,45",,,
"",Vida e proezas de Aléxis Zorbás,,,Nikos Kazantzákis,978-85-61578-15-2,384
85,,"R$ 63,00","R$ 31,50",,,
