TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
PSICANÁLISE ENTREVISTA - VOL. 1,"Selaibe, Mara",Psicologia e Saúde,"63,00","31,50",50%
PSICANÁLISE ENTREVISTA - VOL. 2,"Selaibe, Mara",Psicologia e Saúde,"63,00","31,50",50%
QUANDO MEU GATO ERA PEQUENO,"Bachelet, Gilles",Literatura Infantil,"34,00","17,00",50%
QUERIDA KONBINI,"Murata, Sayaka",Literatura Japonesa,"42,00","21,00",50%
QUERO MAIS É QUE SE DANEM!,"Lorenzi, Mário",Literatura Brasileira,"54,00","16,20",70%
"QUESTÃO HUMANA, A","Emmanuel, François",Literatura Belga,"37,00","18,50",50%
REGRAS PARA O PARQUE HUMANO,"Sloterdijk, Peter",Filosofia,"36,00","18,00",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
"RELIGIÃO, A","Derrida, Jacques e Vattimo, Gianni (orgs.)",Filosofia,"46,00","23,00",50%
RIMBAUD DA AMÉRICA E OUTRAS...,"Vasconcelos, Mauricio S.",Crítica Literária,"52,00","26,00",50%
"RISADINHAS, OS","Doyle, Roddy",Literatura Juvenil,"44,00","22,00",50%
RITUAL,"Miele, Carlos",Arte e Cinema,"53,00","15,90",70%
ROLAND BARTHES,"Barthes, Roland",Crítica Literária,"47,00","23,50",50%
RUSSELL,Ali Benmakhlouf,Filosofia,"54,00","27,00",50%
RÚSSIA: Arquitetura para uma revolução mundial,El Lissitzky,Arquitetura e Urbanismo,"62,00","31,00",50%
SADE CONTRA O SER SUPREMO,"Sollers, Philippe",Crítica Literária,"40,00","20,00",50%
"SAMURAI, O. A vida de Miyamoto Musashi","Wilson, William Scott",Biografia,"60,00","30,00",50%
"SANGUE DE EMMITT TILL, O","Tyson, Timothy B.",História Geral,"63,00","31,50",50%
SANSHIRO,"Soseki, Natsume",Literatura Japonesa,"58,00","29,00",50%
SARTRE - COL. FIGURAS DO SABER 32,"Monin, Nathalie",Filosofia,"54,00","27,00",50%
SAUSSURE - COL. FIGURAS DO SABER 23,"Normand, Claudine",Filosofia,"46,00","23,00",50%
SE A EUROPA DESPERTAR,"Sloterdijk, Peter",Filosofia,"38,00","19,00",50%
"SEGREDO DO CALÍGRAFO, O","Schami, Rafik",Literatura Síria,"69,00","27,60",60%
"SOFRIMENTOS DO JOVEM WERTHER, OS","Goethe, J.W.",Clássicos da Literatura Mundial,"47,00","23,50",50%
"SOM DA MONTANHA, O","Kawabata, Yasunari",Literatura Japonesa,"58,00","29,00",50%
SORRISO DE NICOLAU-Hist. de Maquiavel,"Viroli, Maurizio",Biografia,"58,00","29,00",50%
SUAVE LOUCURA/GENTLE MADNESS,"Partenheimer, Jürgen",Arte e Cinema,"79,00","31,60",60%
"SUFRÁGIO UNIVERSAL, O","Canêdo, Letícia Bicalho (org.)",História Geral,"85,00","42,50",50%
SUKYAKI DE DOMINGO,"Ah, Bae-Su",Literatura Coreana,"54,00","27,00",50%
SWISSLEAKS,"Davet, Gérard e Lhomme, Fabrice",Ciências Sociais,"52,00","15,60",50%
SYNGUÉ SABOUR - Pedra de Paciência,"Rahimi, Atiq",Literatura Afegã,"42,00","21,00",50%
TEMPO E ESPAÇO NA CULTURA JAPONESA,"Kato, Shuichi",História Geral,"56,00","28,00",50%
TEORIA DA REGULAÇÃO: Fundamentos,"Boyer, Robert",Economia,"43,00","21,50",50%
TERRA E CINZAS,"Rahimi, Atiq",Literatura Afegã,"37,00","18,50",50%
TERRÁQUEOS,"Murata, Sayaka",Literatura Japonesa,"59,00","28,50",50%
TESSITURA DISSIMULADA,"Kadota, Neiva Pitta",Crítica Literária,"40,00","20,00",50%
TOPOGRAFIA IDEAL PARA UMA AGRESSÃO CARACTERIZADA,"Boudjedra, Rachid",Literatura Argelina,"47,00","14,10",70%
TSUGUMI,"Yoshimoto, Banana",Literatura Japonesa,"47,00","23,50",50%
TURING - COL. FIGURAS DO SABER 29,"Senra, Stella",Arte e Cinema,"49,00","24,50",50%
"ÚLTIMO DIA DE UM CONDENADO, O","Hugo, Victor",Clássicos da Literatura Mundial,"47,00","23,50",50%
"ÚLTIMO JORNALISTA, O","Senra, Stella",Arte e Cinema,"47,00","14,10",70%
UM CONTO DE DUAS CIDADES,"Dickens, Charles",Clássicos da Literatura Mundial,"70,00","35,00",50%
UMA ESTRELA CHAMADA HENRY,"Pinto, Júlio Pimentel",Crítica Literária,"55,00","16,50",70%
UMA MISSA PARA A CIDADE DE ARRAS,"Sczypiorski, Andrzej",Literatura Polonesa,"43,00","21,50",50%
"VALISE DO PROFESSOR, A","Kawakami, Hiromi",Literatura Japonesa,"50,00","25,00",50%
VENTO LESTE,"Kaga, Otohiko",Literatura Japonesa,"77,00","38,50",50%
TÍTULO,AUTOR/ ORGANIZADOR,ASSUNTOS,De R$,Por R$,Desconto
VIAGEM À RODA DO MEU QUARTO,"Maistre, Xavier de",Clássicos da Literatura Mundial,"44,00","22,00",50%
VIDA À VENDA,"Mishima, Yukio",Literatura Japonesa,"53,00","26,50",50%
VIDAS DE CÉSAR,Suetônio e Plutarco,Biografia,"60,00","30,00",50%
VIDAS MINÚSCULAS,"Michon, Pierre",Literatura Francesa,"47,00","18,80",60%
VIRTUDES DO FRACASSO,"Pépin, Charles",Filosofia,"45,00","22,50",50%
VITA SEXUALIS,"Mori, Ogai",Literatura Japonesa,"44,00","22,00",50%
WITTGENSTEIN - COL. FIGURAS DO SABER 8,"Schmitz, François",Filosofia,"46,00","23,00",50%
