baseadas-em-experiencias-de-demissao
"",,,,,,https://www.pacolivros.com.br/memoria-performance-e-aprendizado-
"Memória, Performance e Aprendizado Musical",Sonia Regina Albano De Lima,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,musical-um-processo-interligado
"",José Amâncio Tonezzi Rodrigues,,,,,https://www.pacolivros.com.br/o-bufao-e-suas-artes-artesania-
O bufão e suas artes,,Artes e Fotografia,R$,"46,90","R$ 23,45",
"",Pereira,,,,,disfuncao-e-soberania
"",Neusa Richter De Melo,,,,,https://www.pacolivros.com.br/cancoes-para-brincar-e-sonhar-
Canções para Brincar e Sonhar,,Artes e Fotografia,R$,"57,90","R$ 28,95",
"",Comandulli,,,,,musicalizacao-infantil
"",Sandra Aparecida Queiroz,,,,,https://www.pacolivros.com.br/a-danca-e-o-ventre-aparencia-
A dança e o ventre,,Artes e Fotografia,R$,"39,90","R$ 19,95",
"",Kussunoki,,,,,corporal-na-contemporaneidade-o-mito-da-barriga
"",,,,,,https://www.pacolivros.com.br/ativismo-digital-e-imagem-estrategias-
Ativismo Digital e Imagem,Tarcisio Torres Silva,Artes e Fotografia,R$,"39,90","R$ 19,95",
"",,,,,,de-engajamento-e-mobilizacao-em-rede
"",,,,,,https://www.pacolivros.com.br/a-fotografia-e-o-tempo-possibilidades-
A fotografia e o tempo,Matheus Mazini Ramos,Artes e Fotografia,R$,"30,90","R$ 15,45",
"",,,,,,de-pensar-o-tempo-via-fotografico-ponto-e-intersticio
"",,,,,,https://www.pacolivros.com.br/a-abordagem-pontes-para-a-
A Abordagem PONTES para a Educação Musical,Alda De Jesus Oliveira,Artes e Fotografia,R$,"47,90","R$ 23,95",
"",,,,,,educacao-musical-aprendendo-a-articular
"",,,,,,https://www.pacolivros.com.br/danca-diversidade-caminhos-e-
Dança,Maria Do Carmo Saraiva,Artes e Fotografia,R$,"45,90","R$ 22,95",
"",,,,,,encontros
"",,,,,,https://www.pacolivros.com.br/aprendiz-de-clown-abordagem-
APRENDIZ DE CLOWN,Ana Elvira Wuo,Artes e Fotografia,R$,"48,90","R$ 24,45",
"",,,,,,processologica-para-iniciacao-a-comicidade
Evocações da Arte Performática,Tales Frey,Artes e Fotografia,R$,"69,90","R$ 34,95",https://www.pacolivros.com.br/Evocacoes-da-Arte-Performatica
Ensaios de Cultura Teatral,Walter Lima Torres Neto,Artes e Fotografia,R$,"45,90","R$ 22,95",https://www.pacolivros.com.br/Ensaios-de-Cultura-Teatral
Poéticas da visualidade em João Cabral de Melo,,,,,,https://www.pacolivros.com.br/poeticas-da-visualidade-em-joao-
"",Ricardo Ramos Costa,Artes e Fotografia,R$,"42,90","R$ 21,45",
Neto e Joan Miró,,,,,,cabral-de-melo-neto-e-joan-miro-a-poesia-como-critica-de-arte
"",,,,,,https://www.pacolivros.com.br/cultura-de-augusto-boal-processos-
Cultura de Augusto Boal,Antonio Luís De Quadros Altieri,Artes e Fotografia,R$,"36,90","R$ 18,45",
"",,,,,,constitutivos-de-teatro-e-educacao
Efeitos Visuais de Transição na Montagem,,,,,,https://www.pacolivros.com.br/efeitos-visuais-de-transicao-na-
"",Vinicius Augusto Carvalho,Artes e Fotografia,R$,"46,90","R$ 23,45",
Cinematográfica,,,,,,montagem-cinematografica
Paulínia,João Batista Nunes Neto,Artes e Fotografia,R$,"46,90","R$ 23,45",https://www.pacolivros.com.br/paulinia-uma-historia-de-cinema
A Significação na Música de Cinema,Juliano De Oliveira,Artes e Fotografia,R$,"49,90","R$ 24,95",https://www.pacolivros.com.br/A-Significacao-na-Musica-de-Cinema
"",,,,,,https://www.pacolivros.com.br/Simetria-nos-Estudos-para-Violao-de-
Simetria nos Estudos para Violão de Villa-Lobos,Ciro Paulo Visconti Canellas,Artes e Fotografia,R$,"41,90","R$ 20,95",
"",,,,,,Villa-Lobos
"",,,,,,https://www.pacolivros.com.br/a-musicalizacao-na-escola-guia-
A Musicalização na Escola,Maristela Saponara Correa,Artes e Fotografia,R$,"39,90","R$ 19,95",
"",,,,,,teorico-e-pratico
"",Mariana Baruco Machado,,,,,https://www.pacolivros.com.br/mitos-e-simbolos-na-cena-
Mitos e Símbolos na Cena Contemporânea,,Artes e Fotografia,R$,"49,90","R$ 24,95",
"",Andraus,,,,,contemporanea-interlocucoes-oriente-ocidente
"",,,,,,https://www.pacolivros.com.br/ritmos-da-historia-100-anos-da-
RITMOS DA HISTÓRIA,Eduardo Seixas Migowski,Artes e Fotografia,R$,"52,90","R$ 26,45",
"",,,,,,republica-contados-e-cantados-pela-musica-popular-1889-1989
"",,,,,,https://www.pacolivros.com.br/allende-historia-de-salvador-allende-
Allende,Fábio Aparecido Monteiro,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,no-cinema-de-patricio-guzman
"",,,,,,https://www.pacolivros.com.br/teatro-e-formacao-de-espectadores-
Teatro e Formação de Espectadores,Martha Lemos De Moraes,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,uma-proposta-de-programa-educativo
"",,,,,,https://www.pacolivros.com.br/teatro-oficina-1958-1964-indicios-
Teatro Oficina - 1958-1964,José Gustavo Bononi,Artes e Fotografia,R$,"45,90","R$ 22,95",
"",,,,,,fotograficos-da-constituicao-de-um-grupo-de-vanguarda
"",,,,,,https://www.pacolivros.com.br/futebol-x-teatro-rito-cena-e-
Futebol X Teatro,Adriana Silva Amorim,Artes e Fotografia,R$,"34,90","R$ 17,45",
"",,,,,,dramaturgia-do-espetaculo-futebolistico
"",,,,,,https://www.pacolivros.com.br/ver-e-ver-como-ensaios-sobre-cinema-
Ver e Ver Como,Humberto Pereira da Silva,Artes e Fotografia,R$,"48,90","R$ 24,45",
"",,,,,,e-cineastas-marcantes
"Grotowski, Grotowskianos e o Paradoxo Precisão-",,,,,,https://www.pacolivros.com.br/Grotowski-Grotowskianos-e-o-
"",Lidia Olinto Do Valle Silva,Artes e Fotografia,R$,"54,90","R$ 27,45",
espontaneidade,,,,,,Paradoxo-Precisao-espontaneidade
"",,,,,,https://www.pacolivros.com.br/cinema-e-sociedade-resistencias-e-
Cinema e Sociedade,Fábio Francisco Feltrin De Souza,Artes e Fotografia,R$,"46,90","R$ 23,45",
"",,,,,,jogos-de-poder
"",,,,,,https://www.pacolivros.com.br/ensino-teatro-dramaturgia-leitura-e-
Ensino teatro,André Luís Gomes,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,inovacao
"",,,,,,https://www.pacolivros.com.br/corpo-voz-revisitando-temas-
Corpo-Voz,Fernando Manoel Aleixo,Artes e Fotografia,R$,"36,90","R$ 18,45",
"",,,,,,revisando-conceitos
Literatura e cinema,Ricardo André Ferreira Martins,Artes e Fotografia,R$,"42,90","R$ 21,45",https://www.pacolivros.com.br/Literatura-e-cinema
"",,,,,,https://www.pacolivros.com.br/fazer-inventar-encontrar-a-tese-
Fazer-Inventar-Encontrar,Íris Fátima da Silva Uribe,Artes e Fotografia,R$,"45,90","R$ 22,95",
"",,,,,,fundamental-da-estetica-de-luigi-pareyson
