Título,Autor,
"Olho do Canário, O",Moacir Amâncio,"R$ 24,00"
Ombudsman nos Bancos,Odila de Lara Pinto,"R$ 32,00"
Ópera da Galinhinha: Mariquinha quer cantar,Misa Ferreira,prelo
Ouvir Wagner – Ecos Nietzschianos,Yara Borges Caznok e Alfredo Naffah Neto,"R$ 48,00"
Penumbra.Experiência Memória. Descarte do Trabalhador,Maria Inês Rosa,"R$ 54,00"
"Pense no Haiti, Reze pelo Haiti",Guilherme Salgado Rocha,"R$ 26,00"
Performance & Interpretação Musical,Sonia Regina de Albano Lima (org.),"R$ 40,00"
Performance Musical sob uma Perspectiva Pluralista,Sonia R. Albano de Lima (org) textos,"R$ 62,00"
"Pesquisador e seu Outro – Bakhtin nas Ciências Humanas, O",Marilia Amorim,"R$ 62,00"
Projetos interdisciplinares p Ensino da Música e Artes Folclóricas Niomar de Souza Pereira/Sonia R Albano de Lima,"R$ 48,00",
Por que não se aprende Português?,Sérgio Simka,"R$ 36,00"
"Psicologia das Emoções: amores,desamores,pensamentos,reflexões Vilma Lúcia Leal Fagundes Neves","R$ 42,00",
ProUni e o ensino superior privado lucrativo em São Paulo,Wilson Mesquita de Almeida,"R$ 69,00"
Quatro Peças Curtas de Bernard Shaw,George Bernard Shaw,"R$ 40,00"
"Responsabilidade Civil do Advogado, A",Wanderley Ribeiro,"R$ 62,00"
"Retórica Antiga e as Outras Retóricas, A",Dante Tringali,"R$ 88,00"
Retorno à Terra Como Elo Afetivo e Meio de Sobrevivência nos Assent,Smimenotnoes  BRaurrbaaisnti,"R$ 30,00"
Romance Com Cocaína – Memórias de um Doente,M. Aguéiev,"R$ 40,00"
Ronda de Fogo (Contos e Prosas),Cacy Cordovil,"R$ 40,00"
Rumo à Terra do Sol: leituras meditadas da Bíblia,Klaus de Geus,"R$ 42,00"
"Segundo advento de Zeus, O (ed.bilíngue,grego-português)",Manolis Aligizakis (Trad. Eric Ponty),prelo
"Sapo Apaixonado:história inspirada em uma narrativa indígena,O   Don",zDeotnei zGeatelv ãGoa/lIvluãsot/r aIlçuõsetrsa çMõaersia Mna rMiaansas Marasnsiarani,"R$ 39,00"
"Sonhos de Maria Pão Doce Frito, Os",Ricardo Araújo/José Roberto Aguilar (ilustrações),prelo
"Show dos Bichos, O - Poesia Antenada para Crianças Idem",Fábio Aristimunho Vargas/ Ilustrações Olavo Tenório,"R$ 52,00"
Tempestade tropical: cadernos de viagem,Clara Favilla,"R$ 79,00"
"Sonetos Neobiblícos, Precisamente – Ed. Bilíngue Espanhol-Portuguê",Pedro Casaldaliga,"R$ 40,00"
"Tatu Príncipe, O (A origem do tatu)",Rudyar Kipling (ilustrações Edson Aran),prelo
Teresa de Lisieux (1873-1897),Mönika Maria Stocker (trad. Pe. Rainer Kröger),"R$ 39,00"
Tocar Piano,Vera H. Cury e Monica Thiele,"R$ 26,00"
Uma casa assombrada,Virginia Woolf (trad. Antonio Carlos Olivieri),prelo
Tributo ao Povo do Sol,Jelson de Oliveira,"R$ 26,00"
USP Para Todos?,Wilson Mesquita de Almeida,"R$ 40,00"
"Vida Começa no Verão, A",Pedro Rosas,"R$ 32,00"
Você Tem Sede de Quê? - Entre a Cervejinha e o Alcoolismo,Hilda Regina Dalla Dea (org),"R$ 40,00"
Vozes e Silêncios,José Luis Monteiro,saldo
",Turma da Dódi e suas aventuras musicais, A",Sonia Albano de Lima,
