"TítuloAutorPreço                  de capaPreço com desconto 50%",,,
INICIAÇÃO AO UKULELE,Vinícius Vivas,"R$ 67,00","R$ 33,50"
JAZZ - HARMONIA E IMPROVISAÇÃO,Ivan Barasnevicius,"R$ 61,00","R$ 30,50"
LEITURA À PRIMEIRA VISTA,Felipe Guerzoni,"R$ 77,00","R$ 38,50"
MANUAL DE DANÇAS GAÚCHAS,Paixão Côrtes e Barbosa Lessa,"R$ 63,00","R$ 31,50"
MANUAL ILUSTRADO DOS INSTRUMENTOS MUSICAIS,Lucien Jenkins,"R$ 94,00","R$ 47,00"
MÉTODO COMPLETO DE GUITARRA - DO BLUES AO JAZZ,Gaetano Kay Galifi,"R$ 96,00","R$ 48,00"
MÉTODO COMPLETO DE SAXOFONE,Amadeu Russo,"R$ 52,00","R$ 26,00"
MÉTODO DE VIOLÃO,Américo Jacomino ( Canhoto ),"R$ 21,00","R$ 10,50"
MÉTODO DE VIOLÃO,Fernando Azevedo,"R$ 43,00","R$ 21,50"
MÉTODO DE VIOLINO - INICIANTE,Marcelo Cardozo,"R$ 44,00","R$ 22,00"
MÉTODO DO BANDOLIM BRASILEIRO,Afonso Machado,"R$ 101,00","R$ 50,50"
MÉTODO ILUSTRADO DE FLAUTA - VOLUME 1,Celso Woltzenlogel,"R$ 116,00","R$ 58,00"
MÉTODO ILUSTRADO DE FLAUTA - VOLUME 2,Celso Woltzenlogel,"R$ 116,00","R$ 58,00"
MÉTODO INFANTIL PARA PIANO,Francisco Russo,"R$ 39,00","R$ 19,50"
MÉTODO MODERNO PARA GUITARRA - VOLUME 1,William Leavitt,"R$ 77,00","R$ 38,50"
MÉTODO PARA ACORDEON,Alencar Terra,"R$ 72,00","R$ 36,00"
MÉTODO PARA CLARINETE,Domingos Pecci,"R$ 37,00","R$ 18,50"
MÉTODO PARA CLARINETE - 1a PARTE,Nabor Pires Camargo,"R$ 55,00","R$ 27,50"
MÉTODO PARA GAITA CROMÁTICA,Zezinho de Lima,"R$ 26,00","R$ 13,00"
MÉTODO PARA GAITA DIATÔNICA - 1o VOLUME,Luiz Marcondes,"R$ 43,00","R$ 21,50"
