Título,Nome Autor 1,Preço,Desconto
SISTEMA DO TATO,ALEJANDRA COSTAMAGNA,"R$       50,00","R$       25,00"
SOCIOLOGIA DA LITERATURA,GISELE SAPIRO,"R$       45,00","R$       22,50"
TALVEZ UM INSTRUMENTO O QUE SE HOUVE AO FUNDO,GUTO LEITE,"R$       38,00","R$       19,00"
TEMPO DE FANTASMAS,ALEXANDRE ONEILL,"R$       38,00","R$       19,00"
TODO ESSE AMOR QUE INVETAMOS PARA NOS,RAIMUNDO NETO,"R$       45,00","R$       22,50"
TODO NAUFRÁGIO É TAMBÉM UM LUGAR DE CHEGADA,MARCO SEVERO,"R$       38,00","R$       19,00"
TRADUDANTE,VARIOS AUTORES,"R$       60,00","R$       30,00"
TRILHAS PARA ANDAR DESCALÇA,TICIANA WERNECK ZIBULL,"R$       35,00","R$       17,50"
TUDO QUE RESTA É TUDO O QUE EU ESCONDI,GEANNETI TAVARES,"R$       40,00","R$       20,00"
ÚLTIMAS PERIPÉCIAS,SFIALLIOPME OPNINHO,"R$       35,00","R$       17,50"
UMA CASA DE BONECAS,HENRIK IBSEN,"R$       42,00","R$       21,00"
UM CIRCO NO NEVOEIRO,RENATA CORREIA BOTELHO,"R$       35,00","R$       17,50"
UM DOS NOMES INVENTADOS PARA O AMOR,MARCO SEVERO,"R$       40,00","R$       20,00"
UM JOGO BASTANTE PERIGOSO,ADÍLIA LOPES,"R$       35,00","R$       17,50"
UM LUGAR PARA SI,CRISTINA ARRUDA,"R$       38,00","R$       19,00"
UM PUNHADO DE TERRA,PFOEDNRTEON EEILREAS,"R$       40,00","R$       20,00"
UM RELATO SOBRE A BANALIDADE DO AMOR,MARIO DIAMENT,"R$       40,00","R$       20,00"
UM SILÊNCIO AVASSALADOR,LUCAS BARROSO,"R$       30,00","R$       15,00"
VERTIGEM DO CHAO,CEZAR TRIDAPALLI,"R$       50,00","R$       25,00"
VINTE,BRANCA SOBREIRA,"R$       45,00","R$       22,50"
VIZINHANÇA TENSA,KINHA PEREZ,"R$       35,00","R$       17,50"
VOLANTE VERDE,ANTÓNIO RAMOS ROSA,"R$       35,00","R$       17,50"
"",,,
"",,,
"",,,
"",,,
"",,,
"",,,
