1 de abril,"Martos, Cloder Rivas","R$     37,00","R$   18,50"
Guerra em Guararapes & outros estudos,"Mello, Frederico Pern","mR$b u  c  6a9n,o9 0d","R$   34,95"
Guia definitivo de League of Legends,"Caetano, Ricardo","R$     29,90","R$   14,95"
Guia definitivo Dota 2,"Caetano, Ricardo","R$     29,90","R$   14,95"
Gurupi,Vovô Felicio,"R$     39,90","R$   19,95"
Hipo pode nadar,"Bernasconi, Pablo","R$     44,90","R$   22,45"
História é tudo que me deixou,"Silvera, Adam","R$     39,90","R$   19,95"
Histórias Maravilhosas,"Estrada, Osório Duqu","R$     41,00","R$   20,50"
Homens: O livro que toda mulher precisa ler para não acreditar em pro,"Aavgealnadr,a W enegsalenyosa","R$     34,90","R$   17,45"
Hora de dormir,"Oppenheim, Joanne","R$     36,00","R$   18,00"
Imagina-me,"Mafi, Tahereh","R$     54,90","R$   27,45"
Incendeia-me,"Mafi, Tahereh","R$     49,90","R$   24,95"
Indecente,"Lauren, Christina","R$     39,90","R$   19,95"
Inesquecível,"Ward, J. R.","R$     39,90","R$   19,95"
Inglês para falar em qualquer situação,"Tunwell, Chris; Acuña","FRe$r n  a  1n9d,o90","R$     9,95"
Ipad: O manual que faltava,"Biersdorfer, J. D.","R$     69,90","R$   34,95"
Ipad: O manual que faltava - 2a edição,"Biersdorfer, J. D.","R$     69,90","R$   34,95"
Irene (2a edição),"Lemaitre, Pierre","R$     59,90","R$   29,95"
Irmãs em Auschwitz,"Gelissen, Rena Kornre","cRh$;  M    a4c4a,9d0a",",R H$e a t 2h2er,4 D5u"
Irresistíveis,"Lauren, Christina","R$     44,90","R$   22,45"
Jeito de moça,"Pinho, Pietra de","R$     39,90","R$   19,95"
Jogando xadrez com os anjos,"Ribeiro, Fabiane","R$     39,90","R$   19,95"
Jogando xadrez com os anjos - POCKET,"Ribeiro, Fabiane","R$     14,90","R$     7,45"
Johny Deep,"Johnstone, Nick","R$     44,90","R$   22,45"
Kardec – o homem que desvendou os espíritos,"Souza, Luis Eduardo d","R$     39,90","R$   19,95"
Katty Perry: A vida da nova rainha do pop,"Geovan, Chloe","R$     29,90","R$   14,95"
Katy Perry - edição especial para fãs,"Dalpino, Cinthia","R$     29,90","R$   14,95"
Lead,"Scott, Kylie","R$     39,90","R$   19,95"
Lea Michele: Diário de uma estrela em ascensão,"Michele, Lea","R$     39,90","R$   19,95"
Liberta-me,"Mafi, Tahereh","R$     49,90","R$   24,95"
"Limão, alho e cebola e outros alimentos que curam","Torres, Laura","R$     24,90","R$   12,45"
Louca por você,"Meyer, A. C.","R$     29,90","R$   14,95"
Lua e Sol,"Machado, Nilson Jose","R$     28,00","R$   14,00"
Madre Teresa: Amor maior não há,Madre Teresa de Calc,"tRá$     29,90","R$   14,95"
Magia explosiva,"Andrews, Ilona","R$     44,90","R$   22,45"
Malévola,"Rudnick, Elizabeth","R$     39,90","R$   19,95"
Malévola: A rainha do mal,"Valentino, Serena","R$     39,90","R$   19,95"
Malévola II: Dona do mal,"Rudnick, Elizabeth","R$     44,90","R$   22,45"
Malévola: O coração da rainha,"Black, Holly","R$     59,90","R$   29,95"
Malévola (Pocket),"Rudnick, Elizabeth","R$     19,90","R$     9,95"
Mamãe bruxa: A história da vilã da Rapunzel,"Valentino, Serena","R$     49,90","R$   24,95"
Manual de persuasão do FBI,"Shafer, Jack; Karlins,","aRr$v i n   39,90","R$   19,95"
Mari Maria: Por trás da máscara,"Maria, Mari","R$     39,90","R$   19,95"
"Martin, filhote de águia","Èboli, Terezinha","R$     49,90","R$   24,95"
Max Einstein: O experimento genial,"Patterson, James; Gra","eRn$s  t e  4in4, 9C0h","isR$   22,45"
Mc Gui: Livro oficial do astro,"Gui, Mc","R$     29,90","R$   14,95"
Mentes brilhantes,"Dell'isola, Alberto","R$     29,90","R$   14,95"
Mentes Brilhantes 3a edição,"Dell’Isola, Alberto","R$     49,90","R$   24,95"
Mentes Extraordinárias - Pocket,"Dell’Isola, Alberto","R$     14,90","R$     7,45"
Mentes fantásticas,"Dell'isola, Alberto","R$     39,90","R$   19,95"
Mentes felizes,"Aubele, Teresa; Wenc",",R S$t a  n  3; 9R,e9y0n","lRds$,  S u 1s9a,n95"
Mentes geniais,"Dell'Isola, Alberto","R$     39,90","R$   19,95"
Mentes manipuladas: seu cérebro pode estar te enganando,"Boxer Wachler, Dr. Br","aRn$     44,90","R$   22,45"
Mentes milionárias - Pocket,"Aubele, Dra. Teresa; F","eRe$m   a  1n9, ,D9r0.","oRu$g;  H  a 9u,s9n5er"
Mentiroso,"Lauren, Christina","R$     44,90","R$   22,45"
Meu diário (secreto) de anotações do Gravity Falls,"Blanco, Maria Eugeni","R$     59,90","R$   29,95"
Mick Jagger,"Altman, Billy","R$     98,90","R$   49,45"
"Miga, sua louca","Costa, Julianna; Costa","LRu$iz  a   34,90","R$   17,45"
Milhas de distância,"Rutledge, A. B.","R$     34,90","R$   17,45"
Minha versão de você,"Lauren, Christina","R$     39,90","R$   19,95"
Minha vida com Pablo Escobar,"Velásquez, Jhon Jairo;","FRo$n t e   c3h9a,9, 0M","rRit$za  N 1e9il,a9 5Wi"
Misterioso,"Lauren, Christina","R$     39,90","R$   19,95"
Mulan - Livro oficial do filme,"Rudnick, Elizabeth","R$     44,90","R$   22,45"
Negação,"Lipstadt, Deborah E.","R$     44,90","R$   22,45"
Negócio Fechado,"Joehr, Suzana Doblins","iR$     40,00","R$   20,00"
Neymar: Conversa entre pai e filho,"Beting, Mauro; Moré,","IvRa$n     39,90","R$   19,95"
Noiva irresistível,"Lauren, Christina","R$     24,90","R$   12,45"
Noiva irresistível (Pocket),"Lauren, Christina","R$     19,90","R$     9,95"
Nós quatro e o amor - Pocket,"Ribeiro, Fabiane","R$     14,90","R$     7,45"
Novo Manual do FBI para ler a mente das pessoas,"Dreeke, Robin; Stauth","CRa$m    e 4r4o,n90","R$   22,45"
Nujeen: A incrível jornada de uma garota que fugiu da guerra na Síria e,"M uumstaa cf a,d Neuirjae edne;  rLoada","bR, C$ h  r i 3s9ti,n9a0","R$   19,95"
Num reino cor de burro quando foge,"Camargo, Maria Amal","aR$     30,00","R$   15,00"
O amor e outras coisas,"Lauren, Christina","R$     54,90","R$   27,45"
O beijo da meia noite,"Adrian, Lara","R$     44,90","R$   22,45"
Obras de arte para colorir,"Noble, Marty","R$     29,90","R$   14,95"
Obstinada,"Day, Sylvia","R$     29,90","R$   14,95"
