9788532804,1,EdUFSC,Conflitos e povoamento na fronteira B Maristela Ferra ri,3 1.00,50,15. 5
9788532806,1,EdUFSC,Metaética: algumas tendências Stephen Darwall,36.00,50,18
9788532804,1,EdUFSC,TV digital e produção interativa: a comFernand o Anton io Crocomo,36.00,50,18
9788532804,1,EdUFSC,Um percurso para pesquisas com basR egin a Márcia Gerber,36.00,50,18
9788532806,1,EdUFSC,Arte e sociabilidades em perspectiva aDeise Lucy Oliveira Montard,38.00,50,19
9788532806,1,EdUFSC,"Diversidade, educação e infância: refl Anton ella Maria Imperatriz T",46.00,50,23
9788532807,1,EdUFSC,Políticas públicas: reflexões antropoló Esther Jean Langdon,42.00,50,21
8532803008,1,EdUFSC,Desamores: a destruição do idílio fam Mar ia S alete  Daros de Souz,33.66,50,16.83
9788532805,1,EdUFSC,"Bioética: autopreservação, enigmas e José Heck",26.00,50,13
9788532807,3,EdUFSC,Formação econômica de Santa Catar Alcides Goularti Filho,40.00,50,20
9788532805,1,EdUFSC,Poemas: Folias do ornitorrinco e EspeRod rigo  de Haro,58.00,50,29
8532803539,2,EdUFSC,Identidade homossexual e normas socTere sa Adada  Se ll,34.80,50,17.4
9788532807,3,EdUFSC,Educação tecnológica: enfoques para W alter A nto nio Bazzo,34.00,50,17
9788532806,1,EdUFSC,A arte do urbanismo conveniente: O dRodrig o B astos,48.00,5 0,24
9788532804,1,EdUFSC,Viagens: contos Renato Tapado,25.00,50,12.5
8587103636,1,EdUFSC,"Linguagem e gênero no trabalho, na mVivia ne  Ma ria He berle",38.40,50,19.2
9788532806,1,EdUFSC,Serviço social: questão social e direitoH elenara S ilv eira  Fagundes,38.00,50,19
9788532806,1,EdUFSC,Café filosófico: estética e filosofia da aCelso Braida,30.00,50,15
8587103601,1,EdUFSC,Saberes e fazeres de gênero: entre o Luzin e te  Simões Minella,46.80,50,23.4
9788532805,2,EdUFSC,O detetive de Florianópolis: crônicas Jair Francisco Hamms,30.00,50,15
8532803490,1,EdUFSC,Sociolinguística e ensino: contribuiçõeE dair M a ria Görsk i,3 1.20,50,15.6
9788532805,1,EdUFSC,Novas práticas alimentares no mercadC armen Rial,32.00,50,16
9788532805,1,EdUFSC,Leitura e produção em meio digital Luiz Carlos Neitzel,26.00,50,13
8532803199,1,EdUFSC,Caminhos cruzados: informática e lite Adair de Aguiar Neitzel,25.20,50,12.6
9788532807,1,EdUFSC,Diálogos com os Guarani: articulando Nádia Heusi Sil veira,38.00,50,19
8532801633,1,EdUFSC,Exercício em situações especiais II: g Osni Ja có da Silva,24.00,50,1 2
8532802974,1,EdUFSC,Kant: liberdade e natureza Maria de Lourdes Alves Bor,34.80,50,17.4
