Título,"Preço decapa",% Desconto,"Preço comdesconto"
CORES EM CASA: GUIA PRATICO PARA DECORAR E HARMONIZAR AMBIEN,"ES R$71,00","60,00%","R$28,40"
"CORPO HUMANO: ORGAOS, SISTEMAS E FUNCIONAMENTO","R$75,00","60,00%","R$30,00"
"CORPO NO TRABALHO, O","R$82,00","70,00%","R$24,60"
CORPO: UM GUIA INFOGRÁFICO PARA A GENTE,"R$97,00","60,00%","R$38,80"
COSMETOLOGIA APLICADA A COLORACAO E DESCOLORACAO,"R$28,90","50,00%","R$14,45"
COSTURAR E EMPREENDER: O UNIVERSO DA CONFECÇÃO,"R$51,00","50,00%","R$25,50"
"COZINHA A NU, A","R$74,00","60,00%","R$29,60"
COZINHA A QUATRO MAOS,"R$74,00","50,00%","R$37,00"
"COZINHA CAIPIRA DO CHICO BENTO, A","R$92,00","60,00%","R$36,80"
"COZINHA DA SAUDE, A","R$93,00","70,00%","R$27,90"
COZINHA DE CHAKALL: RECEITAS RAPIDAS PARA O BOM HUMOR,"R$94,00","70,00%","R$28,20"
COZINHA DE ESTAR: RECEITAS PRATICAS PARA RECEBER,"R$99,00","50,00%","R$49,50"
"COZINHA DO PENSAMENTO, A","R$74,00","60,00%","R$29,60"
COZINHA PRATICA - CAPA DURA,"R$104,00","50,00%","R$52,00"
COZINHA SEM BLÁ-BLÁ-BLÁ,"R$114,00","60,00%","R$45,60"
COZINHA SEM FOGAO: GASTRONOMIA VEGETARIANA E CRUA,"R$74,00","60,00%","R$29,60"
"COZINHA: UMA QUESTAO DE AMOR, ARTE E TECNICA","R$94,00","60,00%","R$37,60"
"COZINHANDO COM ECONOMIA: CARDÁPIOS, RECEITAS E LISTAS DE COMP","ASR $P1A0R4A,0 A0S","UA6T0R,0O0 %EST","ÇÕRE$S41,60"
COZINHAS PROFISSIONAIS,"R$66,00","50,00%","R$33,00"
CREMES BRULEES,"R$45,00","50,00%","R$22,50"
CRIANCA & ADOLESCENTE EM FOCO: DIALOGANDO COM PROFISSIONAIS E,"CURID$7A6D,O00RE","60,00%","R$30,40"
"CRIANDO COM EMPATIA: UM GUIA PARA INCENDIAR A CRIATIVIDADE, CO","ECRT$A5R8 ,P0E0SS","AS5 E0 T,0R0A%NSF","RRM$A2R9 ,O00 M"
CRIANDO PAISAGENS: GUIA DE ARQUITETURA PAISAGISTICA,"R$93,00","70,00%","R$27,90"
CRISTIANO MASCARO CSF 11,"R$41,00","60,00%","R$16,40"
"CUIDADOR DE CRIANÇAS E DE IDOSOS: ORIENTAÇÕES, ROTINAS E TÉCNICA","DRE$ T6R8A,0B0AL","O70,00%","R$20,40"
CUIDADOR DE IDOSOS: PRÁTICAS E REFLEXÕES DO CUIDAR COM CUIDADO,"R$54,00","60,00%","R$21,60"
CULTURA E CONSUMO: ESTILOS DE VIDA NA CONTEMPORANEIDADE,"R$106,00","70,00%","R$31,80"
CULTURAS DA REBELDIA,"R$79,00","70,00%","R$23,70"
CURADORIA EDUCACIONAL: PRÁTICAS PEDAGÓGICAS PARA TRATAR (O EX,"ESRSO$5 D3E,0) 0INF","RM60A,0Ç0Ã%O E","AKRE$ N21E,W20S E"
CURRICULOS INTEGRADOS NO ENSINO MEDIO E NA EDUCACAO PROFISSIO,"ARL:$ D64ES,0A0FI","S, E6X0P,0ER0%IEN","IASR E$ 2P5R,O60PO"
CUSTOS LOGÍSTICOS: GESTÃO E APLICAÇÃO PRÁTICA,"R$40,00","60,00%","R$16,00"
DE AREAS DEGRADADAS A ESPACOS VEGETADOS,"R$109,00","70,00%","R$32,70"
DE CACADOR A GOURMET - UMA HISTORIA DA GASTRONOMIA,"R$102,00","70,00%","R$30,60"
DE PORTA EM PORTA À NOVA YORK,"R$44,00","50,00%","R$22,00"
DE VENDEDOR PARA VENDEDOR,"R$110,00","70,00%","R$33,00"
DE VOLTA A ESCOLA: POR QUE TODOS MERECEM UMA SEGUNDA CHANCE,"NAR E$D5U3,C0A0C","O60,00%","R$21,20"
"DECRESCIMENTO, O: ENTROPIA, ECOLOGIA E ECONOMIA","R$76,00","70,00%","R$22,80"
DEGUSTANDO CERVEJA: TUDO O QUE VOCÊ PRECISA SABER PARA AVALIA,"E RA$P1R1E0C,0IA0R","BE5B0I,D00A%","R$55,00"
DELICIAS DE CHOCOLATE,"R$98,00","70,00%","R$29,40"
DENDE: SIMBOLO E SABOR DA BAHIA,"R$81,00","70,00%","R$24,30"
"DEPILACAO - O PROFISSIONAL, A TECNICA E O MERCADO","R$59,00","70,00%","R$17,70"
DEPILAÇÃO: MANUAL TÉCNICO E MERCADO DE TRABALHO,"R$60,00","50,00%","R$30,00"
DESACELERE: OUSE MUDAR O RITMO E VIVA MELHOR,"R$43,00","60,00%","R$17,20"
"DESAFIO DA INOVACAO, O: A REVOLUCAO DO CONHECIMENTO NAS EMPR","SARS$ B7R1,A0S0ILE","RA6S0,00%","R$28,40"
"DESEJO DO VINHO, O:  CONQUISTANDO O MUNDO","R$66,00","60,00%","R$26,40"
DESENHE SUAS PROPRIAS FONTES: 30 ESTUDOS PARA INSPIRAR NOVAS CR,"ACRO$E9S3,00","60,00%","R$37,20"
DESENHO DE MODA NO CORELDRAW X6,"R$106,00","70,00%","R$31,80"
DESENHO TECNICO DE ROUPA FEMININA,"R$64,00","60,00%","R$25,60"
DESENHO UNIVERSAL: METODOS E TECNICAS PARA ARQUITETOS E URBAN,"STRA$S114,00","60,00%","R$45,60"
DESENVOLVIMENTO DE HOTEIS: ESTUDOS DE VIABILIDADE,"R$85,00","70,00%","R$25,50"
DESENVOLVIMENTO HOTELEIRO NO BRASIL: PANORAMA,"R$76,00","70,00%","R$22,80"
DESENVOLVIMENTO LOCAL SUSTENTAVEL: UMA ABORDAGEM P,"R$85,00","70,00%","R$25,50"
"DESIGN DE APARENCIA DE ATORES E A COMUNICACAO EM CENA, O","R$82,00","70,00%","R$24,60"
"DESIGN DIGITAL: CONCEITOS E APLICAÇÕES PARA WEBSITES, ANIMAÇÕES,","VÍDRE$O5S4 ,E0 0WE","GA5M0,0ES0%","R$27,00"
DESIGN E ESCOLA: PROJETAR O FUTURO,"R$98,00","50,00%","R$49,00"
DESIGN INSTRUCIONAL CONTEXTUALIZADO - educacao e t,"R$85,00","70,00%","R$25,50"
DIA A DIA DO BEBE,"R$152,00","60,00%","R$60,80"
"DIA A DIA NA FARMÁCIA HOSPITALAR - AÇÕES, PRÁTICAS E PROCESSOS","R$55,00","50,00%","R$27,50"
DIALOGO / DANCA,"R$44,00","70,00%","R$13,20"
DIALOGO / DESENHO,"R$44,00","60,00%","R$17,60"
DIALOGO / FOTOGRAFIA,"R$44,00","70,00%","R$13,20"
DIALOGO EDUCACAO,"R$54,00","70,00%","R$16,20"
"DIALOGO, REFLEXAO E PRATICA","R$83,00","60,00%","R$33,20"
DIALOGO/CINEMA,"R$44,00","70,00%","R$13,20"
DICIONARIO DO MEIO AMBIENTE,"R$116,00","60,00%","R$46,40"
DIETA PARA HOMENS,"R$59,00","70,00%","R$17,70"
"DIETA PARISIENSE, A: COMO ATINGIR SEU PESO IDEAL E MANTE-LO","R$74,00","70,00%","R$22,20"
DINAMICAS DE GRUPO: DA TEORIA A PRATICA,"R$68,00","70,00%","R$20,40"
DIOR FOR EVER,"R$240,00","50,00%","R$120,00"
DIREITO DO TURISMO - hist. e legis. no Brasil revi,"R$95,00","70,00%","R$28,50"
