Título,"Preço decapa",% Desconto,"Preço comdesconto"
OPERADOR DE COMPUTADOR: COMO USAR APLICATIVOS DE ESCRITORIO,"R$59,00","70,00%","R$17,70"
ORDEM MUNDIAL E AGENCIAS DE RATING: O BRASIL E AS AGENCIAS NA E,"A GRL$O6B8A,0L0 (1","96 6- 02,0100%)","R$27,20"
ORGANIZACAO DE EVENTOS - DA IDEIA A REALIDADE,"R$60,00","50,00%","R$30,00"
ORGANIZACAO DE UMA EMPRESA DE BELEZA,"R$121,00","70,00%","R$36,30"
ORGANIZANDO ESPACOS,"R$91,00","50,00%","R$45,50"
OUTRAS LEITURAS,"R$53,00","70,00%","R$15,90"
OUTROS 500 - Uma conversa sobre a alma brasileira,"R$77,00","70,00%","R$23,10"
PACK BRASIL ADULTO: FERRAMENTA DE MANEJO CLINICO EM ATENCAO P,"IMRA$1R9IA4 ,A0 0SA","DE7 02,0109%","R$58,20"
PAISAGENS CRITICAS,"R$104,00","70,00%","R$31,20"
PALACETE SANTA HELENA: UM PIONEIRO DA MODERNIDADE,"R$153,00","70,00%","R$45,90"
PALAVRA DE ROTEIRISTA,"R$70,00","60,00%","R$28,00"
PANELINHA - RECEITAS QUE FUNCIONAM,"R$127,00","50,00%","R$63,50"
PANORAMA DO DESIGN GRAFICO CONTEMPORANEO,"R$110,00","70,00%","R$33,00"
PAO NOSSO: RECEITAS CASEIRAS COM FERMENTO NATURAL,"R$106,00","50,00%","R$53,00"
PAPEL SOCIAL DO DESIGN GRAFICO,"R$71,00","60,00%","R$28,40"
PARA APRECIAR A ARTE - Roteiro didatico,"R$56,00","70,00%","R$16,80"
PARA ONDE FORAM OS CHEFS? FIM DE UMA GASTRONOMIA FRANCESA,"R$41,00","70,00%","R$12,30"
PASSAPORTE PARA O SABOR: TECNOLOGIAS PARA A ELABORACAO DE CAR,"ARP$IO11S5,00","60,00%","R$46,00"
PATISSERIE EM CASA: RECEITAS PARA VOCE DOMINAR A ARTE DA PATISSE,"IER F$R1A1N4,C0E0S","60,00%","R$45,60"
PELE DO NASCIMENTO A MATURIDADE,"R$74,00","60,00%","R$29,60"
PEQUENO ATELIER CUPCAKES,"R$86,00","70,00%","R$25,80"
PEQUENO ATELIER DE MACARONS,"R$86,00","70,00%","R$25,80"
PEQUENOS ARRANJOS DO COTIDIANO,"R$169,00","70,00%","R$50,70"
"PERFIL DO PROFESSOR MEDIADOR, O","R$176,00","70,00%","R$52,80"
PERFIL E FORMACAO DO PROFESSOR DE EDUCACAO PROF.,"R$49,00","70,00%","R$14,70"
PERICIA CONTABIL,"R$56,00","60,00%","R$22,40"
PERICIA FINANCEIRA,"R$51,00","60,00%","R$20,40"
"PÉROLA, A - HISTÓRIA, CULTURA E MERCADO","R$128,00","70,00%","R$38,40"
PESQUISA DE MERCADO: FUNDAMENTOS TEÓRICO-METODOLÓGICOS APL,"CARD$O5S0 A,0 0EST","DO50S, D00E% PU","LICRID$2A5D,E0 0E D"
PITADAS DA RITA: RECEITAS E DICAS PRATICAS PARA DEIXAR O DIA A DIA,"AIRS$ S1A0B8O,0R0O","O50,00%","R$54,00"
PIZZA: RECEITAS DOS MELHORES PIZZAIOLOS DE NAPOLES,"R$177,00","60,00%","R$70,80"
PIZZA: UMA HISTORIA GLOBAL,"R$64,00","60,00%","R$25,60"
PLANEJAMENTO DE CENARIOS TRANSFORMADORES: TRABALHANDO JUNT,"S RP$A5R5A,0 M0U","AR6 O0, 0FU0%TUR","R$22,00"
"PLANEJAMENTO ESTRATEGICO PARTICIPATIVO: CONCEPCAO, IMPLEMENT","CARO$ 6E4 C,0O0NT","OL6E0 D,0E0 E%ST","ATERG$2IA5S,60"
PODER & AMOR: TEORIA E PRATICA DA MUDANÇA SOCIAL,"R$62,00","70,00%","R$18,60"
PODOLOGIA: TECNICAS E ESPECIALIZACOES PODOLOGICAS,"R$104,00","60,00%","R$41,60"
"POLIFONIA URBANA: ARQUITETURAS, URBANISMOS E MEDIAÇÕES","R$129,00","50,00%","R$64,50"
PONTO CHIC: UM BAR NA HISTORIA DE SAO PAULO,"R$69,00","70,00%","R$20,70"
POR DENTRO DA MODA,"R$82,00","70,00%","R$24,60"
PORTEIRO E VIGIA: PROFISSIONAIS DO MUNDO CONTEMPORÂNEO,"R$35,00","70,00%","R$10,50"
"POS-GRADUACAO E A EVOLUCAO DA PRODUCAO CIENTIFICA BRASILEIRA,","R$74,00","60,00%","R$29,60"
POWERPOINT 2016,"R$133,00","70,00%","R$39,90"
POWERPOINT 2019,"R$92,00","70,00%","R$27,60"
PRATICAS DE CONTABILIDADE GERENCIAL,"R$85,00","70,00%","R$25,50"
PRETO: HISTORIA DE UMA COR,"R$122,00","60,00%","R$48,80"
"PREVENCAO E CONTROLE DE RISCO EM MAQUINAS, EQUIPAM","R$173,00","70,00%","R$51,90"
PRIMEIROS SOCORROS COMO AGIR EM SITUACOES DE EMERGENCIA,"R$68,00","60,00%","R$27,20"
PRINCIPIOS BASICOS DO SANEAMENTO DO MEIO,"R$104,00","70,00%","R$31,20"
PRINCIPIOS E PRATICAS DE REVENUE MANAGEMENT: GERENCIAMENTO D,"DRE$M1A0N2,D0A0,","E R6E0C,0E0IT%A E","E RD$IS4T0R,8IB0UI"
PROCESSO DE CRIAÇÃO EM DESIGN GRÁFICO: PANDEMONIUM,"R$80,00","50,00%","R$40,00"
PRODUCAO GRAFICA: DO PROJETO AO PRODUTO,"R$52,00","60,00%","R$20,80"
"PROFESSOR INICIANTE NO ENSINO SUPERIOR: APRENDER, ATUAR E INOVA","R$69,00","60,00%","R$27,60"
PROFESSORAS NA COZINHA,"R$98,00","70,00%","R$29,40"
PROFISSAO MODELO - Em busca da fama,"R$97,00","70,00%","R$29,10"
PROFISSIONAIS DA SOLIDAO,"R$77,00","70,00%","R$23,10"
"PROFISSIONAL DA CONTABILIDADE, O: DESENVOLVIMENTO DE CARREIRA,","ERRC$E9P5C,0O0ES","SE7U0 ,P0A0P%EL","OCRIA$L28,50"
"PROFISSIONAL DE RECURSOS HUMANOS, O","R$58,00","50,00%","R$29,00"
"PROFISSIONAL DE RECURSOS HUMANOS, O","R$58,00","50,00%","R$29,00"
PROJECT 2019,"R$104,00","70,00%","R$31,20"
PROJETANDO COZINHAS: DO SONHO AO DESIGN,"R$60,00","50,00%","R$30,00"
PROJETANDO ESPACOS - AREAS COMERCIAIS,"R$108,00","50,00%","R$54,00"
PROJETANDO ESPACOS - AREAS RESIDENCIAIS,"R$108,00","50,00%","R$54,00"
PROJETANDO ESPACOS - DESIGN DE INTERIORES,"R$108,00","50,00%","R$54,00"
PROJETAR A NATUREZA: ARQUITETURA PAISAGISTICA DA ORIGEM A EPOC,"CRO$N1T7E9M,00PO","AN7E0A,00%","R$53,70"
PROJETO DA PRACA: CONVIVIO E EXCLUSAO NO ESPACO PUBLICO,"R$160,00","70,00%","R$48,00"
PROJETOS SOCIAIS EM PAUTA: UM ROTEIRO DE CONSTRUÇÃO COLETIVA,"R$50,00","50,00%","R$25,00"
PROPAGANDA RESPONSAVEL,"R$47,00","70,00%","R$14,10"
PROTESE TOTAL - MANUAL DE FASES CLINICAS E LABORATORIAIS,"R$100,00","60,00%","R$40,00"
"PUBLICIDADE, A MAQUINA DE DIVULGAR","R$69,00","70,00%","R$20,70"
PUDIM DE AVO,"R$107,00","70,00%","R$32,10"
QUALIDADE EM ESTABELECIMENTOS DE SAUDE,"R$105,00","70,00%","R$31,50"
QUALIDADE NA PRESTACAO DE SERVICOS: AGREGANDO VALOR AS ORGAN,"ZARC$O3E8S,00","60,00%","R$15,20"
"QUALIDADE NO CONSUMO DE VINHOS, A","R$72,00","70,00%","R$21,60"
QUANDO ELES DANCAM,"R$229,00","60,00%","R$91,60"
"QUE E DESIGN DE INTERIORES, O?","R$95,00","60,00%","R$38,00"
"QUE E UMA CIDADE CRIATIVA, O?","R$69,00","70,00%","R$20,70"
"QUEIJOS BRASILEIROS A MESA COM CACHACA, VINHO E CERVEJA","R$132,00","60,00%","R$52,80"
QUICHES,"R$45,00","50,00%","R$22,50"
QUINTESSÊNCIA: INTEGRANDO GESTÃO E GOVERNANÇA,"R$58,00","60,00%","R$23,20"
"RAINHAS DO RADIO, AS","R$79,00","70,00%","R$23,70"
RAIVA: QUEM NÃO TEM? GUIA DE GERENCIAMENTO DA RAIVA,"R$48,00","60,00%","R$19,20"
"RECEBA MAIS SIM E MENOS NAO: COMO ACOLHER O CLIENTE, VENDER M","IS RE$ A4T7I,N0G0IR","ME7T0A,S00%","R$14,10"
"RECEPÇÃO, ATENDIMENTO E TÉCNICAS SECRETARIAIS","R$48,00","50,00%","R$24,00"
"RECEPCIONISTA DE EVENTOS: O SER, O SABER, O FAZER","R$49,90","50,00%","R$24,95"
"REDACAO E EDICAO DE TEXTOS: PARA ENEM, VESTIBULARES, CONCURSOS","E CRO$T4ID9,I0A0NO","PRO70F,I0SS0I%ON","LR$14,70"
REDE DE COMPUTADORES: TEORIA E PRATICA,"R$48,00","50,00%","R$24,00"
"REFORMA ESSENCIAL 2, A: REFORMA TRIBUTARIA ESQUECAM A REFORMA","TRRIB$U5T9A,0R0IA","50,00%","R$29,50"
REFORMAR NAO E CONSTRUIR: A REABILITACOA DE EDIFICIOS VERTICAIS -,"ORV$A8S3 F,0O0R","AS 6D0E, 0M0%ORA","NRO$ 3SE3C,2U0LO"
REPERTORIO DE SABORES: COLETANEA DE RECEITAS DAS SEMANAS DE GA,"TRRO$N6O4,M90IA","EG5IO0N,0A0L% DO","SENR$A3C2,45"
"REVOLUCAO DAS SETE MULHERES, A: OS SETE PERFIS QUE REPRESENTAM","GRE$R7A2C,A00O 5","M6A0I,S0, 06%0 M","ISR Q$U28E, E8S0TA"
RISCO,"R$91,00","70,00%","R$27,30"
RISOTOS - 50 RECEITAS,"R$93,00","70,00%","R$27,90"
"RITA, HELP! ME ENSINA A COZINHAR","R$30,00","50,00%","R$15,00"
"ROBOTICA PARA USO EDUCACIONAL, A","R$60,00","60,00%","R$24,00"
ROTAS LITERARIAS DE SAO PAULO,"R$99,00","60,00%","R$39,60"
ROTEIROS TURÍSTICOS: É ASSIM QUE SE FAZ,"R$54,00","50,00%","R$27,00"
ROTINAS DE ESTOQUE E ALMOXARIFADO,"R$75,00","60,00%","R$30,00"
ROUPAS INTELIGENTES: COMBINANDO MODA E TECNOLOGIA,"R$65,00","60,00%","R$26,00"
RUMOS DA CRITICA,"R$62,00","70,00%","R$18,60"
"SABEDORIA DA QUALIDADE, A: OS DESAFIOS DOS FATORES","R$71,00","70,00%","R$21,30"
SABER CUIDAR : PROCEDIMENTOS BASICOS EM ENFERMAGEM,"R$160,00","60,00%","R$64,00"
"SABORES DA BORGONHA, OS","R$79,00","70,00%","R$23,70"
SABORES DO BRASIL EM PORTUGAL,"R$79,00","70,00%","R$23,70"
SALAS DE CINEMA E HISTORIA URBANA DE SAO PAULO (1895-1930): O CIN,"MRA$ 1D5O8S,0 E0N","EN7H0E,I0R0O%S","R$47,40"
SALGADOS - LADURRE,"R$152,00","60,00%","R$60,80"
SANDUICHES ESPECIAIS: RECEITAS CLASSICAS E CONTEMPORANEAS,"R$107,00","60,00%","R$42,80"
"SAO PAULO - SEGREGACAO, POBREZA E DESIGUALDADES SOCIAIS","R$87,00","70,00%","R$26,10"
SAO PAULO: SENTIDOS TERRITORIAIS E POLITICAS SOCIAIS,"R$58,00","70,00%","R$17,40"
SAO PAULO: UMA INTERPRETACAO,"R$74,00","70,00%","R$22,20"
SAQUE: A SEDA LIQUIDA,"R$49,00","70,00%","R$14,70"
SAUDE DA CRIANCA: GUIA PARA O CUIDADO INFANTIL DE 0 A 10 ANOS,"R$90,00","60,00%","R$36,00"
SAUDE E PREVENCAO DE DOENCAS: A RELACAO ENTRE INDIVIDUOS E CON,"ICRO$E4S6 S,0O0CI","AM6B0I,E0N0T%AIS","R$18,40"
SAÚDE E SEGURANÇA NO TRABALHO: DISPOSITIVOS SELECIONADOS PARA,"ORN$S1U5L0T,0A0","50,00%","R$75,00"
"SAUDE, CUIDADO E UMA DOSE DE OUSADIA","R$48,00","60,00%","R$19,20"
SE LIGA NESSA - CONVIVENCIA: VOCE E SUAS RELACOES SOCIAIS,"R$40,00","60,00%","R$16,00"
SE LIGA NESSA RELACIONAMENTO: VOCE SUAS RELACOES PESSOAIS,"R$40,00","60,00%","R$16,00"
SE LIGA NESSA TRABALHO: VOCE E SUAS RELACOES PROFISSIONAIS,"R$40,00","60,00%","R$16,00"
"SECRETARIA: ROTINA GERENCIAL, HABILIDADES COMPORTAMENTAIS E PL","NRO$ D1E1 6C,A0R0R","IRA70,00%","R$34,80"
"SEGREDOS DA MACROFOTOGRAFIA CRIATIVA, OS","R$58,00","60,00%","R$23,20"
SEGREDOS DE ALICE NO PAÍS DAS MARAVILHAS: UMA VIAGEM ATRAVÉS D,"CRO$R7P5O,0 F0E","INI5N0O,00%","R$37,50"
SEGREDOS DOS CHEFS 11 EDICAO: BRASIL SABOR BRASILIA,"R$49,90","50,00%","R$24,95"
SEGURANCA APLICADA AS INSTALACOES HOSPITALARES,"R$102,00","70,00%","R$30,60"
SEGURANCA NA MANIPULACAO DOS ALIMENTOS: MISSAO (SUPER) POSSI,"EL R$26,00","60,00%","R$10,40"
"SEMENTE DA VITORIA, A","R$84,00","60,00%","R$33,60"
SER MULTIMÍDIA: PROFISSÃO CRIATIVIDADE,"R$42,00","60,00%","R$16,80"
"SERTOES E OUTRAS LINHAS, OS","R$86,00","70,00%","R$25,80"
SERVICO MEMORAVEL EM ALIMENTOS E BEBIDAS - UM GUIA PARA MAITR,"S, RE$ S4U8P,0E0RVI","OR5E0S,0 D0E% BA","ESR E$ 2R4E,S0T0AU"
SERVIR BEM É UM BOM NEGÓCIO,"R$48,00","60,00%","R$19,20"
"SILENCIO DA DOENCA DE ALZHEIMER, O","R$56,00","50,00%","R$28,00"
SIMPLIFICANDO O BRASIL,"R$49,00","70,00%","R$14,70"
SINCRONICIDADE: O CAMINHO INTERIOR PARA A LIDERANCA,"R$102,00","70,00%","R$30,60"
"SISTEMAS DE GESTAO INTEGRADOS: QUALIDADE, MEIO AMBIENTE, RESPO","SRA$B1IL7I9D,A00DE","SOC6I0A,0L 0E% SE","URRA$N7C1A,6 E0 S"
"SLOW FOOD: BOM, LIMPO E JUSTO","R$62,00","60,00%","R$24,80"
SO PARA UM: ALIMENTACAO SAUDAVEL PARA QUEM MORA SOZINHO,"R$74,00","50,00%","R$37,00"
SOCIALHOLIC: TUDO O QUE VOCE PRECISA SABER SOBRE MARKETING NAS,"MIRD$IA8S9 ,S0O0CI","IS 70,00%","R$26,70"
SOCIOLOGIA DA CULTURA E DAS PRATICAS CULTURAIS,"R$54,00","60,00%","R$21,60"
SOCIOLOGIA DA MODA,"R$66,00","60,00%","R$26,40"
SOCIOLOGIA DA OBESIDADE,"R$98,00","60,00%","R$39,20"
SOCIOLOGIA DAS ARTES VISUAIS NO BRASIL,"R$74,00","70,00%","R$22,20"
SOJA: NUTRICAO E GASTRONOMIA,"R$79,00","60,00%","R$31,60"
SOLTANDO AS AMARRAS - EMAGREC. E MUDANCA COMPORT..,"R$39,00","60,00%","R$15,60"
"SOPA DE AVO: SOPAS E CREMES - 50 RECEITAS FACEIS, ECONOMICAS E CO","RG$O1S0T2O,0 D0E","NFA7N0,C0I0A%","R$30,60"
SORVETES ARTESANAIS: GELATOS E SORBETS,"R$100,00","60,00%","R$40,00"
SOU BARISTA,"R$54,00","50,00%","R$27,00"
"SOU COZINHEIRO: TECNICAS, TENDENCIAS E INFORMACOES PARA O APER","EICRO$A4M9,E0N0T","PR7O0F,0IS0S%ION","L R$14,70"
"SOU GARCOM: TECNICAS, TENDENCIAS E INFORMACOES PARA O APERFEI","OARM$E4N9,T0O0 P","OF6IS0S,I0O0N%AL","R$19,60"
SOU MERENDEIRA: ROTINAS PROFISSIONAIS DO AGENTE DE ALIMENTACA,"ESRC$O4L0A,0R0","60,00%","R$16,00"
SOU PRODUTOR DE EVENTOS - DIARIO DE BORDO PARA O APERFEICOAME,"TOR$ P6R8O,0F0ISS","ON6A0L,00%","R$27,20"
"SOU RECEPCIONISTA: TECNICAS, TENDENCIAS E INFORMACOES PARA O","R$52,00","70,00%","R$15,60"
STYLING E CRIACAO DE IMAGEM DE MODA,"R$93,00","60,00%","R$37,20"
SUPERVISOR DE VENDAS - DE EMPRESA FORNECEDORA DE PRODUTOS PA,"A SRU$P5E6R,0M0E","CAD5O0,S00%","R$28,00"
"SUSHIMAN MANUAL PRATICO ILUSTRADO, O","R$70,00","50,00%","R$35,00"
SUSTENTABILIDADE E EMANCIPACAO: A GESTAO DE PESSOAS NA ATUALID,"DER$52,00","60,00%","R$20,80"
SUSTENTABILIDADE NO SETOR FINANCEIRO,"R$53,00","70,00%","R$15,90"
SUSTENTABILIDADE: A LEGITIMACAO DE UM NOVO VALOR,"R$67,00","60,00%","R$26,80"
"TECIDOS: HISTORIA, TRAMAS, TIPOS E USOS","R$133,00","50,00%","R$66,50"
"TECNICAS DE ALISAMENTO: ANATOMIA, FISIOLOGIA E TRANSFORMACAO","APRIL$A2R8,90","50,00%","R$14,45"
TECNICAS DE APRESENTACAO PARA TCCS E TRABALHOS,"R$43,00","50,00%","R$21,50"
TECNICAS DE MODELAGEM FEMININA (CAPA DURA): CONSTRUCAO DE BA,"ES RE$ V7O7,L0U0M","S50,00%","R$38,50"
TECNICAS DE SEGURANCA EM CONDOMINIOS,"R$120,00","60,00%","R$48,00"
TECNOLOGIAS GERENCIAIS DE RESTAURANTES,"R$93,00","70,00%","R$27,90"
"TELEMARKETING: PERFIL PROFISSIONAL, APLICACOES E SERVICOS, PERSPE","TIVRA$S6 1D,O00 M","RCA60D,O00%","R$24,40"
TEMPESTADES DOS MEUS NETOS: MUDANCAS CLIMATICAS E AS CHANCES,"E RS$A7L7V,A0R0 A","HU7M0A,0N0I%DAD","R$23,10"
TEORIAS DAS RELACOES INTERNACIONAIS,"R$196,00","70,00%","R$58,80"
TERCEIRO SETOR - UM ESTUDO COMPARADO...,"R$77,00","70,00%","R$23,10"
TERRARIOS: PLANTANDO CRIATIVIDADE E COLHENDO ARTE,"R$81,00","50,00%","R$40,50"
"THEATRO MUNICIPAL DE SAO PAULO, O: HISTORIAS SURPREENDENTES E C","SORS$ 5IN5S,0O0LIT","S 70,00%","R$16,50"
TODOS OS CENTROS DA PAULICEIA,"R$71,00","70,00%","R$21,30"
TOPICOS DE ADMINISTRACAO APLICADA A SEGURANCA DO TRABALHO,"R$90,00","70,00%","R$27,00"
"TORTA DE AVO: 50 RECEITAS FACEIS, ECONOMICAS E COM GOSTO DE INF","NCRIA$!94,00","70,00%","R$28,20"
"TRABALHANDO COM CADASTRO, CREDITO E COBRANCA","R$64,00","70,00%","R$19,20"
TRABALHANDO COM O INIMIGO:COMO COLABORAR COM PESSOAS DAS,"UARIS$ V46O,C0E0 D","SCO6R0D,0A0,% NA","GRO$S1T8A, 4O0U"
"TRABALHO NO SUPERMERCADO, O: SETORES, FUNCOES E CARREIRA PROFI","SIRO$N6A1L,00","70,00%","R$18,30"
"TRABALHO TANTO, MEREÇO UM AGRADO: O PRAZER NO CONSUMO COMO CRO$M36P,E0N0SAÇÃO5 0A,O00 T%RABALHR$O18,00"
"TRANSGENICOS: SEMENTES DA DISCORDIA R$55,00 70,00% R$16,50"
"TRILHA DO JAGUAR NA ALVORADA DE BRASILIA, A R$98,00 50,00% R$49,00"
"TUDO O QUE VOCE PRECISA SABER PARA VENCER A CELULITE E FICAR DE BEMR C$O77M,0 O0 SEU C7O0R,0P0O% R$23,10"
"TUDO SOBRE REALIDADE VIRTUAL E FOTOGRAFIA 360o R$75,00 60,00% R$30,00"
"TURISMO DE EXPERIENCIA R$82,00 70,00% R$24,60"
"TURISMO E DIREITO: CONVERGENCIAS R$125,00 60,00% R$50,00"
"TURISMO E PATRIMONIO CULTURAL: INTERPRETACAO E QUAFICACAO R$86,00 70,00% R$25,80"
"TURISMO vol. 1 COMO APRENDER, COMO ENSINAR R$99,00 70,00% R$29,70"
"UMA HISTORIA DA BELEZA HUMANA R$86,00 70,00% R$25,80"
"UMA PONTE PARA A SOCIEDADE SUSTENTAVEL R$74,00 70,00% R$22,20"
"UNHAS: CUIDADOS, EMBELEZAMENTO, MERCADO DE TRABALHO R$85,00 60,00% R$34,00"
"USO DA TECNOLOGIA COSMETICA NO TRABALHO DO PROFISSIONAL CABELEIRE$I1R1O5,, 0O0 60,00% R$46,00"
"VALOR DA VIDA, O: 10 ANOS DA AGENCIA AIDS R$32,00 50,00% R$16,00"
"VALOR GLOBAL DO PRODUTO LOCAL, O - A IDENTIDADE TERRITORIAL COMO ERS$T4R0A,0T0ÉGIA D5E0 M,0A0R%KETINGR$20,00"
"VASCO DE MELLO ARQUITETO R$102,00 50,00% R$51,00"
"VENCEDORES POR DECISAO! POR QUE ALGUNS PROSPERAM E OUTROS NAO R$34,90 50,00% R$17,45"
"VENDAS B2B: COMO NEGOCIAR E VENDER EM MERCADOS COMPLEXOS E COMR$P6E9T,I0T0IVOS 60,00% R$27,60"
"VENDAS TECNICAS DE TRABALHO E MERCADO R$59,00 70,00% R$17,70"
"VENDENDO A AMIGOS R$91,00 70,00% R$27,30"
"VENDER NA INTERNET: POR ONDE COMECAR R$56,00 60,00% R$22,40"
"VIAGEM GASTRONOMICA ATRAVES DO BRASIL R$196,00 60,00% R$78,40"
"VIAGEM INCOMPLETA vol. 2 A GRANDE TRANSACAO R$120,00 70,00% R$36,00"
"VIAGENS DE NEGOCIOS: QUE NEGOCIO E ESSE? R$43,00 70,00% R$12,90"
"VIDEO DIGITAL: UMA INTRODUCAO R$100,00 70,00% R$30,00"
"VINHO COM DESIGN R$95,00 50,00% R$47,50"
"VINHO E SUAS CIRCUNSTANCIAS, O R$74,00 70,00% R$22,20"
"VINHOS VERSUS CERVEJA: UMA COMPARACAO HISTORICA, TECNOLOGICA E SRO$C8IA6L,00 70,00% R$25,80"
"VIRE A PAGINA: ESTRATEGIAS PARA RESOLVER CONFLITOS R$71,00 60,00% R$28,40"
"VIRTUDE DA GULA, A: PENSANDO A COZINHA BRASILEIRA R$84,00 70,00% R$25,20"
"VISAGISMO INTEGRADO: IDENTIDADE, ESTILO E BELEZA R$108,00 60,00% R$43,20"
"VISAGISMO: HARMONIA E ESTETICA R$108,00 60,00% R$43,20"
"VISOES DA CIDADE: A FORMA DO MUNDO ESPACIAL R$49,00 70,00% R$14,70"
"VITIMAS DA MODA? R$85,00 60,00% R$34,00"
"VITRINA - CONSTRUCAO DE ENCENACOES R$122,00 70,00% R$36,60"
"VITRINA: VEICULO DE COMUNICACAO E VENDA R$95,00 70,00% R$28,50"
"VIVA (E ENTENDA) A DIFERENÇA R$48,00 50,00% R$24,00"
"VOCABULARIO DO ACUCAR: HISTORIAS, CULTURA E GASTRONOMIA DA CANAR S$A4C4A,0R0INA NO7 B0,R0A0S%IL R$13,20"
"VOCE PODE TER UMA MEMORIA INCRÍVEL R$61,00 70,00% R$18,30"
"VOCE SABE ADMINISTRAR SEU TEMPO? R$70,00 70,00% R$21,00"
"VOCE SABE ATINGIR SEUS OBJETIVOS? R$70,00 70,00% R$21,00"
"VOCE SABE FAZER UMA BOA APRESENTACAO? R$70,00 70,00% R$21,00"
"VOCE SABE FAZER UMA BOA VENDA? R$70,00 70,00% R$21,00"
"VOCE SABE GERENCIAR PROJETOS? | CUMPRA SEUS PRAZOS FINAIS E ATINJA SRU$7A0S, 0M0ETAS 70,00% R$21,00"
"VOCE SABE MOTIVAR PESSOAS? R$70,00 70,00% R$21,00"
"VOCE SABE SE COMUNICAR? | APRENDA A TRANSMITIR UMA MENSAGEM E AR O$7U0V,I0R0 60,00% R$28,00"
"WALT DISNEY -- DE MARCELINE PARA O MUNDO: O PALCO DE SONHOS R$75,00 60,00% R$30,00"
"WHAT'S ON? APRENDA INGLES COM FILMES E SERIES R$64,00 70,00% R$19,20"
"WINDOWS 10 R$105,00 70,00% R$31,50"
"WINDOWS SERVER 2016 R$55,00 70,00% R$16,50"
WORD 2016,"R$138,00","70,00%","R$41,40"
WORD 2019,"R$109,00","70,00%","R$32,70"
"YES, NOS TEMOS BANANAS - HISTORIA E RECEITAS","R$91,00","70,00%","R$27,30"
ZONAS DE COLABORACAO: CONVERSAS DA METARRECICLAGEM,"R$38,00","70,00%","R$11,40"
