ISBN,DESCRIÇÃO,AUTOR,"PREÇODE CAPA","PREÇOCOMDESC.(50%)"
9788586590702,NIETZSCHE PENSADOR MEDITERRANEO,SCARLETT MARTON ORG.,R$,"69,00",R$,"34,50"
9786586618228,O FRACASSO DA DEMOCRACIA NO BRASIL,XICO GRAZIANO,R$,"69,00",R$,"34,50"
"",PLANEJAMENTO PATRIMONIAL E INVESTIMENTO,,,,,
9788584935734,,CAROLINA NINZOLLI SERIO,R$,"69,00",R$,"34,50"
"",EM IMÓVEIS,,,,,
9788586590795,"PRUDENCIA EM ARISTOTELES, A","AUBENQUE, PIERRE",R$,"69,00",R$,"34,50"
9788586590764,QUESTÕES DE FILOSOFIA CONTEMPORÂNEA,LUIZ DAMON SANTOS MOUTINHO,R$,"69,00",R$,"34,50"
9786587019215,RASTREÁVEL,RICARDO CAPPRA,R$,"69,00",R$,"34,50"
"",REVISAO CONTRATUAL E NEGOCIOS,,,,,
9788584934959,,PEDRO IVO GIL ZANETTI,R$,"69,00",R$,"34,50"
"",PROCESSUAIS,,,,,
"",SANCOES TRIBUTARIAS E OS PRINCIPIOS DA,,,,,
9788584936052,,MARIA DAS GRACAS PATROCINIO OLIVEIRA,R$,"69,00",R$,"34,50"
"",PROPORC..,,,,,
9786587017105,TERESA D AVILA,DEONÍSIO DA SILVA,R$,"69,00",R$,"34,50"
9786587017099,UM MINUTO,NEWTON CESAR,R$,"69,00",R$,"34,50"
9789899027480,VIAGEM PARA O MEDO,ERIC AMBLER,R$,"69,00",R$,"34,50"
9786586618419,A OESTE DO ÉDEN,MARTIN WILLE,R$,"69,90",R$,"34,95"
"",CONCEITO DE SERVICO E A CONST.,,,,,
9788563182616,,"CASQUET, PEDRO",R$,"70,00",R$,"35,00"
"","BRASILEIRA, O",,,,,
"",CONCENTRACAO POR AQUISICAO DE,,,,,
9788563182555,,"BERTINI, CYNTHIA",R$,"70,00",R$,"35,00"
"",CONTROLE,,,,,
9788584932122,CONFLITO DE INTERESSES NAS COMPANHIAS...,"VILELA, RENATO",R$,"70,00",R$,"35,00"
9788584931521,DANO MORAL COLETIVO,PAULO SERGIO UCHOA FAGUNDES FERRAZ,R$,"70,00",R$,"35,00"
"",ICMS E A TRIBUTACAO DO DOWNLOAD DE,,,,,
9788584932856,,"AMARAL, THIAGO ABIATAR LOPES",R$,"72,00",R$,"36,00"
"","SOFTWARES, O",,,,,
9788584932702,"OMBUDSMAN BANCARIO, O","CARDOSO, CESAR",R$,"72,00",R$,"36,00"
9788584934157,OS ACORDOS PARA A TROCA DE INF. FISCAIS,CAIO CESAR MORATO,R$,"72,00",R$,"36,00"
"",TRIBUTACAO DE SMART CARDS - O CONFLITO,,,,,
9788584934065,,"SANTOS, FELIPE GUERRA DOS",R$,"72,00",R$,"36,00"
"",DE COMPET..,,,,,
9788584931316,DO CONSÓRCIO,CARLOS HENRIQUE ABRÃO,R$,"73,00",R$,"36,50"
9788562937071,TECNOLOGIAS DA INFORMACAO E CO,LEANDRO ALVES DA SILVA,R$,"73,00",R$,"36,50"
9788584936175,DECISOES DO STF EM DIREITO A SAUDE,FERNANDO RISTER DE SOUSA LIMA,R$,"75,00",R$,"37,50"
"",NORMAS CONSTITUCIONAIS INCONST -,,,,,
9788563182005,,"BACHOF, OTTO",R$,"75,00",R$,"37,50"
"",9788563182005,,,,,
9788584934430,O CONSUMIDOR PERANTE O MERCADO,RAFAEL SOUZA VIANA,R$,"75,00",R$,"37,50"
9788584934447,O DIREITO AO ESQUECIMENTO NA INTERNET,ISABELLA Z. FRAJHOF,R$,"75,00",R$,"37,50"
9788563182166,TRANSPARENCIA DOS BANCOS,"BINNIE, RICARDO",R$,"75,00",R$,"37,50"
9789724413778,"IDEIA FENOMENOLOGIA, A","HUSSERL, EDMUND",R$,"75,47",R$,"37,74"
"",ESTUDOS APLIC. DE DIREITO EMPRES - LL.C. 3,,,,,
9788584934096,,PAMELA ROMEU ROQUE,R$,"76,00",R$,"38,00"
"",ED,,,,,
9788584930739,"ESBOCO DAS BIOGRAFIAS NO BRASIL, UM","LOPES, EDUARDO LASMAR PRADO",R$,"77,00",R$,"38,50"
"",ESTUDOS APLIC. DE DIREITO EMPRES - LL.C. 2,,,,,
