"LISTA DE LIVROS  - Festa Virtualdo Livroda USP 2021"
TÍTULO,PREÇO CAPA,"PREÇO COMDESCONTO"
Resista não faça nada: a batalha pela economia da atenção,"R$ 46,90","R$ 23,45"
"Revolução Das Mulheres, A","R$ 46,90","R$ 23,45"
Riscos Da Paixão,"R$ 39,90","R$ 13,97"
Roda-Roda - Meu Avião,"R$ 49,90","R$ 17,47"
Roda-Roda - Meu Carro De Bombeiro,"R$ 49,90","R$ 17,47"
Roda-Roda - Meu Trator,"R$ 49,90","R$ 17,47"
Roda-Roda - Minha Escavadeira,"R$ 49,90","R$ 17,47"
"Rosa E O Espinho, A","R$ 42,90","R$ 15,02"
Rosa em Lisboa (Coleção minimiki),"R$ 32,90","R$ 16,45"
Sábado,"R$ 54,90","R$ 27,45"
"Sabados São Como Um Grande Balão Vermelho, Os","R$ 44,90","R$ 22,45"
Sadie,"R$ 49,90","R$ 24,95"
Sadie Contra Os Zumbis,"R$ 42,90","R$ 15,02"
Saga Blackbird,"R$ 69,90","R$ 34,95"
Saga O Clã Das Freiras Assassinas,"R$ 119,90","R$ 59,95"
Sagitário: O Signo Determinado,"R$ 19,90","R$ 9,95"
Senhor Coruja e a Floresta,"R$ 59,90","R$ 29,95"
Senhora do Fogo,"R$ 59,90","R$ 29,95"
Ser Sua Amiga E Incrivel,"R$ 29,90","R$ 10,47"
"Sociedade Do Treze, A","R$ 36,90","R$ 12,92"
Sombria e Solitária Maldição,"R$ 59,90","R$ 29,95"
Sombria Queda De Elizabeth Frankenstein,"R$ 59,90","R$ 29,95"
Somos todos Greta,"R$ 44,90","R$ 22,45"
Sopa,"R$ 39,90","R$ 19,95"
"Sopa de Pedra Mole, A","R$ 54,90","R$ 27,45"
Sou Eu! (Brochura),"R$ 29,90","R$ 14,95"
"Sussurro das Ondas - (Jornada das águas, vol. 2)","R$ 54,90","R$ 27,45"
"Tá tudo uma merd* - Um diário da gratidão para quem já passou porpoucas e boas nessa vida","R$ 49,90","R$ 24,95"
Tão Insano Quanto Você,"R$ 54,90","R$ 27,45"
Te Amo,"R$ 29,90","R$ 14,95"
Te Amo Pra Sempre,"R$ 29,90","R$ 14,95"
Tem um leão na biblioteca!,"R$ 49,90","R$ 24,95"
Tesouro Do Meu Bebê: O Livro De Recordações (Laranja),"R$ 74,90","R$ 37,45"
Tesouros Do Nilo: Mandalas Do Egito Antigo,"R$ 44,90","R$ 15,72"
Tinha que Ser Você,"R$ 69,90","R$ 55,92"
Tio Flores: Uma História As Margens Do Rio São Francisco,"R$ 39,90","R$ 19,95"
Todo Mundo tem uma Primeira Vez,"R$ 44,90","R$ 22,45"
"Todos, Nenhum: Simplesmente Humano","R$ 44,90","R$ 22,45"
Tostão Furado,"R$ 49,90","R$ 39,92"
Touro: O Signo Apreciador,"R$ 19,90","R$ 9,95"
Trabalho de Buda,"R$ 42,90","R$ 21,45"
Tribunal das Sombras,"R$ 54,90","R$ 27,45"
Tudo Sobre meu Cachorrinho,"R$ 72,90","R$ 36,45"
Tudo Sobre Minha Bailarina,"R$ 72,90","R$ 36,45"
Tudo Sobre Minha Corujinha,"R$ 72,90","R$ 36,45"
Tudo Sobre Minha Pequena Sereia,"R$ 72,90","R$ 36,45"
Tumba dos Antigos,"R$ 54,90","R$ 27,45"
"Última Criatura Humana, A","R$ 46,90","R$ 23,45"
"Ultima Fase, A","R$ 44,90","R$ 15,72"
"Ultimo Dos Magos, O","R$ 64,90","R$ 32,45"
Um Belo Lugar,"R$ 44,90","R$ 22,45"
"Uma Gloriosa Liberdade: Mulheres Maduras,Vidas Extraordinárias","R$ 89,90","R$ 44,95"
Vale A Pena Lutar,"R$ 44,90","R$ 15,72"
Valores De Ouro,"R$ 59,90","R$ 29,95"
Vamos Pintar Mandalas ?,"R$ 49,90","R$ 17,47"
"Vestidos das Danças do Mundo, Os","R$ 49,90","R$ 24,95"
"Vestidos das Noivas do Mundo, Os","R$ 49,90","R$ 24,95"
"Vestidos De Akiko, Os","R$ 49,90","R$ 24,95"
"Vestidos De Amy, Os","R$ 49,90","R$ 24,95"
"Vestidos De Anouk, Os","R$ 49,90","R$ 24,95"
"Vestidos De Aponi, Os","R$ 49,90","R$ 24,95"
"Vestidos De Ashna, Os","R$ 49,90","R$ 24,95"
"Vestidos De Emma, Os","R$ 49,90","R$ 24,95"
"Vestidos De Ines, Os","R$ 49,90","R$ 24,95"
"Vestidos De Kate, Os","R$ 49,90","R$ 24,95"
"Vestidos De Lena, Os","R$ 49,90","R$ 24,95"
"Vestidos De Louna, Os","R$ 49,90","R$ 24,95"
"Vestidos De Mohea, Os","R$ 49,90","R$ 24,95"
"Vestidos Do Mundo, Os","R$ 49,90","R$ 24,95"
"Viagem, A","R$ 44,90","R$ 22,45"
Vida De... Piratas,"R$ 36,90","R$ 18,45"
Vida De... Sereias,"R$ 36,90","R$ 18,45"
Virgem: O Signo Otimista,"R$ 19,90","R$ 9,95"
Visão Falsa,"R$ 42,90","R$ 15,02"
Voce É Irresistivel,"R$ 29,90","R$ 14,95"
Você Me Da Sorte,"R$ 29,90","R$ 14,95"
"Você, Meu Presente De Natal","R$ 29,90","R$ 14,95"
Voltar para Mim,"R$ 69,90","R$ 34,95"
Vovô Mandela,"R$ 52,90","R$ 26,45"
Vovó não sabe mais nada,"R$ 49,90","R$ 24,95"
Vozes Da Saudade,"R$ 34,90","R$ 17,45"
World Of Warcraft: O Viajante,"R$ 46,90","R$ 16,42"
Nosso Lugar entre Cometas,"R$ 54,90","R$ 43,92"
