ISBN,PRODUTO,AUTOR,PREÇO,"PREÇOUSP"
"",VEIGA,,,
"","MODA, GLOBALIZACAO E",,,
9788560166480,"AVELAR, SUZANA",,"46,00",23
"",NOVAS,,,
"","BOARIM, DANIEL S. F. ;",,,
"",NAO CONTEM GLUTEN NEM,,,
9788577562459,"NIZER , CAROLINA DA",,"89,90","44,95"
"",LACTOSE: LAPINHA SPA - SUAS,,,
"",SILVA,,,
"",NAO HARA: CULINARIA,,,
9788577560462,"JAPONESA, SABORES BARBARA, DANUSIA",,"91,00","45,5"
"",TROPICAIS,,,
"","OPTICA PASSO A PASSO: DO MACHADO, JOSE",,,
9788577564569,,,"76,00",38
"",ATENDIMENTO AO LABORATORI HAMILTON,,,
9788587864864,OS PARALAMAS DO SUCESSO SENAC RIO,,"116,00",58
"",PASSO A PASSO DA,,,
9788577563623,"DEGUSTACAO, O: UM GUIA ALZER, CELIO",,"55,00","27,5"
"",PRATICO PA,,,
"","PROPOSTAS CONCEITUAIS OLIVEIRA, IVONE DE",,,
9788578081201,"PARA A COMUNICACAO NO LOURDES; LIMA, FABIA",,"36,90","18,45"
"",CONTEX PEREIRA,,,
"","PSICOLOGIA DOS SERVICOS EM SILVA, FERNANDO",,,
9788522116164,,,"59,90","29,95"
"","TURISMO E HOTELARIA, A BRASIL DA",,,
"",RELACOES PUBLICAS: A,,,
9788578081157,"CONSTRUCAO DA NASSAR, PAULO",,"44,00",22
"",RESPONSABILIDAD,,,
"","YANAZE, MITSURO H. /",,,
"",RETORNO DE INVESTIMENTOS,,,
9788578081416,"FREIRE, OTAVIO /",,"89,00","44,5"
"",EM COMUNICACAO: AVALIACAO,,,
"","SENISE, DIEG",,,
"",SABOREANDO MUDANCAS - O,,,
"","CORONA, JANE;",,,
9788587864420,PODER TERAPEUTICO DOS,,"77,00","38,5"
"","QUARESMA, FLAVIA",,,
"",ALIM,,,
9788587864321,"SATYRICON - O MAR A MESA BARBARA, DANUSIA",,"111,00","55,5"
"","MACHADO, ANA LUCIA /",,,
"",SAUDE MENTAL: CUIDADO E,,,
9788578081218,"COLVEIRO, LUCIANA DE",,"59,00","29,5"
"",SUBJETIVIDADE - VOLUME 2,,,
"",ALMEIDA,,,
"",ASSOCIATION DE LA,,,
"","SOMMELIER, PROFISSAO DO",,,
9788577560448,SOMMELLERIE,,"55,00","27,5"
"",FUTURO,,,
"",INTERNATIO,,,
9788587864673,"TOMATE - EDICAO COMPACTA BARBARA, DANUSIA",,"35,00","17,5"
"","TOMOGRAFIA MOURAO, ARNALDO",,,
9788578081836,,,"74,00",37
"",COMPUTADORIZADA PRATA,,,
"",UM MENU DE AVENTURAS:,,,
9788577560400,"COMO ME TORNEI EXPERT NA DAMROSCH, PHOEBE",,"45,00","22,5"
"",ART,,,
"",VER E COMPREENDER - DESIGN,,,
9788577560738,"LEITE, RICARDO",,"178,00",89
"",COMO FERRAMENTA ESTRATE,,,
