"",,,Preço com
TÍTULO ISBN,,Preço de capa,desconto
Que será que a bruxa está lavando? (O)  com braile,9788535641165,"29,00","14,50"
"Quem ouvir e contar, pedra há de se tornar",9788535634440,"12,80","6,40"
Quem pegou o pão da casa do João?,9788535645644,"23,50","11,75"
Quem você trouxe?,9788535645279,"31,80","15,90"
Quicão,9788535645101,"26,50","13,25"
Quintal de São Francisco (O),9788535612585,"32,30","16,15"
Rainha e o vento (A),9788535605792,"15,50","7,75"
Raposa (A),9788535630510,"8,00","4,00"
Reconto que passa,9788535641936,"46,30","23,15"
Reino das borboletas brancas (O),9788535635263,"12,80","6,40"
Reizinho comilão (O),9788535637120,"34,50","17,25"
Reizinhos de Congo (Os),9788535613193,"21,50","10,75"
Retratos narrados,9788535628005,"37,30","18,65"
Rimandinho,9788535628999,"21,50","10,75"
Roberto,9786558080527,"27,00","13,50"
Romeu e Julieta,9788535622850,"45,00","22,50"
Rosalva mãos de fada,9788535632330,"30,00","15,00"
Rua Luanda,9788535634648,"30,00","15,00"
Sabe como ele fala?,9788535638653,"25,30","12,65"
Sangue de barata,9788535632781,"19,50","9,75"
Sapatinho de cristal,9788535630084,"13,20","6,60"
Sapatos trocados,9788535637182,"26,20","13,10"
Sapo e o poço (O),9788535627459,"23,00","11,50"
Scherazade,9788535641240,"45,40","22,70"
Seca,9788535605662,"16,80","8,40"
Senhor do Tempo (O),9788535625721,"23,50","11,75"
Sertão,9788535641332,"39,90","19,95"
Seu lugar (O),9788535634150,"25,00","12,50"
Seu lugar (O)  com braile,9788535630732,"25,00","12,50"
Sítio do Tio Chico (O),9788535634396,"10,00","5,00"
Sonhos sorteados,9788535637199,"23,50","11,75"
"Sua majestade, o elefante",9788535617269,"25,80","12,90"
Tabuleiro da baiana,9788535638721,"29,90","14,95"
Tamanho não é documento,9788535621051,"15,00","7,50"
Telefone de latas (O),9788535631814,"23,00","11,50"
Tem obaoba no baobá,9788535641592,"30,20","15,10"
Tempo da vovó (O),9788535621709,"10,00","5,00"
Tempo perguntou pro tempo (O),8535610634,"24,80","12,40"
Tininha Cereja,9788535624533,"24,50","12,25"
Tombolo do lombo,9788535641325,"38,50","19,25"
"Trem chegou, trem já vai",9788535610369,"33,90","16,95"
Três contos africanos de adivinhação,9788535644258,"24,50","12,25"
Três porquinhos (Os)  4a. edição,9788535645798,"23,50","11,75"
Tudo vira outra história,9788535632378,"19,20","9,60"
Turma do utilixo,9788535630497,"21,50","10,75"
Ulomma: a casa da beleza e outros contos,9788535629880,"33,90","16,95"
Um anjo por amigo,9788535606966,"12,30","6,15"
Um irmãozinho especial,9788535645873,"16,80","8,40"
Um mundo melhor,9788535634419,"24,50","12,25"
Um reino todo quadrado,9788535638424,"26,20","13,10"
"Um, dois, bolinho de arroz",9788535632248,"21,20","10,60"
Uma carta para Deus (de um menino curioso),9788535634297,"25,00","12,50"
Uma história de bichos,9788535641363,"18,00","9,00"
Uma história sem pé nem cabeça,9788535617047,"25,80","12,90"
Uma joaninha diferente,9788535631609,"15,00","7,50"
Uma noite para João e outros poemas,9788535642926,"35,80","17,90"
Uma roupa muito especial,9788535624670,"13,20","6,60"
Uma traça sem graça,9788535637984,"22,10","11,05"
Uma trança dourada,9788535633641,"13,20","6,60"
"Uraguai, (O)",9788535628159,"28,00","14,00"
Vamos pintar e brincar?,9788535619515,"15,00","7,50"
Verdade e mentira,9788535633757,"21,50","10,75"
Viagem da sementinha (A),9788535634013,"18,00","9,00"
Viralata Filé (O),9788535612813,"38,50","19,25"
Você viu?,9788535634242,"26,50","13,25"
Volta do bicho poesia (A),9788535610390,"20,70","10,35"
Vovó,9788535617658,"25,90","12,95"
Vôvó,9788535638738,"29,50","14,75"
Vovó  com braile,9788535632569,"25,00","12,50"
XXII !!! 22 brincadeiras de linhas e letras,9788535610376,"14,80","7,40"
Yara  Iara,9788535634372,"48,00","24,00"
Zeca Catatrecos,9788535634860,"25,10","12,55"
Zeca Catatrecos e o mapa do tesouro,9788535630978,"21,50","10,75"
Amar,9786599414428,"28,50","14,25"
Caixa (A),9786599414435,"28,80","14,40"
Divino livro proibido (O),9786599414411,"21,50","10,75"
Livro das palavras grandes e dos desenhos pequenos (O),9786599414404,"29,20","14,60"
Contos de Hans Christian Andersen,9788535627251,"115,50","57,75"
"",9788535639377,"89,20","44,60"
Contos de fadas dos Irmãos Grimm,9786558080749,"127,50","63,75"
Chave e além da chave (A),9788535636789,"16,50","8,25"
Crônicas de Natal,9788535636093,"31,80","15,90"
Entre as sombras e a luz,9788535642148,"79,50","39,75"
Entre o véu e a minissaia,9788535638363,"22,50","11,25"
Estou estressada!,9788535633405,"26,20","13,10"
Meu irmão corre atrás dos dinossauros,9788535645521,"31,80","15,90"
Pétala (A),9788535636413,"28,50","14,25"
Só as magras e jovens são felizes,9788535634549,"19,50","9,75"
Uma única conta do Rosário,9788535644210,"31,40","15,70"
Amigos de Jesus (Os),9788535633702,"12,00","6,00"
Bate o sino pequenino,9788535630114,"28,50","14,25"
Clara de Assis,9788535636604,"12,00","6,00"
Coleção Parábolas (8 títulos),9788535628104,"51,80","25,90"
Era uma vez...um fio,9788535637809,"26,20","13,10"
Ester  A história bíblica em quadrinhos,9788535636581,"22,10","11,05"
Filho de Maria (O),9788535638660,"15,50","7,75"
Francisco  O caminho das flores,9788535642001,"23,80","11,90"
Francisco e os animais,9788535635010,"10,30","5,15"
História da ovelha desgarrada,9788535621174,"12,00","6,00"
História do Bom Samaritano (A),9788535622522,"12,00","6,00"
História do filho pródigo (A),9788535623543,"12,00","6,00"
História do Menino Jesus (A),9788535619737,"12,00","6,00"
História do Natal (A),9788535632118,"18,50","9,25"
Jonas  A história bíblica em quadrinhos,9788535636161,"20,90","10,45"
Jonas e o peixe muito grande,9788535642834,"12,50","6,25"
Jovens da Bíblia e suas incríveis histórias (Os),9788535606010,"30,50","15,25"
Mais belas orações (As),853560426X,"21,90","10,95"
Menina que cuidava dos pobres (A),9788535646108,"23,50","11,75"
Moisés: A história bíblica em quadrinhos,9788535640502,"22,10","11,05"
Naquela noite de Natal,9788535625653,"40,00","20,00"
Pai Nosso,9788535619959,"12,00","6,00"
Papa para pequenos e grandes (O),9788535636901,"28,40","14,20"
Parábola da moeda perdida (A),9788535629521,"7,50","3,75"
Parábola da ovelhinha perdida (A),9788535628722,"7,50","3,75"
Parábola do bom samaritano (A),9788535629149,"7,50","3,75"
Parábola do fariseu e do publicano (A),9788535630312,"7,50","3,75"
Parábola do filho pródigo (A),9788535629132,"7,50","3,75"
Parábola do grãozinho de mostarda (A),9788535629156,"7,50","3,75"
Parábola do semeador (A),9788535629125,"7,50","3,75"
Parábola dos talentos (A),9788535629590,"7,50","3,75"
Paulo: o amigo de Jesus Cristo,9788535642933,"21,50","10,75"
"Perdão, um presente maravilhoso (O)",9788535643398,"15,50","7,75"
Presépio (O),9788535633498,"35,00","17,50"
Salmos dos pequeninos,9788535623680,"15,00","7,50"
Terço rezado por crianças (O),9788535626834,"12,00","6,00"
Um passeio pela Lapinha,9788535628814,"15,00","7,50"
Vida de Jesus para crianças,9788535630329,"20,20","10,10"
Alegria de ser mestre (A),9788535619720,"42,50","21,25"
Antibullying,978.85.356.28050,"48,00","24,00"
Assédio na escola,9788535628838,"15,00","7,50"
