Título,Autor,"Preço decapa","Preço comdesconto"
"CIÊNCIA, CIVILIZAÇÃO E REPÚBLICA NOS TRÓPICOS","Alda Heizer e Antonio Augusto Passos Videira, orgs","R$78,00","39,00"
"CAMPO EM DEBATE, O",María Verónica Secreto et alii,"R$62,69","31,35"
COMUNICAÇÃO E HISTÓRIA,Ana Paula Goulart e Micael Herschmann,"R$64,22","32,11"
"HOMEM ALEM DO HOMEM, O",Beatriz Breves,"R$31,90","15,95"
"USO POLITICO DAS FORCAS ARMADAS, O",João Rodrigues Arruda,"R$45,30","22,65"
"INQUISIÇÃO EM MINAS GERAIS, A",Neusa Fernandes,"R$65,76","32,88"
"BENEFICIO DAS CRISES, O",Paulo C. Moura,"R$41,50","20,75"
UNIVERSIDADE DISCUTE A ESCRAVIDÃO CONTEMPORANEA,"Ricardo Rezende Figueira, et alii","R$89,00","44,50"
"CIDADES QUADRADAS, PARAÍSOS CIRCULARES",Verena Andreatta,"R$115,00","57,50"
DOS QUARTEIS A ESPIONAGEM,José Argolo e Luiz Alberto Fortunato,"R$59,62","29,81"
IMPRESSO OU ELETRONICO? UM TRAJETO DE LEITURA,Nízia Villaça,"R$40,70","20,35"
MEIO AMBIENTE,"Fatima Branquinho, Israel Felzenszwalb Orgs.","R$53,80","26,90"
DOZE CAPITULOS SOBRE ESCRAVIZAR GENTE E GOVERNAR,"Roberto Guedes, Denise Demétrio, Ítalo Santirocchi","R$71,54","35,77"
"PHOINIX, N.11 (2005)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
PORTUGUESES E CIDADÃOS,"Gladys Sabina Ribeiro,Paulo Terra,Fabiane Popinigi","R$59,90","29,95"
PODER E TRABALHO,Fábio de Souza Lessa,"R$65,18","32,59"
RESULTADO POSITIVO,Ana Lucia Ricon,"R$47,33","23,67"
GOVERNANÇA CORPORATIVA EM SAUDE,"Josier Marques Vilar, organizador","R$49,90","24,95"
"PHOINIX, N.9 (2003)","Neyde Theml e Regina Bustamente, organizadoras","R$29,90","14,95"
ENTUSIASMO PARA VIVER,Gerson Simões Monteiro,"R$27,36","13,68"
QUE POETA É ESTE? OU A POÉTICA DA MESCLA EM...,Leonor da Costa Santos,"R$42,72","21,36"
TOFU E MAIS DELICIAS DE SOJA,Flor Alves Marques,"R$14,90","7,45"
COLEGIO PEDRO II - POLO CULTURAL DA CIDADE DO RJ,Beatriz Boclin e Vera Cabana,"R$50,00","25,00"
ORIENTAÇÕES PARA A ESCRITA ACADÊMICA,"Sebastião Josué Votre, Rosana da Silva Berg","R$40,00","20,00"
VIOLÊNCIA NA HISTÓRIA,Regina Bustamante e José Francisco Moura,"R$68,64","34,32"
TROCANDO SEIS POR MEIA DÚZIA,"Carlos Estellita-Lins, organizador","R$42,72","21,36"
"FEMININO EM ATENAS,O",Fabio de Souza Lessa,"R$52,90","26,45"
PARTIDO POLÍTICO OU BODE EXPIATÓRIO-ARENA,Lucia Grinberg,"R$69,30","34,65"
SALMOS PARA O ESPIRÍTO,Jonas Rezende,"R$26,00","13,00"
"MESA COM A FAMILIA, À",Leticia Casotti,"R$43,90","21,95"
YOGA - HARMONIA E PROSPERIDADE,Fatima Miranda,"R$28,40","14,20"
PANELA DE BARRO PRETA,Carla Dias,"R$41,10","20,55"
RURALIDADES CONTEMPORÂNEAS: MODOS DE VIVER E ...,"Maria José Carneiro, organizadora","R$66,00","33,00"
COMUNIDADES AUDIOVISUAIS,Lilian Saback,"R$58,00","29,00"
REVISTAS ILUSTRADAS: MODOS DE LER E VER NO...,"Paulo Knauss, et alii","R$54,00","27,00"
JORNALISTAS,"Vitor Sznejder, organizador","R$33,30","16,65"
REINVENÇÕES DA RESISTÊNCIA JUVENIL,João Freire Filho,"R$46,70","23,35"
"RETORNO DA COMUNIDADE, O","Raquel Paiva, organizadora","R$51,00","25,50"
CORINTHIANS X PALMEIRAS UMA HIST.,Antonio Carlos Napoleão,"R$36,58","18,29"
JORNALISMO E RELACOES PUBLICAS,"Boanerges Lopes, Roberto Fonseca Vieira","R$51,00","25,50"
"NOVAS FRONTEIRAS, AS",Angela da Rocha,"R$56,60","28,30"
HISTÓRIA POLÍTICA DAS CIÊNCIAS DA COMUNICAÇÃO,José Marques de Melo,"R$55,00","27,50"
"NATUREZA, CIÊNCIA, ESTÉTICA EM VON HUMBOLDT",Lucia Ricotta Vilela Pinto,"R$54,00","27,00"
MEMORIAS DE ALEGRIA,Joel Silveira,"R$52,40","26,20"
MUNDO RURAL E CULTURA,Roberto José Moreira et alii,"R$72,67","36,34"
MULHERES DO TATAME: O JUDÔ FEMININO NO BRASIL,Ludmila Nunes Mourão e Gabriela Conceição de Souza,"R$36,80","18,40"
ETICA NA COMUNICACAO,Ester Kosovski,"R$49,60","24,80"
LINGUISTICA CENTRADA NO USO,"Maria Maura Cezario, Maria Angélica Furtado, orgs.","R$48,86","24,43"
95 A TUA ESTRELA BRILHA,CLAUDIO PORTELLA; RAFAEL CASÉ,"R$54,00","27,00"
MEMÓRIA E FESTA,"Fábio de Souza Lessa e Regina Bustamante, Orgs.","R$89,00","44,50"
MINHA LIÇÃO DE ANATOMIA (E A DOS OUTROS),Inacia D'Avila,"R$43,60","21,80"
CIDADES EM MUDANÇA,"Renata de Sá Gonçalves e Lígia Ferro, Orgs.","R$58,00","29,00"
"DESAFIO DOS MERCADOS EXTERNOS,O VOLUME I","Carlos A. Hemais, organizador","R$64,99","32,50"
ESTUDOS EM NEGÓCIOS II,"Ursula Wetzel e Patricia A. Tomei, organizadoras","R$68,06","34,03"
"PHOINIX, N.12 (2006)","Laboratório de História Antiga, UFRJ","R$29,90","14,95"
EU SOU UMA PESSOA DE TREMENDO SUCESSO,Silvana Andrade,"R$59,62","29,81"
EUCLYDES DA CUNHA E A NAÇÃO BRASILEIRA,Euclides Penedo Borges,"R$43,90","21,95"
"COMUNICAÇÃO, TECNOLOGIA E IDENTIDADE",Iluska Coutinho e Potiguara Mendes da Silveira Jr,"R$53,80","26,90"
REVISTA BRASILEIRA DE HISTÓRIA DA CIÊNCIA,Antonio Carlos Robert Moraes,"R$29,00","14,50"
TRANSFORMANDO PROBLEMAS EM FELICICIDADE,Lama Zopa Rinpoche,"R$32,20","16,10"
POR QUE COMEMOS O QUE COMEMOS?,Fernando Zucoloto,"R$33,30","16,65"
INSTITUIÇÕES EDUCACIONAIS DA CIDADE DO RJ,"Sonia de Castro Lopes, Miriam Waidenfeld","R$64,00","32,00"
POLITICA:PALAVRA FEMININA,Raquel Paiva,"R$58,08","29,04"
