ISBN,TÍTULO,EDITORA,ASSUNTO,AUTOR,"PREÇO DECAPA","PREÇO NAFEIRA (50%)",LINK
9788539308040,,Editora Unesp,,"MAIRA, LUIS","R$ 98,00","R$ 49,00",estudo-sobre-os-Estados-Unidos-MAIRA-LUIS-EDITORA-
"",Estados Unidos,,Internacionais,,,,
"",,,,,,,UNESP/p
"",,,,"CORREA, PAULA DA",,,https://www.livrariaunesp.com.br/Armas-e-varoes-2a-
9788571399112,Armas e varões - 2a edição,Editora Unesp,Artes,,"R$ 66,00","R$ 33,00",
"",,,,CUNHA,,,edicao-CORREA-PAULA-DA-CUNHA-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/arquitetos-da-ordem-
9788571396517,"arquitetos da ordem anárquica, Os",Editora Unesp,,"PIOZZI, PATRIZIA","R$ 60,00","R$ 30,00",
"",,,Internacionais,,,,anarquica-Os-PIOZZI-PATRIZIA-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Arquitetura-e-
"",Arquitetura e urbanismo no Vale do,,,,,,
9788539305469,,Editora Unesp,Arquitetura e Urbanismo,"TIRAPELI, PERCIVAL","R$ 138,00","R$ 69,00",urbanismo-no-Vale-do-Paraiba-TIRAPELI-PERCIVAL-
"",Paraíba,,,,,,
"",,,,,,,EDITORA-UNESP/p
"",,,,"BORCH-JACOBSEN,",,,https://www.livrariaunesp.com.br/arquivos-Freud-Os-
9788539305032,"arquivos Freud, Os",Editora Unesp,Psicologia e Psicanálise,,"R$ 69,00","R$ 34,50",
"",,,,MIKKEL,,,BORCH-JACOBSEN-MIKKEL-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-da-cozinha-
9788539302215,Arte da cozinha brasileira,Editora Unesp,Culinária e Gastronomia,"BELLUZZO, ROSA","R$ 86,00","R$ 43,00",
"",,,,,,,brasileira-BELLUZZO-ROSA-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/arte-de-pagar-suas-
"",,,,"SAINT-HILAIRE, EMILE",,,
9788539301270,"arte de pagar suas dívidas, A",Editora Unesp,"Literatura, Ficção e Romance",,"R$ 44,00","R$ 22,00",dividas-A-SAINT-HILAIRE-EMILE-MARCO-DE-EDITORA-
"",,,,MARCO DE,,,
"",,,,,,,UNESP/p
"",,,,"CAMANDULA, D.",,,https://www.livrariaunesp.com.br/arte-de-roubar-A-
9788539303694,"arte de roubar, A",Editora Unesp,Sociologia,,"R$ 46,00","R$ 23,00",
"",,,,DIMAS,,,CAMANDULA-D-DIMAS-EDITORA-UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-e-vida-no-seculo-
9788571394896,Arte e vida no século XXI,Editora Unesp,Artes,"DOMINGUES, DIANA","R$ 78,00","R$ 39,00",
"",,,,,,,XXI-DOMINGUES-DIANA-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/arte-no-seculo-XXI-A-
9788571391604,"arte no século XXI, A",Editora Unesp,Artes,"DOMINGUES, DIANA","R$ 78,00","R$ 39,00",
"",,,,,,,DOMINGUES-DIANA-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-sacra-colonial-–-2a-
9798571396349,Arte sacra colonial – 2a edição,Editora Unesp,Artes,"TIRAPELI, PERCIVAL","R$ 200,00","R$ 100,00",
"",,,,,,,edicao-TIRAPELI-PERCIVAL-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-virtual-GRAU-
9788571397392,Arte virtual,Editora Unesp,Artes,"GRAU, OLIVER","R$ 122,00","R$ 61,00",
"",,,,,,,OLIVER-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-ciencia-e-
