EAN / ISBN,Peso (g),Título,Autor,Categoria Principal,50%,Capa
9788576361060,260,"DONDE ESTAS,CORAZON",HELOISA VALENTE,MUSICA,"R$25,00","50,00"
9788576360858,220,DORES E ODORES,CRISTIANE ABUD,PSICANALISE,"R$19,00","38,00"
9788576360346,460,EBAL. FABRICA DE QUADRINHOS,EZEQUIEL DE AZEVEDO,SOBRE HQ,"R$31,00","62,00"
9788576360483,260,EM BUSCA DE UM LUGAR,ALESSANDRA MONACHESI RIBEIRO,PSICANALISE,"R$21,00","42,00"
9788576360063,240,ENSAIOS FREUDIANOS EM TORNO DA PSICOSSEXUALI,MADAERIA LUCIA VIEIRA VIOLANTE,PSICANALISE,"R$22,00","44,00"
9788586932236,230,ENTRE MOISES E FREUD,DANIEL DELOUYA,PSICANALISE,"R$18,00","36,00"
9788576360377,260,"FIGURAS DO PODER, AS",EUGENE ENRIQUEZ,SOCIOLOGIA,"R$42,00","84,00"
9788586932533,210,FORMAS DO VAZIO,CARMEM DA POIAN,PSICANALISE,"R$16,50","33,00"
9788586932441,375,FRONT7 - MUY VIEJO TO COMIX,FRONTBRAZA,HQ,"R$20,00","40,00"
9788586932519,340,FRONT8 - SOLO LA VERDAD ES SEXY,FRONTBRAZA,HQ,"R$19,50","39,00"
9788586932571,336,FRONT9 - A MARE,FRONTBRAZA,HQ,"R$20,00","40,00"
9788586932717,360,FRONT 10 - YO NO CREO EN LOS OTROS,FRONTBRAZA,HQ,"R$19,50","39,00"
9788586932786,275,FRONT 11 - VIOLENCIA,FRONTBRAZA,HQ,"R$17,50","35,00"
9771677886129,340,FRONT 12 - TRABALHO,FRONTBRAZA,HQ,"R$19,00","38,00"
9771677886068,360,FRONT 13 - FEMININO,FRONTBRAZA,HQ,"R$17,00","34,00"
9771677886099,341,FRONT 14 - HISTORIAS DE INFANCIA,FRONTBRAZA,HQ,"R$18,00","36,00"
9771677886068,250,FRONT 15 - ...TUDO EM VOLTA SENTE MEDO,FRONTBRAZA,HQ,"R$17,50","35,00"
9771677886068,260,FRONT 16 - MORTE,VARIOS,HQ,"R$17,50","35,00"
9771677886068,270,FRONT 17 - INVISIBILIDADE,FRONTBRAZA,HQ,"R$18,50","37,00"
9771677886068,256,FRONT 18 - ODIO,FRONTBRAZA,HQ,"R$15,50","31,00"
9771677886006,230,FRONT 19 - SONHO,FRONTBRAZA,HQ,"R$15,50","31,00"
9788576361206,310,FRONT 15 ANOS: UMA HISTORIA,FRONTBRAZA,HQ,"R$21,00","42,00"
