Título,Autor,ISBN,Preço de capa,Preço com desconto
FRANCO MONTORO  - Col. Sapientia,Lafayette Pozzoli,9788528305890,"R$ 20,00","R$ 10,00"
FREI GORGULHO - Col. Sapientia,Maria Luiza Guedes,9788528305470,"R$ 20,00","R$ 10,00"
"GERALDO ATALIBA - O homem, o reitor, o mestre de vida","Autor do texto: Roque Antonio Carrazza, Entrevistadora e pesquisadora: Roberta Alexandr Sundfeld",9788528305999,"R$ 20,00","R$ 10,00"
GOVERNANÇA GLOBAL - Conexões entre políticas domésticas e internacionais,Reginaldo Nasser (org.),9788528306552,"R$ 45,00","R$ 22,50"
"GOVERNOS SUBNACIONAIS E SOCIEDADE CIVIL - Integração regional eMercosul",Luiz Eduardo W. Wanderley e Tullo Vigevani (orgs.),9788528303209,"R$ 40,00","R$ 20,00"
HERMÍNIO ALBERTO MARQUES PORTO - Col. Sapientia,"Christiano Jorge Santos, Roberto Archanjo",9788528305913,"R$ 20,00","R$ 10,00"
IDEOLOGIA NACIONAL E NACIONALISMO,Lúcio Flávio Rodrigues de Almeida,9788528304701,"R$ 50,00","R$ 25,00"
INTELIGÊNCIA ARTIFICIAL & REDES SOCIAIS,Lucia Santaella (org.),9788528306491,"R$ 45,00","R$ 22,50"
JOEL MARTINS  - Col. Sapientia,"Antonio Carlos Caruso Ronca, Sergio Vasconcelos de Luna",9788528305852,"R$ 20,00","R$ 10,00"
JUVENTUDE E PENSAMENTO CONSERVADOR NO BRASIL,Katya Mitsuko Zuquim Braghini,9788528305050,"R$ 50,00","R$ 25,00"
"LÍNGUA PORTUGUESA: Lusofonia(s), língua(s), cultura(s)",Neusa Barbosa Bastos (org),9786587387017,"R$ 48,00","R$ 24,00"
LITERATURA E ENSINO - Territórios em diálogo,"Diana Navas, Elizabeth Cardoso, Vera Bastazin (orgs.)",9788528305838,"R$ 54,00","R$ 27,00"
MACHADO DE ASSIS - Contos para muitas vozes (ed. Bilingue),Maria Rosa Duarte de Oliveira e Luís Eduardo Wexell Machado (orgs.),9788528304787,"R$ 60,00","R$ 30,00"
MARCELLO DAMY DE SOUZA SANTOS Col. Sapientia,Carmen Cecília Bueno,9788528305920,"R$ 20,00","R$ 10,00"
"MARJORIE, POR FAVOR - A história de uma ex-interna da Febem, a libertaçãopelo teatro e a descoberta da intersexualidade",Luiza Pezzotti,9788528306149,"R$ 32,00","R$ 16,00"
MAURICIO TRAGTENBERG - Col. Sapientia,Antonio Romera Valverde,9788528305517,"R$ 20,00","R$ 10,00"
MAX WEBER E MICHEL FOUCAULT - paralelas e intersecções,"Fabiana A. A. Jardim, Ana Lúcia Teixeira, Osvaldo Javier López-Ruiz, Maria Helena Oliva-Augusto(orgs.)",9788528305784,"R$ 58,00","R$ 29,00"
MERCOSUL A UNASUL- Avancos do processo de integração,Regina Maria A. F. Gadelha (org.),9788528304596,"R$ 90,00","R$ 45,00"
NADIR GOUVÊA KFOURI - Col. Sapientia,"Mariangela Belfiore, Maria Carmelita Yazbek",9788528305487,"R$ 20,00","R$ 10,00"
"NOVOS DIÁLOGOS SOBRE A HISTÓRIA DA EDUCAÇÃO DOS SENTIDOS EDAS SENSIBILIDADES","Katya Mitsuko Zuquim Braghini, Kazumi Munakata, Marcus Aurelio Taborda de Oliveira (eds.)",9788528306569,"R$ 78,00","R$ 39,00"
O SILÊNCIO DAS MISSÕES DE PAZ,Reginaldo Nasser (org.),9788528304459,"R$ 45,00","R$ 22,50"
PARTIDOS POLÍTICOS E DISPUTA ELEITORAL NO BRASIL,Pedro Fassoni Arruda,9788528305395,"R$ 50,00","R$ 25,00"
PAULO FREIRE - Col. Sapientia,Ana Maria Saul,9788528305494,"R$ 20,00","R$ 10,00"
PAULO RESENDE - Col. Sapientia,Paulo Edgar da Rocha Resende,9788528305500,"R$ 20,00","R$ 10,00"
POLÍTICA E DESUMANIZAÇÃO - Aproximações entre Agamben e a psicanálise,Marcus Cesar Ricci Teshainer,9788528304565,"R$ 35,00","R$ 17,50"
RAÇA E GÊNERO,"Silvia Pimentel, Siméia de Mello Araújo, Beatriz Pereira e Mônica Melo (orgs.)",9788528306507,"R$ 48,00","R$ 24,00"
"ROTAS, MAPAS & INTERCÂMBIOS DA HISTÓRIA DA CIÊNCIA","Ana Maria Alfonso-Goldfarb, José Luiz Goldfarb, Marcia H. M. Ferraz, Silvia I. Waisse, Luciana CostaThomaz (orgs.)",9786587387048,"R$ 45,00","R$ 22,50"
SAMIR CURI MESERANI - Col. Sapientia,Maria Aparecida Junqueira,9788528305883,"R$ 20,00","R$ 10,00"
SILVIA LANE - Col. Sapientia,Bader Buhian Sawaia,9788528305524,"R$ 20,00","R$ 10,00"
"TECITURAS DAS CIDADES - História, memória e cultura","Arlete Assumpção Monteiro, Edgar da Silva Gomes, Yvone Dias Avelino (orgs.)",9786587387260,"R$ 66,00","R$ 33,00"
TRADIÇÃO E APROPRIAÇÃO CRÍTICA,Alessandro de Oliveira Campos,9788528305401,"R$ 55,00","R$ 27,50"
