Título,Autor,"Preço decapa","Preço comdesconto"
PALAVRAS-CHAVE,RAYMOND WILLIAMS,"R$ 89,00","R$ 44,50"
PARA UMA ONTOLOGIA DO SER SOCIAL I -2a edição,GYORGY LUKACS,"R$ 89,00","R$ 44,50"
"PARIS, CAPITAL DA MODERNIDADE",DAVID HARVEY,"R$ 85,00","R$ 42,50"
PLANETA FAVELA,MIKE DAVIS,"R$ 63,00","R$ 31,50"
POLITICA EXTERNA NORTE AMERICANA E SEUS TEORICOS,PERRY ANDERSON,"R$ 73,00","R$ 36,50"
"PORTÕES DO ÉDEN, OS",ANTONIO CARLSO MAZZEO,"R$ 65,00","R$ 32,50"
"PRISMAS DE GRAMSCI, OS",MARCOS DEL ROIO,"R$ 69,00","R$ 34,50"
"PRIVILÉGIO DA SERVIDÃO, O - 2 edição",RICARDO ANTUNES,"R$ 75,00","R$ 37,50"
QUANDO O GOOGLE ENCONTROU O WIKILEAKS,JULIAN ASSANGE,"R$ 49,00","R$ 24,50"
REBOQUISMO E DIALETICA,GYORGY LUKACS,"R$ 47,00","R$ 23,50"
RECONSTRUINDO LÊNIN,TAMÁS KRAUSZ,"R$ 99,00","R$ 49,50"
"REVOLTA DOS INTELECTUAIS NA HUNGRIA, A",ISTVAN MESZAROS,"R$ 55,00","R$ 27,50"
"RIO DOS JACARÉS, O",GUSTAVO ROLDAN,"R$ 37,00","R$ 18,50"
RIQUEZA E MISÉRIA DO TRABALHO IV,RICARDO ANTUNES (ORG.),"R$ 85,00","R$ 42,50"
RITUAIS DE SOFRIMENTO,SILVIA VIANA,"R$ 49,00","R$ 24,50"
"ROMANCE DA MINHA VIDA, O",LEONARDO PADURA,"R$ 63,00","R$ 31,50"
ROSA LUXEMBURGO : PENSAMENTO E AÇÃO,PAUL FRÖLICH,"R$ 65,00","R$ 32,50"
ROSA LUXEMBURGO E A REIVENCAO DA POLITICA,HERNAN OUVINA,"R$ 41,00","R$ 20,50"
RUY GUERRA,VAVY PACHECO,"R$ 67,00","R$ 33,50"
SEMANA DE 22,MARCIA CAMARGOS,"R$ 48,00","R$ 24,00"
"SENTIDOS DO MUNDO, OS",DAVID HARVEY,"R$ 83,00","R$ 41,50"
"SENTIDOS DO TRABALHO, OS",RICARDO ANTUNES,"R$ 63,00","R$ 31,50"
