"",,LISTA DE LIVROS,
"",,"Festa Virtual do Livroda USP 2021",
TÍTULO,AUTOR (A),PREÇO CAPA,"PREÇO COMDESCONTO"
AMAZONIA OCUPADA,JOÃO FARKAS,"110,00","55,00"
AMOR AO TEATRO: SÁBATO MAGALDI,EDLA VAN STEEN,"154,00","77,00"
"ANNA BELLA GEIGER - COLEÇÃO: ARTE,TRABALHO E IDEAL","FABIANA DE BARROS, MICHEL FAVRE E MARCIA","60,00","30,00"
ANNA BELLA GEIGER: BRASIL NATIVO,ADRIANO PEDROSA E TOMÁS TOLEDO,"139,00","69,00"
ANOS DE CHUMBO,A. P. QUARTIM DE MORAES,"54,00","27,00"
ANTROPOLOGIA DO ESPAÇO,MARION SEGAUD,"65,00","32,00"
ANTUNES FILHO - POETA DA CENA,EMIDIO LUISI E SEBASTIÃO MILARÉ,"60,00","30,00"
ARQUITETURA DE EXPOSIÇÕES,CÉSAR AUGUSTO SARTORELLI,"76,00","38,00"
"ARQUITETURA E URBANISMO NO VALE DOPARAIBA",PERCIVAL TIRAPELI,"108,00","43,00"
ARTE AFRICANA,FRANK WILLETT,"82,00","41,00"
ARTE DA AULA,DENILSON SOARES CORDEIRO E JOACI PEREIRA,"60,00","30,00"
AS IMAGENS DA IMAGEM DO SESC,SOLANGE FERRAZ DE LIMA,"49,00","24,00"
ATMOSFERAS URBANAS,ARMANDO SILVA,"59,00","29,00"
BARE POVO DO RIO 2a ED,MARINA HERRERO E ULYSSES FERNANDES,"70,00","35,00"
BARE: POVO DO RIO,MARINA HERRERO E ULYSSES FERNANDES,"70,00","35,00"
BEAUVOIR PRESENTE,JULIA KRISTEVA,"55,00","27,00"
BENS CULTURAIS E DIREITOS HUMANOS 2a ED,INÊS VIRGÍNIA PRADO SOARES E SANDRA CURE,"68,00","34,00"
BIBLIOTECA MORELLI,JOSÉ VICENTE MORELLI E SUZANA MORELLI,"98,00","49,00"
BIG BANDS PAULISTAS,"JOSÉ ILDEFONSO MARTINS EJOSÉ PEDRO SOARES MARTINS","60,00","30,00"
BILL VIOLA,JOHN G. HANHARDT,"130,00","65,00"
BOCA DO AMAZONAS,WILLI BOLLE,"88,00","44,00"
BRASIL ARQUITETURA,"ABILIO GUERRA, MARCOS GRINSPUM FERRAZ E","150,0 0","7 5,00"
"CADEIA DE RECICLAGEM - UM OLHAR PARA OSCATADORES",JACQUES DEMAJOROVIC e MÁRCIA LIMA,"34,90","13,00"
CADERNO SESC_VIDEOBRASIL 11,ASSOCIAÇÃO VIDEOBRASIL,"60,00","30,00"
CADERNO VIDEOBRASIL 10 USOS MEMORIA,ASSOCIAÇÃO VIDEOBRASIL,"56,00","28,00"
CADERNO VIDEOBRASIL 2 (2006),ASSOCIAÇÃO VIDEOBRASIL,"10,00","5,00"
CADERNO VIDEOBRASIL 3 (2007),ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 4 (2008),ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 5 (2009) CLIO PATRIA,ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 6 (2010),ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 7 (2011),ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 8 - PERTENÇA,ASSOCIAÇÃO VIDEOBRASIL,"20,00","10,00"
CADERNO VIDEOBRASIL 9 - GEOGRAFIAS,ASSOCIAÇÃO VIDEOBRASIL,"40,00","20,00"
CAMINHOS CRUZADOS - TEATRO DE DANÇA,INÊS BOGEA,"50,00","25,00"
CAMINHOS VOLTA AO MUNDO DE BICICLETA 2ED,ARGUS CARUSO SATURNINO,"90,00","45,00"
CAPAS DE SANTA ROSA,LUÍS BUENO,"118,00","59,00"
CARTOLA: SEMENTE DE AMOR,ARLEY PEREIRA,"30,00","12,00"
CENOGRAFIA BRASILEIRA - NOTAS CENOGRAFO,JC SERRONI,"95,00","47,00"
"CENOGRAFICAMENTE:DA CENOGRAFIA AOFIGURINO",JOSÉ DE ANCHIETA,"120,00","60,00"
CENTROS DE MEMORIA,ANA MARIA CAMARGO E SILVANA GOULART,"40,00","20,00"
CEREBRO ATIVO - REEDUCACAO DO MOV,IVALDO BERTAZZO,"80,00","40,00"
CEU DE LUIZ- 100 ANOS DE GONZAGA,TIAGO SANTANA e AUDÁLIO DANTAS,"80,00","40,00"
CHINA: UMA HISTÓRIA EM OBJETOS,JESSICA HARRISON-HALL,"90,00","45,00"
"CHORAR, AMAR, RIR, COMPREENDER",EDGAR MORIN,"45,00","22,00"
CHOROS DE GAROTO,"JORGE MELLO, HENRIQUE GOMIDE E DOMINGOS","94,50","47,00"
CIDADELAS DA CULTURA NO LAZER,YARA SCHREIBER DINES,"35,00","17,00"
CIDADES SUL-AMERICANAS COMO ARENAS,FERNANDA ARÊAS PEIXOTO E ADRIÁN GORELIK,"85,00","42,00"
CINEMA COMO ARQUEOLOGIA DAS MÍDIAS,THOMAS ELSAESSER,"82,00","41,00"
CINEMA EXPLÍCITO,RODRIGO GERACE,"72,00","36,00"
CIRCULO DE DRAMATURGIA,VÁRIOS AUTORES,"20,00","10,00"
CIVILIZAÇAO ISLAMICA EM 30 BIOGRAFIAS,CHASE F. ROBINSON,"80,00","40,00"
COEDUCACAO ENTRE GERACOES 2a EDICAO,JOSÉ CARLOS FERRIGNO,"35,00","17,00"
