"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788570419637,15,FISICA MAIS QUE DIVERTIDA - INVENTOS ELETRIZANTES BA,-EADOS,"MR M$ A  T  6E8R,0I0AI","RRE$C I3C4L,0A0DO"
9788553128051,10,FLORES E FRUTAS,-,"R$     22,00","R$ 11,00"
9788542300383,10,FORMACAO DE PROFESSORES (AS) E CONDICAO DOCENTE,-,"R$     60,00","R$ 30,00"
9788542302370,10,FORMACAO E ATUACAO PROFISSIONAL EM POLITICAS PUBL,C- AS DE,"SRP$O  R   4T2E, 0E0","AZERR$ 2- 1E,S00TU"
9788542300376,5,FORMACAO INICIAL DE PROFESSORES - PERCURSOS E INO,-ACOES,"R$     62,00","R$ 31,00"
9788570418333,3,FRANCIS BACON E A FUNDAMENTACAO DA CIENCIA COMO,E- CNOLO,"IRA$     45,00","R$ 22,50"
9788542301892,10,FUNDAMENTOS DE ENGENHARIA HIDRAULICA,-,"R$     97,00","R$ 48,50"
9788570419491,5,"FUTURO DO PRESENTE, O - ARQUIVO, GENERO E DISCURS",-,"R$     45,00","R$ 22,50"
9788542300482,3,"GENIO NAO ORIGINAL, O - POESIA POR OUTROS MEIOS NO",O- VO SE,"URL$O     65,00","R$ 32,50"
9788542300543,10,GEOGRAFIAS E IDEOLOGIAS - SUBMETER E QUALIFICAR,-,"R$     42,00","R$ 21,00"
9788542301885,3,GRADE OF MEMBERSHIP: CONCEITOS BASICOS E APLICACA,- EMPIRI,"AR $U S   A 3N9,D0O0","PR$O 1G9R,5A0M"
9788542302790,30,"GRAMOFONE, FILME, TYPEWRITER",-,"R$     65,00","R$ 32,50"
9788542302677,20,GRANDE OTELO: UM INTERPRETE DO CINEMA E DO RACISM,- NO BR,"SRIL$      69,00","R$ 34,50"
9788570419170,5,GUIA ILUSTRADO DO ARBORETO DO CERRADO DA COMPAN,-IA BRAS,"LREI$R  A 1 7D0E,0 M0","TARL$U R85G,0IA0 E"
9788542301656,5,HAIKAI E PERFORMANCE - IMAGENS POETICAS,-,"R$     52,00","R$ 26,00"
9788570411921,10,HERMENEUTICA E POESIA - O PENSAMENTO POETICO,-,"R$     36,00","R$ 18,00"
9788570419743,5,"HISTORIA DA VETERINARIA, UMA - EXERCICIO E APRENDIZA",-EM DE F,"RR$ A  D  8O9,R0E0",", ARLV$E 4I4T,A50RE"
9788542302431,10,HISTORIAS DO LAZER NAS GERAIS,-,"R$     49,00","R$ 24,50"
9788570413239,100,"HISTORIAS LOCAIS / PROJETOS GLOBAIS: COLONIALIDADE,",-ABERES,"SRU$B A  L  7T0E,0R0N","SR E$ P 3E5N,0S0A"
9788570416346,20,HISTORIAS QUE A CECILIA CONTAVA,-,"R$     42,00","R$ 21,00"
9788570416728,10,HOMEM AO TERMO - POESIA REUNIDA (1949-2005),-,"R$     70,00","R$ 35,00"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542301687,10,HORIZONTES DO BELO  - ENSAIOS SOBRE A ESTETICA DE K,-NT,"R$     60,00","R$ 30,00"
9788570417664,10,IGUALMENTE DIFERENTES,-,"R$     30,00","R$ 15,00"
9788542300833,5,"IMAGINACAO EMANCIPATORIA, A - DESAFIOS DO SECULO 21",-,"R$     62,00","R$ 31,00"
9788570413826,15,IMANENCIA E HISTORIA - A CRITICA DO CONHECIMENTO EM,-ALTER,"ERN$J  A   3M0I,N00","R$ 15,00"
9788542301014,10,IMPROVISACAO COMO ESPETACULO - PROCESSO DE CRIAC,-O E ME,"ORD$O  L  O 60G,0IA0","DER T$R 3E0I,N00AM"
9788542301649,5,INADEQUADO PARA O FUTURO - A NECESSIDADE DE MELHO,- AMENT,"SR M$ O   R 41A,I0S0","R$ 20,50"
9788542302554,10,INDICIONARIO DO CONTEMPORANEO,-,"R$     47,00","R$ 23,50"
9788570414595,25,INFANCIA E HISTORIA - DESTRUICAO DA EXPERIENCIA E ORI,- EM DA,"ISRT$O   R  5I2A,00","R$ 26,00"
9788570416209,3,INSTITUICOES REPRESENTATIVAS NO BRASIL - BALANCO E,-EFORM,"R$     35,00","R$ 17,50"
9788542300864,5,"INTELECTUAL E O ESPACO PUBLICO, O",-,"R$     62,00","R$ 31,00"
9788570417848,3,INTERARTES,-,"R$     45,00","R$ 22,50"
9788542300055,5,INTERMIDIALIDADE E ESTUDOS INTERARTES - DESAFIOS DA,-ARTE C,"NRT$E M   P 3O5,R00A","EAR$ 17,50"
9788542301786,10,INTRODUCAO A FILOSOFIA CRITICA DE KANT,-,"R$     66,00","R$ 33,00"
9788542300710,10,INTRODUCAO A GESTAO DE PROJETOS SOCIAIS - FERRAME,-TAS DE,"RA$B   A  2L6H,0O0","PRRO$C 1E3S,0S0O"
9788570416667,15,INTRODUCAO A HISTORIA DOS PARTIDOS POLITICOS BRASI,-EIROS,"R$     33,00","R$ 16,50"
9788542300796,20,INTRODUCAO A IDENTIFICACAO DE SISTEMAS - TECNICAS L,N- EARES,"RN$A O  1 3L0IN,0E0A","ESR:$ T 6E5O,0R0IA"
9788542302448,10,"INTRODUCAO A TEORIA DEMOCRATICA: CONCEITOS, HISTO","-IAS, INS","ITRU$ I C  O 72E,S00 E","QURE$S 3T6O,0E0S T"
9788542301717,10,INTRODUCAO AO PENSAMENTO DE NAGARJUNA -  EXAME D,-S COND,"CRO$E S     4(P2R,0A0","YARYA$ -2 P1A,0R0IK"
9788570414786,5,INTRODUCAO AO TRATAMENTO DE MINERIOS - C/ CD,-,"R$     44,00","R$ 22,00"
9788570413123,10,INTRODUCAO AOS DIALOGOS DE PLATAO,-,"R$     23,00","R$ 11,50"
9788542300239,10,ISLA E O OCIDENTE O - ENCONTRO COM JACQUES DERRIDA,-,"R$     38,00","R$ 19,00"
9788570419330,5,"JANO, JANEIRO",-,"R$     26,00","R$ 13,00"
9788542300314,5,JIM MORRISON - O POETA-XAMA,-,"R$     40,00","R$ 20,00"
9788542300260,10,LATINA ESSENTIA - PREPARACAO AO LATIM,-,"R$     47,00","R$ 23,50"
9788570418012,5,LEGISLATIVO BRASILEIRO EM PERSPECTIVA COMPARADA,-,"R$     69,00","R$ 34,50"
9788570419972,10,LEVI-STRAUSS - LEITURAS BRASILEIRAS,-,"R$     58,00","R$ 29,00"
9788542300420,20,LEXICO DA HISTORIA DOS CONCEITOS POLITICOS DO BRASI,-,"R$     70,00","R$ 35,00"
9788570411815,5,LINGUAGEM E FORMACAO DE CONCEITOS NO ENSINO DE CI,-NCIAS,"R$     44,00","R$ 22,00"
9788570419460,5,LITERATURA BRASILEIRA 1930,-,"R$     42,00","R$ 21,00"
9788570415325,3,"LITERATURA DOS ESCRITORES, A - QUESTOES DE CRITICA",-ENETIC,"R$     74,00","R$ 37,00"
9788570417695,10,LITERATURA E GUERRA,-,"R$     45,00","R$ 22,50"
9788570419354,3,LITERATURA E REVOLUCAO,-,"R$     45,00","R$ 22,50"
9788542301670,20,LIVRO DE ARTISTA E A ENCICLOPEDIA VISUAL O,-,"R$     88,00","R$ 44,00"
9788542301779,3,"LUTA DESARMADA DOS SUBALTERNOS, A",-,"R$     42,00","R$ 21,00"
9788570418999,10,MACHADO DE ASSIS LEITOR - UMA VIAGEM A RODA DE LIVR,-S,"R$     36,00","R$ 18,00"
9788542301908,10,MAESTRO SOBERANO - ENSAIOS SOBRE ANTONIO CARLOS,-OBIM,"R$     69,00","R$ 34,50"
"CÓDIGOBARRAS",QT.,DESCRIÇÃO,VENDIDOS,"PREÇOCAPA","PREÇOC/ DESCONTO"
9788542302776,20,MAIS MEDICOS: AS VOZES DOS ATORES E OS IMPACTOS DO,-PROGRA,"RA$ N  A   5 A6T,0E0","CARO$ B 2A8S,0IC0A"
9788542300468,10,MANUAL DE COMPUTACAO EVOLUTIVA E META HEURISTICA,-,"R$   118,00","R$ 59,00"
9788542302011,10,MANUAL DE EDITORACAO E ESTILO,-,"R$   120,00","R$ 60,00"
9788570414663,3,MANUAL DE TRABALHOS PRATICOS DE FISICO-QUIMICA,-,"R$     33,00","R$ 16,50"
9788542302004,10,MARES INTERIORES: CORRESPONDENCIA DE MURILO RUBI,O-E OTT,"LRA$R   A  4 R9,E8S0","NDRE$ 24,90"
9788542300574,10,MEMORIA DE ULISSES - NARRATIVAS SOBRE A FRONTEIRA,-A GRECI,"RAN$ T  I G 53A, 020E","R$ 26,50"
9788570412898,10,"MOBILIDADE DAS FRONTEIRAS, A - INSERCOES DA GEOGRA",-IA NA C,"ISRE$  D  A  5 2M,0O0D","RNRI$D 2A6D,0E0"
9788542300475,10,MODERNIDADE GLOBAL E CIVILIZACAO CONTEMPORANEA -,-ARA UM,"R$E N   O 65V,A0C0","O DRA$ 3T2E,O50RIA"
9788570419255,10,MODERNISMO LOCALISTA DAS AMERICAS - OS CONTOS DE,-AULKNE,",R G$U   I M 6A2,R00A","S RO$ S3A1 ,E00 RU"
9788542300734,10,MONARQUIA SEM DESPOTISMO E LIBERDADE SEM ANARQUI,-  - O PE,"SRAM$ E   N 4T6,O0 0P","LIRTI$C 2O3 ,D0O0  M"
9788542300789,10,MONSTROS E ARQUIVOS-TEXTOS CRITICOS REUNIDOS,-,"R$     65,00","R$ 32,50"
9788570419774,5,"MUNDO SOBRE PAPEL, UM - LIVROS, GRAVURAS E IMPRESS",-S FLAM,"NRG$O   1S4 N0,O00S","MPRE$R 7IO0,S00"
9788542302233,20,"MUSICA DE MILTON NASCIMENTO, A",-,"R$     80,00","R$ 40,00"
9788553128020,10,MUSIQUES... E UMA LINGUA OU UMA MUSICA?,-,"R$     22,00","R$ 11,00"
9788570419675,10,"NACOES DESUNIDAS, AS - PRATICAS DA ONU E A ESTRUTU",A- CAO D,"ERS$T  A   6D2O,0 E0","TIRM$O 3R1 ,L0E0ST"
9788553128198,10,NAS ASAS DE NINA,-,"R$     25,00","R$ 12,50"
9788542301939,10,"NO FIO DA NAVALHA - HISTORICIDADE, POS-MODERNIDADE",- FIM DA,"IRS$T O   R 3I5A,00","R$ 17,50"
9788570411709,10,NORMA E CONFLITO - ASPECTOS DA HISTORIA DE MINAS N,-SECULO,"XRV$II I    37,00","R$ 18,50"
9788570419606,10,NOVOS REALISMOS,-,"R$     48,00","R$ 24,00"
9788542302721,30,O ATOR E A CAMERA: INVESTIGACOES SOBRE O ENCONTR,-NO JOG,"DR$O  F   I5L4M,0E0","R$ 27,00"
9788553128099,10,O QUE E UM LIVRO?,-,"R$     22,00","R$ 11,00"
9788553128044,10,O QUE EXISTE? O QUE NAO EXISTE?,-,"R$     22,00","R$ 11,00"
9788542300369,10,"ONDE ESTA A LITERATURA? SEUS ESPACOS, SEUS LEITORE","- , SEUS","ERX$T O   S 4,6 S,0U0","S LRE$IT 2U3R,0A0S"
9788542300130,15,"ONTOLOGIA DA REALIDADE, A",-,"R$     58,00","R$ 29,00"
9788570414625,10,ORA (DIREIS) PUXAR CONVERSA!,-,"R$     57,00","R$ 28,50"
9788570419361,10,ORACULOS - DA GEOGRAFIA ILUMINISTA - DOM LUIS DA CU,H- A E JEA,"R- $B A  1P2T0I,S00T","BORU$ R6G0,U00IGN"
