EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511140682,9788511140682,IGREJA CATOLICA E POLITICA NO BRASIL 1916-1985,SCOTT MAINWARING,"101,00","50,50"
9788511030839,9788511030839,JACK KEROUAC - REI DOS BEATNIKS,ANTONIO BIVAR BATTISTETTI LIMA,"39,90","19,95"
9788511030389,9788511030389,JAMES DEAN - MOCO DA CAPA,ANTONIO BIVAR,"39,90","19,95"
9788511001624,9788511001624,KANT E O KANTISMO,CLELIA APARECIDA MARTINS,"65,00","32,50"
9788511030631,9788511030631,KARL MARX - APANHADOR DE SINAIS,HORACIO LUIZ GONZALES,"39,90","19,95"
9788511140668,9788511140668,LIBERALISMO E DEMOCRACIA,NORBERTO BOBBIO,"51,00","25,50"
9788511220247,9788511220247,LINGUAGEM AUTORITARIA,MARIA THEREZA FRAGA ROCCO,"70,00","35,00"
9788511020526,9788511020526,LONDRES E PARIS NO SECULO XIX:O ESPETACULO DA POB,MARIA STELLA MARTINS BRESCIANI,"39,90","19,95"
9788511000382,9788511000382,MAGIA E CAPITALISMO 4. ED,EVERARDO ROCHA TREIN. CONSULTORIA LTDA,"64,30","32,15"
9788511080674,9788511080674,MERETRIZES E DOUTORES,MAGALI ENGEL,"55,30","27,65"
9788511080780,9788511080780,MUNDIALIZACAO E CULTURA,RENATO ORTIZ,"80,90","40,45"
9788511080261,9788511080261,MUSICA O NACIONAL E O POPULAR,ENIO SQUEFF / JOSE M. WISNIK,"64,00","32,00"
9788511170153,9788511170153,NASCER SORRINDO,FREDERICK LEBOYER,"62,20","31,10"
9788511131123,9788511131123,NEGRO NAS TERRAS DO OURO,JULITA SCARANO,"52,00","26,00"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511001303,9788511001303,NOSSAS ADORAVEIS FAMILIAS - 2. ED,YOLANDA CERQUINHO DA SILVA PRADO,"53,00","26,50"
9788511020366,9788511020366,O EGITO ANTIGO,CIRO FLAMARION SANTANA CARDOSO,"39,90","19,95"
9788511021219,9788511021219,O FUMO NO BRASIL COLONIA,JEAN BAPTISTE NARDI,"39,90","19,95"
9788511001723,9788511001723,O GIRASSOL E A BETERRABA,MONALISA ARIKAWA,"59,00","29,50"
9788511020229,9788511020229,O ILUMINISMO E OS REIS FILOSOFOS,LUIZ ROBERTO SALINAS FORTES,"39,90","19,95"
9788511350074,9788511350074,O MOCHILÃO DO TIAGO,ANA PAULA DAVID DOS SANTOS,"61,70","30,85"
9788511020397,9788511020397,O MUNDO ANTIGO: ECONOMIA E SOCIEDADE,MARIA BEATRIZ BORBA FLORENZANO,"39,90","19,95"
9788511300062,9788511300062,O NASCIMENTO DO VISCONDE Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511140712,9788511140712,O POS-SOCIALISMO,ALAIN TOURAINE,"80,20","40,10"
9788511001082,9788511001082,O QUE E ABORTO - 2 EDICAO,YOLANDA CERQUINHO DA SILVA PRADO,"39,90","19,95"
9788511012163,9788511012163,O QUE E ACAO CULTURAL,JOSE TEIXEIRA COELHO NETTO,"39,90","19,95"
