"",,,,,EDITORA ALAÚDE,,,
"",,,,,,Preço de,CUPOM,
ISBN,Título,,Autor(es),,Categoria,capa,FESTADOLIVROUSP21,Página do produto em www.alaude.com.br (clique ou copie e cole)
9788578815325,Os segredos da cachaça,João Almeida | Leandro Dias,Gastronomia,"R$ 80,00","R$ 40,00",https://www.alaude.com.br/produto/os-segredos-da-cachaca-39
9788578814311,Os segredos veganos de Isa,Isa Chandra Moskowitz,Veganismo | Vegetarianismo | Gastronomia,"R$ 79,90","R$ 39,95",https://www.alaude.com.br/produto/os-segredos-veganos-de-isa-60
9788578812522,Paixão por Ferrari,Fabrice Connen | Mathieu Heurtault,Automobilismo,"R$ 96,00","R$ 48,00",https://www.alaude.com.br/produto/paixao-por-ferrari-250
9788578812164,Paixão por motos,Jean-Louis Basset | Pascal Franck,Automobilismo,"R$ 96,00","R$ 48,00",https://www.alaude.com.br/produto/paixao-por-motos-276
9788578813703,Palavras de poder (volume 1),Lauro Henriques Jr,Bem-estar | Autoajuda,"R$ 39,00","R$ 19,50",https://www.alaude.com.br/produto/palavras-de-poder-(volume-1)-129
9788578813925,Palavras de poder (volume 2),Lauro Henriques Jr,Bem-estar | Autoajuda,"R$ 39,00","R$ 19,50",https://www.alaude.com.br/produto/palavras-de-poder-(volume-2)-91
9788578812546,Palavras de poder (volume 3),Lauro Henriques Jr,Bem-estar | Autoajuda,"R$ 39,00","R$ 19,50",https://www.alaude.com.br/produto/palavras-de-poder-(volume-3)-249
9788578814984,Papo astral,Carol Vaz,Bem-estar | Autoajuda,"R$ 49,90","R$ 24,95",https://www.alaude.com.br/produto/papo-astral-72
9788578811976,Particular Cuba,Du Ribeiro,Automobilismo,"R$ 120,00","R$ 60,00",https://www.alaude.com.br/produto/particular-cuba-153
9788578814540,Picapes Chevrolet,Fábio C.  Pagotto | Rogério de Simone,Automobilismo,"R$ 55,00","R$ 27,50",https://www.alaude.com.br/produto/picapes-chevrolet-68
9788578813918,Por amor ao sabor,Dalton Rangel,Gastronomia,"R$ 55,00","R$ 27,50",https://www.alaude.com.br/produto/por-amor-ao-sabor-86
9788593903007,Quando escolheram por mim,Lauren Miller,Literatura | Juvenil,"R$ 52,00","R$ 26,00",https://www.alaude.com.br/produto/quando-escolheram-por-mim-106
9788578815288,Quase vegetariano,Coordenação Ed. Alaúde,Vegetarianismo | Gastronomia,"R$ 69,90","R$ 34,95",https://www.alaude.com.br/produto/quase-vegetariano-38
9788578815127,Receitas para esportistas,Coordenação Ed. Alaúde,Bem-estar | Saúde | Gastronomia,"R$ 56,00","R$ 28,00",https://www.alaude.com.br/produto/receitas-para-esportistas-81
9788578812607,Remissão radical,"Kelly A.  Turner, Ph.D",Bem-estar | Saúde,"R$ 49,00","R$ 24,50",https://www.alaude.com.br/produto/remissao-radical-252
9788578814342,Revelando Trump,Michael Kranish | Marc  Fisher,Biografias e memórias,"R$ 29,90","R$ 14,95",https://www.alaude.com.br/produto/revelando-trump-105
9788578810894,Rino Malzoni,Jorge Meditsch,Automobilismo,"R$ 85,00","R$ 42,50",https://www.alaude.com.br/produto/rino-malzoni-266
9786586049381,Sabor sem glúten - 2  edição,Denise Godinho,Bem-estar | Saúde | Gastronomia,"R$ 75,00","R$ 37,50",https://www.alaude.com.br/produto/sabor-sem-gluten---2a-edicao-333
9786586049268,Seja como a água,Shannon Lee,Bem-estar | Autoajuda,"R$ 45,00","R$ 22,50",https://www.alaude.com.br/produto/seja-como-a-agua-327
9788578810719,Simples e sublime,Manju Patel | Isik Polater,Vegetarianismo | Gastronomia,"R$ 69,00","R$ 34,50",https://www.alaude.com.br/produto/simples-e-sublime-214
9788578813895,Spa em casa,Márcia Regina Dal Medico,Bem-estar | Saúde,"R$ 35,00","R$ 17,50",https://www.alaude.com.br/produto/spa-em-casa-87
