"Festa do Livro da USP - virtual 2021Edições Loyola",,,
ISBN,TÍTULO,AUTOR,PREÇO
9788515037315,"Conheço um Coração - Lições que aprendi junto ao Coração doMestre","ALMEIDA, João Carlos (Pe. Joãozinho)","11,00"
9788515004270,Consagração pessoal ao Sagrado Coração de Jesus,"ALCAÑIZ,  Florentino","2,50"
9788515031023,"Conselho de classe - Espaço de diagnóstico da práticaeducativa escolar","CRUZ, Carlos Henrique Carrilho","5,95"
9788515029310,Constituição da pessoa na proposta de Henri Wallon,"ALMEIDA, Laurinda Ramalho de","12,95"
9788515032839,"Construir confiança - Ética da empresa na sociedade dainformação e das comunicações","CORTINA, Adela","17,33"
9788515022977,Contabilidade eclesiástica - Algumas questões operacionais,"DELAMÉA, Elenita","12,95"
9788515039036,Contemplação e dialética nos diálogos platônicos,"VAZ, Henrique Cláudio de Lima","15,40"
9788515031122,Contemplação para alcançar amor (A),"MORO, Ulpiano Vásquez","6,34"
9788515043606,Contemplações Inacianas para aproximar-se de Jesus,MANUEL EDUARDO IGLESIAS,"10,80"
9788515040919,"Contexto e surgimento do movimento de Jesus - As razões doseguimento","VOIGT, Emilio","64,25"
9788515036899,Continente e a ilha (O) - Duas vias da filosofia contemporânea,"DOMINGUES, Ivan","9,80"
9788515044221,Contrato & virtudes - Por uma teoria moral mista,"COITINHO, Denis","22,00"
9788515003341,Controle cerebral e emocional,"IRALA, Narciso","20,25"
9788515045594,Conversas com jovens professores de arte,"ALBANO, ANA ANGELICA","34,00"
9788515039289,"Coordenador pedagógico (O) - Provocações e possibilidades deatuação","ALMEIDA, Laurinda Ramalho de","13,50"
9788515040667,Coordenador pedagógico e a formação centrada na escola (O),"ALMEIDA, Laurinda Ramalho de","15,50"
9788515020881,Coordenador pedagógico e a formação docente (O),"ALMEIDA, Laurinda Ramalho de","8,75"
9788515044665,Coordenador pedagógico e a legitimidade de sua atuação (O),"ALMEIDA, Laurinda Ramalho de","18,50"
9788515037162,Coordenador pedagógico e o atendimento à diversidade (O),"ALMEIDA, Laurinda Ramalho de","15,50"
9788515027927,Coordenador pedagógico e o cotidiano da escola (O),"ALMEIDA, Laurinda Ramalho de","17,25"
9788515023653,Coordenador pedagógico e o espaço da mudança (O),"ALMEIDA, Laurinda Ramalho de","11,75"
9788515044009,"Coordenador Pedagógico e o trabalho colaborativo na escola(O)","ALMEIDA, Laurinda Ramalho de","17,25"
9788515035977,Coordenador pedagógico e os desafios da educação (O),"ALMEIDA, Laurinda Ramalho de","11,75"
9788515034024,"Coordenador pedagógico e questões da contemporaneidade(O)","ALMEIDA, Laurinda Ramalho de","13,50"
9788515046133,Coordenador pedagógico e questões emergentes na escola (O),"ALMEIDA, Laurinda Ramalho de","14,50"
9788515042760,"Coordenador pedagógico no espaço escolar (O) - Articulador,formador e transformador","ALMEIDA, Laurinda Ramalho de","15,50"
9788515021413,Coração de Jesus e a grande promessa (O),ROQUE SCHNEIDER,"3,00"
9788515022632,Corações curados,"PEREIRA, Léo (Pe. Léo)","28,50"
9788515044894,Coragem de Clarice (A) - Experiência e religião,"TADA, Elton Vinicius Sadao","19,00"
9788515021840,Coroinha e a liturgia (O),"GÓIS, João de Deus","4,75"
9788515020980,Corpo - Território do sagrado,EVARISTO EDUARDO DE MIRANDA,"48,00"
9788515028955,"Corpo, caminho de Deus (O)","GESCHÉ, Adolphe","25,55"
9788515044375,"Corpo-encarnaçãoB","ARQUE, Virgínia Albuquerque de Cast","o14,00"
9788515027569,Crer depois de Freud,"MORANO, Carlos Domínguez","34,13"
9788515021123,Crer não é difícil,"BIJU-DUVAL, Denis","8,58"
9788515032693,Crescer na era das mídias eletrônicas,"BUCKINGHAM, David","22,58"
9788515023240,Crise da meia-idade e outros temas espirituais (A),"CIGOÑA, José Ramón F. de la","3,75"
9788515016938,"Crisma - Meu sim a Jesus CristoR",SA MARIA FERRAZ DE ARRUDA E AGUI,"RE9,75"
9788515026227,Cristianismo e as religiões (O) - Do desencontro ao encontro,"DUPUIS, Jacques","24,85"
9788515041701,Cristianismo na Antiguidade (O),"MONDONI, Danilo Aparecido","17,00"
9788515040902,Cristianismo na Idade Média (O),"MONDONI, Danilo Aparecido","14,50"
9788515037827,Cristo,"MALDANER, Maria Fátima","18,55"
9788515039418,Cristofanias do Novo Testamento (As) - Historicidade e teologia,"MAINVILLE, Odette","21,35"
9788515045297,Crítica da razão antiutópica,PHILIPPE OLIVEIRA DE ALMEIDA,"28,50"
