TÍTULO,AUTOR,,PREÇO DE CAPA,PREÇO COM,
"",,GÊNERO,,DESCONTO,
A CANÇÃO DO LIMÃO,"Vidal Gomes, Brod",MÚSICA,"54,90",,
"",Junior & Sampaio de,,,,
"",Medeiros,,,,
"",,,,,"27,45"
NHE'ENGA A MORE QUIXOTESCO,"Danilo Costa-CobraLeite",POESIA,"44,90","22,45"
O AMOR EMBEBEDOU AS FERAS,Priscila Merizzio,POESIA,"39,90","19,95"
O COCHILO DO CÉU,Marcel Fernandes,POESIA,"39,90","19,95"
O CRIADOR DE IMAGENS,Miguel Freire,CINEMA,"49,90","24,95"
O ESTADO DE URGÊNCIA,Dimo Fernandes,POESIA,"34,90","17,45"
O FUTUM DAS BIRELAS,Vinicius Comoti,POESIA,"39,90","19,95"
O HIMENEU,Sylvio Back,CONTOS,"34,90","17,45"
O LIXEIRO E O PRESIDENTE,Silas Corrêa Leite,ROMANCE,"44,90","22,45"
O MERGULHO DO AFOGADO,Andreev Veiga,POESIA,"39,90","19,95"
O OFÍCIO DA ORIGEM,Fabiano Lemos,FILOSOFIA,"49,90","24,95"
O PESADO QUE VOA,"Amanda VazTeixeira",POESIA,"39,90","19,95"
O TRANSGRESSOR,Paulo Ribeiro,ROMANCE,"44,90","22,45"
OLHOS CASTRADOS,Paulo Ribeiro,ROMANCE,"39,90","19,95"
ONTEM,Jorge Miranda,POESIA,"39,90","19,95"
OS TOUROS DE BASÃ,"Marco Aurélio deSouza",CONTOS,"39,90","19,95"
OU SILÊNCIO CONTÍNUO,Marcelo Ariel,POESIA,"79,90","39,95"
OUTROS BARULHOS,Reynaldo Bessa,POESIA,"39,90","19,95"
OUTROS JUNHOS VIRÃO,"Mário MessagiJúnior",,,
PAISAGEM CIRCULAR,Emerson Cruz,POESIA,"39,90","19,95"
PARSONA,Adriano Scandolara,POESIA,"44,90","22,45"
PAVÃO DE SEIS CORES,Lucas Haas Cordeiro,ROMANCE,"49,90","24,95"
