Hemus,,,
Título,Autor,Preço de Capa,Preço com Desconto
Histórias de vampiros,Tradução Torrieri Guimarães,"74,40","37,20"
HITITAS (OS),JOHANNES LEHMANN,"98,40","49,20"
HOMENS E CIVILIZACOES FANTASTICAS,SERGE HUTIN,"58,80","29,40"
HUMANOIDES EXTRATERRESTRES (OS),HENRY DURRANT,"86,40","43,20"
I Ching,James Legge,"200,40","100,20"
ILHA DA MAGIA (A),WILLIAM B SEABROOK,"62,40","31,20"
ILHA DO TESOURO (A),ROBERT LOUIS STEVENSON,"66,00","33,00"
ILHA MISTERIOSA (A),JULIO VERNE,"67,20","33,60"
IMPERIOS DA QUIMICA MODERNA (OS),JACQUES BERGIER,"74,40","37,20"
INGLES POR IMAGENS (O),I A RICHARDS/C GIBSON,"98,40","49,20"
Instalações Elétricas,Antonio Bossi? Ezio Sesto,"502,80","251,40"
Instrumentação e controle,William Bolton,"112,80","56,40"
Instrumentação industrial,Harold E Soisson,"294,00","147,00"
Instrumentos de medição elétrica,Raul Peragallo Torreira,"111,60","55,80"
Introdução a história da filosofia,Georg Wilhelm Friedrich Hegel,"116,40","58,20"
INVISIBILIDADE,STEVE RICHARDS,"57,60","28,80"
Iridológia,Manuel Lezaeta Acharan,"99,60","49,80"
JUDO CAMINHO SUAVE,HENJI TSU TOO,"54,00","27,00"
KAIZEN BLITZ - PROCESSO PARA ALCANCE DA MELHORIA*,A LARAIA/ P MOODY/ R HALL,"88,80","44,40"
KARATE GOJURIU,HENJI TSU TOO,"51,60","25,80"
KUNG FU ARTE MARCIAL P/TODOS SEM MESTRE,HENJI TSU TOO,"57,60","28,80"
Lean Office. Gerenciamento do fluxo de valor,Tom Shuker e Don Tapping,"118,80","59,40"
Lições elementares de xadrez,J. R. Capablanca,"69,60","34,80"
Liderança Lean,David Mann,"135,60","67,80"
LINHA DE SOMBRA (A),JOSEPH CONRAD,"69,60","34,80"
Linked. A nova ciência dos networks,Albert-Laszlo Barabasi,"116,40","58,20"
Livro de enoch,Tradução: Márcio Pugliesi e Norberto de Paulo Lima,"99,60","49,80"
LIVRO DO INEXPLICAVEL (O),JACQUES BERGIER,"81,60","40,80"
LIVRO DOS DANADOS,CHARLES HOY FORT,"98,40","49,20"
LIVROS MALDITOS (OS),JACQUES BERGIER,"52,80","26,40"
Lixo Tratamento e Biorremediação,Luiz Mario Queiroz Lima,"116,40","58,20"
MACHU PICCHU,SIMONE WAISBARD,"111,60","55,80"
MAGICO DE OZ (O),L FRANK BAUM,"73,20","36,60"
Manual Básico de Eletrônica,L. W. Turner,"190,80","95,40"
Manual completo da moto,George Lear e Lynn S. Mosher,"190,80","95,40"
MANUAL COMPLETO DE VIDEO CASSETE,JOHN LENK,"117,60","58,80"
Manual completo do automóvel. Motores - Volume 1,Fernando Landulfo,"158,40","79,20"
Manual completo eletricista automóveis,Arthur W. Judge,"148,80","74,40"
Manual da construção de máquinas - Volume 2,Tradução: Agatha M. Auersperg e Norberto de Paula Lima,"838,80","419,40"
Manual de automação por contatores,José Roldan,"99,60","49,80"
Manual de bobinagem,José Roldan,"121,20","60,60"
Manual de caixas acústicas e alto-falantes,Francisco R. Vassallo,"88,80","44,40"
Manual de formulas técnicas,Kurt Gieck,"136,80","68,40"
Manual de Geladeiras,Edwin P. Anderson e Roland E. Palmquist,"277,20","138,60"
Manual de Instrumentos Medidas Eletrônicas,Francisco R. Vassallo,"104,40","52,20"
Manual de medidas elétricas,José Roldan,"80,40","40,20"
Manual de operações unitárias,D. A. Blackadder e R. M. Nedderman,"132,00","66,00"
Manual de Pequenas Construções,Gerard Baud,"207,60","103,80"
MANUAL DE ROSCAS,Eng. Hans Riter,"42,00","21,00"
MANUAL DO AUTOMOVEL,ARIAS PAZ,"242,40","121,20"
Manual do engenheiro civil,Heitor Fabricio,"222,00","111,00"
Manual do frio,P Rapin,"198,00","99,00"
Manual do leiloeiro público,Helcio Kronberg,"122,40","61,20"
Manual do Montador Quadros Elétricos,Jose M. Pares Peraire,"109,20","54,60"
Manual do osciloscópio,Francisco R. Vassallo,"69,60","34,80"
Manual do soldador e ajustador,John P. Stewart,"112,80","56,40"
Manual prático carpinteiro marceneiro,Francis Genette,"87,60","43,80"
"Manual prático de caldeiraria, funilaria e riscagem de chapa",Antonio Ciardulo,"88,80","44,40"
MANUAL PRATICO DE ESTAMPAGEM,ANTONIO VALENCIANO POLACK,"80,40","40,20"
Manual prático de fundição,Jorge Torre,"116,40","58,20"
MANUAL PRATICO DE IOGA,JULIEN TONDRIAU / PIERRE REAL,"51,60","25,80"
Manual prático de máquinas ferramenta,Organizador Maxim Behar,"127,20","63,60"
Manual prático do construtor,Rino Vigorelli,"92,40","46,20"
Manual Prático do Criador de Cães,De Torgui,"111,60","55,80"
Manual Prático do Eletricista,Adriano Motta,"238,80","119,40"
Manual prático do encanador,Sergio Bianchi,"92,40","46,20"
Manual Prático do Ferramenteiro,Organizador Maxim Behar,"99,60","49,80"
Manual prático do mecânico,M. Padovani Crave e Lauro S. Cunha,"229,20","114,60"
Manual prático do xadrez,Frits van Seters,"84,00","42,00"
Manual prático torneiro mecânico e fresador,Tonino Rossetti,"106,80","53,40"
Manual Técnico - desenhista e projetista de máquinas vol 1,Franklin D. Jones,"177,60","88,80"
Manual Técnico - desenhista e projetista de máquinas vol 2,FRANKLIN D. JONES,"177,60","88,80"
