1984 - A DISTOPIA DO INDIVÍDUO,,,,,
JORNALISMO EM TEMPO DE,,,,,
COMPLEXIDADE: imbricações em,Hebe Maria Gonçalves de Oliveira e,,,,
"mídia, política e atores coletivos",Maria Lúcia Becker (org.),R$,"50,00",R$,"25,00"
JUSTIÇA EM TEMPOS,JUSTIÇA EM TEMPOS,,,,
SOMBRIOS: a justiça no,SOMBRIOS: a justiça no,,,,
pensamento de Hannh Arendt 1a,pensamento de Hannah Arendt -,,,,
ed.,1.ed. Atualizada,R$,"30,00",R$,"15,00"
LITERATURA E MULHER: das,,,,,
linhas às entrelinhas,Luísa Cristina dos Santos,R$,"20,00",R$,"10,00"
MANEJO DA IRRIGAÇÃO VIA CLIMA,,,,,
NA CULTURA DA MAÇÃ - Boletim,André Belmont Pereira e Eduardo,,,,
Técnico Cintífico,Augusto Agnellos Barbosa,R$,"15,00",R$,"7,50"
MANUAIS DE REDAÇÃO E,,,,,
JORNALISTAS: estratégias de,,,,,
apropriação,Marcelo Engel Bronosky,R$,"28,00",R$,"14,00"
MANUAL DE NORMALIZAÇÃO,,,,,
BIBLIOGRÁFICA PARA,,,,,
TRABALHOS CIENTÍFICOS - 4.ed.,Maria L. F. Bertholino (Org.),R$,"22,00",R$,"11,00"
"","Anita Helena Schlesener, Gisele",,,,
"","Masson, Maria José Dozza Subtil",,,,
MARXISMO(S) E EDUCAÇÃO,(orgs.),R$,"50,00",R$,"25,00"
MODELAGEM MATEMÁTICA:,,,,,
"perspectivas, experiências,","Celia Finck Brandt, Dionísio Burak e",,,,
reflexões e teorizações - 2.ed.,Tiago Emanuel Klüber (Orgs.),R$,"50,00",R$,"25,00"
MONITORAMENTO DA,,,,,
IRRIGAÇÃO POR MEIO DA,"André B. Pereira, Clinton C. Shock,",,,,
TENSÃO DA AGUA NO SOLO,"Rebecca J. Flock, Luiz Lima e",,,,
(Boletim técnico),Nelson Fernandes,R$,"8,00",R$,"4,00"
MUSICA MIDIÁTICA E O GOSTO,,,,,
MUSICAL DAS CRIANÇAS,Maria José Subtil,R$,"25,00",R$,"12,50"
NAS TRINCHEIRAS DO,,,,,
OCIDENTE: lições sobre fascismo e,,,,,
antifascismo,Gianni Fresu,R$,"55,00",R$,"27,50"
NESTOR VÍTOR - o melhor da,,,,,
crítica,Allan Valenza da Silveira (Org.),R$,"44,00",R$,"22,00"
"",Carlos Henrique Ferreira Camargo,,,,
NEUROLOGIA E CINEMA,(Org.),R$,"70,00",R$,"35,00"
NOÇÕES BASICAS DE,Sergio L. Gadini e Karina Janz,,,,
FOLKCOMUNICAÇÃO,(Orgs),R$,"20,00",R$,"10,00"
NOTAS DE HISTÓRIA E CULTURA,"Hilton Costa, Paulo Vinicius Baptista",,,,
AFRO-BRASILEIRAS - 2.ed.,da Silva,R$,"30,00",R$,"15,00"
O ANARQUISMO EXPERIMENTAL,,,,,
DE GIOVANNI ROSSI,Candido de Mello Neto,R$,"65,00",R$,"32,50"
O ANDARILHO DAS AMÉRICAS:,,,,,
cabeza de vaca - 2.ed.,Olavo Soares,R$,"30,00",R$,"15,00"
O ENIGMA DA PIADA:,,,,,
convergências teóricas e,,,,,
emergência pragmática,Sebastião Lourenço dos Santos,R$,"32,00",R$,"16,00"
"","Adriano Pilatti, Andityas Soares de",,,,
O ESTADO DE EXCEÇÃO E AS,Moura Costa Matos e Murilo Duarte,,,,
FORMAS JURÍDICAS,Costa Corrêa (orgs.),R$,"55,00",R$,"27,50"
O MÍNIMO: 14 breves capítulos,,,,,
para entender os fundamentos da,,,,,
Bioestatística,Marcelo Derbli Schafranski,R$,"30,00",R$,"15,00"
O MOVIMENTO NEGRO EM SÃO,,,,,
PAULO: lutas e identidades,Regina Pahim Pinto,R$,"50,00",R$,"25,00"
"",Jeferson Augusto / Bruno Henrique,,,,
OPERÁRIOS DA BOLA,Ferreira,R$,"15,00",R$,"7,50"
OS ALEMÃES NO PARANÁ: livro,,,,,
do centenário,Francisco L. Paulo Lange (Trad.),R$,"39,00",R$,"19,50"
OS JOVENS E A HISTÓRIA: Brasil,,,,,
e América do Sul,Luís Fernando Cerri (org.),R$,"59,00",R$,"29,50"
"PALMITO PUPUNHA: a espécie,",,,,,
"cultura, manejo agronômico, usos e","Luiz Kulchetscki, Francisco",,,,
processamentos,Chaimsohn e José Gardingo (org.),R$,"20,00",R$,"10,00"
PEIXES DO PARQUE ESTADUAL,,,,
DE VILA VELHA: aspectos da,,,,
história natural da biologia evolutiva,Roberto Ferreira Artoni/ Oscar Akio,,,
e da conservação,Shibatta,R$,"35,00",R$
PESQUISA E EXTENSÃO:,,,,
experiências e perspectivas,Edina Schimanski e Fátima,,,
interdisciplinares,Gonçalves Cavalcante,R$,"46,00",R$
PISADOR DE HORIZONTES,Miguel Sanches Neto,R$,"28,00",R$
POLÍTICA E DIREITO NA,,,,
SUPREMA CORTE NORTE,,,,
AMERICANA: debates teóricos e,,,,
estudos de caso,Andrei Koerner (org.),R$,"55,00",R$
POR UMA CRÍTICA DA,,,,
GEOGRAFIA CRÍTICA,Luis Lopes Diniz Filho,R$,"45,00",R$
POR UMA ESCOLA QUE,,,,
PROTEGE:  a educação e o,,,,
enfrentamento à violência contra,,,,
crianças e adolescentes 2.ed.,Paulo Vinicius e outros (Orgs),R$,"30,00",R$
PROPRIEDADE E FUNÇÃO,,,,
SOCIAL: perspectivas do,,,,
ordenamento hurídico do MST,Jeaneth Nunes Stefaniak,R$,"25,00",R$
"",Denise Gabriel Witzel; Níncia,,,
QUARTO DE DESPEJO,Cecília Ribas Borges Teixeira,R$,"36,00",R$
"REALIDADES, DIÁLOGOS EPERSPECTIVAS NA EDUCAÇÃO DAINFÂNCIA","Marilúcia Antônia de Resende Peroza,Daiana Camargo, Cristiane AparecidaWoytichoski",R$,"39,00",R$
RECORTES DA MIDIA,,,,
ALTERNATIVA,Karina J. Woitowicz (Org),R$,"35,00",R$
"RELAÇÕES ÉTNICO-RACIAIS, DE",,,,
GÊNERO E SEXUALIDADE:,,,,
perspectivas contemporâneas,Aparecida de Jesus Ferreira (org.),R$,"35,00",R$
SABERES E PRÁTICAS DE,,,,
TERRITÓRIOS,,,,
AGROECOLÓGICOS,Nicolas Floriani,R$,"42,00",R$
SISTEMA FAXINAL: terras de,,,,
"plantar, terras de criar",Maria Magdalena Nerone,R$,"44,00",R$
SISTEMA ÚNICO DE,,,,
ASSISTÊNCIA SOCIAL: a proteção,,,,
e o atendimento a família,Cristiane Gonçalves de Souza,R$,"48,00",R$
SOCIEDADE E CIDADANIA:,Maria Antonia de Souza e Lúcia,,,
desafios para o século XXI - 2a ed.,Cortes da Costa (Orgs.),R$,"29,00",R$
SOCIOLOGIA: consensos e,,,,
conflitos,Rita de Cássia S. Oliveira (Org.),R$,"25,00",R$
SURTO,Grace Ignatowicz,R$,"15,00",R$
