ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
9788584800490,CURSOS DE PORTUGUES COMO LINGUA ESTRANGEIRA NO CELIN UFPR: PRATICAS DOC,"NSTAELSTI NE IE, LXYPGEIRAI EMN. CLEIAITSE EM SALA DE AULA","R$      57,00","R$         28,50"
9788573352511,DA CONSTRUCAO AO DESMANCHE,"MAGALHAES FILHO, FRANCISCO DE B. BAP","IRS$T A     30,00","R$         15,00"
9788584801350,"DAS IMAGENS AS LINGUAGENS DO GEOGRAFICO: CURITIBA, A CAPITAL ECOLOGICA","KOZEL, SALETE","R$      45,00","R$         22,50"
9788573352719,DAVID EMILE DURKHEIM A ATUALIDADE DE UM CLASSICO,"OLIVEIRA, MARCIO DE","R$      35,00","R$         17,50"
9788565888073,DECADAS VALIOSAS NA HISTORIA  DA REPRODUCAO HUMANA NO PARANA,"ARNT, IVO CARLOS","R$      60,00","R$         30,00"
8570414560,DEMOCRACIA E PARTICIPACAO - OS CONSELHOS GESTORES DO PARANA,"FUKS, MARIO","R$      38,00","R$         19,00"
9788573352399,DEMOCRATIZACAO DA EDUCACAO SUPERIOR O CASO DE CUBA,"MICHELOTTO, REGINA MARIA","R$      29,00","R$         14,50"
9788584801336,DESCOLONIZANDO METODOLOGIAS:  PESQUISA E POVOS INDIGENAS,"SMITH, LINDA TUHIWAI","R$      55,00","R$         27,50"
857335125X,"DESENHOS, PALAVRAS E NUMEROS: AS MARCAS DA MATEMATICA NA ESCOLA","MORO, MARIA LUCIA FARIA","R$      28,00","R$         14,00"
9788573352115,DESENVOLVIMENTO DA LINGUAGEM ORAL E ESCRITA,"GUIMARAES, SANDRA REGINA KIRCHNER","R$      36,00","R$         18,00"
9788584801121,"DESENVOLVIMENTO DO EU, O: ETICA, POLITICA E JUSTICA EM JOHN STUART MILL","DALAQUA, GUSTAVO HESSMANN","R$      35,00","R$         17,50"
9788584800094,"DESIGN POP NO BRASIL DOS ANOS 1970, O","SANTOS, MARINÊS RIBEIRO DOS","R$      56,00","R$         28,00"
9788584800407,"DIALETICA DO IDEAL, A","SILVA, MARCELO JOSE DE SOUZA E","R$      45,00","R$         22,50"
9788573351927,DIALOGOS COM BAKHTIN,"FARACO, CARLOS ALBERTO","R$      45,00","R$         22,50"
9788565888745,DIARIO DE SANDHOLM,"YAFASOVA, DINA","R$      55,00","R$         27,50"
9788584800131,"DIARIO DO BEAGLE, O","DARWIN, CHARLES","R$      60,00","R$         30,00"
9788573352917,DICIONARIO DE EPONIMOS,"BASSETTI, ENNY ARLETTE PIOLI","R$      42,00","R$         21,00"
8573351039,DIGNIDADE E DIREITOS HUMANOS,"OLIVEIRA, GRAZIELA DE","R$      30,00","R$         15,00"
9788584800469,"DIREITO, MERCANTILIZACAO E JUSTICA","GABARDO, EMERSON","R$      44,00","R$         22,00"
9788584800445,DISSEMINANDO CONHECIMENTOS E PRATICAS: O PIBID NA UFPR,"LORENZETTI, LEONIR","R$      35,00","R$         17,50"
9788573351392,DO ENCANTAMENTO A APOSTASIA: A POESIA BRASILEIRA DE 1880-1919: ANTOLOGIA E E,"TGUILD, OFERNANDO CERISARA","R$      43,00","R$         21,50"
9788565888783,DO SOM AO SINAL,"BOSSEUR, JEAN-YVES","R$      45,00","R$         22,50"
9788584800193,DOGMATISMO E ANTIDOGMATISMO,"FONSECA, EDUARDO RIBEIRO DA","R$      50,00","R$         25,00"
9788565888653,"DUAS CLARICES, AS","CHEREM, LUCIA PEIXOTO","R$      35,00","R$         17,50"
9788584801565,E A CIDADE DESPERTA,"CROWL,HARRY","R$      40,00","R$         20,00"
8573350601,EDITORAS UNIVERSITARIAS NO BRASIL,"BUFREM, LEILHA SANTIAGO","R$      40,00","R$         20,00"
9788584801114,"EDUCACAO DO CAMPO: TERRITORIOS, ESCOLAS, POLITICAS E PRATICAS EDUCACIONAIS","SOUZA, MARIA ANTONIA DE","R$      30,00","R$         15,00"
9788584800803,EDUCACAO E MOVIMENTOS SOCIAIS DO CAMPO ED. 2,"SOUZA, MARIA ANTONIA DE","R$      50,00","R$         25,00"
9788584801312,EDUCACAO FISICA ESCOLAR E DITADURA CIVIL-MILITAR NO BRASIL(1968-1984): ENTRE A,"ODLEIVSEAIOR AE,  AM ARRECSIUSST EANUCRIEAL EIO O TUATBROORSD EASTU","OR$S      50,00","R$         25,00"
9788573352948,"EDUCACAO NA DITADURA CIVIL-MILITAR: POLITICAS, IDEARIOS E PRATICAS (PARANA, 19","4G-1O9N8C5)ALVES, NADIA G. E RANZI, SERLEI M.",".R ($O  R  G  4S0.,)00","R$         20,00"
8573350733,EDUCACAO PERMANENTE DA REUNIFICACAO ALEMA A REFLEXOES E PRATICAS NO BRA,"KILNECHTEL, MARIA DO ROSARIO","R$      23,00","R$         11,50"
9788584800285,EL BUEN VIVIR: INTERCULTURALIDADES Y MUNDIALIZACION,"SKEWES, JUAN CARLOS","R$      30,00","R$         15,00"
9788565888875,ELIAS ALEXANDRE DA SILVA CORREIA,"PEREIRA, MAGNUS ROBERTO DE M.","R$    110,00","R$         55,00"
9788584801251,ELITES EN LAS AMERICAS: DIFERENTES PERSPECTIVAS,"CODATO, ADRIANO NERVO","R$      45,00","R$         22,50"
9788573351408,EM BUSCA DA MENTE MUSICAL,"ILARI, BEATRIZ SENOI","R$      50,00","R$         25,00"
9788565888981,"EMPRESARIOS, DESENVOLVIMENTO, CULTURA E DEMOCRACIA","COSTA, PAULO ROBERTO NEVES","R$      34,00","R$         17,00"
9788573350487,ENGLISH PREPOSITIONS,"WATKINS, MICHAEL;SILVA, CECILIA MENDE","RF$.S  .    25,00","R$         12,50"
9788584801541,ENQUANTO UMA GRANDE CIDADE DORME,"CROWL,HARRY","R$      40,00","R$         20,00"
9788584801640,ENSAIO SOBRE OS LIMITES DE UMA TEORIA SEMIOLÓGICA DA COMUNICAÇÃO,"SOARES, SILNEI SHARTEN","R$      50,00","R$         25,00"
9788584800216,ENSAIOS DE FILOSOFIA EM HOMENAGEM A CARLOS ALBERTO R DE MOURA,"PINTO, DEBORA CRISTINA MORATO","R$      26,00","R$         13,00"
9788573352191,ENSAIOS DE SOCIOLOGIA E HISTORIA INTELECTUAL DO PARANA,"OLIVEIRA, MARCIO DE","R$      40,00","R$         20,00"
9788565888851,ENSAIOS SOBRE A FORMACAO DO ROMANCE BRASILEIRO,"GIL, FERNANDO CERISARA","R$      60,00","R$         30,00"
9788584800117,ENSAIOS SOBRE AS ABELHAS DA REGIAO NEOTROPICAL,"GONCALVES, RODRIGO B.","R$      85,00","R$         42,50"
9788573352689,ENSINAR ALEMAO NO BRASIL,"BOHUNOVSKY, RUTH","R$      34,00","R$         17,00"
9788584801220,EPIGRAMA: CATULO E MARCIAL,"CESILA, ROBSON TADEU","R$      60,00","R$         30,00"
9788584801046,"EQUINOCIO DOS SABIAS, O: AVENTURA CIENTIFICA NO SEU JARDIM TROPICAL","RODRIGUES, MARCOS","R$      30,00","R$         15,00"
8573350105,ERASMO PILOTTO,"PUGLIELLI, HELIO DE FREITAS","R$      14,00","R$           7,00"
9788584801510,ESCREVER ENTRE MUNDOS: LITERATURAS SEM MORADA FIXA,"ETTE, OTTMAR","R$      45,00","R$         22,50"
21763763,ESTADO DA ARTE E PERSPECTIVAS PARA A ZOOLOGIA NO BRASIL,"ROCHA, ROSANA MOREIRA DA. BOEGER,","ARL$T E  R   4A2N,0T0O","RIO$  P        21,00"
8573351764,ESTADOS DA  CRÍTICA,SANTOS ALCIDES CARDOSO DOS,"R$      38,00","R$         19,00"
9788565888042,ESTANTE,"PENTEADO, ANDRE","R$      25,00","R$         12,50"
9788573351798,ESTETICA E CRITICA,FIGURELLI ROBERTO,"R$      35,00","R$         17,50"
9788565888899,"ESTIGMA, DISCRIMINACAO E LEPRA","SOUZA, RICARDO LUIZ","R$      30,00","R$         15,00"
9788573352344,ESTRATEGIAS DE COMUNICACAO INTERATIVA,"UHRY, RICARDO","R$      52,00","R$         26,00"
9788584800032,"ESTREITA PASSAGEM, UMA","FONSECA, EDUARDO RIBEIRO DA","R$      25,00","R$         12,50"
9788573350258,ESTRELINHAS BRASILEIRAS VOL I (COM CD)  ED. 2,"TEIXEIRA, MARIA IGNES SCAVONE","R$      30,00","R$         15,00"
9788565888752,ESTRELINHAS BRASILEIRAS VOL II ( COM CD ),"TEIXEIRA, MARIA IGNES SCAVONE","R$      58,00","R$         29,00"
8573351136,ESTRUTURAS: ENSAIO SOBRE O ROMANCE DE GRACILIANO,"MOURAO, RUI","R$      38,00","R$         19,00"
9788584800155,ESTUDOS SOBRE MOTIVACAO E EMOCAO EM CONGNICAO MUSICAL,"ARAUJO, ROSANE CARDOSO","R$      45,00","R$         22,50"
9788565888394,ETICA E ESTETICA NOS ESTUDOS LITERARIOS,"WEINHARDT, MARILENE","R$      50,00","R$         25,00"
9788573352863,EUTROFIZACAO EM RESERVATORIOS,"CUNHA, CYNARA L. N.","R$      60,00","R$         30,00"
8573351705,EXERCITANDO A CIDADANIA NO CAMPO - A EDUCAÇÃO POPULAR COM TRABALHADORES,SEOMN ITAE FRARTAIMA SCHWENDLER,"R$      39,00","R$         19,50"
9788573351712,"FANTASTICO, O","CESERANI, REMO","R$      45,00","R$         22,50"
9788573352887,FAZENDO MUSICA COM CRIANCAS,"MADALOZZO, TIAGO (ORGANIZADOR)","R$      60,00","R$         30,00"
8573351217,FICCAO HISTORICA E REGIONALISMO - ESTUDO SOBRE ROMANCES DO SUL,"WEINHARDT, MARILENE","R$      36,00","R$         18,00"
