ISBN13,GTIN,"Status dedisponibilidade",Autor,Outros c,Tníttruiblouidores,"Altura (cm)","Largura (cm)","Profundidade (cm)",Peso,Formato,Preço R$,Classificação Thema
9786559100125,9786559100125,Disponível,"Mariani, Roberto",(Traduto,")C Monotroesn doo,  Reescnraitaório",21,14,"1,4",160,Livro capa dura (hardcov,"r) R$ 49,90",
9786559100927,9786559100927,Disponível,"Karamzin, Nikolai Mikháilo",(itTcrha;d Puútoc,")Ck Aionln,m tAoeslie dexa an, noOdvlre Slgaesr gr usésiaesvitch; Gógol,",ik1o4lai,ass2íl1ievit,"h; Turg3uênev,",van S4e2rg1,"éLiievvriotc cha;p Lae dskuorav ,( hNairkdocloavi","re)mRi$ô n7o9v,9it0c","F; BD o- sFtoiciçévãosk: ig, eFriaól d&orl;i tSearáltryikao"
9788572324663,9788572324663,Disponível,"Assis, Machado de",,Contos escolhidos,18,"11,5","1,5",270,Livro brochura (paperbac,") R$ 28,90",FYB - Contos
9788572327473,9788572327473,Disponível,"Azevedo, Arthur",,Contos escolhidos,18,"11,5","2,2",340,Livro brochura (paperbac,") R$ 44,90",FYB - Contos
9788544002179,9788544002179,Disponível,"Assis, Machado de",(Organiz,"dCoorn) tCosh aeussvein,c iJaeiasn Pierre",23,16,"3,8","1.300,00",Livro capa dura (hardcov,"r) R$ 79,90",FYB - Contos
9788572327183,9788572327183,Disponível,"Assis, Machado de",,Contos fluminenses,18,"11,5","1,1",160,Livro brochura (paperbac,") R$ 28,90",FYB - Contos
9788572324786,9788572324786,Disponível,"Lopes Neto, João Simões",,Contos gauchescos,18,"11,5","0,8",130,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9786586014365,9786586014365,Disponível,"Gógol, Nikolai; Alexei, Tols",ó(Ti;r Taduurgtou,")Cn Aeovlnm,t oIevsi adgnaó;, tDOicolesgt rouiésvsosksi, Fiódor; Tchê","ho2v1, A",ton14,1,338,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788544001547,9788544001547,Disponível,"Lovecraft, H. P.",(Traduto,")C Eosntteovse sH, .L Pe.n Litoav; e(Tcrrafdtutor) Porto,",lda21,14,"1,7",270,Livro capa dura (hardcov,"r) R$ 69,90",
9788544000144,9788544000144,Disponível,"Púchkin, Alexandr; Gógol,",(ikToraladiuto,")C Aolnmtoesi drau,s sOolse:g Tomo I",21,14,"1,3",230,Livro brochura (paperbac,") R$ 39,90",
9788544000212,9788544000212,Disponível,"Turguênev, Ivan; Leskov, N",k(Tolraaiduto,")C Aolnmtoesi drau,s sOolse:g Tomo II",21,14,"1,4",240,Livro brochura (paperbac,") R$ 39,90",
9788544001103,9788544001103,Disponível,"Dostoiévski, Fiódor; Gárchi",",( TVrsaêdvuotloo",")C Aolnmtoesi drau,s sOolse:g Tomo III",21,14,"1,9",220,Livro brochura (paperbac,") R$ 39,90",FBC - Ficção clássica
9786586014815,9786586014815,Disponível,"Lovecraft, H. P.",Inglês M,"dCiocen tNoso bvroelugam, eT IhIeIlma",21,14,1,198,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788544001165,9788544001165,Disponível,"Castelo Branco, Camilo",,"Coração, cabeça e estômago",18,"11,5",1,170,Livro brochura (paperbac,") R$ 28,90",FB - Ficção: geral & literária
9788572327893,9788572327893,Disponível,"Rohden, Huberto",,Cosmoterapia,18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",
9786586014679,9786586014679,Disponível,"Dostoiévski, Fiódor",Russo Al,"Ceriidmae,  Oe lceagstigo","18,2","11,6","3,3",325,Livro capa dura (hardcov,"r) R$ 49,90",
9788572329521,9788572329521,Esgotado,"Dostoiévski, Fiódor",(Traduto,")C Arilme ied ac,a sOtilgeog",23,16,"4,5",930,Livro capa dura (hardcov,"r) R$ 99,90",
9788572329538,9788572329538,Disponível,"Dostoiévski, Fiódor",(Traduto,")C Arilme ied aC, aOstlieggo",18,"11,5",3,490,Livro brochura (paperbac,") R$ 44,90",
9788544002162,9788544002162,Disponível,"Dostoiévski, Fiódor",(Traduto,")C Arilme ied ac,a sOtilgeog",23,16,4,499,Livro capa dura (hardcov,"r) R$ 99,90",FB - Ficção: geral & literária
9788572327831,9788572327831,Disponível,"Assis, Machado de",,Crisálidas,18,"11,5","0,6",100,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329453,9788572329453,Disponível,"Assis, Machado de",,Crônicas selecionadas,18,"11,5","1,2",180,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9786559100682,9786559100682,Disponível,"Rostand, Edmond",Francês,"eC Oyrlaivneoi rdae,  RBegrginear aCcélia","18,2",12,"1,4",160,Livro brochura (paperbac,") R$ 28,90",FBC - Ficção clássica
9788544000489,9788544000489,Disponível,"Maquiavel, Nicolau",(Traduto,")D Bae acrkt,e  Ldead gauerra",18,"11,5",1,190,Livro brochura (paperbac,") R$ 28,90",NHW - História militar
9788544002513,9788544002513,Disponível,Aristóteles,,Da arte poética,21,14,1,100,Livro brochura (paperbac,") R$ 49,90",QD - Filosofia
9788544000830,9788544000830,Disponível,Aristóteles,(Traduto,")D Sai lavrat,e M poaéritaic Aa parecida de Oliveira",18,"11,5","0,8",120,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544002254,9788544002254,Disponível,"Wells, Herbert George; Ver","e, Jules;","oDvaesc erasftrt,e lHaso waoa rodc Peahnilolips; Rosny aîn",", J.2 H1 .",14,"1,5",300,Livro capa dura (hardcov,"r) R$ 69,90",FL - Ficção científica
9788572326247,9788572326247,Disponível,"Rohden, Huberto",,De alma para alma,18,"11,5","1,1",170,Livro brochura (paperbac,") R$ 28,90",
9788544001356,9788544001356,Disponível,"Andrade, Mário de",,De Pauliceia Desvairada a Lira Pauli,tan2a1,14,"2,7",590,Livro capa dura (hardcov,"r) R$ 59,90",DC - Poesia
9786559100217,9786559100217,Disponível,"Mafra, Marina",,"De repente, esclerosei",21,14,"2,6",220,Livro capa dura (hardcov,"r) R$ 49,90",
9788572329798,9788572329798,Disponível,"Rohden, Huberto",,Deus,18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",QRAB - Filosofia da religião
9788544000472,9788544000472,Disponível,Plutarco,(Traduto,")D Siiállvoag, oM daor iam Aoprarecida de Oliveira",18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9786559100248,9786559100248,Disponível,"Dostoiévski, Fiódor",Russo Al,"Deiiádraio,  Odloe gsubsolo",23,16,"1,4",220,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9786559100781,9786559100781,Disponível,"Dostoiévski, Fiódor",Russo Al,"Deiiádraio,  Odloe gsubsolo","18,2",12,"1,6",160,Livro capa dura (hardcov,"r) R$ 49,90",FB - Ficção: geral & literária
9788544002346,9788544002346,Disponível,"Dostoiévski, Fiódor",(Traduto,")D Aiálmrioe idoa ,s Oublesgolo",23,16,"1,5",410,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788572328708,9788572328708,Disponível,"Dostoiévski, Fiódor",(Traduto,")D Aiálmrioe idoa ,s Oublesgolo",18,"11,5","0,6",110,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001417,9788544001417,Disponível,"Boétie, Étienne de La",(Traduto,")D Lisincaurrtsho, dCaa semrviirdoão voluntária",21,14,"0,6",160,Livro brochura (paperbac,") R$ 44,90",JP - Política & governo
9788572327534,9788572327534,Disponível,"Descartes, René",(Traduto,")D Fiescrruerisroa ,d Roo mbeérttood Loeal",18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788572325035,9788572325035,Disponível,"Alencar, José de",,Diva,18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572325134,9788572325134,Disponível,"Alighieri, Dante",(Traduto,")D Piivnihneai rCoo, mJ.é Pd.i aXavier",18,"11,5","2,2",400,Livro brochura (paperbac,") R$ 44,90",DC - Poesia
9788572329378,9788572329378,Disponível,"Rousseau, Jean Jacques",(Traduto,")D Roe cseondtrea,t oA nsoacial",18,"11,5","0,8",110,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544000359,9788544000359,Disponível,Montesquieu,(Traduto,")D Foe rersepirírai,t oR doabse rlteois Leal",21,14,"4,5","1.000,00",Livro capa dura (hardcov,"r) R$ 99,90",
9786559100538,9786559100538,Disponível,"de Assis, Machado",,Dom Casmurro,"18,2",12,"1,4",220,Livro capa dura (hardcov,"r) R$ 39,90",
9788572322645,9788572322645,Disponível,"Assis, Machado de",,Dom Casmurro,18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001394,9788544001394,Disponível,"Beccaria, Cesare",(Traduto,")D Gous idmealirtãoess ,e  Tdoarsr pieerni as",21,14,"0,7",170,Livro brochura (paperbac,") R$ 44,90",
9788572328203,9788572328203,Disponível,"Beccaria, Cesare",(Traduto,")D Gous idmealirtãoess ,e  Tdoarsr pieerni as",18,"11,5","0,5",110,Livro brochura (paperbac,") R$ 28,90",
9786559100767,9786559100767,Disponível,"Stoker, Bram",(Traduto,")D Lraágcou lBa ittencourt, Maria Luísa",23,16,"2,6",220,Livro capa dura (hardcov,"r) R$ 49,90",
9788572329712,9788572329712,Disponível,"Jacobs, Joseph",(Ilustrad,"rD) uCeanmdaens,h goi,g Aanletexsa ned orue;t r(oTsr saedruetso fra) nSt","lsvtai2c, 1oVsil",a M14aria,"a1,1",170,Livro brochura (paperbac,") R$ 39,90",
9788544000465,9788544000465,Disponível,"Nietzsche, Friedrich Wilhel",(Traduto,")E Lcoceh bhaoumero, Inês A.",21,14,1,210,Livro brochura (paperbac,") R$ 59,90",QD - Filosofia
9788544000496,9788544000496,Disponível,"Nietzsche, Friedrich",(Traduto,")E Lcoceh bhaoumero, Inês A.",18,"11,5",1,110,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544001073,9788544001073,Disponível,Sófocles,(Traduto,")É Sdeiprroa ,R Oeir d/ eApn; t(íTgroandautor) Regino, S",eli 1M8ar,"a d1e1,5","1,1",200,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788544001370,9788544001370,Disponível,Sófocles,(Traduto,")É Sdeiprroa ,R Oeir d/ eApn; t(íTgroandautor) Regino, S",eli 2M1ar,a de14,"1,2",270,Livro brochura (paperbac,") R$ 49,90",DD - Peças de teatro
9788572321617,9788572321617,Disponível,"Rohden, Huberto",,Einstein,18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",
9788572327541,9788572327541,Disponível,"Rotterdam, Erasmo de",(Traduto,")E Blorganiod ãdoa,  lPouauculor aSergio",18,"11,5","0,5",110,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788572327459,9788572327459,Disponível,"Rohden, Huberto",,Em comunhão com Deus,18,"11,5","0,7",120,Livro brochura (paperbac,") R$ 28,90",
9788572328777,9788572328777,Esgotado,"Austen, Jane",(Traduto,")E Zmamrdaini, Adriana Sales",21,14,4,600,Livro brochura (paperbac,") R$ 59,90",FR - Literatura romântica
9788544001981,9788544001981,Disponível,"Austen, Jane",(Traduto,")E Zmamrdaini, Adriana Sales",21,14,"3,7",560,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788544002001,9788544002001,Disponível,Virgílio,(Traduto,")E Mneeinddaes, Manuel Odorico",23,16,"2,2",410,Livro capa dura (hardcov,"r) R$ 79,90",FBC - Ficção clássica
9788572324939,9788572324939,Disponível,"Assis, Machado de",,Esaú e Jacó,18,"11,5","1,1",180,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329446,9788572329446,Disponível,"Alves, Castro",,Espumas flutuantes,18,"11,5","0,9",160,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788544001349,9788544001349,Disponível,Aristóteles,(Traduto,")É Stiocuaz a ,N Licuôcmianaoco Ferreira de",21,14,"1,5",350,Livro brochura (paperbac,") R$ 49,90",
9788544001011,9788544001011,Disponível,Aristóteles,(Traduto,")É Stiocuaz a ,N Licuôcmianaoco Ferreira de",18,"11,5","1,3",230,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544001301,9788544001301,Disponível,"Durkheim, Émile",(Traduto,")É Ctiacsat aen shoecirioa,l oPgaiua ldoa C mézoarral",21,14,1,160,Livro brochura (paperbac,") R$ 44,90",JHB - Sociologia
9788572324779,9788572324779,Disponível,"Anjos, Augusto dos",,Eu e outras poesias,18,"11,5","1,1",170,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572329972,9788572329972,Disponível,"Herculano, Alexandre",,"Eurico, o presbítero",18,"11,5","1,1",140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001509,9788544001509,Disponível,Esopo,(Traduto,")F Cábreuplasldi, Clara",21,14,"1,3",270,Livro brochura (paperbac,") R$ 49,90",
9788544001448,9788544001448,Disponível,"La Fontaine, Jean de",(Traduto,)F Vábáuriloas tradutores,21,14,"1,4",340,Livro brochura (paperbac,") R$ 49,90",
9788572328630,9788572328630,Disponível,La Fontaine,(Traduto,")F Bábouclaagse d; e(T Lra dFuotnotra)i nPearanapicaba,",arã1o8 de,"11,5","1,2",220,Livro brochura (paperbac,") R$ 28,90",
9788572327824,9788572327824,Disponível,"Assis, Machado de",,Falenas,18,"11,5","0,8",120,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572325011,9788572325011,Disponível,"Vicente, Gil",,Farsa de Inês Pereira,18,"11,5","0,8",120,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788544001196,9788544001196,Disponível,"Von Goethe, Johann Wolfga",(gTraduto,")F Oaurnsteollas, Agostinho",23,16,"3,3",950,Livro capa dura (hardcov,"r) R$ 99,90",DD - Peças de teatro
9788572327381,9788572327381,Disponível,"Rohden, Huberto",,Filosofia Contemporânea,18,"11,5","0,9",150,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544001745,9788544001745,Disponível,"Rohden, Huberto",,Filosofia cósmica do evangelho,23,16,"1,6",440,Livro brochura (paperbac,") R$ 49,90",
9788572327282,9788572327282,Disponível,"Rohden, Huberto",,Filosofia da Arte,18,"11,5","0,7",110,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788572324366,9788572324366,Disponível,"Whitman, Walt",(Traduto,")F Molehiarsa ,d Le urceilavnao Alves",18,"11,5","2,5",395,Livro brochura (paperbac,") R$ 44,90",DC - Poesia
9786559100705,9786559100705,Disponível,"Shelley, Mary",Inglês Le,"Fl rFaenrkreinrsat,e Rinoberto",23,16,"2,8",220,Livro capa dura (hardcov,"r) R$ 49,90",
9788572327701,9788572327701,Disponível,"Shelley, Mary",(Traduto,")F Fraenrrkeeinras,t eRinoberto Leal",18,"11,5","1,1",170,Livro brochura (paperbac,") R$ 28,90",FL - Ficção científica
9788544001455,9788544001455,Disponível,"Shelley, Mary; Stevenson, R",(bTerratd Luotou,"s)F ;L rSaetnaoklk eFeners,r trBeeirinra am/,  OR ombéedrtioco;  (eT ora mduotnosrt)r o",o/  DN2ra3ásccui,"aen1to6, C","bral; (T4,r5adutor",Lago9 B0i0t,"eLnicvorou rct,a pMaa driuar aL u(hísaardcov","r) R$ 99,90",
9788572328135,9788572328135,Disponível,"Shelley, Mary; Stevenson, R",bert Lou,"sF; rSatnokceknesrt,e Binr aomu o Prometeu modern",/ O21 mé,ico1 e4 o,"onstro3 /, 5Drácu",a510,Livro brochura (paperbac,") R$ 49,90",
9788572325301,9788572325301,Disponível,"Garrett, Almeida",,Frei Luís de Sousa,18,"11,5","0,9",110,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788544001998,9788544001998,Disponível,"Kant, Immanuel",(Traduto,")F Luonhdbamaueenrt,a Içnãêos dAa. metafísica dos co",tum21es,14,"0,7",160,Livro brochura (paperbac,") R$ 44,90",
9788572327640,9788572327640,Disponível,"Duguit, Léon",(Traduto,")F Puungdlaiemsei,n Mtoásrdcoio Direito",18,"11,5","0,6",110,Livro brochura (paperbac,") R$ 28,90",
9788544001639,9788544001639,Disponível,"Nietzsche, Friedrich Wilhel",(Traduto,")G Leonhebaalougeira, dInaê ms Aor.al",21,14,"1,5",320,Livro brochura (paperbac,") R$ 59,90",
9786559100712,9786559100712,Disponível,"Dostoiévski, Fiódor",(Traduto,")G Aelnmtee iPdoab, rOe le gA Anfitriã",23,16,3,249,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9786559100491,9786559100491,Disponível,"Dostoiévski, Fiódor",Portuguê,"GAelnmte iPdao,b Orel eg A Anfitriã",23,16,"3,1",315,Livro capa dura (hardcov,"r) R$ 69,90",
9788544001967,9788544001967,Disponível,"Lovecraft, H. P.",(Traduto,")G Proarntdoe, sA clodnat;o(sTradutor) Esteves, Le",ita2 M3 ar,a Ri1m6oli,"6,1","1.700,00",Livro capa dura (hardcov,"rR) $ 149,90",FB - Ficção: geral & literária
9788544001110,9788544001110,Disponível,"Lovecraft, H. P.",(Traduto,")G Proarntdoe, sA clodna;t o(sTradutor) Esteves, Le",ita2 M3 ar,a Ri1m6oli,6,"1.690,00",Livro capa dura (hardcov,"rR) $ 149,90",FL - Ficção científica
9788572329828,9788572329828,Disponível,"Matos, Gregório de",,Gregório de Matos,18,"11,5","1,2",190,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9786559100545,9786559100545,Disponível,"de Assis, Machado",,Helena,"18,2",12,"1,6",220,Livro capa dura (hardcov,"r) R$ 39,90",FB - Ficção: geral & literária
9788572325363,9788572325363,Disponível,"Assis, Machado de",,Helena,18,"11,5",1,170,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329705,9788572329705,Disponível,"Jacobs, Joseph",(Ilustrad,"rH) eCraómis amnhuoit,o A elsepxearntodsre; (Tradutor) L",hb2a1uer,Inê1s4 A.,"1,2",190,Livro brochura (paperbac,") R$ 39,90",
9788572329316,9788572329316,Disponível,"Assis, Machado de",,Histórias da meia-noite,18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572328227,9788572328227,Disponível,"Lovecraft, Howard Philips",(Traduto,")H Eistóervieas,  dLee nhiotrar oMraria Rimoli",18,"11,5",1,150,Livro brochura (paperbac,") R$ 28,90",FM - Literatura fantástica
9788544001226,9788544001226,Disponível,"Kipling, Rudyard",(Ilustrad,"rH) iMstóagrinaos ,d Seé Mrgoiow; g(Tliradutor) Linarth,",Ca2s3emi,o16,2,560,Livro brochura (paperbac,") R$ 69,90",
9788572329491,9788572329491,Disponível,"Kipling, Rudyard",(Traduto,")H Lisintóaritahs, dCea sMemowirogli",18,"11,5","1,2",210,Livro brochura (paperbac,") R$ 28,90",FM - Literatura fantástica
9788572328234,9788572328234,Disponível,"Poe, Edgar Allan",(Traduto,")H Fisitttóipriaalsd ie,x Etrlaiaonred;i n(Tárriadsutor) Orberg",K1at8ia,"ar1ia1,5","0,7",130,Livro brochura (paperbac,") R$ 28,90",
9788544000410,9788544000410,Disponível,"Perrault, Charles",(Ilustrad,"rH) iCsteórrvieags loieur ic, oRnatfoase dl eN ouunterso;r (aTradut",r) 2C3ord,"iro,1 R6en","ta1,2",320,Livro capa dura (hardcov,"r) R$ 44,90",
9788544001561,9788544001561,Disponível,"Dostoiévski, Fiódor",(Traduto,")H Aulmielhidaad,o Os lee gofendidos",23,16,"2,8",640,Livro capa dura (hardcov,"r) R$ 99,90",FR - Literatura romântica
9788544002230,9788544002230,Disponível,"Dostoiévski, Fiódor",(Traduto,")H Aulmielhidaad,o Os lee gofendidos",23,16,"2,8",798,Livro capa dura (hardcov,"r) R$ 99,90",FB - Ficção: geral & literária
9788572328951,9788572328951,Disponível,"Assis, Machado de",,Iaiá Garcia,18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572325172,9788572325172,Disponível,"Dias, Gonçalves",,I-Juca Pirama,18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788544000441,9788544000441,Disponível,"Kempis, Tomás de",(Traduto,")I mMiatarçtiãnos ,d Leu Cisr iFsetornando",18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",
9786559100729,9786559100729,Disponível,"Dostoiévski, Fiódor",Russo Al,"Ineíicdiao, eO fleimg",23,16,"1,4",220,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9786559100798,9786559100798,Disponível,"Dostoiévski, Fiódor",Russo Al,"Ineíicdiao, eO Fleigm","18,2",12,"2,6",220,Livro capa dura (hardcov,"r) R$ 49,90",FB - Ficção: geral & literária
9788544002148,9788544002148,Disponível,"Dostoiévski, Fiódor",(Traduto,")I nAíclmioe eid faim, Oleg",23,16,"2,8",720,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788572322720,9788572322720,Disponível,"Taunay, Visconde de",,Inocência,18,"11,5",1,170,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572322744,9788572322744,Disponível,"Alencar, José de",,Iracema,18,"11,5","0,7",140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544002353,9788544002353,Disponível,"Brontë, Charlotte",(Traduto,")J aDnuea Ertyer, eAnna; (Tradutor) Duarte, C",rlo2s1,14,"4,2",350,Livro capa dura (hardcov,"r) R$ 99,90",
9788572329996,9788572329996,Disponível,"Brontë, Charlotte",(Traduto,")J aDnuea Ertyer, eCarlos; (Tradutor) Duarte,",nn2a1,14,4,810,Livro brochura (paperbac,") R$ 69,90",FB - Ficção: geral & literária
9788572329781,9788572329781,Disponível,"Gibran, Khalil",(Traduto,")J eMsuasrt,i nos f,i lLhuoi zd oF ehronmanedmo",18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572327343,9788572327343,Disponível,"Shakespeare, William",(Traduto,")J úNluion eCsé, sCararlos Alberto",18,"11,5","0,8",140,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788572328616,9788572328616,Disponível,Vatsyayana,(Traduto,")K Saamntaa rSruittar,a Marcos",18,"11,5",1,160,Livro brochura (paperbac,") R$ 28,90",
9786559100620,9786559100620,Disponível,"Conan Doyle, Arthur",Inglês Li,"aKrtiht ,S Chearsleomckir oH;o (lTmreasdutor) Porto, Al",a21,14,"8,4",725,Livro capa dura (hardcov,"rR) $ 149,70",
9786559100606,9786559100606,Disponível,"Conan Doyle, Arthur",Inglês Li,"aKrtiht ,S Chearsleomckir oH;o Ilnmgelêss Porto, Alda",21,14,"7,5",721,Livro capa dura (hardcov,"rR) $ 149,70",
9786559100613,9786559100613,Disponível,"Conan Doyle, Arthur",Inglês Li,"aKrtiht ,S Chearsleomckir oH;o (lTmreasdutor) Porto, Al",a21,14,8,410,Livro capa dura (hardcov,"rR) $ 149,70",
9788544002803,9788544002803,Disponível,"Austen, Jane",(Traduto,")L Radimy oSlui sPainse ett ao,u Ltreans ihtai sMtóariraias",21,14,"2,7",435,Livro capa dura (hardcov,"r) R$ 69,90",FV - Romance histórico
9788544000014,9788544000014,Disponível,"Hobbes, Thomas",(Traduto,")L Aevnigaitnãa, ,o Ruo Msinataéria, forma e poder d",um21 es,ado 1e4cles,"stico 2e ,c8ivil",580,Livro brochura (paperbac,") R$ 59,90",
9788572323420,9788572323420,Disponível,"Azevedo, Álvares de",,Lira dos vinte anos,18,"11,5","1,2",180,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572328371,9788572328371,Disponível,Salomão,(Traduto,")L Sivtororn diolso p, rIvoovérbios de Salomão",18,"11,5","0,7",110,Livro brochura (paperbac,") R$ 28,90",QRMF1 - Bíblias
9788572325295,9788572325295,Disponível,"Alencar, José de",,Lucíola,18,"11,5","0,8",120,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000281,9788544000281,Disponível,"Olímpio, Domingos",,Luzia-homem,18,"11,5","1,2",200,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001097,9788544001097,Disponível,"Andrade, Mário de",,Macunaíma,18,"11,5","0,8",150,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000373,9788544000373,Disponível,"Flaubert, Gustave",(Traduto,")M Vaidllams-Be oBaosv, aHryerculano",23,16,"3,5",690,Livro capa dura (hardcov,"r) R$ 99,90",
9788572321129,9788572321129,Disponível,"Rohden, Huberto",,Mahatma Gandhi,18,"11,5",1,220,Livro brochura (paperbac,") R$ 28,90",
9788544000083,9788544000083,Disponível,"Marx, Karl; Engels, Friedric",(Traduto,")M Maanriftoesraton od,o L puacritaidno cCoamviunniista",21,14,"1,6",260,Livro brochura (paperbac,") R$ 49,90",JPF - Ideologias políticas
9788572324182,9788572324182,Disponível,"Marx, Karl; Engels, Friedric",(Traduto,")M Maanriftoesraton od,o L Puacritaindo Caovminuinista",18,"11,5","0,7",130,Livro brochura (paperbac,") R$ 28,90",JP - Política & governo
9788572326407,9788572326407,Disponível,"Prévost, Abade",(Traduto,")M Oalnivoeni rLa,e sRceaguitna Célia de",18,"11,5","0,8",130,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572328760,9788572328760,Esgotado,"Austen, Jane",(Traduto,")M Paonrtsofi,e Aldl dPaark",21,14,"3,5",610,Livro brochura (paperbac,") R$ 59,90",FR - Literatura romântica
9788544001905,9788544001905,Disponível,"Austen, Jane",(Traduto,")M Paonrtsofi,e Aldl dPaark",21,14,"3,6",540,Livro capa dura (hardcov,"r) R$ 69,90",FB - Ficção: geral & literária
9788544001059,9788544001059,Disponível,"Austen, Jane",(Traduto,")M Faenrrsefierald,  RPoarbke r/t oE mLemaal  / A abadia d",No2r3th,nger16,4,"1.150,00",Livro capa dura (hardcov,"r) R$ 99,90",
9788544001493,9788544001493,Disponível,"Marx, Karl",(Traduto,")M Maanrutsocrraintos, Lecuocniaônmoi cCoa-vfilnoisóficos",21,14,"2,5",460,Livro brochura (paperbac,") R$ 59,90",KC - Economia
9788572323451,9788572323451,Disponível,"Nivaldo Junior, José",,"Maquiavel, o poder",18,"11,5","0,9",130,Livro brochura (paperbac,") R$ 28,90",
9788572325165,9788572325165,Disponível,Tomás Antônio Gonzaga,,Marília de Dirceu,18,"11,5",1,170,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572326117,9788572326117,Disponível,Eurípedes,(Traduto,")M Seildvéeiiara, Miroel; (Tradutor) Gonçal","es,1 J8uni","Si1lv1e,5ira","0,7",100,Livro brochura (paperbac,") R$ 28,90",DD - Peças de teatro
9788572326254,9788572326254,Disponível,"Assis, Machado de",,Memorial de Aires,18,"11,5",1,140,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544001219,9788544001219,Disponível,"Dostoiévski, Fiódor",(Traduto,")M Aelmóeirdiaas, dOal ecgasa dos mortos",23,16,2,630,Livro capa dura (hardcov,"r) R$ 79,90",
9788544002247,9788544002247,Disponível,"Dostoiévski, Fiódor",(Traduto,")M Aelmóeirdiaas, dOal ecgasa dos mortos",23,16,"2,2",640,Livro capa dura (hardcov,"r) R$ 89,90",FB - Ficção: geral & literária
9786586014303,9786586014303,Disponível,"Conan Doyle, Arthur",(Traduto,")M Peomrtoó,r iAasl ddae Sherlock Holmes",21,14,"2,5",610,Livro capa dura (hardcov,"r) R$ 49,90",
9788572329286,9788572329286,Disponível,"Doyle, Arthur Conan",(Traduto,")M Peomrtoó,r iAasl ddae Sherlock Holmes",18,"11,5","1,2",180,Livro brochura (paperbac,") R$ 28,90",FF - Literatura policial
