9788578160425,597289,TÉCNICA DE ALEXANDER,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/tecnica-de-alexander-597289/p
9788578161477,747218,TERRA DE ÍNDIO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/terra-de-indio-747218/p
9788578160937,695465,TRANSNACIONALIZAÇÃO RELIGIOSAS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/transnacionalizacao-religiosa-695465/p
"",,TROCANDO EM MIÚDOS AS MINHAS,,
9788578162023,822201,CANÇÕES,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/trocando-em-miudos-as-minhas-cancoes-822201/p
9788578161583,762095,"ÚLTIMA COISA, A",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-ultima-coisa-762095/p
9788578161095,707486,UM PASSEIO PELA VIA LACTEA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/um-passeio-pela-via-lactea-707486/p
9788578161941,778636,UM TÁXI PARA OS BICHOS DE PELÚCIA,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/um-taxi-para-os-bichos-de-pelucia-778636/p
9788578160326,544063,"VIAGEM A NAPOLES, A",TERCEIRO NOME,https://www.martinsfontespaulista.com.br/a-viagem-a-napoles-544063/p
9788578160357,578219,VINHOS NO MAR AZUL,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/vinhos-no-mar-azul-578219/p
9788578160432,595834,VISÃO DE JOGO,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/visao-de-jogo-595834/p
9788578162849,881068,VIRGÍNIA ARTIGAS,TERCEIRO NOME,https://www.martinsfontespaulista.com.br/virginia-artigas-881068/p
