"",,,
ReferenciaProdutoR$ Valor,"Cupom  Desc (*)PROMOUSP5021",,
9788580631197,Italiano essencial (+Cd de áudio,"66,55","33,28"
9788580631517,Jack & Alice,"33,88","16,94"
9788533609105,Jean Nouvel,"83,49","41,75"
9788580630671,Jesus de Nazaré,"72,60","36,30"
9788533613782,"Jim Knopf e Lucas, o maquinista","59,29","29,65"
9788533615465,Jim Knopf e os 13 piratas,"59,29","29,65"
9788561635350,"Jogo, set e dividida","47,19","23,60"
9788580630640,Josephine na era do jazz,"47,19","23,60"
9788561635503,Kafka e a boneca viajante,"47,19","23,60"
9788533621206,Kalila e Dimna,"95,59","47,80"
9788580630459,Kitano por Kitano,"60,50","30,25"
9788580630480,"Lágrimas do Rio, As: O último di","53,24","26,62"
9788533623507,Lancelot - Romance do século X,"I96,80","48,40"
9788533605244,"Lei do amor, A","90,75","45,38"
9788533620926,Leitura e anotações,"59,29","29,65"
9788533614314,"Leitura, literatura e escola: Sob","59,29","29,65"
9788580633726,"Leviatã ou matéria, forma e pod","133,10","66,55"
9788580632385,Léxico da música para crianças,"71,39","35,70"
9788580631432,Léxico de compositores para jov,"90,75","45,38"
9788580633894,Liberta Cinderella,"42,90","21,45"
9788533610286,Lico de boné novo,"47,19","23,60"
9788533610255,Lico na praia,"47,19","23,60"
9788533610262,Lico no barbeiro,"47,19","23,60"
9788580632088,Lições de arquitetura,"119,79","59,90"
9788533619753,Lições de Português,"54,45","27,23"
9788533620018,"Linguagem da propaganda, A","66,55","33,28"
9788533614376,Literatura doutrinaria na côrte,"108,90","54,45"
9788580632262,Livro da sabedoria,"54,45","27,23"
9788533620292,Livro do contador de histórias c,"60,50","30,25"
9788533613911,"Livro dos amores, O: Contos da","78,65","39,33"
9788580630305,Livro dos pequenos chupa-tinta,",36,30","18,15"
9788533612754,"Lobo instruído, Um","54,45","27,23"
9788580632347,"Lobo que caiu do livro, O","30,25","15,13"
9788561635039,"Lusíadas para crianças, Os - Er","47,19","23,60"
9788580630350,Luz e sombras: uma experiência,"21,78","10,89"
9788580632927,Mafalda todas as tiras,"96,80","48,40"
9788599102602,Mãos de Le Corbusier,"48,40","24,20"
9788561635336,Matéria em movimento - A ilus,"72,60","36,30"
9788533612730,Max,"66,55","33,28"
9788561635220,Máximas e pensamentos & cara,"59,29","29,65"
9788561635626,Máximas e pensamentos de Ho,"o38,72","19,36"
9788599102770,Mazagão - A cidade que atraves,"95,59","47,80"
9788533606098,Memória de elefante,"48,40","24,20"
9788533622067,Memórias de um sargento de m,"l59,29","29,65"
9788533610057,Memórias de um sequestrado,"72,60","36,30"
9788580633436,"Menino das águas, O","42,90","21,45"
9788533604803,"Mente humana, A","90,75","45,38"
9788580630824,"Mente profunda, Uma","42,35","21,18"
9788580633870,"Mentiras que eles contam, As:","64,90","32,45"
9788533619821,"Mentirosa urna, A","71,39","35,70"
9788580633474,"Metafísica da felicidade real, A","31,90","15,95"
9788533621817,Métodos críticos para a análise,"i78,65","39,33"
9788533615724,Meu depoimento sobre o esqua,"78,65","39,33"
9788561635312,Meus contos africanos,"78,65","39,33"
9788580630831,Meus contos de fadas preferido,"62,92","31,46"
9788599102268,Minha descoberta da América,"48,40","24,20"
9788577070053,Minha fuga sem fim: Dos anos d,"71,39","35,70"
9788580630909,Minhas estórias do jardim de in,"62,92","31,46"
9788533619807,Minhas memórias,"62,92","31,46"
9788533621688,Mini dicionário (Espanhol-Portu,"24,20","12,10"
9788533621695,Mini dicionário (Inglês-Portugu,"24,20","12,10"
9788580630442,Minidicionário prático Alemão,"42,35","21,18"
9788580632804,Mochileiro e peregrino: A pé pe,"47,19","23,60"
9788533621060,Modelos de partido,"127,05","63,53"
9788533620094,Modo heterogêneo de constitui,"ã90,75","45,38"
9788533612839,Momentos decisivos da História,"90,75","45,38"
9788580631814,"Moral universal, A:  Ou os dev","59,29","29,65"
9788533621565,"Morte como pena, A","66,55","33,28"
9788580630558,"Morte do divino Sócrates, A – C","36,30","18,15"
9788533600355,"Morte do Rei Artur, A","60,50","30,25"
9788561635848,Movimentos de pensamento -,"iá48,40","24,20"
9788533621275,"Murmúrio dos fantasmas, O (*)","62,92","31,46"
9788561635176,"Música desperta o tempo, A","59,29","29,65"
9788599102800,"Música na corte de D. João Vi, A","71,39","35,70"
9788533612150,"Músicos de Bremen, Os","48,40","24,20"
9788561635442,Na arca às oito,"42,35","21,18"
9788580631401,Na terra do nunca-jamais,"96,80","48,40"
9788533606135,Não quero ir para cama,"48,40","24,20"
9788580633337,Nascemos para caminhar: O po,"e42,90","21,45"
9788533619791,"Natureza do processo judicial, A","48,40","24,20"
9788580631159,Natureza maluca,"48,40","24,20"
9788533623019,"Necessidade é a maior virtude,","87,12","43,56"
9788533619180,"Neutro, O","96,80","48,40"
