"",,,
ReferenciaProdutoR$ Valor,"Cupom  Desc (*)PROMOUSP5021",,
9788580633030,Por aqui passou Francisco: 350,"59,29","29,65"
9788580633016,Por dentro da fantástica fábrica,"107,69","53,85"
9788533621343,Por que nosso filho tem proble,"78,65","39,33"
9788580632576,Por uma simplicidade feliz,"30,25","15,13"
9788533606104,Porque o leão deixou de ser o r,"48,40","24,20"
9788599102442,Portuguêse phrase book & dicti,"47,19","23,60"
9788561635114,Pós-Produção - Como a arte re,"33,88","16,94"
9788533612174,"Pote vazio, O","53,24","26,62"
9788533617391,"Potentes, prepotentes e impote","78,65","39,33"
9788599102176,Pragmatismo e política,"59,29","29,65"
9788533605824,"Prática da crítica literária, A","90,75","45,38"
9788533608603,"Prazeres do sexo, Os","108,90","54,45"
9788533609204,"Princesa sabichona, A","48,40","24,20"
9788533612921,Príncipe Cinderelo,"48,40","24,20"
9788533612914,Príncipe Pedro e o ursinho,"48,40","24,20"
9788580633535,"Príncipe, O","65,89","32,95"
9788533616738,Processo de alfabetização,"60,50","30,25"
9788533611603,"Processo de criação, O","59,29","29,65"
9788580630091,"Progress of love, The | Death b","36,30","18,15"
9788533623606,"Psicanálise do fogo, A","59,29","29,65"
9788533614185,Psicologia de massas do Fascis,"95,59","47,80"
9788533622289,Psicologia e pedagogia da crian,"119,79","59,90"
9788533613584,Psychopathia sexualis,"84,70","42,35"
9788580630244,Quando nada está acontecendo,"72,60","36,30"
9788533619418,Quanta bondade!,"78,65","39,33"
9788580631609,"Quatro rios, Os","47,19","23,60"
9788533617490,Que é democracia? O,"95,59","47,80"
9788533613980,Que é justiça? O,"95,59","47,80"
9788599102190,Que é o ocidente? O,"60,50","30,25"
9788599102244,Que Fazer? - A organização com,"83,49","41,75"
9788533617599,Que gente má!,"78,65","39,33"
9788533617629,"Que se deve ensinar aos filhos,","48,40","24,20"
9788580633764,"Questão de princípio, Uma","114,95","57,48"
9788533617735,Questões sobre os milagres,"54,45","27,23"
9788580630138,Radicante - Por uma estética da,"58,08","29,04"
9788580630039,Radio show - Aprenda Inglês co,"58,08","29,04"
9788533617216,Raízes históricas do conto mara,"121,00","60,50"
9788599102596,"Razões do amor, As","42,35","21,18"
9788580633696,"Rebelião das massas, A","72,49","36,25"
9788580630107,Recitatif | To room nineteen (+,"36,30","18,15"
9788580632651,Redação e textualidade,"54,45","27,23"
9788533613645,Redação na vida profissional: Se,"59,29","29,65"
9788580631371,"Regras do método sociológico,","59,29","29,65"
9788561635244,"Reino deste mundo, O","39,93","19,97"
9788533617193,Reis e planetas,"47,19","23,60"
9788580631333,"República, A","102,85","51,43"
9788580631753,Ressurgimento e a unificação d,"I38,72","19,36"
9786555540055,Retórica das paixões,"45,32","22,66"
9788533620179,Retóricas,"107,69","53,85"
9771806289005,Revista Sibila 10,"48,40","24,20"
9771806289004,Revista Sibila 11,"48,40","24,20"
9788533602175,Ricardo coração de Leão: Histór,"84,70","42,35"
9788561635824,"Romance de Amadis, O","48,40","24,20"
9788533601772,Romanceiro gitano e outros po,"84,70","42,35"
9788533623279,Romeu e Julieta | Macbeth | H,"n47,19","23,60"
9788533614772,"Roupa nova do imperador, A","48,40","24,20"
9788580633597,"Roupa nova do imperador, A","48,40","24,20"
9788533603851,Roupas íntimas: O tecido da sed,"50,82","25,41"
9788580631203,Russo essencial (+Cd de áudio),"66,55","33,28"
9788561635381,Russo para o dia a dia (+Cd de á,"51,81","25,91"
9788533606159,Se correr o bicho pega,"48,40","24,20"
9788533623521,Segmentação na escrita infantil,"59,29","29,65"
9788580633719,Sem trama e sem final: 99 cons,"l48,40","24,20"
9788533619449,Seminário na selva,"59,29","29,65"
9788599102633,Senhora Lafarge - Lembranças í,"71,39","35,70"
9788561635459,Ser bambu,"47,19","23,60"
9788580630169,Ser lobo,"42,35","21,18"
9788580632002,Sete de um golpe só – As mais li,"24,20","12,10"
9788533623910,"Sinais e símbolos: desenho, proj","107,69","53,85"
9788580632477,Sintaxe da linguagem visual,"90,75","45,38"
9788561635657,Sistema da natureza ou das leis,"95,59","47,80"
9788580633504,Skellig,"47,19","23,60"
9788533619678,"Só mundo, Um: A ética da globa","72,60","36,30"
9788533614703,Sobre a infinidade do amor,"36,30","18,15"
9788580630664,Sobre a miséria humana no mei,"33,88","16,94"
9788580632330,Sobre as ruínas do museu,"89,54","44,77"
9788533620667,Sobre o ensino (De Magistro) |,"53,24","26,62"
9788533619272,Sobre o ofício do escritor,"36,30","18,15"
9788533623576,"Sofrimentos do jovem Werther,","59,29","29,65"
9788533608146,Solidão,"102,85","51,43"
9788580630602,Sonhos contados às crianças cur,"33,88","16,94"
9788580630046,Sonny’s blues | A Piece of steak,"36,30","18,15"
9788533611320,Subterrâneos da cidade,"59,29","29,65"
9788580630749,Superexposição,"60,50","30,25"
9788533601239,"Surrealismo, O (*)","30,25","15,13"
9788580633733,Técnica de redação: O que é pr,"59,29","29,65"
9788599102503,Técnica para o ator - A arte da i,"66,55","33,28"
9788580630336,Teologia portátil ou dicionário a,"26,62","13,31"
9788580632675,"Teoria da justiça, Uma","145,20","72,60"
9788580633740,Teoria da literatura - Uma intro,"102,85","51,43"
9788533623538,Teoria do vínculo,"59,29","29,65"
9788561635640,Teoria geral do direito,"83,49","41,75"
9788580632668,Teoria geral do direito e do esta,"133,10","66,55"
9788533622746,Teoria geral do estado,"145,20","72,60"
9788533621237,"Texto, crítica, escritura","59,29","29,65"
9788561635480,Toda Mafalda,"180,29","90,15"
9788580633887,Totó,"48,40","24,20"
9788580632521,"Trabalho do ator, O - Diário de","145,20","72,60"
9788561635930,Tradução: Teoria e prática,"71,39","35,70"
9788533611788,"Tragédia de Hamlet, A – Príncip","71,39","35,70"
9788580630152,Trajetória crítica,"59,29","29,65"
9788561635022,Tratado da magia,"47,19","23,60"
9788580633498,Tratado de arquitetura,"84,70","42,35"
9788533619661,Tratado de direito natural,"72,60","36,30"
9788599102237,Três Russos e como me tornei e,"66,55","33,28"
9788580630596,Tropical spray: Viagem ao coraç,"o62,92","31,46"
9788533620902,Tudo o que você jamais deveria,"s70,18","35,09"
9788580630817,Tudo vai dar certo,"48,40","24,20"
9788533622319,"Túmulo do fanatismo, O","59,29","29,65"
9788577070022,"Última floresta, A: A Amazônia","78,65","39,33"
9788580633542,Ursinho Pooh,"43,89","21,95"
9788580633559,Ursinho Pooh constrói uma cas,"42,90","21,45"
9788580633191,Usos da linguagem: problemas,"t82,50","41,25"
9788533620513,Várias histórias,"66,55","33,28"
9788580633580,Vendedor de palmadas e outros,"36,30","18,15"
9788533621671,Verdade e interpretação,"78,65","39,33"
9788533607446,"Viagens, As","59,29","29,65"
9786555540048,"Viagens do Doutor Dolittle, As","58,19","29,10"
9788533607620,"Vida na terra, A","133,10","66,55"
9788561635404,Villa-Lobos: O florescimento da,"66,55","33,28"
9788533619685,Visão a partir de lugar nenhum,"96,80","48,40"
9788599102220,Visão da América,"59,29","29,65"
9788580633665,"Visão Dionisíaca do mundo, A –","38,72","19,36"
9788599102299,Vivendo sob o fogo – Confissõe,"133,10","66,55"
9788533624344,Viver,"95,59","47,80"
9788580633825,Vocabulário básico e avançado,"60,39","30,20"
9788580633900,Vocabulário básico e avançado,"60,39","30,20"
9788580633627,Vocabulário básico e avançado,"angensche6id0t, 3In9","lês30,20"
9788580633863,Vocabulário básico e avançado,"angensche6id0t, 3It9","liano30,20"
9788533610637,"Vovó especial, Uma","36,30","18,15"
9788580633610,"Vovó não se lembra, A","38,50","19,25"
9788580633214,Was geht? - Dicionário de gíria,"42,35","21,18"
9788580631272,Word routes – Inglês | Portugu,"139,15","69,58"
9788561635916,Word up! Dicionário de gírias In,"38,72","19,36"
9788533611191,Yin e yang: A harmonia taoista,"59,29","29,65"
9788533614710,Zadig ou do destino,"48,40","24,20"
