isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788577992263,"SEIS DOENCAS DO ESPIRITON OCOICNAT, ECMONPOSTERADANINCTEOIONE,S  ABSE S-2T2B38O4L,9SO 17,45",,"-50,00%"
9788501077844,"SELO MEDICI, O BRESLIN, GALERA 79,9 39,95",,"-50,00%"
9788528621419,"SEM RETORNO CHILD, LEE BERTRAND 59,9 29,95",,"-50,00%"
9788521902744,"SENTIDO DA FORMACAO OTILIA B.F. ARPAANZT E ST E/R PRAAULO49 E,.9 ARANT2E4S,95",,"-50,00%"
9788577992515,"SEPULCRO, O (VOL. 2) -227WILSON, F. PAEUDLICOES BESTB3O9L,9SO 19,95",,"-50,00%"
9788501055910,"SERTOES, OS CUNHA,EUC RECORD 79,9 39,95",,"-50,00%"
9788577991488,"SERVOS DE DEUS, OS - CALDWELL, EDICOES 49,9 24,95",,"-50,00%"
9788501087058,"SHANGRI-LA MURILLO, RECORD 79,9 39,95",,"-50,00%"
9788577994120,"SIDARTA -314 HESSE, HERMEADNINCOES BESTB2O9L,9SO 14,95",,"-50,00%"
9788503010160,"Sigismundo No Mundo AmGarAeNloEM, ELIANJOESE OLYMPIO44,9 22,45",,"-50,00%"
9788576843214,"SIGNIFICADO DA MARCA, BATEY, BEST 64,9 32,45",,"-50,00%"
9788577990627,"SILENCIO DOS INOCENTES,H OA -R0R6I7S, THOMEDAISCOES BESTB4O4L,9SO 22,45",,"-50,00%"
9788501086303,"SINDROME PSIQUICA ALICIA GALERA 54,9 27,45",,"-50,00%"
9788520011782,"SOBRE A GUERRA: A BONAPARTE CIVILIZACA 114,9 57,45",,"-50,00%"
9788501056740,"SOCIEDADE BRASILEIRA - AQUINO, RECORD 74,9 37,45",,"-50,00%"
9788577530366,"SOCIEDADE EM REDE - A CASTELLS, PAZ E 99,9 49,95",,"-50,00%"
9788520011744,"SOCIEDADE FISSURADA TIBURI, MARCCIAIV AILNIZGAECLAITOA BR5A4S,9ILEIRA 27,45",,"-50,00%"
9788520013786,"SOCIEDADE SEM LEI: POS-DRE RM COACSRAARCAI,A R,C UPIVBEIRELNSIZOSANCALOID BAR5DA9ES,9 IALEUITROAR2IT9A,9R5IA",,"-50,00%"
9788503013543,"SOL E PARA TODOS, O - GRLAEPEH, HICA NROPEVRELJOSE OLYMPIO89,9 44,95",,"-50,00%"
9788501067814,"SOLDADO ABSOLUTO, O WILLIAM, RECORD 87,9 43,95",,"-50,00%"
9788520010556,"SOM DA REVOLUCAO, O - MERHERB, CIVILIZACA 94,9 47,45",,"-50,00%"
9788501111333,"SONATA EM AUSCHWITZ VALENTE, RECORD 49,9 24,95",,"-50,00%"
9788501058058,"STALINGRADO BEEVOR, RECORD 114,9 57,45",,"-50,00%"
9788577994762,"STALINGRADO - 414 BEEVOR, ANTOEDNIYCOES BESTB4O4L,9SO 22,45",,"-50,00%"
9788501069849,"STEPHEN HAWKING: WHITE, RECORD 74,9 37,45",,"-50,00%"
9788576848608,"STORYTELLING XAVIER, BEST 64,9 32,45",,"-50,00%"
9788503010979,"Tantos Anos QUEIROZ, RACJOHSEEL OLYMPIO49,9 24,95",,"-50,00%"
9788520011133,"TEATRO MAMET, DAVCIDIVILIZACAO BR4A9S,9ILEIRA 24,95",,"-50,00%"
9788521904540,"TELA DEMONIACA,A EISNER,LOTTEP HA.Z E TERRA 69,9 34,95",,"-50,00%"
9788581030166,"TELEPSIQUISMO -VL070 MURPHY, EDICOES","44,9",,"22,45",,"-50,00%"
9788501109255,"TEMPESTADE NUMA CZERSKI, RECORD","64,9",,"32,45",,"-50,00%"
9788520009673,"TEORIA, CRITICA E HOISEL, CIVILIZACA","49,9",,"24,95",,"-50,00%"
9788501079206,"TESOURO, O CETINA, RECORD","64,9",,"32,45",,"-50,00%"
9788577994175,"TIL -317 ALENCAR, JOSBEE DSTE","29,9",,"14,95",,"-50,00%"
9786555872460,"Timoneiras PIPHER, MARYROSA DOS TEM5P4O,9S",,,"27,45",,"-50,00%"
9788520013908,"TIRANIA DOS CUNHA, CIVILIZACA","44,9",,"22,45",,"-50,00%"
9788528620429,Todas As Mulheres CARPINEJAR BERTRAND,"39,9",,"19,95",,"-50,00%"
9788501090874,"Todo terrorista é sentimenMtaEl NEZES, MARRECIORD","54,9",,"27,45",,"-50,00%"
9788577992843,"TORMENTA -320 IGGULDEN, COBNESNT","34,9",,"17,45",,"-50,00%"
9788501116918,"TORNANDO-SE HITLER WEBER, RECORD","79,9",,"39,95",,"-50,00%"
9788520011430,"TRADUCAO LITERARIA, A HENRIQUES BCRIIVTITLOIZ,A PCAAUOL OB R6FAE4SR,9INLEAINRADO32,45",,,,,"-50,00%"
9788577994472,"TRAICOES LEGITIMAS -401ROBERTS, NOERDAICOES BESTB4O4L,9SO",,,"22,45",,"-50,00%"
9788503010320,"TRAPICHEIRO, O REBELO, MARJQOUSE SOLYMPIO84,9",,,"42,45",,"-50,00%"
9786558020073,"TRAUMA NA PANDEMIA DBOI RCMORAONN, JAOVEIRLCUIVSI,L OIZACAO BR3A9S,9ILEIRA",,,"19,95",,"-50,00%"
9788577994274,"TREM NOTURNO PARA MERCIER, EDICOES","39,9",,"19,95",,"-50,00%"
9788577992034,"TRES SEMANAS EM PARIS -B2R9A5DFORD, BBAERSBTA RA TAYLO3R9,9",,,"19,95",,"-50,00%"
9788577992164,"TREZE CONTOS -352 TCHEKHOV, ABNETSOTN","34,9",,"17,45",,"-50,00%"
9788577991730,"TRISTE FIM DE POLICARPOB QAURARRETEOSM, LAIM -E3AD3I0COES BESTB2O9L,9SO",,,"14,95",,"-50,00%"
9788501106537,"Troca De Mensagens EntreO SRhTeBrlEoRcGk ,E M WARaLEtLsCOoORnRYD","39,9",,"19,95",,"-50,00%"
9788501108586,"TROTSKI SERVICE, RECORD","129,9",,"64,95",,"-50,00%"
9788574321370,"TUDO O QUE DAVIS, DIFEL","99,9",,"49,95",,"-50,00%"
9788574321370,"TUDO O QUE PRECISAMOSD SAAVBIES,R K (EMNINTOEDTLIHOFE GCLIA)","99,9",,"49,95",,"-50,00%"
9788574321493,"ULTIMO TSAR, O SERVICE, DIFEL","79,9",,"39,95",,"-50,00%"
9788521903857,"UM ESTUDO CRITICO DA HJIASTGOURAIRAI B- EV,OHLEP.LA IIIZO E TERRA","99,9",,"49,95",,"-50,00%"
9788577991556,"Um Farol No Pampa (ediçãWo dIEeR bZoClHsoO)SKIE, DLEICTOICEISA BESTB3O4L,9SO",,,"17,45",,"-50,00%"
9788577993024,"UMA FORTUNA PERIGOSA F-O30L6LETT, KENEDICOES BESTB4O9L,9SO",,,"24,95",,"-50,00%"
9788577990573,"UMA HISTORIA INTIMA DAZ HELUDMINA,N TIHDEAODBDEEO -S0RT5E 4","54,9",,"27,45",,"-50,00%"
9788577990450,"UMA MENTE BRILHANTE -0N4A6SAR, SYLVIAEDICOES BESTB4O9L,9SO",,,"24,95",,"-50,00%"
9788501403872,"Uma Verdade Delicada LE CARRE, JOHRNECORD","49,9",,"24,95",,"-50,00%"
9788577533640,"UMA VEZ GLEITZMAN, PAZ E","44,9",,"22,45",,"-50,00%"
9788520010600,"UNIVERSO NEOLIBERAL ASSIS, JOSE CIVILIZACA","59,9",,"29,95",,"-50,00%"
9788501109361,"USE A MODA A SEU LEMOS, GALERA","59,9",,"29,95",,"-50,00%"
9788503012485,"VA, COLOQUE UM VIGIA LEE, HARPER JOSE OLYMPIO49,9",,,"24,95",,"-50,00%"
9788568905913,"VALE DE ISRAEL: O PAGANI, BEST","54,9",,"27,45",,"-50,00%"
9788546501915,"VERDADE? ROSHI, BEST","34,9",,"17,45",,"-50,00%"
9788501082886,"VIDA INTIMA DE PIPPA MILLER, RECORD","69,9",,"34,95",,"-50,00%"
9788577991365,"VINGADOR, O -161 FORSYTH, FREEDDEIRCIOCEKS BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9788577990467,"VINHAS DA IRA, AS -068 STEINBECK, JOBHENST","49,9",,"24,95",,"-50,00%"
9788577994199,"VITIMAS ALGOZES, AS -321MACEDO, JOABQEUSTIM  MANUE3L9 D,9E",,,"19,95",,"-50,00%"
9788501096661,"Voce (Não) É O Homem DaP MOTinThEaR ,V AidLaEXRAENCDORRAD","59,9",,"29,95",,"-50,00%"
9788577991327,"VONTADE DE VIVER (V.2) -1D4E3FORGES, REGDIINCOE ES BESTB3O9L,9SO",,,"19,95",,"-50,00%"
9788546501557,"WABI SABI KEMPTON, BEST","39,9",,"19,95",,"-50,00%"
9788576861263,"WIKILEAKS LEIGH, VERUS","59,9",,"29,95",,"-50,00%"
9788576847267,"YOGA PARA ANSIOSOS STEARNS, BEST","54,9",,"27,45",,"-50,00%"
9786557120910,"Yoga: caminho para Deus HERMOGENESB,E JSOTS SEELLER","49,9",,"24,95",,"-50,00%"
