isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788520007716,"ETICA E CIDADANIA PLANELTIASBROIAA N, AM EARAICJ ATIVENICLEINZOACLOAOGI BCAR5A9S,9ILEIRA",,,"29,95",,"-50,00%"
9788501093950,"EU NAO VIM FAZER UM MARQUEZ, RECORD","54,9",,"27,45",,"-50,00%"
9788503011297,"Eu, Sarah Bernhardt BERNHARDT, JSOASREA OHLYMPIO89,9",,,"44,95",,"-50,00%"
9788577992348,"EU,CHRISTIANE F., 13 ANOHS,E DRRMOAGNAND, AK,A BPIE RESO TRS ITEICTKU, IHDOA.R.3.S 4-T3,905",,,"17,45",,"-50,00%"
9788577532520,"EUROPA ALEMA, A A CRISEB DECOK E, URLORI CEH APSA NZ OE VTAESR RPAERS4P9E,C9TIVAS D24E ,P95",,,,,"-50,00%"
9788577994366,"EVA PERON - 412 ORTIZ, ALICIAE DDUICJOVESN EBESTB5O4L,9SO",,,"27,45",,"-50,00%"
9788577994663,"EXCALIBUR - 409 CORNWELL, BEDRINCAOREDS BESTB4O4L,9SO",,,"22,45",,"-50,00%"
9788520007839,EXPANSAO DO BRASIL E MONIZ CIVILIZACA,"79,9",,"39,95",,"-50,00%"
9788520012710,"EXPERIENCIA NACIONAL, LIMONCIC,F CIVILIZACA","79,9",,"39,95",,"-50,00%"
9788528606263,EXPLORACOES ROSENDAHL BERTRAND,"74,9",,"37,45",,"-50,00%"
9788577533510,"EXPULSOES: SASSEN, PAZ E","69,9",,"34,95",,"-50,00%"
9788501090799,"FATOS E FALACIAS DA SOWELL,",RECORD,"69,9",,"34,95","-50,00%"
9788520008614,"FETICHISMO -  COLONIZARS OA FOAUTTLER,O VLACDIIVMILIRIZACAO BR5A4S,9ILEIRA",,,,"27,45","-50,00%"
9788520008614,"FETICHISMO - SAFATLE,",CIVILIZACA,"54,9",,"27,45","-50,00%"
9788577991983,"FIDALGOS DA CASA MOURDISICNAIS, ,O JUS L- I3O75EDICOES BESTB4O9L,9SO",,,,"24,95","-50,00%"
9788574321042,"FILHOS DE SOCRATES, OS WAQUET,",DIFEL,"59,9",,"29,95","-50,00%"
9788574321219,"FILOSOFIA SENTIMENTAL SCHIFFTER,",DIFEL,"49,9",,"24,95","-50,00%"
9788574321219,"FILOSOFIA SENTIMENTAL -S ECNHSIAFFIOTESR D, EF RLDUEIDFCEIDLREICZ",,"49,9",,"24,95","-50,00%"
9788501082985,"FIM DA AMERICA, O WOLF,",RECORD,"59,9",,"29,95","-50,00%"
9788577531691,FORMACAO DA CLASSE THOMPSON,PAZ E,"54,9",,"27,45","-50,00%"
9788520013007,"FREI BETTO: BIOGRAFIA SYDOW, EVANCIIZVEI LMIZARCTAION SBR6A9S,9ILEIRA",,,,"34,95","-50,00%"
9788521904090,"FREUD - VIDA E OBRA ESTEVAM,CARPLAOZS E TERRA",,"49,9",,"24,95","-50,00%"
9788577992775,"FREUD BASICO -325 KAHN, MICHAEEDLICOES BESTB3O4L,9SO",,,,"17,45","-50,00%"
9788520011850,"FREUD E A FANTASIA: OS FERREIRA,",CIVILIZACA,"44,9",,"22,45","-50,00%"
9788577530885,"FUNDAMENTOS PARA O COSTA,DAR",PAZ E,"84,9",,"42,45","-50,00%"
9788577530878,"FUTURO DA BOBBIO,NO",PAZ E,"64,9",,"32,45","-50,00%"
9788501085764,"FUTURO PRESENTE OLIVEIRA,",RECORD,"79,9",,"39,95","-50,00%"
9788501113245,"GANHAR DE LAVADA: ADAMS,",RECORD,"64,9",,"32,45","-50,00%"
9788577995240,"GENEALOGIA DA MORAL - NIETZSCHE,",EDICOES,"49,9",,"24,95","-50,00%"
9788501035394,"GENERAL EM SEU MARQUEZ,",RECORD,"79,9",,"39,95","-50,00%"
9788528611618,"GEOGRAFIA E POLITICA CASTRO,",BERTRAND,"69,9",,"34,95","-50,00%"
9788528606706,"GEOMORFOLOGIA DO GUERRA,",BERTRAND,"99,9",,"49,95","-50,00%"
