"LACERDA, CARLOS","R$       5,00"
"LACERDA, CARLOS","R$       5,00"
"NABUCO, JOAQUIM","R$       5,00"
"SILVA, ELZAMIR GONZAGA","R$       5,00"
"SIMAS,PAULA","R$       5,00"
"PELIANO, JOSÉ CARLOS","R$       5,00"
"AVELLAR, HÉLIO DEALCANTARA","R$       5,00"
"AMPARO, DEISE MATOS DO","R$     44,00"
"AMPARO, DEISE MATOS DO |ALMEIDA, SANDRAFRANCESCA CONTE DE |BRASIL, KATIA TAROUQUELLAR. | CONCEIÇÃO, MARIA INÊSGANDOLFO | MARTY,FRANCOIS","R$     74,00"
"CARNEIRO, GRACIELLY EDINIZ, NORIS COSTA","R$     39,00"
"PAZ, JOSI","R$     38,00"
"LIMOEIRO, DANILO","R$     44,00"
ALEXANDRE RODRIGUES,,,,
BIBLIOFILIA NA HISTÓRIA DA,,,,
UNIVERSIDADE DE BRASÍLIA BRUNO DE ALVES BORGES,,R$,"26,00","R$  13,00"
DEUS SALVE A RAINHA E,,,,
EVITE ENGARRAFAMENTOS,,,,
TEXTOS DE JORNALISMO,,,,
CULTURAL ADEMIR ASSUNÇÃO,,R$,"36,00","R$  18,00"
"DEUSES, MONSTROS, HEROIS -",,,,
ENSAIOS DE MITOLOGIA E,,,,
"RELIGIÃO VIKING LANGER, JOHNNI",,R$,"48,00","R$  24,00"
DEUTSCH NA UNB:,,,,
"CONFERÊNCIAS,",,,,
COMENTÁRIOS E DEBATES DE,,,,
UM SIMPÓSIO INTERNACIONAL,,,,
"REALIZADO DE 11 DE DEUTSCH, KARL WOLFGANG",,R$,"5,00","R$2,50"
"DEVANNEIOS DO CAMINHANTE MORETTO, FÚLVIA MARIA",,,,
"SOLITÁRIO, OS LUÍZA",,R$,"5,00","R$2,50"
DF EM QUESTÃO: A,,,,
UNIVERSIDADE E AS ELEIÇÕES,,,,
"2006 NO DF MULHOLLAND, TIMOTHY.",,R$,"51,00","R$  25,50"
"FERREIRA, MARIO CESAR |",,,,
"DIAGNÓSTICOS EM ALMEIDA, CLEVERSON",,,,
"ERGONOMIA NO CENTRO- PEREIRA DE | ANTLOGA,",,,,
"OESTE BRASILEIRO VOL 2: CARLA SABRINA | HOSTENSKY,",,,,
