Título: Subtítulo,Preço capa,"Preço comdesconto"
"STORY: SUBSTÂNCIA, ESTRUTURA, ESTILO E OS PRINCÍPIOS DA ESCRITA","E ROTRE$I R7O9,90","R$ 39,95"
TOCAR NA BANDA,"R$ 39,00","R$ 19,50"
TRÊS CONTOS,"R$ 38,00","R$ 19,00"
TRÊS VIAJANTES,"R$ 28,00","R$ 14,00"
UVAS DO TAMANHO DE DEDOS,"R$ 25,00","R$ 12,50"
"VIAGEM PREGUIÇOSA DE DOIS APRENDIZES VADIOS, A","R$ 42,00","R$ 21,00"
"VIDA VIDA, UMA","R$ 40,00","R$ 20,00"
VIVER É PREJUDICIAL À SAÚDE,"R$ 42,00","R$ 21,00"
BEATRIZ,"R$ 55,00","R$ 27,50"
DE SILÊNCIOS E DEMORAS,"R$ 38,00","R$ 19,00"
ESCREVENDO ESTAÇÕES,"R$ 30,00","R$ 15,00"
LÍNGUA NOS DENTES,"R$ 42,90","R$ 21,45"
"QUE PÔDE SER DITO, O","R$ 42,90","R$ 21,45"
"VIM, VI, VENCI","R$ 60,00","R$ 30,00"
"VIRGO, OU IMAGENS DA MEMÓRIA","R$ 42,90","R$ 21,45"
ARQUITETURA DO MOFO,"R$ 45,00","R$ 22,50"
BÁSICO INSTINTO,"R$ 34,00","R$ 17,00"
CONTOS DE OUTROS CANTOS,"R$ 28,00","R$ 14,00"
ELEFANTES,"R$ 22,00","R$ 11,00"
"ESCULPIDOR DE NUVENS, O","R$ 32,00","R$ 16,00"
RÉQUIEM PARA DÓRIS,"R$ 28,00","R$ 14,00"
