Título,Autor,Preco de capa,Com Desconto
"FILOSOFEMAS: ÉTICA, ARTE, EXISTÊNCIA","PAIVA, TIRA (ORG.)","R$58,00","R$29,00"
"FLORES DO DESENGANO:POÉTICA DO PODER NA AMÉRICA PORTUGUESA","AMARAL LUZ, GUILHERME","R$40,00","R$20,00"
"FORMAÇÃO MÉDICA NA UNIFESP -EXCELÊNCIA E COMPROMISSO SOCIAL,","FIORINI PUCCINI, ROSANA / DE O","R$50,00","R$25,00"
"FORMAS DO TEATRO DE COMÉDIA:A OBRA DE ODUVALDO VIANNA",WAGNER MARTINS MADEIRA,"R$58,00","R$29,00"
GILBERTO FREYRE NO POS-GUERRA,ALEX GOMES DA SILVA,"R$49,90","R$24,95"
"GRANDE FULCRO: REPRESENTAÇÃODO CORPO E CULTURA MÉDICA NOPORTUGAL RENASCENTISTA",LÍGIA BELLINI,"R$47,00","R$23,50"
GUIAS DOS COSTUMES CRISTAOS,LEANDRO ALVES TEODORO,"R$72,00","R$36,00"
"HISTORIA DA DEMOCRACIA:UM ENSAIO SOBRE A LIBERTAÇÃO DO POVO, A",JOHN DUNN,"R$69,00","R$34,50"
HISTÓRIA DAS AVÓS: ANOS DE BUSCA,AVÓS DA PRAÇA DE MAIO,"R$60,00","R$30,00"
HIV E A PATOGENIA DA AIDS,JAY A. LEVY,"R$150,00","R$10,00"
IDEALISMO E REALISMO NA FILOSOFIA DE NIETZSCHE,ANDRÉ ITAPARICA,"R$34,90","R$17,45"
IDEOLOGIA E PROPAGANDA NA EDUCAÇÃO,NURIT PELED-ELHANAN,"R$59,00","R$29,50"
"IGREJA NO BRASIL - NORMAS E PRÁTICAS DURANTEA VIGÊNCIA DAS CONSTITUIÇÕES PRIMEIRASDO ARCEBISPADO DA BAHIA, A","FEITLER, BRUNO E SALES SOUZA E","R$79,00","R$39,50"
IMAGENS DO POÉTICO EM ALPHONSUS DE GUIMARAENS,"FERNANDES WEISS RICIERI, FRANC","R$44,00","R$22,00"
"IMPLICAÇÕES ENTRE HOMEM ENATUREZA EM GABRIEL TARDE E HENRI BERGSON",RAFAEL HENRIQUE TEIXEIRA,"R$84,00","R$42,00"
"INFLUXOS DO CÉU. UMA HISTÓRIA DASPREVISÕES (SÉCULOS XIII-XV)","ALMEIDA, SIMONE FERREIRA GOMES","R$51,90","R$25,95"
"INSERÇÃO SOCIAL E HABITAÇÃO DE PESSOASCOM SOFRIMENTO MENTAL GRAVE","PEREIRA FURTADO, JUAREZ E NAKA","R$70,00","R$35,00"
"INTRODUÇÃO ELEMENTAR À ÁLGEBRADE FUNÇÕES GAMA","APARECIDO DE OLIVEIRA, MAURI","R$78,00","R$39,00"
LA TERRE: PARADOXOS DE UMA RECEPÇÃO CRÍTICA,"LUIZA RAMAZZINA GHIRARDI, ANA","R$40,00","R$20,00"
"LIÇÕES PARA O HOMEM CASADO:PORTUGAL   SÉCULOS XIV-XVI",LEANDRO ALVES TEODORO,"R$52,00","R$26,00"
"LÍNGUA INGLESA NA ÁFRICA, A","RODRIGUES LAMAS, RODRIGO","R$36,00","R$18,00"
LINGUÍSTICA E MARXISMO,"KOGAWA, JOÃO","R$48,00","R$24,00"
LITERACURA: PSICANÁLISE COMO FORMA LITERÁRIA,FERNANDA SOFIO,"R$43,00","R$21,50"
"MAIOR ZOEIRA NA ESCOLA, A:EXPERIÊNCIAS JUVENIS NA PERIFERIA DE SÃO PAULO",ALEXANDRE BARBOSA PEREIRA,"R$48,00","R$24,00"
"MANOEL DE OLIVEIRA:NOVAS PERSPECTIVAS SOBRE SUA OBRA","OVERHOFF FERREIRA, CAROLIN","R$42,00","R$21,00"
MEDICINA E FILOSOFIA,"FAGOT-LARGEAULT, ANNE","R$80,00","R$40,00"
"MEMÓRIAS DO CUIDAR -SETENTA ANOS DA ESCOLA PAULISTA DE ENFERMAGEM","BARBIERI, MARCIA / RODRIGUES,","R$26,00","R$13,00"
MERLEAU-PONTY: NA TRAMA DA EXPERÊNCIA SENSÍVEL,"FONTES FILHO, OSVALDO","R$60,00","R$30,00"
MISSÃO E PREGAÇÃO,"DE BARROS ALMEIDA, NÉRI / MOUR","R$45,00","R$22,50"
NAS MALHAS DA CONSCIENCIA,BRUNO FEITLER,"R$49,90","R$24,95"
"NENHUM HOMEM É UMA ILHA:JOHN DONNE E A POÉTICA DA  AGUDEZA",LAVINIA SILVARES,"R$54,00","R$27,00"
"NIETZSCHE - SUA FILOSOFIA DOSANTAGONISMOS E OS ANTAGONISMOS DE SUA FILOSOFIA",WOLFGANG MÜLLER-LAUTER,"R$70,00","R$35,00"
NIETZSCHE A LUZ DOS ANTIGOS: A COSMOLOGIA,"JOÃO EVANGELISTA TUDE DEMELO NETO","R$46,00","R$23,00"
"NIETZSCHE, ADORNO E UM POUQUINHO DE BRASIL","BURNET, HENRY","R$44,00","R$22,00"
"NO LIMIAR DA HISTÓRIA E DA LITERATURA.AS MEMÓRIAS DE ALEXANDRE DUMAS","Mendes, Maria Lúcia Dias","R$65,90","R$32,95"
O INICIO DO SIONISMO NO BRASIL,Michel Gherman,"R$67,90","R$33,95"
O QUE AVALIAR QUER DIZER?,"BALANDIER, GEORGES","R$75,00","R$37,50"
"OBESIDADE E SOFRIMENTO PSÍQUICO -REALIDADE, CONSCIENTIZAÇÃO E PREVENÇÃO","SPADA, PATRICIA VIEIRA","R$36,00","R$18,00"
"OBESIDADE MÓRBIDA: MANEJO CLÍNICO EINTERDISCIPLINAR","NETTO, BÁRBARA DAL MOLIN","R$79,90","R$39,95"
"OLHARES QUE CONSTROEM: A CRIANÇA AUTISTA DASTEORIAS DAS INTERVENÇÕES E DAS FAMÍLIAS","LOPEZ, ROSA MARIA MONTEIRO","R$46,00","R$23,00"
"ONDE TEM FUMAÇA TEM FOGO:AS LUTAS PELA ELIMINAÇÃO DA QUEIMA DACANA-DE-AÇÚCAR",JOSÉ ROBERTO PORTO DE ANDRADE,"R$50,00","R$25,00"
ÓPTICA GEOMÉTRICA,LÍLIA CORONATO E ANDRÉ OLIVEIR,"R$30,00","R$15,00"
OS CARACTERES POÉTICOS DE GIAMBATTISTA VICO,"Sammer, Renata Belicanta","R$54,90","R$27,45"
PALÍNDROMOS FILOSÓFICOS,"OLGÁRIA MATOS, DENISE MILAN E","R$64,90","R$32,45"
PANDEIROS E BANDONEONES,ANDREIA DOS SANTOS MENEZES,"R$56,00","R$28,00"
"PANO, PAU E PÃO: ESCRAVOS NO BRASIL COLÔNIA",ANA CAROLINA DE CARVALHO VIOTTI,"R$77,90","R$38,95"
PEDRA E SONHO,LUIZ CAMILO LAFALCE,"R$39,90","R$19,95"
"PERSONA POÉTICA E AUTOR EMPÍRICO NAPOESIA AMOROSA ROMANA",PAULO SÉRGIO DE VASCONCELLOS,"R$48,00","R$24,00"
PETRÓLEO E NACIONALISMO,GABRIEL COHN,"R$42,00","R$21,00"
"PINTURA ENCARNADA SEGUIDO DE OBRA-PRIMADESCONHECIDA, HONORÉ DE BALZAC, A",GEORGES DIDI-HUBERMAN,"R$70,00","R$35,00"
"PORTO DE SANTOS: SAÚDE E TRABALHO EMTEMPOS DE MODERNIZAÇÃO",MARIA DE FATIMA FERREIRA QUEIR,"R$50,00","R$25,00"
"PRESERVAÇÃO E RESTAURO URBANO:INTERVENÇÕES EM SÍTIOS HISTÓRICOS",MANOELA ROSSINETTI RUFINONI,"R$70,00","R$35,00"
PRINCÍPIOS DE QUÍMICA ANALÍTICA,MIGUEL VALCÁRCEL MIGUEL VALCÁC,"R$90,00","R$45,00"
"PROTOCOLOS EM PSICOFARMACOLOGIACOMPORTAMENTAL UM GUIA PARA A PESQUISA DEDROGAS COM AÇÃO SOBRE O SNC, COM ÊNFASE NASPLANTAS MEDICINAIS",ELISALDO A. CARLINI E FULVIO R,"R$60,00","R$30,00"
PSICANALISE E MUSICALIDADE,Leandro Anselmo Todesqui Tavares,"R$62,00","R$31,00"
"PSICOLOGIA E ADOLESCÊNCIA ENCARCERADA -EMBATES DE UMA ATUAÇÃO EM MEIO À BARBÁRIE",MARCELO DOMINGUES ROMAN,"R$52,00","R$26,00"
RAÍZES HISTÓRICAS DA MEDICINA OCIDENTAL,RAYMUNDO MANNO VIEIRA,"R$98,00","R$49,00"
"RECONHECIMENTO, DIREITO E DISCURSIVIDADE EMHABERMAS",CLÉLIA APARECIDA MARTINS E JOS,"R$70,00","R$35,00"
"RECORTES DA MEMÓRIA - LEMBRANÇAS, COMPROMISSOSE EXPLICAÇÕES SOBRE A EPM/UNIFESP NAPERSPECTIVA DA HISTÓRIA ORAL",DANTE MARCELLO CLARAMONTE GALL,"R$42,00","R$21,00"
REDES SOCIAIS TERRITORIAIS,SAMIRA LIMA DA COSTA E ROSILDA,"R$42,00","R$21,00"
REFORMA PSIQUIATRICA E SOCIABILIDADES EMERGENTES,Fernando Kinker,"R$54,00","R$27,00"
RELAMPEJOS DO PASSADO,AMANDA BRANDÃO RIBEIRO,"R$40,00","R$20,00"
REPRESENTAÇÕES UTÓPICAS NO ENSINO DE HISTÓRIA,ANTONIO SIMPLÍCIO DE ALMEIDA N,"R$39,00","R$19,50"
"RETRATO NA PINTURA ITALIANA DO RENASCIMENTO, O",JACOB BURCKHARDT,"R$46,00","R$23,00"
"RUMOR DOS CORTEJOS: POESIA CRISTÃ FRANCESADO SÉCULO XX, O",PABLO SIMPSON,"R$57,00","R$28,50"
"RUPTURA, SOLIDÃO E DESORDEM",ALEXANDRE VALVERDE,"R$35,00","R$17,50"
SINTAXE DO PERÍODO SUBORDINADO LATINO,PAULO SÉRGIO DE VASCONCELLOS,"R$50,00","R$25,00"
SOBRE INTERTEXTUALIDADE NA LITERATURA LATINA,"PATRICIA PRATA E PAULO SERGIODE VASCONCELLOS","R$58,00","R$29,00"
"SOCIOLOGIA E SUPERFÍCIE: UMA LEITURA DOS ESCRITOSDE SIEGFRIED KRACAUER ATÉ 1933",PATRÍCIA DA SILVA SANTOS,"R$60,00","R$30,00"
"SOMBRA DO PLÁTANO - CRÔNICAS DE HISTÓRIA DEMEDICINA, À",JOFFRE MARCONDES DE REZENDE,"R$65,00","R$32,50"
"SUICÍDIO COMO ESPETÁCULO NA METRÓPOLE, O",FERNANDA MARQUETTI,"R$44,00","R$22,00"
SUICÍDIO ESCUTAS DO SILÊNCIO,"Marquetti, Fernanda","R$39,90","R$19,95"
"TEMPO DAS VÍTIMAS, O",CAROLINE ELIACHEFF / DANIEL SO,"R$47,00","R$23,50"
TEORIA POLIITCA MODERNA,ATILIO A. BORON (ORG.),"R$64,00","R$32,00"
"TERRITÓRIO E CIRCULAÇÃO. TRANSPORTE RODOVIÁRIODE CARGA NO BRASIL","Huertas, Daniel Monteiro","R$92,90","R$46,45"
"TIRANIAS DA VISIBILIDADE: O VISÍVEL E O INVISÍVELNAS SOCIEDADES CONTEMPORÂNEAS",NICOLE AUBERT / CLAUDINE HAROC,"R$76,00","R$38,00"
TRAUMA ESQUELÉTICO,ERIN H. KIMMERLE / JOSÉ PABLO,"R$200,00","R$100,00"
TUDO COMEÇA NA OUTRA VIDA,ALMA GOTTLIEB,"R$98,00","R$49,00"
UMA AVENTURA DE MAIS DE UM SECULO,MARIA CRISTINA FORNARI,"R$42,90","R$21,45"
VIDA E PALAVRAS,VEENA DAS,"R$88,00","R$44,00"
VIOLENCIA DE ESTADO NA AMERICA LATINA,JAVIER AMADEO,"R$98,90","R$49,45"
VOLTAIRE E AS ESTRATÉGIAS DE UMA MISE EN SCÈNE,ANA LUIZA REIS BEDÊ,"R$45,00","R$22,50"
ZIGUE-ZAGUE,RICARDO BENZAQUEM DE ARAUJO,"R$50,00","R$25,00"
