Título,Autor,Preço de capa,Preço com desconto
CARMEN,"Mérimée, Prosper","R$46,00","R$23,00"
CARTA DAS ILHAS ANDARILHAS*,"Prévert, Jacques","R$49,00","R$24,50"
CARVAO :: CAPIM,"Flores, Guilherme Gontijo","R$39,00","R$19,50"
CASCAS,"Didi-Huberman, Georges","R$41,00","R$20,50"
"CENA INTERIOR, A","Cohen, Marcel","R$51,00","R$25,50"
CENAS DE UM MODERNISMO DE PROVINCIA,"Marques, Ivan","R$58,00","R$29,00"
CERVANTES,"Canavaggio, Jean","R$75,00","R$37,50"
CHORO: DO QUINTAL AO MUNICIPAL,"Cazes, Henrique","R$58,00","R$29,00"
CIBERCULTURA,"Lévy, Pierre","R$61,00","R$30,50"
CIDADE DE MUROS,"Caldeira, Teresa Pires do Rio","R$76,00","R$38,00"
"CIDADE E SUAS MARGENS, A","Bracher, Elisa","R$109,00","R$54,50"
"CIDADE NO BRASIL, A","Risério, Antonio","R$69,00","R$34,50"
CILADAS DA DIFERENCA,"Pierucci, Antônio Flávio","R$52,00","R$26,00"
CINCO BALAS CONTRA A AMERICA,"Araújo, Jorge e Pereira, Pedro Sousa","R$42,00","R$21,00"
CINCO CRIANÇAS E UM SEGREDO,"Nesbit, Edith","R$47,00","R$23,50"
CINEMA 1,"Deleuze, Gilles","R$68,00","R$34,00"
CINEMA 2,"Deleuze, Gilles","R$76,00","R$38,00"
CLASSICOS DO CONTO RUSSO (EDICAO DE BOLSO),vários,"R$54,00","R$27,00"
"CLUBE DOS SETE, O","Leal, Marconi","R$43,00","R$21,50"
COGITAMUS,"Latour, Bruno","R$54,00","R$27,00"
COLEÇÃO CINCO GRANDES ROMANCES DE DOSTOIÉVSKI,"Dostoiévski, Fiódor","R$433,00","R$216,50"
"COLECIONADOR DE PALAVRAS, O","Derdyk, Edith","R$39,00","R$19,50"
COMANDANTE HUSSI,"Araújo, Jorge e Pereira, Pedro Sousa","R$39,00","R$19,50"
COMO FAZER AMOR COM UM NEGRO SEM SE CANSAR,"Laferrière, Dany","R$47,00","R$23,50"
COMO SE CAISSE DEVAGAR,"Malufe, Annita Costa","R$42,00","R$21,00"
COMO SE ME FUMASSE,"Mirisola, Marcelo","R$45,00","R$22,50"
COMO SE REVOLTAR?,"Boucheron, Patrick","R$37,00","R$18,50"
