ROSEMEIRE DE ARAÚJO RANGNI (org.),"R$        52,00","R$     26,00"
IGOR JOSÉ DE RENÓ MACHADO,"R$        25,00","R$     12,50"
WILTON JOSÉ MARQUES,"R$        45,00","R$     22,50"
"LUIZ CARLOS GOMIDE FREITAS; GUEDMILLER SOUZA DE OLIVEIRA(Orgs.)","R$        55,00","R$     27,50"
LUIS R. DE CAMARGO RIBEIRO,"R$        34,00","R$     17,00"
JANINE MOREIRA,"R$        45,00","R$     22,50"
LÉA CRISTINA DE SOUZA; MANUELA DE ALMEIDA; LUÍS BRAGANÇA,"R$        42,00","R$     21,00"
"ANTÔNIO C. GUASTALDI; GUSTAVO F. BARBOSA; JONAS DE CARVALHO;GUILHERME VAZ; LÚCIO CORRADINI; FERNANDO POZZI S. GUASTALDI","R$        45,00","R$     22,50"
"",LUIZ ROBERTO MONZANI; ANA CAROLINA SORIA (Orgs.0,,,,
Freud: filosofia e psicanálise,,R$,"48,00",R$,"24,00"
Fundamentos de Balanços de Massa e Energia: um,,,,,
texto básico para análise de processos químicos –,ALBERTO COLLI BABINO JUNIOR; ANTONIO JOSÉ GONÇALVES CRUZ,,,,
2a edição revista e ampliada,,R$,"49,00",R$,"24,50"
Fúria narcísica entre alunos e professores: as,,,,,
práticas de cyberbullying e os tabus presentes na,ANTÔNIO A. S. ZUIN,,,,
profissão de ensinar,,R$,"54,00",R$,"27,00"
Geometria Analítica para todos e atividades com,YURIKO YAMAMOTO BALDIN; YOLANDA K. SAITO FURUYA,,,,
Octave e GeoGebra,,R$,"75,00",R$,"37,50"
Geoprocessamento e recursos hídricos: aplicações,CLÁUDO BIELENKI JÚNIOR; ADEMIR PACELI BARBASSA,,,,
práticas,,R$,"79,00",R$,"39,50"
O Governo dos meninos: liberdade tutelada e,SARA REGINA MUNHOZ,,,,
medidas socioeducativas,,R$,"40,00",R$,"20,00"
Hidrogéis derivados de polímeros naturais:,VAGNER ROBERTO BOTARO; JÉSSICA DE SOUZA RODRIGUES (Orgs.),,,,
desenvolvimento e aplicações,,R$,"69,00",R$,"34,50"
Inteligência artificial no ensino: como construir,PEDRO LUIZ APARECIDO MALAGUTTI,,,,
computadores que se comportam como humanos,,R$,"54,00",R$,"27,00"
Interpretações do patrimônio: arquitetura e,,,,,
urbanismo moderno na constituição de uma cultura,ANA LÚCIA CERÁVOLO,,,,
"de intervenção no Brasil, 1930-1960",,R$,"48,00",R$,"24,00"
"",ROBERTO SILVA; NERILSO BOCCHI; ROMEU ROCHA-FILHO; PATRÍCIA,,,,
Introdução à Química Experimental – 3a edição,,R$,"65,00",R$,"32,50"
"",JOÃO CARLOS VIEIRA SAMPAIO; PAULO ANTONIO SILVANI CAETANO,,,,
Introdução à Teoria dos Números: um curso breve,,R$,"35,00",R$,"17,50"
Uma introdução à topologia geométrica: passeios,JOÃO CARLOS VIEIRA SAMPAIO,,,,
"de Euler, superfícies e o teorema das quatro cores",,R$,"35,00",R$,"17,50"
João Antônio: literatura e experiência social no,JÚLIO CEZAR BASTONI DA SILVA,,,,
Brasil,,R$,"55,00",R$,"27,50"
"",FELIPE FERREIRA VANDER VELDEN,,,,
Joias da floresta: antropologia do tráfico de animais,,R$,"60,00",R$,"30,00"
A Jornada dos maçaricos,CAROLLINE ZATTA FIEKER; MATHEUS GONÇALVES DOS REIS,,,,
"",,R$,"32,00",R$,"16,00"
Leituras de gênero e sexualidade nos esportes,WAGNER XAVIER DE CAMARGO,,,,
"",,R$,"59,00",R$,"29,50"
Leituras oitocentistas,FRANCO SANDANELLO; WILTON JOSÉ MARQUES (Orgs.),,,,
"",,R$,"65,00",R$,"32,50"
"Mágicas com papel, geometria e outros mistérios",PEDRO LUIZ APARECIDO MALAGUTTI; JOÃO CARLOS VIEIRA SAMPAIO,,,,
"",,R$,"42,00",R$,"21,00"
Maracatu circuncidado,LINCOLN AMARAL,,,,
"",,R$,"35,00",R$,"17,50"
Migração e exílio,BELA FELDMAN-BIANCO; LILIANA SANJURJO; DESIRÉE AZEVEDO; DOUG,,,,
"",,R$,"60,00",R$,"30,00"
Modernismos em modernidades incipientes: Mário,,,,,
de Andrade e Almada Negreiros,DANIEL MARINHO LAKS,,,,
"",,R$,"38,00",R$,"19,00"
"Multiculturalismo, entrelugares e hibridismos na",,,,,
obra de Moacyr Scliar,LINCOLN AMARAL,,,,
"",,R$,"42,00",R$,"21,00"
Páginas latino-americanas: resenhas literárias,,,,,
(2009- 2015),WILSON ALVES-BEZERRA,,,,
"",,R$,"46,90",R$,"23,45"
O Paradigma indiciário e as modalidades de,,,,,
decifração nas Ciências Humanas,LEDA V. TFOUNI; ANDERSON DE C. PEREIRA; NILTON MILANEZ (Orgs.),,,,
"",,R$,"55,00",R$,"27,50"
Parâmetros de projeto de alvenaria estrutural com,,,,,
