TABELA DE PREÇO GIRASSOL,,,
ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788539422401,LEIA E MONTE - NASCIMENTO DE JESUS,"R$ 54,90","R$ 27,45"
9788539422371,LEIA E MONTE - SELVA,"R$ 54,90","R$ 27,45"
9788539421350,LENDAS DO BRASIL - NOVA EDICAO,"R$ 84,90","R$ 42,45"
9788539421169,LIGUE OS PONTOS - ANIMAIS DA FAZENDA,"R$ 24,90","R$ 12,45"
9788539421190,LIGUE OS PONTOS - ANIMAIS DA SELVA,"R$ 24,90","R$ 12,45"
9788539421176,LIGUE OS PONTOS - ANIMAIS DO MAR,"R$ 24,90","R$ 12,45"
9788539421183,LIGUE OS PONTOS - BICHINHOS DE ESTIMACAO,"R$ 24,90","R$ 12,45"
9788539424061,LILA E MATILHA-A HORTA GULOSEIMA 1ED BR,"R$ 25,90","R$ 12,95"
9788539422463,LIVRO BOLSINHA - BAILARINA RADIANTE,"R$ 29,90","R$ 14,95"
9788539422470,LIVRO BOLSINHA - FADINHA BRILHANTE,"R$ 29,90","R$ 14,95"
9788539423415,LIVRO DE BANHO ARTICULADO- O ESFORCO DE HEITOR,"R$ 39,90","R$ 19,95"
9788539423422,LIVRO DE BANHO ARTICULADO- OS AMIGOS DE ELVIS,"R$ 39,90","R$ 19,95"
9788539423408,LIVRO DE BANHO ARTICULADO-AS ACROBACIAS DE BETO,"R$ 39,90","R$ 19,95"
9788539423392,LIVRO DE BANHO ARTICULADO-O SORRISO DE CRODO,"R$ 39,90","R$ 19,95"
9788539419425,LIVRO DIVERSAO - AMIGAS PRINCESAS,"R$ 39,90","R$ 19,95"
9788539419395,LIVRO DIVERSAO - AMIGOS ANIMAIS,"R$ 39,90","R$ 19,95"
9788539419401,LIVRO DIVERSAO - AMIGOS DINO,"R$ 39,90","R$ 19,95"
9788539423033,MEU 1o LIVRO PALAVRAS CRUZADAS E CACA PALAVRAS AZU,"R$ 24,90","R$ 12,45"
9788539423040,MEU 1o LIVRO PALAVRAS CRUZADAS E CACA PALAVRAS VER,"R$ 24,90","R$ 12,45"
9788539422005,MEU LIVRO BRILHANTE DE BAILARINAS COM ATIV.E ADESI,"R$ 29,90","R$ 14,95"
9788539422012,MEU LIVRO BRILHANTE DE FADAS COM ATIV. E ADESIVOS,"R$ 29,90","R$ 14,95"
9788539422036,MEU LIVRO BRILHANTE DE PRINCESAS COM ATIV.E ADESIV,"R$ 29,90","R$ 14,95"
9788539422029,MEU LIVRO BRILHANTE DE SEREIAS COM ATIV. E ADESIVO,"R$ 29,90","R$ 14,95"
9788539424474,MEU LIVRO DE RECORDACOES DO BEBE,"R$ 119,90","R$ 59,95"
9788539416516,MEU PRIMEIRO LIVRO DE MAGICA,"R$ 89,90","R$ 44,95"
9788539423064,MEU PRIMEIRO LIVRO DE PANO - ANIMAIS,"R$ 49,90","R$ 24,95"
9788539423071,MEU PRIMEIRO LIVRO DE PANO - BICHINHOS DE ESTIMACA,"R$ 49,90","R$ 24,95"
9788539423088,MEU PRIMEIRO LIVRO DE PANO - NA FAZENDA,"R$ 49,90","R$ 24,95"
9788539423057,MEU PRIMEIRO LIVRO DE PANO - PRIMEIRAS PALAVRAS,"R$ 49,90","R$ 24,95"
9788539420964,MEUS ADESIVOS DE BOLOS E SORVETES,"R$ 22,90","R$ 11,45"
9788539420957,MEUS ADESIVOS DE CUPCAKES,"R$ 22,90","R$ 11,45"
9788539420988,MEUS ADESIVOS DE DELICIAS E BOMBONS,"R$ 22,90","R$ 11,45"
9788539420971,MEUS ADESIVOS DE GULOSEIMAS,"R$ 22,90","R$ 11,45"
9788539423132,MINHA FAZENDA DE CARROSSEL,"R$ 39,90","R$ 19,95"
9788539422449,MINHA MOCHILA DE ADESIVOS - DINOSSAUROS,"R$ 29,90","R$ 14,95"
9788539422456,MINHA MOCHILA DE ADESIVOS - FAZENDA,"R$ 29,90","R$ 14,95"
9788539409747,MINHA PRIMEIRA COMUNHÃO,"R$ 119,90","R$ 59,95"
9788539422791,MINHAS ATIVIDADES DE PRINCESA,"R$ 54,90","R$ 27,45"
9788539422784,MINHAS ATIVIDADES NA FAZENDA,"R$ 54,90","R$ 27,45"
9788539420605,MINHAS DESCOBERTAS - MEUS PRIMEIROS TRUQUES DE M A,"R$ 69,90","R$ 34,95"
9788539424528,MINIEXPLORADORES - MÁQUINAS,"R$ 64,90","R$ 32,45"
9788539423491,MONTE UM CAMINHAO,"R$ 64,90","R$ 32,45"
9788539423507,MONTE UM DINOSSAURO,"R$ 64,90","R$ 32,45"
9788539424672,MUITAS COISAS PARA PROCURAR NA FAZENDA,"R$ 49,90","R$ 24,95"
9788539424689,MUITAS COISAS PARA PROCURAR NOS ALIMENTOS,"R$ 49,90","R$ 24,95"
9788539424504,MUNDO ANIMAL - POP,"R$ 39,90","R$ 19,95"
9786555300703,NAO ALIMENTE O TUBARAO,"R$ 49,90","R$ 24,95"
9786555300727,NAO ALIMENTE OS ANIMAIS,"R$ 49,90","R$ 24,95"
9786555300710,NAO ALIMENTE OS DINOSSAUROS,"R$ 49,90","R$ 24,95"
9788539424337,O GRANDE LIVRO DOS DINOSSAUROS,"R$ 49,90","R$ 24,95"
9788539419760,PARA NINAR OS PEQUENINOS COM CARINHO,"R$ 69,90","R$ 34,95"
9788539423583,PEGA PEGA DOS BICHOS - NA FLORESTA,"R$ 29,90","R$ 14,95"
9788539423590,PEGA PEGA DOS BICHOS - NO SAFARI,"R$ 29,90","R$ 14,95"
9788539423576,PERGUNTAS E RESPOSTAS CURIOSAS SOBRE... - OS ANIMA,"R$ 24,90","R$ 12,45"
9788539423477,PERGUNTAS E RESPOSTAS CURIOSAS SOBRE... - NOSSO PLAN,"R$ 24,90","R$ 12,45"
9788539423514,PERGUNTAS E RESPOSTAS CURIOSAS SOBRE... - OS DINOSSA,"R$ 24,90","R$ 12,45"
9788574887845,PLANETA TERRA - RECURSOS NATURAIS,"R$ 29,90","R$ 14,95"
9788539416226,PTIT - APRENDENDO MULTIPLICACOES,"R$ 29,90","R$ 14,95"
9788539418954,PTIT - CASAS COM ADESIVOS - CASTELO MEDIEVAL,"R$ 29,90","R$ 14,95"
9788539420636,PTIT - COLORIR - FADAS,"R$ 39,90","R$ 19,95"
9788539420728,PTIT - MINHAS DESCOBERTAS - MEUS PRIMEIROS TRUQ,"R$ 69,90","R$ 34,95"
9788539420735,PTIT - MINHAS DESCOBERTAS - MINHAS PRIMEIRAS EX,"R$ 69,90","R$ 34,95"
9788539419258,PTIT - MINHAS TATUAGENS - DINOSSAUROS,"R$ 29,90","R$ 14,95"
