""
"",AUTOR,"preço decapa","preço comdesocnto"
EDUCACAO A DISTANCIA  - 7 ED,MARIA LUIZA BELLONI,"39,00","19,50"
EDUCACAO AMBIENTAL CAMINHOS TRACADOS,ANTONIO CABRAL NETO,"32,00","16,00"
EDUCACAO DO SENSO COMUM   19 ED,DERMEVAL SAVIANI,"79,00","39,50"
EDUCACAO E POLITICA NO LIMIAR DO SECULO XXI,LUCIA MARIA WANDERLEY N,"VES (O1R9G,9.)0","9,95"
EDUCACAO EM DIALOGO,DERMEVAL SAVIANI,"19,90","9,95"
EDUCACAO FISICA + HUMANAS,MARCO PAULO STIGGER,"19,90","9,95"
EDUCACAO FISICA RAIZES EUROPEIAS E  BRASIL,CARMEN LUCIA SOARES,"43,00","21,50"
"EDUCACAO FISICA, ESPORTE E DIVERSIDADE",MARCO PAULO STIGGER,"19,90","9,95"
"EDUCACAO FISICA, ESPORTE E LAZER",LINO CASTELLANI FILHO,"19,90","9,95"
EDUCACAO INFANTIL E PERCEPCAO MATEMATICA,SERGIO LORENZATO,"59,00","29,50"
EDUCACAO INFANTIL E PNE,ANA LUCIA G. DE FARIA (OR,".)19,90","9,95"
EDUCACAO INFANTIL VERSUS EDUCACAO ESCOLAR,ALESSANDRA ARCE,"19,90","9,95"
EDUCAR PELA PESQUISA   10 ED,PEDRO DEMO,"49,00","24,50"
EROS ADOLESCENTE,MIRIAN N. SERAPHIM,"19,90","9,95"
ESCOLA E DEMOCRACIA - 44 ED.,DERMEVAL SAVIANI,"49,00","24,50"
ESTUDOS DO LAZER - UMA INTRODUCAO (T),NELSON CARVALHO MARCEL,"INO34,00","17,00"
FILOSOFIA EM SALA DE AULA,LIDIA MARIA RODRIGO,"64,00","32,00"
FOLIA DA TERRA,LUIZ CARLOS LARANJEIRAS,"10,00","5,00"
FORMACAO PARA A DOCENCIA PROFISSIONAL SABERES E PR,NILMA MARGARIDA DE CAST,"O CRUS3O5,E00","17,50"
FRIEZA BURGUESA E EDUCACAO,ANDREAS GRUSCHKA,"19,90","9,95"
FUNDAMENTOS DA DIDATICA HISTORICO-CRITICA,"ANA CAROLINA, LIGIA E THIA","O54,00","27,00"
FURUNDUM: CANCOES E CORES DE CARINHO COM A VIDA,CARLOS RODRIGUES BRAND,"O39,00","19,50"
FUTEBOL E SOCIEDADE,HELOISA HELENA BALDY DO,"REIS29,00","14,50"
GERGELIM (T),RAFAEL CURCI,"10,00","5,00"
GESTAO PUBLICA E POLITICA DE LAZER,LINO CASTALLANI FILHO (OR,".)19,90","9,95"
HISTORIA DA EDUCACAO BRASILEIRA (T),MARIA LUISA SANTOS RIBEI,"O49,00","24,50"
HISTORIA DAS IDEIAS PEDAGOGICAS NO BRASIL 6 ED.,DERMEVAL SAVIANI,"109,00","54,50"
HISTORIA DE UMA VIAGEM P/  SE ENCANTAR (T),FRANCISCO ALEXSANDRO D,"SILVA 10,00","5,00"
HISTORIA DO TEMPO E TEMPO DA HISTORIA,DERMEVAL SAVIANI,"19,90","9,95"
HISTORIA E HISTORIA DA EDUCACAO: O DEBATE TEORICO,DERMEVAL  SAVIANI (ORG.),"49,00","24,50"
"HISTORIA, EDUCACAO E TRANSFORMACAO",JOSE CLAUDINEI LOMBARDI,"ORG.)19,90","9,95"
IDEIAS ORIENTADORAS PARA A CRECHE,EGLE BECCHI/ANNA BONDIO,"I(ORGS19,00","9,50"
IMAGENS DA EDUCACAO NO CORPO (T),CARMEN LUCIA SOARES,"54,00","27,00"
INFANCIA E PEDAGOGIA HISTORICO-CRITICA 2 ED,ANA CAROLINA GALVAO MA,"SIGLIA (6O9R,0G0.","34,50"
INTERLOCUCOES PEDAGOGICAS,DERMEVAL SAVIANI,"19,90","9,95"
JARDIM DE ANINHA,VERA LUCIA FIGUEIREDO,"10,00","5,00"
LEITURAS DE PAULO FREIRE CONTRIBUICOES PARA O DEBA,DANILO STRECK,"30,00","15,00"
LER COM BEBES:CONTRIBUICAO DAS PESQUISAS,ANA LUCIA GOULART & ANA,"TACIA D5E4 ,V0I0","A27,00"
LINGUAGENS INFANTIS: OUTRAS FORMAS DE LEITURA,ANA LUCIA G. DE FARIA (OR,".)19,90","9,95"
LITERATURA INFANTIL NA ESCOLA,ANA APARECIDA ARGUELHO,"OUZA 19,90","9,95"
MITOLOGIAS DA AVALIACAO,PEDRO DEMO,"19,90","9,95"
MOTIVAR(-SE) PARA APRENDER (T),BENOIT GALAND; ETIENNE B,"URGEO1I9S,90","9,95"
MULHER NEGRA PROFESSORA UNIVERSITARIA,ELIANA DE OLIVEIRA,"29,00","14,50"
MUNDO EM TRANSE DO AQUECIMENTO GLOBAL AO ECODESENV,JOSE ELI DA VEIGA,"19,90","9,95"
NOMADE UMA AVENTURA NO ESPACO,CARLOS ORSI MARTINHO,"10,00","5,00"
O DESENVOLVIMENTO DO PSIQUISMO E A EDUCACAO ESC,LIGIA MARCIA MARTINS,"79,00","39,50"
O FIM DOS INTELECTUAIS ACADEMICOS?,"LUCIDIO BIANCHETTI,IONE R.","ALLE ,G19IL,9S0","N9,95"
O LABORATORIO DE ENSINO DE MATEMATICA,SERGIO LORENZATO,"49,00","24,50"
O LEGADO EDUCACIONAL DO SECULO XIX - 3 ED,DERMEVAL SAVIANI,"19,90","9,95"
O LEGADO EDUCACIONAL DO SECULO XX - 3 ED,DERMEVAL SAVIANI,"19,90","9,95"
O MODERNO PRINCIPE INDUSTRIAL: PENSAMENTO PEDAGOG.,JOSE DOS SANTOS RODRIG,"ES46,00","23,00"
O MUNDO DA ESCRITA NO UNIVERSO DA PEQUENA INFANCIA,ANA LUCIA G. DE FARIA (OR,".)19,90","9,95"
O OLHAR DA MEDUSA,RAFAEL CURCI,"10,00","5,00"
O PROJETO PEDAGOGICO DA CRECHE   2 ED,ANNA BONDIOLI (ORG.),"59,00","29,50"
O QUE E MIDIA-EDUCACAO,MARIA LUIZA BELLONI,"19,90","9,95"
O QUE E SOCIOLOGIA DA INFANCIA,MARIA LUIZA BELLONI,"19,90","9,95"
O SISTEMA  DE PROTECAO AO TRABALHO NO BRASIL,REMI CASTIONI,"19,90","9,95"
O TEXTO NA SALA DE AULA,LILIAN LOPES;NORMA SAND,"A&MARI1A9 ,D9O0","ROSAR9,95"
"O TRABALHO DOCENTE : AVALIACAO,VALORIZACAO,CONTROV",BERNARDETE GATTI,"64,00","32,00"
O TRABALHO PEDAGOGICO NAS DISCIPLINAS ESCOLARES,"CLAUDIA, JULIA M. E NEIDE","ATOS (O1R9,G90.)","9,95"
O VOO DA ARARA-AZUL,CARLOS RODRIGUES BRAND,"O19,90","9,95"
OLHOS DO MUNDO: LENDAS ESCOLHIDAS E RECONTADAS (T),"LIDIA CARVALHO, EDSON G.","JORGE10 M,0.0","5,00"
"ORIENTANDO PAIS, EDUCANDO FILHOS",DEBORA CORIGLIANO,"10,00","5,00"
OS BEBES E AS COISAS,HERMINE SINCLAIR,"54,00","27,00"
OS BEBES ENTRE ELES,"STABACK, M., R. RAYNA,","59,00","29,50"
OS CONTEUDOS ESCOLARES - 2 EDICAO,NEWTON  DUARTE,"49,00","24,50"
OS ESTERTORES DO CODIGO FLORESTAL,JOSE ELI DA VEIGA,"10,00","5,00"
OS FORA DE SERIE NA ESCOLA,CARLOS ROBERTO JAMIL CU,"Y19,90","9,95"
OS FUNDAMENTOS DA RELACAO AFETIVA (T),RAPHAELE MILJKOVITCH,"19,90","9,95"
OS SAPOS DO QUINTAL DE CAMILA,RICARDO POMBAL& SERGIO,"ORENZ3A9T,0O0","19,50"
PARA APRENDER MATEMATICA,SERGIO LORENZATO,"49,00","24,50"
PDE - PLANO DE DESENVOLVIMENTO DA EDUCACAO,DERMEVAL SAVIANI,"10,00","5,00"
PEDAGOGIA DAS COMPETENCIAS E ENSINO DE FILOSOFIA,MANOEL FRANCISCO DO AM,"RAL19,90","9,95"
PEDAGOGIA DO FUTEBOL,JOAO BATISTA FREIRE,"34,00","17,00"
PEDAGOGIA HISTORICO CRITICA: PRIM. - 12.ED.,DERMEVAL SAVIANI,"49,00","24,50"
PEDAGOGIA HISTORICO-CRITICA 30 ANOS,ANA CAROLINA GALVAO MA,"SIGLIA (1O9R,9G0.","9,95"
PEDAGOGIA HISTORICO-CRITICA DESAF. E PERSPECTIVAS,ANA CAROLINA & ERALDO B,"TISTA (O59R,G00",")29,50"
"PEDAGOGIA HISTORICO-CRITICA, QUADRAGESIMO ANO",DERMEVAL SAVIANI,"89,00","44,50"
PEQUENO DICIONARIO DE SOCIOLOGIA,CLOVIS PANSANI,"19,90","9,95"
PERIODIZACAO HISTORICO-CULTURAL DO DESENV. 2 ED.,LIGIA MARCIA MARTINS,"89,00","44,50"
PESQUISA EM EDUCACAO - MULTIPLOS OLHARES,IVANA MARIA LOPES DE MEL,"IBIAPIN29A,00","14,50"
PODER POLITICO E RESISTENCIA CULTURAL,EVALDO VIEIRA,"19,90","9,95"
POLITICA DE FINANCIAMENTO DA EDUCACAO BASICA NO BR,MARISA ROSSINHOLI,"30,00","15,00"
POLITICA E EDUCACAO NO BRASIL - 7 ED,DERMEVAL SAVIANI,"54,00","27,00"
