Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
"Vita, Fernando",República dos Mentecaptos,01/08/2019,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Corrêa, Hudson; Brito, Diana",Rio sem Lei,23/05/2018,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Gibson, Rachel",Salve‐me,12/02/2016,"R$ 89,90",50%,"R$ 44,95",www.troiaeditora.com.br
"Vaz, Lúcio",Sanguessugas do Brasil,03/04/2012,"R$ 54,00",50%,"R$ 27,00",www.troiaeditora.com.br
"Safranski, Rüdiger",Schopenhauer e os anos mais selvagens da filosofia,03/06/2011,"R$ 59,90",50%,"R$ 29,95",www.troiaeditora.com.br
"Barros, Odívia",Segredo segredíssimo,11/03/2011,"R$ 48,00",50%,"R$ 24,00",www.troiaeditora.com.br
"Christe, Padre Aberio",Seja autêntico,13/05/2013,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Gibson, Rachel",Sem Clima Para o Amor,05/10/2008,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Gibson, Rachel",Sem clima para o amor,07/02/2014,"R$ 39,00",50%,"R$ 19,50",www.troiaeditora.com.br
"Gibson, Rachel",Simplesmente irresistível,16/05/2013,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Morpurgo, Michael",Sombra,30/11/2011,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Abujamra, Adriana",Traços travessos,31/10/2003,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Pinto, Luís Costa",Trapaça. Volume 1 Collor,20/11/2019,"R$ 35,00",50%,"R$ 17,50",www.troiaeditora.com.br
"Costa Pinto, Luís",Trapaça. Volume 2: Itamar Franco ‐ Fernando H. Cardoso,06/07/2020,"R$ 74,00",50%,"R$ 37,00",www.troiaeditora.com.br
"Matson, Stacey",Um ano na vida de um gênio,13/10/2016,"R$ 54,00",50%,"R$ 27,00",www.troiaeditora.com.br
"Martins, Cláudio",Uma Barata Entrou lá em Casa!,01/07/2000,"R$ 44,00",50%,"R$ 22,00",www.troiaeditora.com.br
"Reis, Marta",Uma viagem inesquecível,09/04/2012,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Santos, Jorge Fernando dos",Vandré,01/09/2015,"R$ 24,00",50%,"R$ 12,00",www.troiaeditora.com.br
"Alves, Maria Elisa",Vermelhinho,01/04/2009,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Lopes, Carlos Herculano","Vestido, o",14/03/2004,"R$ 39,00",50%,"R$ 19,50",www.troiaeditora.com.br
"Tarquini, Jorge; Penyy Nacer, Fabian",Vinte mil pedras no caminho,23/09/2015,"R$ 69,90",50%,"R$ 34,95",www.troiaeditora.com.br
"Elisa Alves, Maria",Vitor,20/05/2003,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"José, Dirceu",Zé Dirceu,31/08/2018,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Menezes, Cynara",Zen Socialismo,16/10/2015,"R$ 55,00",50%,"R$ 27,50",www.troiaeditora.com.br
