Título,Autores,Preço,Preço com 50%
Programa ambiental de inspeção e manutenção veicular,"Branco, Gabriel Murgel (Autor),","R$28,00","R$14,00"
Projeto de estruturas de concreto em situação de incêndio,"Silva, Valdir Pignatta (Autor)","R$79,00","R$39,50"
Projeto de produto,"Baxter, Mike (Autor)","R$117,00","R$58,50"
Projeto na engenharia,"Pahl, Gerhard (Autor), Beitz, Wolfgang","R$156,00","R$78,00"
Projetos mecânicos das linhas aéreas de transmissão,"Labegalini, Paulo Roberto (Autor),","R$179,00","R$89,50"
Propriedades mecânicas dos ferros fundidos,"Guesser, Wilson Luiz (Autor)","R$137,00","R$68,50"
Psicanálise: de Bion ao prazer autêntico,"Rezze, Cecil José (Organizador)","R$79,00","R$39,50"
Psicanálise afora,"Betancourt, Eliana dos Reis","R$87,00","R$43,50"
Psicanálise e ciência,"Beer, Paulo (Autor), Ferraz, Flávio","R$52,00","R$26,00"
Psicanálise e vida covidiana,"Staal, Ana de (Organizador), Levine,","R$110,00","R$55,00"
Psicanálise: Bion,"Marra, Evelise de Souza (Organizador),","R$85,00","R$42,50"
Psicodinâmica das cores em comunicação,"Farina, Modesto (Autor), Perez,","R$95,00","R$47,50"
Psicossomática e teoria do corpo,"Dejours, Christophe (Autor)","R$80,00","R$40,00"
Psicoterapia psicanalítica com crianças pequenas e pais,"Solomonsson, Björn (Autor)","R$90,00","R$45,00"
Purificação de produtos biotecnológicos,"Pessoa Jr., Adalberto (Coordenador),","R$190,00","R$95,00"
Python e mercado financeiro,"Caetano, Marco Antonio Leonel","R$115,00","R$57,50"
QFD,"Cheng, Lin Chih (Autor), Melo Filho,","R$176,00","R$88,00"
"Qualidade: conceitos e aplicações em produtos, projetos e","Berssaneti, Fernando Tobal (Autor),","R$64,00","R$32,00"
Qualidade e competência nas decisões,"Costa Neto, Pedro Luiz de Oliveira","R$146,00","R$73,00"
Quatro conversas com W. R. Bion,"Bion, Wilfred R. (Autor)","R$25,00","R$12,50"
"Quatro edifícios, cinco locais de implantação, vinte soluções de","Botelho, Manoel Henrique Campos","R$85,00","R$42,50"
Química: um curso universitário,"Mahan, Bruce M. (Autor), Myers,","R$152,00","R$76,00"
Química analítica quantitativa elementar,"Baccan, N. (Autor), Andrade, J. C. de","R$114,00","R$57,00"
Química bioinorgânica e ambiental,"Toma, Henrique E. (Autor)","R$80,00","R$40,00"
Química de alimentos,"Ribeiro, Eliana Paula (Autor), Seravalli,","R$85,00","R$42,50"
"Química de coordenação, organometálica e catálise","Toma, Henrique E. (Autor)","R$101,00","R$50,50"
Química em tubos de ensaio,"Bessler, Karl E. (Autor), Neder,","R$81,00","R$40,50"
Química experimental de polímeros,"Mano, Eloisa Biasotto (Autor), Dias,","R$134,00","R$67,00"
Química geral,"Rozenberg, I. M. (Autor)","R$167,00","R$83,50"
Química geral em quadrinhos,"Criddle, Graig (Autor)","R$37,00","R$18,50"
Redação para o ENEM,"Carneiro, Luiz (Autor)","R$65,00","R$32,50"
Reflexões teórico-clínicas em psicanálise,"Sapienza, Antonio (Autor)","R$99,00","R$49,50"
Reforma trabalhista,"Pipek, Arnaldo (Autor), Dutra,","R$19,00","R$9,50"
Refrigeração,"Costa, Ennio Cruz da (Autor)","R$120,00","R$60,00"
Refrigeração industrial,"Stoecker, Wilbert F. (Autor)","R$160,00","R$80,00"
Regras do jogo - vol 1,"Salen, Katie (Autor), Zimmerman, Eric","R$53,00","R$26,50"
Regras do jogo - vol 2,"Salen, Katie (Autor), Zimmerman, Eric","R$72,00","R$36,00"
Regras do jogo - vol 3,"Salen, Katie (Autor), Zimmerman, Eric","R$82,00","R$41,00"
Regras do jogo - vol 4,"Salen, Katie (Autor), Zimmerman, Eric","R$51,00","R$25,50"
Relações de objeto,"Gurfinkel, Decio (Autor)","R$120,00","R$60,00"
Relatividade geral para bebês: Universidade dos bebês,"Ferrie, Chris (Autor)","R$39,90","R$19,95"
Resistência dos materiais,"Botelho, Manoel Henrique Campos","R$94,00","R$47,00"
Ressentimento terminável e interminável,"Kancyper, Luis (Autor)","R$78,00","R$39,00"
Ressonância magnética nuclear,"Nascimento, Claudia (Autor)","R$42,00","R$21,00"
Retórica do design gráfico,"Almeida Junior, Licinio de (Autor),","R$30,00","R$15,00"
Reúso da água,"Telles, Dirceu D'Alkmin (Coordenador),","R$149,00","R$74,50"
"Revisitando ""Inveja e gratidão""","Brenman-Pick, Irma (Autor), Britton,","R$85,00","R$42,50"
Roadmap for sustainable aviation biofuels for Brazil,"Cortez, Luís Augusto Barbosa (Editor)","R$104,00","R$52,00"
Robótica para bebês: Universidade dos bebês,"Ferrie, Chris (Autor), Kaiser, Dra. Sarah","R$39,90","R$19,95"
Rotinas em terapia intensiva pediátrica,"Carlotti, Ana Paula de Carvalho Panzeri","R$153,00","R$76,50"
Roussillon na América Latina,"Rache, Eliana (Organizador), Tanis,","R$60,00","R$30,00"
Secagem industrial,"Costa, Ennio Cruz da (Autor)","R$72,00","R$36,00"
Segurança contra incêndio em edifícios,"Silva, Valdir Pignatta (Autor)","R$52,00","R$26,00"
Segurança de dados,"Terada, Routo (Autor)","R$117,00","R$58,50"
Segurança de poço na perfuração,"Santos, Otto Luiz Alcântara (Autor)","R$85,00","R$42,50"
Segurança e alimento,"Franco, Bernadette D. G. M. (Autor),","R$37,00","R$18,50"
Seminários italianos,"Bion, Wilfred R. (Autor)","R$55,00","R$27,50"
Seminários na clínica Tavistock,"Bion, Wilfred R. (Autor), Bion,","R$59,00","R$29,50"
Sensoriamento remoto,"Novo, Evlyn M. L. de Moraes (Autor)","R$129,00","R$64,50"
Sexualidades e gênero,"Holovko, Cândida Sé (Organizador),","R$100,00","R$50,00"
Shakespeare: paixões e psicanálise,"Ditolvo, Heloisa Helena Sitrângulo","R$55,00","R$27,50"
Símbolos gráficos,"Formiga, Eliana (Autor), Braga, Marcos","R$52,00","R$26,00"
Sistemas de injeção de materiais pulverizados em altos-fornos e,"Motta, Ricardo Sebastião Nadur","R$127,00","R$63,50"
Sistemas dinâmicos e mecatrônicos,"Balthazar, José Manoel (Autor),","R$70,00","R$35,00"
Sistemas estruturais,"Silver, Pete (Autor), McLean, Will","R$117,00","R$58,50"
Sistemas operacionais de tempo real e sua aplicação em,"Denardin, Gustavo Weber (Autor),","R$120,00","R$60,00"
Sistemas realimentados,"Aguirre, Luis Antonio (Autor)","R$98,00","R$49,00"
Sistemas sustentáveis de esgotos,"Mendonça, Sérgio Rolim (Autor),","R$109,00","R$54,50"
Sobre identidade e identificações,"Nominé, Bernard (Autor)","R$40,00","R$20,00"
Sobre o feminino,"Castelo Filho, Claudio (Organizador)","R$49,00","R$24,50"
Sobre os fundamentos da psicanálise,"Herrmann, Fabio (Autor)","R$110,00","R$55,00"
Sobre ter certeza,"Burton, Robert A. (Autor)","R$39,00","R$19,50"
"Sociedade, cultura, psicanálise","Mezan, Renato (Autor)","R$115,00","R$57,50"
Sociologia: Coleção a Reflexão e a Prática no Ensino Médio,"Souza, Davisson Charles C. de (Autor),","R$49,00","R$24,50"
Soldagem: processos e metalurgia,"Wainer, Emílio (Coordenador), Brandi,","R$176,00","R$88,00"
Solventes industriais,"Garbelotto, Paulo (Coordenador)","R$130,00","R$65,00"
Solventes industriales,"Garbelotto, Paulo (Coordenador)","R$143,00","R$71,50"
Stephen Hawking: Pequenos livros sobre grandes pessoas,"Thomas, Isabel (Autor)","R$44,90","R$22,45"
Suicídio,"Cassorla, R. M. S. (Autor)","R$34,00","R$17,00"
Sustentabilidade dos oceanos,"Gianesella, Sônia Maria Flores (Autor),","R$65,00","R$32,50"
Técnicas de manutenção preditiva - vol 1,"Nepomuceno, L. X. (Autor)","R$156,00","R$78,00"
Técnicas de manutenção preditiva - vol 2,"Nepomuceno, L. X. (Autor)","R$163,00","R$81,50"
Tecnologia da indústria do gás natural,"Vaz, Célio Eduardo Martins (Autor),","R$176,00","R$88,00"
Tecnologia dos plásticos,"Michaeli, Walter (Autor), Greif,","R$87,00","R$43,50"
Temas selectos en aceites y grasas,"Block, Jane Mara (Editor), Barrera-","R$128,00","R$64,00"
Tempo de muda,"Mezan, Renato (Autor)","R$80,00","R$40,00"
Tempos de encontro,"Volich, Rubens M. (Autor)","R$97,00","R$48,50"
Tensoativos,"Daltin, Decio (Autor)","R$120,00","R$60,00"
Teoria da relatividade especial,"Gazzinelli, R. (Autor)","R$60,00","R$30,00"
Teoria da usinagem dos materiais,"Machado, Álisson Rocha (Autor),","R$139,00","R$69,50"
Teoria e prática do treinamento esportivo,"Barbanti, Valdir J. (Autor)","R$82,00","R$41,00"
Termodinâmica amistosa para engenheiros,"Levenspiel, Octave (Autor)","R$92,00","R$46,00"
Termodinâmica metalúrgica,"Silva, Carlos Antônio da (Autor), Silva,","R$180,00","R$90,00"
Territórios das mulheres,"Arantes, Urias (Autor)","R$104,00","R$52,00"
Tintas de qualidade,ABRAFATI (Instituição),"R$180,00","R$90,00"
Tintas imobiliárias de qualidade 2012,"Fazenda, Jorge M. R. (Autor)","R$248,00","R$124,00"
Tipografía en Latinoamérica,"Celso, Alejandro lo (Autor), Gravier,","R$72,00","R$36,00"
Tipografia vernacular urbana,"Finizola, Fátima (Autor), Farias, Priscila","R$36,00","R$18,00"
Tipos latinos 2010,"Cardinali, Luciano (Coordenador)","R$40,00","R$20,00"
"Tolerâncias, ajustes, desvios e análise de dimensões","Agostinho, Oswaldo Luiz (Autor),","R$119,00","R$59,50"
Tomadas de decisão com ferramentas da lógica paraconsistente,"Carvalho, Fábio Romeu de (Autor),","R$71,00","R$35,50"
Topografia - vol 1,"Borges, Alberto de Campos (Autor)","R$93,00","R$46,50"
Topografia - vol 2,"Borges, Alberto de Campos (Autor)","R$93,00","R$46,50"
Torções na razão freudiana,"Delouya, Daniel (Autor)","R$82,00","R$41,00"
Tormentos de almas,"Ferro, Antonino (Autor)","R$83,00","R$41,50"
Tornando-se pais,"Levinzon, Gina Khafif (Autor)","R$58,00","R$29,00"
Toxicologia forense,"Dorta, Daniel Junqueira (Organizador),","R$225,00","R$112,50"
"Trabalho, tecnologia e organização - vol 1","Maggi, Bruno (Autor), Dwyer, Tom","R$32,00","R$16,00"
"Trabalho, tecnologia e organização - vol 2","Dejours, Christophe (Autor), Sznelwar,","R$35,00","R$17,50"
"Trabalho, tecnologia e organização - vol 3","Abrahão, Júlia Issy (Autor), Sznelwar,","R$43,00","R$21,50"
Transferência e contratransferência,"Minerbo, Marion (Autor)","R$72,00","R$36,00"
Transformadores: teoria e ensaios,"Oliveira, José Carlos de (Autor), Cogo,","R$85,00","R$42,50"
Transformadores,"Jordão, Rubens Guedes (Autor)","R$82,00","R$41,00"
Tratamento de água,"Richter, Carlos A. (Autor), Azevedo","R$134,00","R$67,00"
Tratamento de lodos de estações de tratamento de água,"Richter, Carlos A. (Autor)","R$60,00","R$30,00"
Tratamento estatístico de dados em física experimental,"Helene, Otaviano A. M. (Autor), Vanin,","R$37,00","R$18,50"
Tratamentos térmicos e superficiais dos aços,"Pinedo, Carlos Eduardo (Autor)","R$98,00","R$49,00"
Trigonometria e números complexos,"Molter, Alexandre (Autor), Nachtigall,","R$74,00","R$37,00"
TV digital interativa,"Schlittler, João Paulo Amaral (Autor),","R$65,00","R$32,50"
Uma breve história da química,"Greenberg, Arthur (Autor)","R$125,00","R$62,50"
Uma breve história do feminismo no contexto euro-americano,"Patu (Autor), Schrupp, Antje (Autor)","R$39,90","R$19,95"
Uma flor nasceu na rua!,"Leite, Pedro Colli Badino de Souza","R$59,00","R$29,50"
Uma imagem do mundo,"Trinca, Walter (Autor)","R$83,00","R$41,50"
Uma introdução à história do design,"Cardoso, Rafael (Autor)","R$109,00","R$54,50"
Uma introdução concisa à mecânica dos fluidos,"Young, Donald F. (Autor), Munson,","R$125,00","R$62,50"
União estável,"Nigri, Tânia (Autor)","R$29,00","R$14,50"
Vacinas: Universidade dos bebês,"Florance, Jon (Autor), Florance, Cara","R$39,90","R$19,95"
Vale a pena estudar engenharia química,"Cremasco, Marco Aurélio (Autor)","R$60,00","R$30,00"
Values at play,"Flanagan, Mary (Autor), Nissenbaum,","R$60,00","R$30,00"
Várias faces da matemática,"Ávila, Geraldo (Autor)","R$77,00","R$38,50"
Veículos elétricos e híbridos,"Denton, Tom (Autor)","R$74,00","R$37,00"
Ventilação,"Costa, Ennio Cruz da (Autor)","R$116,00","R$58,00"
Ventilação e cobertas,"Montenegro, Gildo A. (Autor)","R$57,00","R$28,50"
Vergonha,"Bilenky, Marina Kon (Autor)","R$28,00","R$14,00"
Vetores com aplicações em física,"Gómez, Sergio Leonardo (Autor)","R$80,00","R$40,00"
Vida interior,"Waddell, Margot (Autor)","R$95,00","R$47,50"
Vídeo games,"Luz, Alan Richard da (Autor), Costa,","R$36,00","R$18,00"
Violência familiar,"Muszkat, Malvina (Autor), Muszkat,","R$28,00","R$14,00"
