Título,Autores,Preço,Preço com 50%
Bion em Nova York e em São Paulo,"Bion, Wilfred R. (Autor)","R$59,00","R$29,50"
Bion no Brasil,"Mattos, José Américo Junqueira de","R$85,00","R$42,50"
Biotecnologia aplicada à saúde - vol 1,"Resende, Rodrigo Ribeiro","R$132,00","R$66,00"
Biotecnologia aplicada à saúde - vol 2,"Resende, Rodrigo Ribeiro","R$237,00","R$118,50"
Biotecnologia aplicada à saúde - vol3,"Resende, Rodrigo Ribeiro","R$237,00","R$118,50"
Biotecnologia farmacêutica,"Vitolo, Michele (Coordenador), Pessoa","R$165,00","R$82,50"
Biotecnologia industrial - vol1,"Alterthum, Flávio (Organizador)","R$160,00","R$80,00"
Biotecnologia industrial - vol 2,"Schmidell, Willibaldo (Organizador)","R$230,00","R$115,00"
Biotecnologia industrial - vol 3,"Lima, Urgel de Almeida (Organizador),","R$224,00","R$112,00"
Biotecnologia industrial - vol 4,"Moraes, Iracema de Oliveira","R$220,00","R$110,00"
Blucher infantil ilustrado,"Baroukh, Josca Ailine (Autor), Alves,","R$40,00","R$20,00"
Box - As mulheres que mudaram o mundo,"Ignotofsky, Rachel (Autor)","R$169,90","R$84,95"
Brazilian design profile 2008,ABEDESIGN (Instituição),"R$41,00","R$20,50"
Brazilian design profile 2011,ABEDESIGN (Instituição),"R$85,00","R$42,50"
Breve introdução a algumas ideias de Bion,"Kirschbaum, Isaias (Autor)","R$95,00","R$47,50"
Briefing,"Phillips, Peter L. (Autor)","R$72,00","R$36,00"
Buda e o bebê,"Monzo, Maria Pozzi (Autor)","R$109,00","R$54,50"
"Budapeste, Viena e Wiesbaden","Dean-Gomes, Gustavo (Autor)","R$124,00","R$62,00"
Cabala e psicanálise,"Eigen, Michael (Autor)","R$54,00","R$27,00"
"Cachaça: ciência, tecnologia e arte","Alcarde, André Ricardo (Autor)","R$30,00","R$15,00"
"Caderno de encargos: terraplenagem, pavimentação e serviços","Mudrik, Chaim (Autor)","R$97,00","R$48,50"
Caderno de estruturas em alvenaria e concreto simples,"Moliterno, Antonio (Autor)","R$129,00","R$64,50"
Caderno de muros de arrimo,"Moliterno, Antonio (Autor)","R$90,00","R$45,00"
