"","Texto: Marco Giannotti, Sergio Sister, Paulo Pasta / Artista: Mira",,,,
"MIRA SCHENDEL, PINTORA",,R$,"45,00",R$,"22,50"
"",Schendel,,,,
"","Fotógrafo: Thomaz Farkas, Marcel Gautherot, José Medeiros, Hans",,,,
MODERNIDADES FOTOGRÁFICAS: 1940-1964,,R$,"124,90",R$,"62,45"
"",Gunther Flieg,,,,
NEMER: AQUARELAS RECENTES,Texto: Olívio Tavares de Araújo / Artista: Nemer,R$,"15,00",R$,"7,50"
O BOI NO TELHADO – DARIUS MILHAUD E A,,,,,
"",Autor: Manoel Aranha Corrêa do Lago,R$,"60,00",R$,"30,00"
MÚSICA BRASILEIRA NO MODERNISMO,,,,,
O DESATINO DA RAPAZIADA,Autor: Humberto Werneck,R$,"21,50",R$,"10,75"
O ENIGMA DO HOMEM CÉLEBRE – AMBIÇÃO E,,,,,
"",Autor: Cacá Machado,R$,"75,00",R$,"37,50"
VOCAÇÃO DE ERNESTO NAZARETH,,,,,
O INFARTO DA ALMA,Texto: Diamela Eltit / Fotógrafo: Paz Errázuriz,R$,"84,50",R$,"42,25"
O LEQUE,Autor: Dora Ferreira da Silva,R$,"25,00",R$,"12,50"
O ORIENTAL HYDROGRAPHE E A FOTOGRAFIA,Organização: Maria Inez Turazzi,R$,"184,50",R$,"92,25"
O RIO DE JANEIRO E SEUS FOTÓGRAFOS,Autor: Pedro Karp Vasquez,R$,"10,00",R$,"5,00"
OLHAR CRÍTICO: 50 ANOS DE CINEMA,,,,,
"",Autor: Ely Azeredo,R$,"54,00",R$,"27,00"
BRASILEIRO,,,,,
OLHAR DIRETO: FOTOGRAFIAS DE PAUL,,,,,
"",Fotógrafo: Paul Strand,R$,"65,00",R$,"32,50"
STRAND,,,,,
OS AMERICANOS,Artista: Robert Frank,R$,"89,50",R$,"44,75"
OS RECLAMES DE FÚLVIO PENNACCHI,Artista: Fúlvio Pennacchi,R$,"25,00",R$,"12,50"
"PAI PAÍS, MÃE PÁTRIA",Autor: José Carlos Avellar,R$,"34,90",R$,"17,45"
PAISAGEM MORAL: MARCEL GAUTHEROT,Autor: Iris Kantor,R$,"39,00",R$,"19,50"
"PALAVRAS CRUZADAS, SONHADAS,",,,,,
"",Organização: Miguel Rio Branco e Thyago Nogueira,R$,"109,50",R$,"54,75"
"RASGADAS, ROUBADAS, USADAS,",,,,,
PARANOIA,Autor: Roberto Piva,R$,"60,00",R$,"30,00"
PAUL HARRO-HARRING: ESBOÇOS TROPICAIS,,,,,
"",Artista: Paul Harro-Harring,R$,"15,00",R$,"7,50"
DO BRASIL,,,,,
PIZA - TRABALHOS RECENTES,Artista: Arthur Luiz Piza,R$,"15,00",R$,"7,50"
RAPHAEL E EMYGDIO: DOIS MODERNOS NO,,,,,
"","Artista: Raphael Domingues, Emygdio de Barros",R$,"85,00",R$,"42,50"
ENGENHO DE DENTRO,,,,,
RETRATOS DO IMPÉRIO E DO EXÍLIO: IMAGENS,,,,,
"","Organização: Sergio Burgi, Dom João de Orleans e Bragança",R$,"25,00",R$,"12,50"
DA FAMÍLIA IMPERIAL NO ACERVO DE DOM,,,,,
"RICHARD SERRA: ESCRITOS E ENTREVISTAS,",,,,,
"",Autor: Richard Serra / Organização: Heloisa Espada,R$,"54,90",R$,"27,45"
1967-2013,,,,,
RICHARD SERRA: DESENHOS NA CASA DA,,,,,
"",Artista: Richard Serra / Fotógrafo: Cristiano Mascaro,R$,"169,90",R$,"84,95"
GÁVEA,,,,,
"RIO, DE MARC FERREZ, RIO, DE ROBERT",,,,,
"","Artista: Robert Polidori, Marc Ferrez",R$,"370,00",R$,"185,00"
POLIDORI EM LUVA ESPECIAL - INGLÊS,,,,,
"RIO, DE ROBERT POLIDORI",Fotógrafo: Robert Polidori,R$,"195,00",R$,"97,50"
ROBERT POLIDORI: FOTOGRAFIAS,Fotógrafo: Robert Polidori,R$,"140,00",R$,"70,00"
ROBERTO MAGALHÃES: DESENHOS,Artista: Roberto Magalhães,R$,"10,00",R$,"5,00"
SAMBA DE SAMBAR DO ESTÁCIO - 1928 A 1931,Autor: Humberto M. Franceschi,R$,"50,00",R$,"25,00"
SAMBA SHIVA – AS FOTOGRAFIAS DE,,,,,
"",Autor: Sambasiva Rao Patchineelam / Organização: Vijai Patchineelam,R$,"85,00",R$,"42,50"
SAMBASIVA RAO PATCHINEELAM,,,,,
SAMBISTAS E CHORÕES,Autor: Lúcio Rangel,R$,"49,90",R$,"24,95"
"SÃO PAULO, FORA DE ALCANCE",Autor: Mauro Restiffe / Organização: Thyago Nogueira,R$,"89,90",R$,"44,95"
SEGALL REALISTA,Artista: Lasar Segall / Texto: Tadeu Chiarelli,R$,"80,00",R$,"40,00"
SERTÕES: LUZ & TREVAS,Fotógrafo: Maureen Bisilliat,R$,"134,50",R$,"67,25"
SEYDOU KEÏTA,Artista: Seydou Keïta,R$,"134,50",R$,"67,25"
TACITA DEAN: A MEDIDA DAS COISAS,"Artista: Tacita Dean / Texto: Rina Carvajal, Svetlana Alpers",R$,"89,90",R$,"44,95"
TEMPO REENCONTRADO,Organização: Carlos Augusto Calil,R$,"49,00",R$,"24,50"
TRANSPOEMAS,Autor: Dora Ferreira da Silva,R$,"25,00",R$,"12,50"
CFB CANUDOS (BROCHURA),Org: Instituto Moreira Salles,"R$           98,00","R$       49,00"
CFB GEORGES LEUZINGER,Org: Instituto Moreira Salles,"R$         110,00","R$       55,00"
CLB CARLOS DRUMMOND DE ANDRADE,Org: Instituto Moreira Salles,"R$           85,00","R$       42,50"
CLB CARLOS HEITOR CONY,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB ERICO VERISSIMO,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB EUCLIDES DA CUNHA - BROCHURA,Org: Instituto Moreira Salles,"R$           80,00","R$       40,00"
CLB EUCLIDES DA CUNHA - CAPA DURA,Org: Instituto Moreira Salles,"R$           80,00","R$       40,00"
CLB IGNÁCIO DE LOYOLA BRANDÃO,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB JOÃO CABRAL DE MELO NETO,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB JOÃO UBALDO RIBEIRO,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB JORGE AMADO,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB LYGIA FAGUNDES TELLES,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB MÁRCIO SOUZA,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
CLB RACHEL DE QUEIROZ,Org: Instituto Moreira Salles,"R$           45,00","R$       22,50"
REVISTA SERROTE 4,Editor: Paulo Roberto Pires,"R$           29,90","R$       14,95"
REVISTA SERROTE 5,Editor: Paulo Roberto Pires,"R$           29,90","R$       14,95"
REVISTA SERROTE 6,Editor: Paulo Roberto Pires,"R$           29,90","R$       14,95"
REVISTA SERROTE 8,Editor: Paulo Roberto Pires,"R$           32,50","R$       16,25"
REVISTA SERROTE 9,Editor: Paulo Roberto Pires,"R$           32,50","R$       16,25"
REVISTA SERROTE 10,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 11,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 12,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 13,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 14,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 15,Editor: Paulo Roberto Pires,"R$           37,50","R$       18,75"
REVISTA SERROTE 16,Editor: Paulo Roberto Pires,"R$           42,50","R$       21,25"
REVISTA SERROTE 17,Editor: Paulo Roberto Pires,"R$           42,50","R$       21,25"
REVISTA SERROTE 18,Editor: Paulo Roberto Pires,"R$           42,50","R$       21,25"
REVISTA SERROTE 19,Editor: Paulo Roberto Pires,"R$           44,50","R$       22,25"
REVISTA SERROTE 20,Editor: Paulo Roberto Pires,"R$           44,50","R$       22,25"
REVISTA SERROTE 21,Editor: Paulo Roberto Pires,"R$           44,50","R$       22,25"
REVISTA SERROTE 22,Editor: Paulo Roberto Pires,"R$           44,50","R$       22,25"
REVISTA SERROTE 23,Editor: Paulo Roberto Pires,"R$           44,50","R$       22,25"
REVISTA SERROTE 24,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 25,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 26,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 27,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 28,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 29,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 30,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 31,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 32,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 33,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 34,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 35,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 36,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 37,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA SERROTE 38,Editor: Paulo Roberto Pires,"R$           48,50","R$       24,25"
REVISTA ZUM 7,Editor: Thyago Nogueira,"R$           49,50","R$       24,75"
REVISTA ZUM 8,Editor: Thyago Nogueira,"R$           52,50","R$       26,25"
REVISTA ZUM 9,Editor: Thyago Nogueira,"R$           52,50","R$       26,25"
REVISTA ZUM 10,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 11,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 12,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 13,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 14,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 15,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 16,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 17,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 18,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 19,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
REVISTA ZUM 20,Editor: Thyago Nogueira,"R$           57,50","R$       28,75"
""
