Titulo,Autor,Preço de capa,Preço com desconto
Poesia em tempo de prosa,"Eliot, T.S.; Baudelaire, Charles","R$ 50,00","R$ 25,00"
Pólen,"Novalis, Friedrich Von H.","R$ 75,00","R$ 37,50"
"Pomas, um tostão cada","Joyce, James","R$ 53,00","R$ 26,50"
POPOL VUH,"Brotherston, Gordon","R$ 119,00","R$ 59,50"
Por causa do pior,"Fingermann, Dominique; Dias, Mauro","MendeRs$ 59,00","R$ 29,50"
Por que você não me aceita assim?,"Heine, Helme","R$ 41,00","R$ 20,50"
Por uma cultura pública,"Ponte, Elizabeth","R$ 34,00","R$ 17,00"
Prefácio a Shakespeare,"Johnson, Samuel; Stendhal, Henri-M","rie BeyRle$ 53,00","R$ 26,50"
Proteção jurídica de expressões culturais de povos indígenas n,"Pin. dúes Ftraiar icau, lVtuicratol r Lucio","R$ 34,00","R$ 17,00"
Protocolos críticos,Vários Autores,"R$ 45,00","R$ 22,50"
Psicanálise lacaniana,"Leite, Marcio Peter De Souza","R$ 79,00","R$ 39,50"
Puro gesto,"Teixeira, Coelho","R$ 45,00","R$ 22,50"
Quando as cores do sétimo dia,"Franco, Rendrik F","R$ 38,00","R$ 19,00"
Querida sorte,"Heine, Helme","R$ 41,00","R$ 20,50"
"Reconquista de Mompracem, A","Salgari, Emilio","R$ 51,00","R$ 25,50"
Relógio sem sol,"Volpato, Cadão","R$ 40,00","R$ 20,00"
"Revanche de Sandokan, A","Salgari, Emilio","R$ 51,00","R$ 25,50"
Robinson Crusoé,"Defoe, Daniel","R$ 59,00","R$ 29,50"
"Roland Barthes, uma biografia intelectual","Motta, Leda Tenório Da","R$ 89,00","R$ 44,50"
Romance do bordado e da pantera negra,"Carrero, Raimundo; Suassuna, Arian","R$ 32,00","R$ 16,00"
Rosa que está,"Collin, Luci","R$ 42,00","R$ 21,00"
Sade - a felicidade libertina,"Moraes, Eliane Robert","R$ 89,00","R$ 44,50"
"Samuel Beckett e seus duplos - espelhos, abismos e outras ver","iVgeanscso lintecreállroiass, Claudia Maria De","R$ 44,00","R$ 22,00"
Sapoeta,"Faleiros, Álvaro; Vilela, Fernando","R$ 44,00","R$ 22,00"
Sarrasine,"Balzac, Honoré de","R$ 38,00","R$ 19,00"
Saturação,"Maffesoli, Michel","R$ 42,00","R$ 21,00"
Sedições,"Cesarotto, Oscar","R$ 53,00","R$ 26,50"
Semiótica psicanalitíca - clínica da cultura,"Santaella, Lucia; Hisgail, Fani","R$ 79,00","R$ 39,50"
"Sempre seu, Oscar","Wilde, Oscar","R$ 89,00","R$ 44,50"
Sempre tua,"Espanca, Florbela","R$ 89,00","R$ 44,50"
Sermões,"Ramos, Nuno","R$ 69,00","R$ 34,50"
Sinfonia de objetos,"Costa, Paulo De Freitas","R$ 50,00","R$ 25,00"
Singularidade está próxima quando os humanos transcendem a,"bKiuorlozwgieail, Ray","R$ 139,00","R$ 69,50"
Sirva o coração em bandeja de cristal líquido,"Castro, Lais De","R$ 45,00","R$ 22,50"
Sobre a supressão geral dos partidos políticos,"Weil, Simone","R$ 42,00","R$ 21,00"
Sobre Kant,"Lebrun, Gerard","R$ 59,00","R$ 29,50"
Sobre o estudo da poesia grega,"Schlegel, Friedrich","R$ 53,00","R$ 26,50"
Sombra severa,"Carrero, Raimundo","R$ 42,00","R$ 21,00"
Sonhos,"Kafka, Franz","R$ 42,00","R$ 21,00"
Sou uma selva de raízes vivas,"Storni, Alfonsina","R$ 59,00","R$ 29,50"
Tango malandro,"Cesarotto, Oscar","R$ 42,00","R$ 21,00"
Teatro completo,"Santo, Qorpo","R$ 101,00","R$ 50,50"
Teogonia a origem dos deuses,Hesíodo,"R$ 56,00","R$ 28,00"
Terceto para o fim dos tempos,"Dal Farra, Maria Lucia","R$ 37,00","R$ 18,50"
Tigres de mompracem,"Salgari, Emilio","R$ 48,00","R$ 24,00"
Tortografia,"Borges, Eliana; Corona, Ricardo","R$ 35,00","R$ 17,50"
Totens,"Medeiros, Sérgio","R$ 53,00","R$ 26,50"
Tragédias,Ésquilo,"R$ 119,00","R$ 59,50"
Treva alvorada,"Ianelli, Mariana","R$ 42,00","R$ 21,00"
Trilogia de Alice,"Murphy, Tom","R$ 45,00","R$ 22,50"
Trio pagão,"Medeiros, Sérgio","R$ 49,00","R$ 24,50"
Tristan,"Valentini, Loreana","R$ 63,00","R$ 31,50"
Trombeta de vime,"Aira, César","R$ 42,00","R$ 21,00"
Tudos,"Antunes, Arnaldo","R$ 45,00","R$ 22,50"
Tungstênio,"Vallejo, César","R$ 49,00","R$ 24,50"
Um assovio no escuro,"Murphy, Tom","R$ 49,00","R$ 24,50"
Um homem bom,"Barbalho, Thiago","R$ 35,00","R$ 17,50"
Urgentes preparativos para o fim do mundo,"Araujo, Inácio","R$ 53,00","R$ 26,50"
Vapor barato,"Alves-Bezerra, Wilson","R$ 42,00","R$ 21,00"
Variedades,"Valery, Paul","R$ 85,00","R$ 42,50"
Vermelho ou por que o bullying não é legal,"Kinder, Jan De","R$ 41,00","R$ 20,50"
Vertigem por um fio,"Pál Pelbart, Peter","R$ 79,00","R$ 39,50"
Vertigens,"Alves-Bezerra, Wilson","R$ 39,00","R$ 19,50"
Viagem numa peneira,"Lear, Edward","R$ 48,00","R$ 24,00"
Vida capital,"Pelbart, Peter Pál","R$ 85,00","R$ 42,50"
Villa,"Gusmán, Luis","R$ 45,00","R$ 22,50"
Visões,"Blake, William","R$ 109,00","R$ 54,50"
Você não sabia?,"Baltscheit, Martin; Schwarz, Christine","R$ 44,00","R$ 22,00"
Vodu urbano,"Cozarinsky, Edgardo","R$ 42,00","R$ 21,00"
Volta,"Willer, Cláudio","R$ 45,00","R$ 22,50"
Vozes,"Amaral, Ana Luisa","R$ 42,00","R$ 21,00"
Wittgenstein!,"Borges, Luís Augusto Contador","R$ 40,00","R$ 20,00"
