COD_BARRA_ITEM,COD. HORUS,NOM_ITEM,NOM_EDITORA,VLR_CAPA,VLR PROMOCIONAL,GENERO
9788560156429,250429,GRAMATICA - NUNCA MAIS! - O ENSINO DA LING,WA MPAFD MRAROT SINEMS F O NE,"TEUSDO DA G44R,A9M0 ATICA","22,45",Linguagem e comun
9788578274030,656721,POCHE - A TARTARUGA QUE VIVEU A VIDA,WMF MARTINS FON,"ES34,90","17,45",Infantis e Juvenis
9788578275990,699156,APRENDENDO COM OS BICHOS - YOGA PARA CRI,WNÇMAFS MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578274474,662521,"BEM E O MAL, O - VOL. 11 - COLEÇAO FILOSOFIA",W- OM PFR MAZAERRT IDNOS PFOEN,"AERS29,90","14,95",Filosofia
9788578275471,685284,"ENSAIO COMO TESE, O - ESTETICA E NARRATIVA",WA CMOFM MPAORSTIÇINASO F DOON,"ESXTO CIEN4T4I,F9I0CO","22,45",Comunicação e Jorn
9788578278601,733771,ELMER E A BORBOLETA,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578278816,739113,"ANTI-MAQUIAVEL, O",WMF MARTINS FON,"ES44,90","22,45",Filosofia
9788560156443,255090,HISTORIAS DA MEIA-NOITE,WMF MARTINS FON,"ES49,90","24,95",Literatura e teoria li
9788533617551,131419,RECONTANDO HISTORIAS NA ESCOLA,WMF MARTINS FON,"ES44,90","22,45",Educação e psicolog
9788578274450,666223,WAHRIG - DICIONARIO SEMIBILINGUE PARA BRA,IWLEMIRFO MS -A ARLTEINMSA FO N,"ES139,90","69,95",Dicionários
9788546900107,773633,"SOCIEDADE PUNITIVA, A",WMF MARTINS FON,"ES64,90","32,45",Filosofia
9788546902163,843434,SEM TEMPO DE DIZER ADEUS,WMF MARTINS FON,"ES39,90","19,95",Psicologia e Psicanál
9788560156108,230810,COMO REDIGIR UMA BIBLIOGRAFIA,WMF MARTINS FON,"ES49,90","24,95",Guias
9788578275525,694052,MEU CORPO DA CABEÇA AOS PES,WMF MARTINS FON,"ES54,90","27,45",Saúde e orientação
9788546900794,839101,HISTORIA DOS ANIMAIS - TOMO 2,WMF MARTINS FON,"ES49,90","24,95",Filosofia
9788578278977,741517,"SI-MESMO COMO OUTRO, O",WMF MARTINS FON,"ES69,90","34,95",Filosofia
9788546900862,785328,DOENÇAS AUTOIMUNES - PREVINA E REVERTA T,DWOM UFM M UANRTIVINERS SFO ND,"E DSOENÇAS5 I9N,9F0LAMATORI","S29,95",Medicina e Saúde
9788578271695,597156,FORMAÇAO DO PENSAMENTO JURIDICO MODER,"WOM, AF MARTINS FON","ES129,90","64,95",Direito
9788578271077,572790,CARTAS PERSAS,WMF MARTINS FON,"ES64,90","32,45",Filosofia
9788578277697,720471,FREDERICO,WMF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578273347,656720,"MICHEL, O CARNEIRO QUE NAO TINHA SORTE",WMF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578278229,729172,GATOS GUERREIROS - CAMINHO PERIGOSO - VO,.W 5MF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578273644,650465,"SAPO E SAPO, O",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788533623002,240058,ANTOLOGIA DO TEATRO ROMANTICO,WMF MARTINS FON,"ES72,90","36,45",Teatro
9788578276652,719392,"BOA NOITE, CORUJA",WMF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578275891,704545,PILHAGEM - QUANDO O ESTADO DE DIREITO E IL,WGAMLF MARTINS FON,"ES89,90","44,95",Ciências Humanas
9788546902729,886089,"CONQUISTA DA AMERICA, A - A QUESTAO DO OU",WROMF MARTINS FON,"ES69,90","34,95",História e Geografia
9788578274573,669533,GATOS GUERREIROS - FLORESTA DE SEGREDOS -,WOLM. 3F MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578279660,829409,PULGA E ESPETO,WMF MARTINS FON,"ES29,90","14,95",Infantis e Juvenis
9788578278489,732948,PEDIATRIA COM BOM-SENSO - GUIA PRATICO PA,WA MPAFI SM EA MRTAIENSS FON,"ES49,90","24,95",Educação e psicolog
9788546901128,796138,"HISTORIA DE IQBAL, A",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788546900398,781264,ARMADILHAS DA DIETA - TREINE SEU CEREBRO P,WRAM EFM MAAGRTEICNESR F EO N,"ENSCA MAIS4 V4O,9L0TE A ENGO","DAR22,45",Medicina e Saúde
9788533619517,131865,"BEM, OBRIGADO. E VOCE?",WMF MARTINS FON,"ES49,90","24,95",Humor e Quadrinho
9788578270094,560424,ANTOLOGIA DO TEATRO ANARQUISTA,WMF MARTINS FON,"ES64,90","32,45",Teatro
9788578270001,514269,LIBERALISMO IGUALITARIO - SOCIEDADE DEMOC,WATMICFA M E AJURTSTINIÇSA F IONN,"ERSNACIONA7L9,90","39,95",Ciências Sociais
9788533616905,131353,SEXUALIDADE: UM GUIA DE VIAGEM PARA ADOL,WSCMENFT MESARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578274702,666584,ESTETICA DA CRIAÇAO VERBAL,WMF MARTINS FON,"ES79,90","39,95",Literatura Estrangei
9788578279042,741015,TRATADO DA ARGUMENTAÇAO - A NOVA RETORI,WAMF MARTINS FON,"ES109,90","54,95",Direito
9788578273590,652859,"EPOPEIA DE GILGAMESH, A",WMF MARTINS FON,"ES39,90","19,95",Literatura Estrangei
9788533603233,129956,ANTONI GAUDI,WMF MARTINS FON,"ES51,60","25,80",Arquitetura e Urban
9788578271763,613188,MEU PAI E UM HOMEM-PASSARO,WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788546900916,788104,SAUDE TOTAL,WMF MARTINS FON,"ES54,90","27,45",Medicina e Saúde
9788578275792,690925,FILOSOFIA DO DIREITO - DOS GREGOS AO POS-M,WDMERFN MISMAROTINS FON,"ES119,90","59,95",Direito
9788578277345,718407,PAPAI TATUADO,WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578278908,739111,"PARAFUSOS - MANIA, DEPRESSAO, MICHELANGE",OW EM EFU M - AMRETMINOS RFIOANS,"EEMS QUADR5I4N,H90OS DE ELLE","FORNEY27,45",Humor e Quadrinho
9788578273125,626057,LIBERTAÇAO ANIMAL,WMF MARTINS FON,"ES89,90","44,95",Filosofia
9788560156238,236408,MANUAL DO PAULISTANO MODERNO E DESCOL,DWOMF MARTINS FON,"ES39,90","19,95",Literatura e teoria li
9788533622401,215091,"SENTIDO DA FILOSOFIA, O",WMF MARTINS FON,"ES29,90","14,95",Filosofia
9788533622166,205587,INTERAÇOES NAS PRATICAS DE LETRAMENTO,WMF MARTINS FON,"ES69,90","34,95",Educação e psicolog
9788578278434,732950,LEAO BRANCO,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578274870,671391,"AUTOCONFIANÇA DE SEU FILHO, A",WMF MARTINS FON,"ES49,90","24,95",Saúde e orientação
9788546901777,865086,"IDEOLOGIA, A - COLEÇAO FILOSOFIAS - O PRAZER",DWOM PFE NMSAARRT -I NVSO FLO. 3N,"ES29,90","14,95",Filosofia
9788578275044,687550,ARQUITETURA POPULAR BRASILEIRA,WMF MARTINS FON,"ES74,90","37,45",Arquitetura e Urban
9788578275433,683680,"SUJEITO DO CONHECIMENTO, O - VOL. 15 - COLE",WAOM FFIL MOSAORTFIANS  -F O N,"REASZER DO P2E9N,9S0AR","14,95",Filosofia
9788533620391,131989,POETAS FRANCESES DA RENASCENCA,WMF MARTINS FON,"ES39,90","19,95",Literatura e teoria li
9788533620919,132057,COMO SE PREPARAR PARA UM EXAME,WMF MARTINS FON,"ES44,90","22,45",Guias
9788546900855,797837,MEU MUNDO DE CABEÇA PARA BAIXO,WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578273804,648915,DEUS -  VOL. 8 - COLEÇAO FILOSOFIAS - O PRAZE,WDOM PFE MNSAARRTINS FON,"ES29,90","14,95",Filosofia
9788578270605,559973,"CONTO REGIONALISTA, O - DO ROMANTISMO A",WPRME-FM MOADRETRINISS MFOON,"ES79,90","39,95",Literatura e teoria li
9788533623248,237161,FILOSOFIA DA HISTORIA,WMF MARTINS FON,"ES59,90","29,95",Filosofia
9788578278823,739754,GUIA DE CONVERSAÇAO DO ARABE,WMF MARTINS FON,"ES34,90","17,45",Viagem e Turismo
9788578275983,706053,"RELAÇOES INTERNACIONAIS DEPOIS DE 1945, AS",WMF MARTINS FON,"ES79,90","39,95",História
9788533623071,226511,"ALEIJADINHO, O",WMF MARTINS FON,"ES89,90","44,95",Artes
9788578270575,613192,10 ANOS COM MAFALDA,WMF MARTINS FON,"ES64,90","32,45",Humor e Quadrinho
9788546900770,786295,"GIRAFA, O PELICANO E EU, A",WMF MARTINS FON,"ES34,90","17,45",Infantis e Juvenis
9788578278656,734989,FLORA & ULISSES - AS AVENTURAS ILUSTRADAS,WMF MARTINS FON,"ES44,90","22,45",Infantis e Juvenis
9788578275655,688378,GUIA DE CONVERSAÇAO DO RUSSO - CHAMBERS,WMF MARTINS FON,"ES34,90","17,45",Guias
9788578279141,746137,"ESCAFANDRO E A BORBOLETA, O",WMF MARTINS FON,"ES49,90","24,95",Biografias
9788533617377,131396,CANÇOES DA DECADENCIA E OUTROS POEMAS,WMF MARTINS FON,"ES49,90","24,95",Literatura e teoria li
9788578276485,708019,EGOCENTRICIDADE E MISTICA - UM ESTUDO ANT,WOPMOFL OMGAIRCTOINS FON,"ES49,90","24,95",Filosofia
9788533611450,130705,GALATEO OU DOS COSTUMES,WMF MARTINS FON,"ES34,90","17,45",Ciências Sociais
9788533613171,130927,DIREITO E INTERPRETAÇAO,WMF MARTINS FON,"ES109,90","54,95",Direito
9788533615397,131183,"EU SOU MARVIN, EU SOU VALENTE!",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578271183,576218,"PROCESSO GRUPAL, O",WMF MARTINS FON,"ES59,90","29,95",Psicologia e Psicanál
9788578274375,661778,ARTE DA FELICIDADE EM UM MUNDO CONTURB,"DWOM, AF MARTINS FON","ES74,90","37,45","Religião, espiritualid"
9788546900831,786842,"LONGA CAMINHADA ATE A AGUA, UMA",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788533622999,220690,ANTOLOGIA DO TEATRO REALISTA - COLEÇAO DR,WMMATFU MRAGROTSI NDSO F BORN,"SEILS72,90","36,45",Teatro
9788578275341,695084,HICKORY DICKORY DOCK,WMF MARTINS FON,"ES49,90","24,95",WMF Idiomas
9788578274313,662423,"BICHOS SINISTROS - UM LIVRO SOBRE RATOS, BA","WATMAFS ,M AARRATNIHNAS SF OE NE","CEOS RPIOES49,90","24,95",Infantis e Juvenis
9788578277611,720302,SENAS - DICCIONARIO PARA LA ENSENANZA DE L,W LEMNFG MUAA RESTPINASN FOOLNA,"PEASRA BRA1S2IL9E,N90OS","64,95",Dicionários
9788578274726,672572,"IMAGEM DA CIDADE, A",WMF MARTINS FON,"ES64,90","32,45",Arquitetura e Urban
9788533621725,218361,"MARAVILHOSA INCERTEZA, A - PENSAR, PESQUIS",WR ME CFR MIAARRTINS FON,"ES74,90","37,45",Ciências Sociais
9788560156139,236649,PSICOMETRIA GENETICA,WMF MARTINS FON,"ES64,90","32,45",Educação e psicolog
9788578273651,647404,"ONDE CABE UM, CABEM DEZ",WMF MARTINS FON,"ES49,90","24,95",Infantis e Juvenis
9788578272715,647782,OBRAS COMPLETAS - PSICANALISE - VOL. 3,WMF MARTINS FON,"ES99,90","49,95",Psicologia e Psicanál
9788533612693,130868,"FADA DA TORNEIRA E OUTROS CONTOS, A",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788578270315,519266,CRIAÇAO DO MUNDO E OUTRAS LENDAS DA AM,"ZWOMNIFA M, AARTINS FON","ES54,90","27,45",Infantis e Juvenis
9788578273729,649284,"LEAO E O CAMUNDONGO, O",WMF MARTINS FON,"ES39,90","19,95",Infantis e Juvenis
9788533608597,130405,ELEMENTOS DE PEDAGOGIA DA LEITURA,WMF MARTINS FON,"ES39,90","19,95",Educação e psicolog
9788560156535,504763,ESCREVER SOBRE ESCREVER - UMA INTRODUÇAO,CWRMITFIC MA AR CTRINITSIC FAO GN,"NESETICA54,90","27,45",Linguagem e comun
9788546900084,770524,ZEN E A ARTE DA MANUTENÇAO DE MOTOCICLE,AWS M- UF MAA RINTVINES TFIOGNA,"EASO SOBRE7 O9,S9 0VALORES","39,95",Literatura Estrangei
9788533617407,131399,POESIA LIRICA LATINA,WMF MARTINS FON,"ES64,90","32,45",Literatura e teoria li
9788533614963,131137,LUZ MEDITERRANEA E OUTROS POEMAS,WMF MARTINS FON,"ES39,90","19,95",Literatura e teoria li
9788578274542,713947,"FLORESTA DE HISTORIAS, UMA - CONTOS DE ARV",WREMSF M MAAGRICTIANSS D FO N,"UENS DO TOD5O9,90","29,95",Infantis e Juvenis
9788533620049,131956,COMO ESCREVER MELHOR CARTAS COMERCIAIS,WMM INFG MLEASRTINS FON,"ES44,90","22,45",Guias
9788533623699,250605,"MAVERICK, UMA MENTE INACESSIVEL",WMF MARTINS FON,"ES59,90","29,95",Educação e psicolog
