"A vida na Grécia: rapsódia BAGNO, MARCOS 49,00","24,50"
"Acento em português: abordagens fonológicas, (O) ARAÚJO, Gabriel Antunes de 55,00","27,50"
"Alfabetização de idosos: um tema urgente no Brasil - A Kátia Abreu | Maria Carlota Rosa 28,00","14,00"
"Análise da conversação: princípios e métodos KERBRAT-ORECCHIONI, Catherine 32,00","16,00"
"Análise de discurso crítica para linguístas e não linguistas José Ribamar Lopes Batista Jr. 39,00","19,50"
"Análise de textos: fundamentos e práticas ANTUNES, Irandé 47,00","23,50"
"Análise do discurso FERRAREZI JR., Celso | RASO, Tommaso | VO3T9R,E00, Sebast1iã9o,5 J0",
"Análise do discurso (A) MAZIERE, Francine 33,00","16,50"
"Aquisição da escrita FAYOL, Michel 37,00","18,50"
"Aquisição de linguagem KAIL, Michele 32,00","16,00"
"Aquisição de segunda língua PAIVA, Vera Lúcia Menezes de Oliveira e 40,00","20,00"
"Armadilhas do Egito Marc Cantin e Isabe 24,00","5,00"
"Argumentação: história, teorias, perspectivas, (A) PLANTIN, Christian 32,00","16,00"
"Arquitetura da conversação: teoria das implicaturas OLIVEIRA, Roberta Pires de 43,00","21,50"
"Artigo de opinião: sequência didática funcionalista CASSEB-GALVÃO, Vânia Cristina | DUARTE, M2IL8C,0IN0 ELE D1A4 C,0O0",
"Aula de inglês: do planejamento à avaliação OLIVEIRA, Luciano Amaral 50,00","25,00"
"Aula de português: encontro e interação ANTUNES, Irandé 39,00","19,50"
"Bakhtin desmascarado: história de um mentiroso, de uma frBaRudOeN dCeK uAmR Tde, lJíreioa nc-oPleatuivl o 98,00","49,00"
"Bakhtin e o cronotopo: reflexões, aplicações, perspectivas BEMONG, Nele | KEUNEN, Bart 61,00","30,50"
"Cara a cara com gladiadores Marc Cantin e Isabe 24,00","5,00"
"Cenas surdas: os surdos terão lugar no coração do mundo?LUZ, Renato Dente 39,00","19,50"
"Cinco ensaios sobre humor e análise do discurso POSSENTI, Sírio 32,00","16,00"
"Circulo de Viena (O) OUELBANI, Melika 33,00","16,50"
"Coaching instrucional: formação continuada em ensaio de líCngUuNaHsA, Alex Garcia da 26,00","13,00"
"Coisas que todo professor de português precisa saber OLIVEIRA, Luciano Amaral 53,00","26,50"
"Como escrever e ilustrar um artigo científico GUSTAVII, Björn 48,00","24,00"
"Considerações sobre a fala e a escrita: fonologia em nova cShIaMvÕeES, Darcilia 29,00","14,50"
"Constelação de gêneros: a construção de um conceito ARAÚJO, Júlio César Rosa de 29,00","14,50"
"Construção da leitura e da escrita (A) BORTONE, Marcia Elizabeth 44,00","22,00"
"Conversa de gatos BAGNO, Marcos 36,00","18,00"
"Curso de linguística geral Saussure, Ferdinand 65,00","32,50"
"Da linguística formal à linguística social CAMACHO, Roberto Gomes 46,00","23,00"
"Da redação à produção textual: o ensino da escrita GUEDES, Paulo Coimbra 61,00","30,50"
"De alunos a leitores: o ensino da leitura na educação básicaFERRAREZI JR., Celso | CARVALHO, Robson S3a9n,0to0s de","19,50"
"De Vulgari Eloquentia: sobre a eloquência em língua vulgarFrancisco Calvo del Olmo 50,00","25,00"
"Descrição do português brasileiro FERRAREZI JR., Celso | BASSO, Renato Migue3l 9| ,R0A0SO, To1m9m,5a0",
"Dicionário crítico de sociolinguísta BAGNO, Marcos Araújo 98,00","49,00"
"Dicionários escolares: políticas, formas & usos CARVALHO, Orlene L. de S. 32,00","16,00"
"Dicionários na teoria e na prática: como e para quem são feXitoAsTARA, Claudia 39,00","19,50"
"Dinâmicas funcionais da mudança linguística CASSEB-GALVÃO, Vânia Cristina | BAGNO, Ma4rc3o,0s0 Araújo 2| 1R,E50Z",
"Discurso e (pós)verdade PIOVEZANI, Carlos | Vanice Sargentini | Luzmar4a5 C,0u0rcino Fe2r2re,5ir0",
"Discurso e análise do discurso MAINGUENEAU, Dominique 43,00","21,50"
"Do campo para a cidade BORTONI-RICARDO, Stella Maris 54,00","27,00"
"Doze conceitos em análise do discurso MAINGUENEAU, Dominique 45,00","22,50"
"Doze trabalhos de Hércules: do oral para o escrito, (OS) BORTONI-RICARDO, Stella Maris 43,00","21,50"
"Educação de jovens e adultos ALVES, Ma do Rosário do N. Ribeiro 33,00","16,50"
"História das línguas, A: uma introdução JANSON, Tore","79,00","39,50"
"História das línguas, histórias da linguística, homenagem a VCVar.AloAs Alberto Faraco","72,00","36,00"
"História do português FERRAREZI JR., Celso | FARACO, Carlos Alber3to9 ,|0 R0ASO, T1o9m,5m0",,
"História sociopolítica da lígua portuguesa FARACO, Carlos Alberto","77,00","38,50"
"Imã Poesia - Kit de Palavras magnéticas DIEGUEZ, Raquel","118,80","59,40"
"Imã Poesia Inglês - Kit de Palavras magnéticas DIEGUEZ, Raquel","118,80","59,40"
"Inglês em escolas públicas não funciona? LIMA, Diógenes Cândido de","43,00","21,50"
"Integração de criança de 6 anos ao ensino fundamental BARBATO, Silviane Bonaccorsi B.","39,00","19,50"
Intercompreensão a chave para as línguas VV.AA,"47,00","23,50"
"Introdução à teoria enunciativa de Benveniste FLORES, Valdir do Nascimento","43,00","21,50"
"Leitura de literatura na escola DALVI, Maria Amélia","32,00","16,00"
"Letramentos digitais DUDENEY, Gavin","73,00","36,50"
"Letramentos múltiplos: escola e inclusão social ROJO, Roxane","31,00","15,50"
"Letramentos sociais: abordagens críticas do letramento no dSeTsReEnvEoTlv, iBmreiannt oV, .na etnografia e na educação","55,00","27,50"
"Letramentos, mídias, linguagens ROJO, Roxane | MOURA, Eduardo","54,00","27,00"
"Libras Quadros, Ronice Muller de","39,00","19,50"
"Libras? Que língua é essa? GESSER, Audrei","24,00","12,00"
"Língua do Brasil amanhã e outros mistérios, (A) PERINI, Mário A.","28,00","14,00"
"Língua e literatura: Machado de Assis na sala de aula GUIMARÃES, Alexande Huady Torres","35,00","17,50"
"Língua na mídia POSSENTI, Sírio","37,00","18,50"
"Língua, linguagem, linguistica: pondo os pingos nos ii BAGNO, Marcos Araújo","34,00","17,00"
"Língua, texto e ensino: outra escola possível ANTUNES, Irandé","52,00","26,00"
"Linguagem e diálogo: as ideias linguísticas do Círculo de BaFkAhRtinACO, Carlos Alberto","43,00","21,50"
"Linguagem online: textos e práticas digitais BARTON, David | LEE, Carmen","73,00","36,50"
"Linguagem: atividade constitutiva FRANCHI, Carlos","39,00","19,50"
"Linguagem: objeto de conhecimento: breve trajeto pela históTrRiaA dBaAsN idTe, iJausr lginegnuísticas (A)","20,00","10,00"
"Línguistica aplicada na modernidade recente MOITA LOPES, Luiz Paulo da","50,00","25,00"
"Linguística comparada e tipologia FERRAREZI JR., Celso | RASO, Tommaso | BO3S9S,A00GLIA, G1iu9l,ia50",,
"Linguística de texto: o que é e como se faz? MARCUSCHI, Luiz Antônio","24,00","12,00"
"Linguística funcional: teoria e prática FURTADO, Angélica | OLIVEIRA, Mariângela Rio2s8 ,d0e0 | MART1E4,L0O0",,
"Linguística histórica: uma introdução FARACO, Carlos Alberto","32,00","16,00"
"Linguística, o texto e o ensino de língua, A AZEREDO, José Carlos de","39,00","19,50"
"Livro que faz voce amar os livros (O) BOUCHER, Françoize","43,00","21,50"
"Livro que faz voce megafeliz BOUCHER, Françoize","43,00","21,50"
"Lógica, (A) WAGNER, Pierre","35,00","17,50"
"Lutar com palavras: coesão e coerência ANTUNES, Irandé","32,00","16,00"
"Malcomportadas línguas POSSENTI, Sírio","35,00","17,50"
"Manual de pesquisa em estudos linguísticos PAIVA, Vera Lúcia Menezes de Oliveira e","39,00","19,50"
"Metodologia de pesquisa em literatura DURÃO, Fabio Akcelrud","32,00","16,00"
"Métodos de ensino de inglês: teorias, práticas, ideologias OLIVEIRA, Luciano Amaral","43,00","21,50"
"Mikhail Bakhtin RENFREW, Alastair","50,00","25,00"
"Mitos de linguagem OTHERO, Gabriel de Ávila","33,00","16,50"
"Morfologia FERRAREZI JR., Celso | GONÇALVES, Carlos A3l9e,x0a0ndre | R1A9S,5O0",,
"Muito além da gramática: por um ensino de línguas ANTUNES, Irandé","45,00","22,50"
"Multiletramentos na escola ROJO, Roxane","55,00","27,50"
"Multimodalidade, textos e tecnologias: provocações para a sRaIlBaE dIeR Oau, lAana Elisa","35,00","17,50"
"Multiplas linguagens para ensino médio BUNZEN, Clecio | MENDONÇA, Márcia","55,00","27,50"
"Mundo na sala de aula, O MARIA SILVIA GONCALVES","39,00","19,50"
"Nada na língua é por acaso: por uma pedagogia... BAGNO, Marcos Araújo","55,00","27,50"
"Não é errado falar assim! em defesa do português brasileiroBAGNO, Marcos Araújo","61,00","30,50"
"Neologia em português ALMEIDA, Gladis Ma de Barcellos | FERREIRA, M24a,r0g0arita Ma1 C2,o0r0r",,
"Noção de fórmula em análise do discurso, (A) KRIEG PLANQUE, Alice","31,00","15,50"
"Nomenclatura gramatical brasileira: 50 anos depois HENRIQUES, Claudio Cezar","43,00","21,50"
"Norma culta brasileira: desatando alguns nós FARACO, Carlos Alberto","46,00","23,00"
"Nova pragmática RAJAGOPALAN, Kanavillil","61,00","30,50"
"Numeramento: aquisição das competências matemáticas FAYOL, Michel","25,00","12,50"
"Nurc-50 anos JR. Oliveira, Miguel","48,00","24,00"
"Objeto língua BAGNO, Marcos Araújo","54,00","27,00"
"Oralidade da educação básica: o que saber , como ensinar FERRAREZI JR., Celso | CARVALHO, Robson S3a1n,0to0s de",,"15,50"
"Ordem das palavras no português, (A) PEZATTI, Erotilde Goreti","33,00","16,50"
"Origens do português brasileiro NARO, Anthony Julius","50,00","25,00"
"Ouvinte e a surdez: sobre ensinar e aprender libras, (O) GESSER, Audrei","39,00","19,50"
"Padrões Sociolinguísticos LABOV, William","72,00","36,00"
"Pesquisar no labirinto SERRANO, Francisco Perujo","39,00","19,50"
"Pessoa no discurso (A): português e espanhol - novo olhar sFoAbNreJ UaL p, rAódxirmiáind aPd.e","26,00","13,00"
"Planejar gêneros acadêmicos MACHADO, Anna Rachel","32,00","16,00"
"Planner para chamar de seu 2022, Um Custódio, Andreía","65,00","32,50"
POESIA MAGNÉTICA MIMOS,"40,00","20,00"
"Poesia na sala de aula PINHEIRO, HELDER","28,00","14,00"
"Por que a escola não ensina gramática assim? BORTONI-RICARDO, Stella Maris","47,00","23,50"
"Por que filosofar? LYOTARD, Jean-Fraçois","26,00","13,00"
"Por uma linguística aplicada indisciplinar MOITA LOPES, Luiz Paulo da","55,00","27,50"
"Por uma linguística crítica RAJAGOPALAN, Kanavillil","39,00","19,50"
"Português no século XXI: cenário geopolítico e sociolinguístMicOo ITA LOPES, Luiz Paulo da","61,00","30,50"
"Português ou brasileiro? Um convite à pesquisa BAGNO, Marcos Araújo","43,00","21,50"
"Preconceito linguístico BAGNO, Marcos Araújo","39,00","19,50"
"Produção textual na universidade MOTTA ROTH, Désirée","35,00","17,50"
"Produção textual, análise de gêneros e compreensão MARCUSCHI, Luiz Antônio","63,00","31,50"
"Produzir textos na educação básica: o que saber, como sabFeEr RRAREZI JR., Celso | CARVALHO, Robson S4a3n,0to0s de",,"21,50"
"Professor pesquisador: introdução à pesquisa qualitativa, (OB)ORTONI-RICARDO, Stella Maris","32,00","16,00"
"Prosódia BARBOSA, Plinio A.","39,00","19,50"
"Qual política linguística? Desafios glotopolíticos contemporâLnAeGosARES, Xoán Carlos","44,00","22,00"
"Que é crítica literária? (O) DURÃO, Fabio Akcelrud","26,00","13,00"
"Questões de linguagem: passeio gramátical dirígido POSSENTI, Sírio","43,00","21,50"
"Redes sociais e ensino de língua: o que temos de aprenderL?EFFA, Vilson J. | ARAÚJO, Júlio César Rosa de44,00",,"22,00"
"Rediscutir texto, gênero e discurso SIGNORINI, Inês","48,00","24,00"
"Resenha MACHADO, Anna Rachel","33,00","16,50"
"Resumo MACHADO, Anna Rachel","22,00","11,00"
"Retórica da ação letrada BAZERMAN, Charles","44,00","22,00"
"Saberes gramaticais: formas, normas e sentidos no espaçoA eVsEcoLlAarR, JUANITO ORNELAS DE","31,00","15,50"
