"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
TÍTULOAUTOR (A)PREÇO CAPAPREÇO COM DESCONTO,,,
"",MARTINS AUGUSTO GOMES (AUTOR),,,
CURITIBA,,,,
"","ANOR SGANZERLA (EDITOR), DIEGO CARLOS",,,
A BIOÉTICA DE V.R. POTTER: 50 ANOS DEPOIS,,"R$ 74,90",R$,"37,45"
"",ZANELLA (EDITOR),,,
CARTAS A PROFESSORES: E AOS QUE AJUDAM OS OUTROS A,,,,
"",CLEMENTE IVO JULIATTO (AUTOR),"R$ 34,90",R$,"17,45"
CULTIVAR-SE,,,,
CARTAS A COLABORADORES DE ESCOLAS,CLEMENTE IVO JULIATTO (AUTOR),"R$ 34,90",R$,"17,45"
CARTAS A GESTORES DE ESCOLA: E A COORDENADORES,,,,
"",CLEMENTE IVO JULIATTO (AUTOR),"R$ 34,90",R$,"17,45"
EDUCACIONAIS,,,,
CARTAS A ESTUDANTES: E AOS QUE PROCURAM CULTIVAR-SE,CLEMENTE IVO JULIATTO (AUTOR),"R$ 34,90",R$,"17,45"
CARTAS A PAIS DE ESTUDANTES: E AOS RESPONSÁVEIS POR QUEM,,,,
"",CLEMENTE IVO JULIATTO (AUTOR),"R$ 34,90",R$,"17,45"
PROCURA CULTIVAR-SE,,,,
TÉCNICAS PARA AVALIAÇÃO DA APRENDIZAGEM: UM MANUAL,"ELIZABETH F. BARKLEY (AUTOR), CLAIRE HOWELL",,,
"",,"R$ 149,90",R$,"74,95"
PARA OS PROFESSORES UNIVERSITÁRIOS,MAJOR (AUTOR),,,
"","FERNANDO ANTONIO PRADO GIMENEZ (EDITOR),",,,
STARTUPS E O ECOSSISTEMA EMPREENDEDOR CURITIBANO,"JOHN JACKSON BUETTGEN (EDITOR), MAÍRA","R$ 29,90",R$,"14,95"
"",OLIVEIRA RUGGI (EDITOR),,,
DIETA CETOGÊNICA: PARA O TRATAMENTO DE EPILEPSIA,"CLAUDIA SEELY ROCCO (AUTOR), GISELE",,,
"",,"R$ 79,90",R$,"39,95"
REFRATÁRIA E OUTRAS DESORDENS,TRENNEPOHL DA COSTA HEINEN (AUTOR),,,
