Título,Autor,"Preçode capa","P   r eço comdesconto"
Concreto e cristal,"Pedrosa, Adriano (Organizador), Pro","nRç$a , 1L5u0iz,0a0 (","rRga$n  iz7 a5d,0o0r)"
Congresso Internacional do Medo,"Passô, Grace (Autor)","R$    32,00","R$  1 6,00"
Conselho de classe,"Bilac, Jô (Autor)","R$    36,00","R$  1 8,00"
Contraditório,"Anjos, Moacir dos (Autor)","R$    45,00","R$  2 2,50"
Conversa com Bial em casa,"Bial, Pedro (Autor)","R$    56,00","R$  2 8,00"
David Bowie - Low,"Wilcken, Hugo (Autor)","R$    46,00","R$  2 3,00"
Daydream nation - Sonic Youth,"Stearns, Matthew (Autor)","R$    46,00","R$  2 3,00"
De segunda a um ano,"Cage, John (Autor)","R$    78,00","R$  3 9,00"
Dentro da terra,"Bezerra, Paco (Autor)","R$    36,00","R$  1 8,00"
Desculpe o transtorno,"Magella, Jonatan (Autor)","R$    36,00","R$  1 8,00"
Desdobramentos da pintura brasileira séc. XXI,"Mesquita, Tiago (Autor), Duarte, Luis","R(A$u  t1o7r)5, ,D00ie","uRe$s , 8 Is7a,b5e0l ("
Diário de uma digressão,"Diegues, Isabel (Autor)","R$    25,00","R$  1 2,50"
Dois irmãos,"Camargo, Maria (Autor)","R$    70,00","R$  3 5,00"
Dona Ivone Lara - Sorriso negro,"Burns, Mila (Autor)","R$    46,00","R$  2 3,00"
É a vida,"Khatib, Mohamed El (Autor)","R$    36,00","R$  1 8,00"
Efrain Almeida,"Anjos, Moacir dos (Autor), Sardenber",",R R$i c 1a2rd6o,0 (0O","gRa$n iz 6 a3d,o0r0)"
Electric Ladyland – Jimi Hendrix,"Perry, John (Autor)","R$    46,00","R$  2 3,00"
Endtroducing... - DJ Shadow,"Wilder, Eliot (Autor)","R$    46,00","R$  2 3,00"
Entrevistas 1,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Entrevistas 2,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Entrevistas 3,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Entrevistas 4,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Entrevistas 5,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Entrevistas 6,"Obrist, Hans Ulrich (Autor)","R$    42,00","R$  2 1,00"
Erika Verzutti,"Macel, Christine (Organizador)","R$  156,00","R$  7 8,00"
Escuta!,"Ohana, Francisco (Autor)","R$    36,00","R$  1 8,00"
Espaços de trabalho de artistas latino-americanos,Editora Cobogó (Instituição),"R$  150,00","R$  7 5,00"
Espírito de tudo,"Seiler, Evangelina (Autor)","R$  110,00","R$  5 5,00"
Estudando o samba - Tom Zé,"Oliveira, Bernardo (Autor)","R$    46,00","R$  2 3,00"
Eu carreguei meu pai sobre meus ombros,"Melquiot, Fabrice (Autor)","R$    36,00","R$  1 8,00"
Fiz bem?,"Sales, Pauline (Autor)","R$    36,00","R$  1 8,00"
Fotografia na arte brasileira séc. XXI,"Diegues, Isabel (Organizador), Orteg",",R E$d  u1a7r5d,o0 0(","rgRa$n i z8 a7d,o5r0)"
Fronteiras invisíveis,"Jatahy, Christiane (Autor)","R$    68,00","R$  3 4,00"
Gang 90 & Absurdettes,"Konijn, Jorn (Autor)","R$    46,00","R$  2 3,00"
Garras curvas e um canto sedutor,"Small, Daniele Avila (Autor)","R$    32,00","R$  1 6,00"
Gerald Thomas,"Thomas, Gerald (Autor), Gonçalves","ilRho$,   A  9n2to,0n0io","(ORr$g a 4n i6z,a0d0or"
Gesto,"Lima, Dani (Autor)","R$    62,00","R$  3 1,00"
Gilberto Gil - Refavela,"Barros de Barros, Maurício (Autor)","R$    46,00","R$  2 3,00"
Guanabara canibal,"Kosovski, Pedro (Autor)","R$    36,00","R$  1 8,00"
Hans Ulrich Obrist - Entrevistas brasileiras Vol. 2,"Obrist, Hans Ulrich (Autor)","R$    80,00","R$  4 0,00"
Hans Ulrich Obrist - Entrevistas brasileiras vol. 1,"Obrist, Hans Ulrich (Autor)","R$    80,00","R$  4 0,00"
Harvest – Neil Young,"Inglis, Sam (Autor)","R$    46,00","R$  2 3,00"
Histórias do não ver,"Guimarães, Cao (Autor)","R$    64,00","R$  3 2,00"
Hoje não saio daqui,"Cia Marginal (Autor), Bilac, Jô (Autor)","R$    36,00","R$  1 8,00"
Homens que caem,"Aubert, Marion (Autor)","R$    36,00","R$  1 8,00"
Incêndios,"Mouawad, Wajdi (Autor)","R$    36,00","R$  1 8,00"
"Infância, tiros e plumas","Bilac, Jô (Autor)","R$    32,00","R$  1 6,00"
Insetos,"Bilac, Jô (Autor)","R$    40,00","R$  2 0,00"
Iole de Freitas,"Freitas, Iole de (Autor), Venancio Filh",",R P$a  1u1lo0 (,0O0r","aRni$za  d5 o5r,)00"
Iran do Espírito Santo,"Santo, Iran do Espírito (Autor), Visco","tiR, $Ja  1co7p0o,0 C0 r","vRel$li ( A8 5u,to0r0)"
Janaina Tschäpe,"Tschäpe, Janaina (Autor)","R$  156,00","R$  7 8,00"
Janis,"Liberano, Diogo (Autor)","R$    36,00","R$  1 8,00"
"Jessé Andarilho - A escrita, a cultura e o território","Faustini, Marcus (Organizador)","R$    32,00","R$  1 6,00"
José Damasceno,"Damasceno, José (Autor), Gallagher,","ARn$n   (1A3u8t,o0r0),","Rar$c í a6 ,9 A,0u0ro"
José Patrício,"Herkenhoff, Paulo (Organizador)","R$    95,00","R$  4 7,50"
Katia Maciel,"Maciel, Katia (Autor)","R$    80,00","R$  4 0,00"
Krum,"Levin, Hanoch (Autor)","R$    40,00","R$  2 0,00"
LadoB LadoA - O Rappa,"Coelho, Frederico (Autor)","R$    46,00","R$  2 3,00"
Laura Lima on_off,"Lima, Laura (Autor), Lagnado, Lisette","(RO$rg  a1n5i0z,a0d0o","),R C$a  s7 t5ro,,0 D0a"
Led Zeppelin IV - Led Zeppelin,"Davis, Erik (Autor)","R$    46,00","R$  2 3,00"
Leda Catunda – Tempo circular,,"R$  130,00","R$  6 5,00"
Luiz Braga,"Braga, Luiz (Autor), Chiodetto, Eder (","Rrg$a  n1i3za8d,0o0r)","R$  6 9,00"
Manifesto para a poesia concreta,"Fahlström, Öyvind (Autor)","R$    25,00","R$  1 2,50"
Maratona de dramaturgia,"Diegues, Isabel (Organizador), Azev","dRo,$ J  o  s4é8 ,F0e0r","aRn$d o  2P4e,i0x0ot"
Marcelo Cidade,"Mazzucchelli, Kiki (Autor), Cymbalist",", R$e n 1a1to0 ,(0A0u","oRr),$ N  5 ic5o,l0a0u,"
Marcha para Zenturo,"Passô, Grace (Autor)","R$    32,00","R$  1 6,00"
Marcia de Moraes,"Belchior, Camila (Autor), Myada, Pau","oR ($A u 1to1r0),0 (0e","trRev$i s t5 a5), 0L0o"
Marcos Amaro,"Amaro, Marcos (Autor), Resende, Ri","aRrd$o  1(O10rg,0a0ni","aRd$o r )5 5,00"
Maré / Projeto Brasil,"Abreu, Márcio (Autor)","R$    36,00","R$  1 8,00"
"Maria Laet, Poro","Laet, Maria (Autor)","R$    72,00","R$  3 6,00"
Marina Rheingantz,"Moura, Rodrigo (Autor)","R$  120,00","R$  6 0,00"
"Marta, Rosa e João","Galli, Malu (Autor)","R$    36,00","R$  1 8,00"
Mata teu pai,"Passô, Grace (Autor)","R$    36,00","R$  1 8,00"
