Título,Autor,Preço de capa,Preço com desconto
CONVERSE COM O SEU GATO,"Whitehead, Sarah","R$                44,00","R$                      22,00"
Converse Com o Seu Gato,"Whitehead, Sarah","R$                44,00","R$                      22,00"
"Cossacos, Os","Tolstói, Lev","R$                50,00","R$                      25,00"
CRIATIVIDADE BRASILEIRA-NACCAC,NEaccache (org.) / Atal,", RAl$e x  /    C  a m   p  a  5n9a, 0F0er","aRn$d  o   e    H  u   m    b  e  r2 t9o, 5/ 0N"
CRIMES ECOLOGICOS-MOSSIN,"Mossin, Heráclito Ant","nRio$                69,00","R$                      34,50"
"Crise na Representação Política do Estado,","D ́urso, Flavia","R$                51,00","R$                      25,50"
CURSO DE QUIM..ENGENHARIA-ENE,"TGrsIAic-, TMRilSaInC / Fresqui,","MRa$ír a  C  a  r v  a l h  o  80,00","R$                      40,00"
Da Leveza - Rumo a uma Civilização de Pes,"L i-p Ionvsetituskt yF,r Ganilçleasis","R$                78,00","R$                      39,00"
Da Leveza - Rumo a uma Civilização de Pes,"L i-p Ionvsetituskt yF,r Ganilçleasis","R$                78,00","R$                      39,00"
"DESEJO ENVELHECE , O-COSTA","Costa, Ana Carolina d","ORli$v e  ir  a           33,00","R$                      16,50"
Destruição dos Judeus Europeus 2 volumes,"Hilberg, Raul","R$              405,00","R$                    202,50"
Dicionário dos Apaixonados Pelo Brasil,"Lapouge, Gilles","R$                72,00","R$                      36,00"
DIR.DE PERSONALIDADE,"Correia, Atalá / Capuc","oR, $Fá  b  i o   J u  n  ( 1c5o8o,r0d0.)","R$                      79,00"
DOEN.REUM.CRIAN E.NO 3ED,"Almeida da Silva, Clov","s RA$rt u  r   /  C  a  m   2p1os3,, 0Lú0ci","RM$a  r  i a   d   e    A   r r  u1d0a6 ,/5 S0a"
Doutor Arrowsmith,"Lewis, Sinclair","R$                79,00","R$                      39,50"
DUAS IMPERTINENTES CRONICAS,"Amaral, Maria Eugêni","/R F$la  n  d  o  li ,  B  e  a 3t4ri,z0 X0a","ieRr$                      17,00"
"DUPLO EM BUSCA DO OUTRO, O-BRI","BAriNgaTnIti, Carlos A.","R$                44,00","R$                      22,00"
"Édith Piaf, As Cartas de Amor de","Capovilla, Anna Maria","R$                44,00","R$                      22,00"
EDUCACAO EM SAUDE E ENFERMAG,"SMan-tSoAs,N ÁTlvOarSo da Silv","/R P$a s c  h  o  a l ,   V  1â0ni1a, 0D0el","ARrc$o   (  o  r  g  n  s  . )   /  C 5 i0an,5c0ia"
ELETROCARDIOGRAMA SIMPLES-UC,"UIDchAida, Augusto Hiro","hiR /$ N  e  t o  ,  A  l e x 1a1n4d,r0e0","uRr$a d    /   N   a  s  c  i m   e  5 n7to,0, 0V"
Empreendedorismo - Construindo Seu Projet,"B diaeg iVoi,d Lauiz Arnaldo","R$                79,00","R$                      39,50"
"ENCANTADORA DE FAMILIAS,A-HOG","Hogg, Tracy / Blau, M","liRnd$a                89,00","R$                      44,50"
ENERGIA DAS AGUAS-VECCHIA,"Vecchia, Rodnei","R$                33,00","R$                      16,50"
ENSIN.GINASTICA PARA CRIANCAS 3,"WDe-rHnAerL, LPeter H / Wil","iaRm$s , L  o  r i   H  .   / 1 H2a4l,l,0 T0i","aR J$.                       62,00"
ENSINANDO BASQUETEBOL P.JOVE,SAmerican S.E.P.,"R$                59,00","R$                      29,50"
ENSINANDO TENIS P JOVENS,American S.E.P.,"R$                62,00","R$                      31,00"
"ERA DO ECOBUSINESS,A-NETO","Neto, João Amato (au","oRr)$ / P  h  i l i p  p  i , J r 7. 8A,r0li0n","oR ($c o  o   r d   . )           39,00"
ESCOLA DE CULINARIA,Octopus,"R$              125,00","R$                      62,50"
"ESCOLHA ISSO, NAO AQUILO -LANC","ALancha Jr., Antonio H","rbRe$rt  /  L  a  n  c h  a  ,9 L6u,c0ia0n","OR$q u  e   n  d   o    P  e   r e  i4 r8a,00"
Escritos Judaicos,"Arendt, Hannah","R$              201,00","R$                    100,50"
"ESCUTA, A-NASSER","Nasser, Paula","R$                33,00","R$                      16,50"
ESPACO TERCIARIO 2ED-HELIANA,"Vargas, Heliana Comi","R$              150,00","R$                      75,00"
Fábulas Russas de Krylov vol. 1,"Belinky, Tatiana","R$                33,00","R$                      16,50"
Filhos - De 2 a 10 Anos de Idade - Dos Pedi,"Ltroapse dza,  FSaobcioie Adnadcoen Bar","sJúiRlen$iro a r  , d D e i oP  c e ld é 1ica2iot1r iC,a0a P0ma","aoR s$o ( s o  Pr  g a s i .s )           60,50"
Filhos Adolescentes - De 10  a 20 Anos de I,"aLodpee -z D, Foasb Pioe Adinactroansa d","J úRSno$ico  ire , d D a i do  ec  l Bé c r 9aio1s iC,l0ea0imra","doRes$ (P  o e r d g  is a . )t r  i a    P   a 4 ra5 ,o5s0"
FILHOTES,"Miller, Scott","R$                74,00","R$                      37,00"
Filhotes - Os Cuidados nos Primeiros Anos,"eM Vilildear,  dSoc ostetu Cão","R$                74,00","R$                      37,00"
FINANCAS EMPRES.ESTRATEGICAS,"Matias, Alberto Borge","(Rco$o  r d  . )        194,00","R$                      97,00"
Finanças Empresariais Estratégicas (CEPEF,"MN aCteianst,r oA ldbe rPtoe sBqourigse","s  (Recmo$o  Fr d in . )a  n  ç  a  1s 9- 4E,q0u0i","eR d$e   P   r o  f e   s  s  o  r  e 9 s7 d,0o0 I"
FISIOT. EM CIRURG.CARDIACA-SARM,"SNarTmOento, George Jer","eR V$ie i r  a  ( a  u  t o  2r)0 M9,o0u0r",", R$e n  a   t a   H   e  n   n  1 /0 C4a,5n0to"
FISIOT.HOSPITALAR-EISTEIN-CAVAL,"CEaIRvaOlheiro, Leny Vieir","/R G$o  b  b  i , F  á  t i 1m6a5 C,0ri0sti","Ra $M   a  r  t o   r a  n   o    (  c8 o2o,5rd0s."
FISIOTERAPIA ICR 2ED-JULIANI,"Juliani, Regina Célia T","roRl$a P  a  s s  o  s   /  1C5u4n,h0a0,","aRr$is  t e   l a    T  r  e  v  i s  a 7 n7 /,0 L0a"
FITNESS,"Clémenceau, Jean-Pie","reR /$ D   e l a  v  i e r  ,1 F9ré6d,0é0ric","R$                      98,00"
"Frederico, o Grande - O Rei da Prússia","Blanning, Tim","R$              213,00","R$                    106,50"
Frutas - Onde Elas Nascem?,"Philippi, Sonia Tucun","uvRa$                44,00","R$                      22,00"
GENET.NA PRATIC.PEDIATRICA  2ED,"Kim, Chong Ae / Alba","oR, L$il i a  n  M   a  r i a 2 5Jo5s,é0 0/","eRrt$o  l a  ,   D   é  b   o  r  a 1 R2o7m,5e0o"
GEORGE NICHOLAS PAPANICOLAOU,"DaAhHeEr, RGibran A. G. /","oRd$a,  R  a  n  a  S  .    44,00","R$                      22,00"
GEST.URBANA E SUSTENTABILIDAD,"Philippi Jr., Arlindo /","olRle$t B  r u  n  a  ,   G  2il0da6 ,(0e0di","oRre$s  )  P   h  i l i p   p  i  J 1r.0, 3A,0rl0in"
GESTAO EM ATENDIM.2ED.COM DVD,"SaAbBaA, Fabio","R$              102,00","R$                      51,00"
GESTAO PELA FORM.HUMANA 2ED,"Fraga, Valderez Ferrei","aR$                88,00","R$                      44,00"
Gestão Pela Formação Humana - Uma Abor,"Fargaegma,  FVeanldoemrezn oFleórgreici","a 2Ra$ e  d  .            88,00","R$                      44,00"
GINASTICA LABORAL 3ED.-MENDES,"Mendes, Ricardo Alve","/R L$e i t e  , N   e  i v a   96,00","R$                      48,00"
"GLOBALIZACAO OCIDENTAL, A - LIPO","LiEpTovSeKtsYky, Gilles / Ju","inR, $H e  r v  é          63,00","R$                      31,50"
"Gorbachev, Michail - Minha Vida","Gorbachev, Michail","R$                82,00","R$                      41,00"
"GUARANI EM CORDEL, O-VIANA","Viana, Klévisson","R$                43,00","R$                      21,50"
GUIA DE CONDICIONAM FISICO HOF,"MHoAfNfman, Jay R.","R$              132,00","R$                      66,00"
Guia do Incentivo à Cultura 3a ed. Revisada,"C aemsnpilkia, Fdáabio de Sá","R$                75,00","R$                      37,50"
GUIA PRAT.P.EVITAR DVAS,"Figueiredo, Roberto","aRrt$in s               69,00","R$                      34,50"
HIDROTERAPIA,"Campion, Margaret R","idR $              185,00","R$                      92,50"
"História Secreta de Paris, A","Hussey, Andrew","R$                89,00","R$                      44,50"
História Universal da Mentira,"Fischmann, Roland","R$                33,00","R$                      16,50"
HISTORIA UNIVERSAL DA MENTIRA-F,"SFiHscMhmAaNnNn, Roland","R$                33,00","R$                      16,50"
"Hitler, Adolf volume 1 - Os Anos de Ascensã","U 1ll8r8ic9h-,1 V9o3l9ker","R$              201,00","R$                    100,50"
Holocausto - Os Eventos e Seu Impacto na,"iSdpai ldbe rPge, Sstseovaesn Reais","- Rco$m    D  V   D        74,00","R$                      37,00"
HOLOCAUSTO-SPILBERG,"Spilberg, Steven","R$                74,00","R$                      37,00"
"Homem que Ri, O","Hugo, Victor","R$              112,00","R$                      56,00"
HOTELARIA NA PRATICA,"Gregson, Paul Willia","R$                64,00","R$                      32,00"
I LOVE YOU,"Fabianis, Valéria Man","erRto$  D  e   /   Z  a n  o  t 3ti7, ,C0l0ar","R$                      18,50"
Inconsciente e Responsabilidade - Psicanáli,"Feo drob eSsé, cJourlog eXXI","R$                71,00","R$                      35,50"
Karl Marx - Uma Vida no Século XIX,"Sperber, Jonathan","R$                94,00","R$                      47,00"
LEI CAMBIAL COMENTADA 2ED-BIMB,"BTiOmbato, José Mário","R$                46,00","R$                      23,00"
LINGERIE-SCOTT,"Scott, Lesley","R$                74,00","R$                      37,00"
Livro da Noiva - Diário e Álbum de Lembranç,"Fsa bPiarnais P, Vlaanleérjaiar eM Rane","eorRrtdo$a  Dr  eo    S  e  u    C 1a0s5a,m00e","toR$                      52,50"
Logística e Cadeia de Suprimentos: O Essen,"Giaolnçalves, Paulo Sérg","oR$              111,00","R$                      55,50"
Louco por uma Gata,"Brandão, Toni","R$                34,00","R$                      17,00"
MAMADEIRA E CHUPETA,"Boni, Rosana Cristina","DRe$g a  n  , V  i v  i a n  e 2 9V,e0r0o","i R$                      14,50"
MAN.DE COACHING DE BEM-ESTAR,"LSaAncUhDa EJr-.L, AnNtoCnHioA H","rbRe$rt  /  L  a  n  c h  a  ,4 L3u,c0ia0n","OR$q u  e   n  d   o    P  e   r e  i2 r1a,50"
Manual Prático de Gestão Para Pequenas e,"Soéduisaas, AElmpir eFsearsreira","eR /$ N  e t  o  , A  d  e  1li3n6o, D00e","oRr$to  l i                   68,00"
MARKETING AMBIENTAL-ALVES,"Alves, Ricardo Ribeiro","(aRu$to  r )  /  P  h  i l i p  p9i5, ,J0r.0 A","liRn$d  o    ( c  o   o  r  d  . )    47,50"
MEDIDAS DA MEMORIA,"Chagas, Mariana","R$              164,00","R$                      82,00"
"MONSTROPOLIS, BEM-VINDO A-HES","KHeAshka, Ryan","R$                33,00","R$                      16,50"
