Título,Autor(es) / Organizador(es),Assuntos,"Preçocapa","PreçoFeira"
"CRÔNICAShttps://www.revan.com.br/produto/cronicas-393",OSCAR NIEMEYER,CRÔNICA,"R$ 39,00","R$ 19,50"
"CRÔNICAS DE AMOR A ARTEhttps://www.revan.com.br/produto/cronicas-de-amor-a-arte-74",FREDERICO MORAIS,CRÔNICA,"R$ 39,00","R$ 19,50"
CRUZANDO FRONTEIRAS DISCIPLINARES,HELION PÓVOA NETO; ADEMIR,,"R$ 82,0","R$ 41,00"
https://www.revan.com.br/produto/cruzando-fronteiras-disciplinares-,PACELLI FERREIRA (Orgs.),,,
313,,,,
"",,,,
CUBA SE DEFENDE: A CRISE DOS SEQUESTROS E,,,"R$ 40,00","R$ 20,00"
CONDENAÇÕES,FIDEL CASTRO,,,
https://www.revan.com.br/produto/cuba-se-defende-a-crise-dos-,,,,
sequestros-e-condenaco-263,,,,
"",,,,
CULPABILIDADE E VULNERABILIDADE,,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/culpabilidade-e-vulnerabilidade-,,,,
proposta-para-um-novo-conceito-de-culpabilidade-penal-801,BRUNA GONÇALVES DA SILVA,,,
"",LOUREIRO,,,
"CULTURA DO CONTROLE, A – N. 16",,,"R$ 82,00","R$ 41,00"
https://www.revan.com.br/produto/cultura-do-controle-a-n-16-596,DAVID GARLAND,,,
"",,,,
CURSO LIVRE DE ABOLICIONISMO PENAL,EDSON PASSETTI (Coord.),ABOLICIONISMO,"R$ 50,00","R$ 25,00"
https://www.revan.com.br/produto/curso-livre-de-abolicionismo-penal-,,PENAL; DIREITO,,
293,,PENAL,,
"",,,,
"CURVAS DO TEMPO, AS",OSCAR NIEMEYER,,"R$ 63,00","R$ 31,50"
https://www.revan.com.br/produto/curvas-do-tempo-as-142,,,,
"",,,,
"",,,,
DAMIÃO XIMENES,NADINE BORGES,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/damiao-ximenes-431,,,,
"",,,,
DE OLHO NO MUNDO,NEWTON CARLOS,,"R$ 30,00","R$ 15,00"
https://www.revan.com.br/produto/de-olho-no-mundo-448,,,,
"",,,,
DEFESA DO ESTADO DEMOCRÁTICO NO ÂMBITO PUNITIVO,,,"R$ 47,00","R$ 23,50"
https://www.revan.com.br/produto/defesa-do-estado-democratico-no-,CLAUDIO ALBERTO GABRIEL,,,
ambito-punitivo-444,GUIMARÃES,,,
"",,,,
"DEGOLA DO PM PELOS SEM-TERRA EM PORTO ALEGRE, A",,,"R$ 47,00","R$ 23,50"
https://www.revan.com.br/produto/degola-do-pm-pelos-sem-terra-em-,,,,
porto-alegre-a-321,DÉBORA FRANCO LERRER,,,
"",,,,
DEMOCRACIA E GOVERNO LOCAL,ORLANDO ALVES DOS SANTOS,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/democracia-e-governo-local-209,JUNIOR,,,
"DEMOCRACIA NAS URNAS, Ahttps://www.revan.com.br/produto/democracia-nas-urnas-a-619",ANTONIO LAVAREDA,,"R$ 56,00","R$ 28,00"
"DENUNCIAÇÃO CALUNIOSAhttps://www.revan.com.br/produto/denunciacao-caluniosa-denunciacao-caluniosa-912","NILO BATISTA; PATRÍCIAGLIOCHE",,"R$ 33,00","R$ 16,50"
"DEPOIS DO GRANDE ENCARCERAMENTOhttps://www.revan.com.br/produto/depois-do-grande-encarceramento-449",VERA MALAGUTI BATISTA,,"R$ 66,00","R$ 33,00"
"DESIGUALDADES E SEGREGAÇÃO NA METRÓPOLEhttps://www.revan.com.br/produto/desigualdades-e-segregacao-na-metropole-174",LUCIANA CORRÊA DO LAGO,,"R$ 59,00","R$ 29,50"
"DESVENDANDO O PREGÃO ELETRÔNICOhttps://www.revan.com.br/produto/desvendando-o-pregao-eletronico-241","ARÍDIO SILVA; J ARAUJORIBEIRO; LUIS A. RODRIGUES",,"R$ 56,00","R$ 28,00"
"DIANTE DO NADAhttps://www.revan.com.br/produto/diante-do-nada-166",OSCAR NIEMEYER,,"R$ 54,00","R$ 27,00"
"DICIONÁRIO DO PENSAMENTO BRASILEIRO: OBRAS POLÍTICASDO BRASIL IMPERIALhttps://www.revan.com.br/produto/dicionario-do-pensamento-brasileiro-obras-politicas-614",MARIA EMÍLIA PRADO (Org.),,"R$ 59,00","R$ 29,5"
"DIFÍCEIS GANHOS FÁCEIS: DROGAS E JUVENTUDE POBRE NORIO DE JANEIRO– N. 2https://www.revan.com.br/produto/dificeis-ganhos-faceis-drogas-e-juventude-n-2-610",VERA MALAGUTI BATISTA,,"R$ 47,00","R$ 23,50"
"DIREITO E COMPAIXÃOhttps://www.revan.com.br/produto/direito-e-compaixao-455",TIAGO JOFFILY,,"R$ 40,00","R$ 20,00"
"DIREITO E PRÁTICA HISTÓRICA DA EXECUÇÃO PENAL NOBRASIL","RODRIGO DUQUE ESTRADAROIG",,"R$ 82,00","R$ 41,00"
"https://www.revan.com.br/produto/direito-e-pratica-historica-da-execucao-penal-no-brasil-327",,,,
"DIREITO E SOCIEDADEhttps://www.revan.com.br/produto/direito-e-sociedade-442","PHILIPPE NONET; PHILIPSELZNICK",,"R$ 46,00","R$ 23,00"
"DIREITO PENAL BRASILEIRO Ihttps://www.revan.com.br/produto/direito-penal-brasileiro-i-257","NILO BATISTA; EUGENIO RAÚLZAFFARONI; ALEJANDROALAGIA; ALEJANDRO SLOKAR",,"R$ 195,00","R$ 97,50"
"DIREITO PENAL BRASILEIRO IIhttps://www.revan.com.br/produto/direito-penal-brasileiro-ii-441","NILO BATISTA; EUGENIO RAÚLZAFFARONI; ALEJANDROALAGIA; ALEJANDRO SLOKAR",,"R$ 112,00","R$ 56,00"
"DIREITO PENAL BRASILEIRO II, IIhttps://www.revan.com.br/produto/direito-penal-brasileiro-ii-ii-698","NILO BATISTA; EUGENIO RAÚLZAFFARONI; ALEJANDROALAGIA; ALEJANDRO SLOKAR",,"R$ 195,00","R$ 97,50"
"DIREITO PENAL ECONÔMICO VERSUS DIREITO PENALCONVENCIONALhttps://www.revan.com.br/produto/direito-penal-economico-versus-direito-penal-conve-638",JOÃO CARLOS CASTELLAR,,"R$ 63,00","R$ 31,50"
"DIREITO PENAL RESTAURATIVOhttps://www.revan.com.br/produto/direito-penal-restaurativo-em-busca-de-um-modelo-adequado-de-justica-criminal-711",HELENA ZANI MORGADO,,"R$ 55,00","R$ 27,50"
"DIREITO SOCIAL, REGULAÇÃO ECONÔMICA E CRISE DOESTADOhttps://www.revan.com.br/produto/direito-social-regulacao-economica-e-crise-do-est-328#","ANA LUCIA SABADELL; DIMITRIDIMOULIS; LAURINDO MINHOTO",,"R$ 49,00","R$ 24,50"
"DIVIDIR PARA DOMINARhttps://www.revan.com.br/produto/dividir-para-dominar-514",H. L. WESSELING,,"R$ 100,00","R$ 50,00"
"DO DISCURSO DA IMPUNIDADE À IMPUNIZAÇÃOhttps://www.revan.com.br/produto/do-discurso-da-impunidade-a-impunizacao-668",RICARDO GENELHÚ,,"R$ 110,00","R$ 55,00"
DO OFÍCIO DE ORADOR,EROS ROBERTO GRAU,,"R$ 34,00","R$ 17,00"
https://www.revan.com.br/produto/do-oficio-de-orador-245,,,,
"",,,,
DOM QUIXOTE DE LA MANCHA,,ROMANCE;,"R$ 60,00","R$ 30,00"
https://www.revan.com.br/produto/dom-quixote-de-la-mancha-233,MIGUEL DE CERVANTES.,INFANTOJUVENIL,,
"",TRAD: FERREIRA GULLAR,,,
DOWNTOWN,,,"R$ 61,00","R$ 30,50"
https://www.revan.com.br/produto/downtown-661,NÖEL LANG,,,
"",,,,
DUAS MARGENS,,,"R$ 41,00","R$ 20,50"
https://www.revan.com.br/produto/duas-margens-459,GIZLENE NEDER,,,
"",,,,
E NO INÍCIO ERAM AS BASES,NELSON ROJAS DE CARVALHO,,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/e-no-inicio-eram-as-bases-264,,,,
"",,,,
E SE O CRIME EXISTIR?,LUCIANO OLIVEIRA,,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/e-se-o-crime-existir-teoria-da-,,,,
rotulacao-abolicionismo-penal-e-criminologia-critica-727,,,,
"",,,,
ECONOMIA POLÍTICA DA PENA,MARCO ALEXANDRE DE SOUZA,,"R$ 54,00","R$ 27,00"
https://www.revan.com.br/produto/economia-politica-da-pena-432,SERRA,,,
"",,,,
EM BUSCA DAS PENAS PERDIDAS,,,"R$ 75,00","R$ 37,50"
https://www.revan.com.br/produto/em-busca-das-penas-perdidas-24,EUGENIO RAÚL ZAFFARONI,,,
"",,,,
EM BUSCA DE UMA ARQUITETURA SUSTENTÁVEL,,,"R$ 85,00","R$ 42,50"
https://www.revan.com.br/produto/em-busca-de-uma-arquitetura-,,,,
sustentavel-437,OSCAR CORBELLA,,,
"",,,,
ENSAIOS SOBRE O DESENVOLVIMENTO BRASILEIRO,,,"R$ 77,00","R$ 38,50"
https://www.revan.com.br/produto/ensaios-sobre-o-desenvolvimento-,,,,
brasileiro-177,,,,
"",TANIA BACELAR DE ARAUJO,,,
ENTRE AS GRADES INVISÍVEIS,,,"R$ 47,00","R$ 23,50"
https://www.revan.com.br/produto/entre-as-grades-invisiveis-803,,,,
"",VIVIANE ISABELA RODRIGUES,,,
"ERA DO GRANDE ENCARCERAMENTO, A",,,"R$ 76,00","R$ 38,00"
https://www.revan.com.br/produto/era-do-grande-encarceramento-a-,TAIGUARA LIBANO SOARES E,,,
tortura-e-superlotacao-prisional-no-rio-de-janeiro-710,SOUZA,,,
"",,,,
"ESCRAVIDÃO VELADA, A - SENHORES E ESCRAVOS NA",,,"R$ 66,00","R$ 33,00"
FORMAÇÃO DA VILA DE SÃO JOÃO BATISTA DE NOVA,,,,
FRIBURGO (1820-1850),,,,
https://www.revan.com.br/produto/escravidao-velada-a-senhores-e-,,,,
escravos-na-formacao-da-vila-de-sao-joao-batista-de-nova-friburgo-,,,,
1820-1850-722,,,,
"",RODRIGO MARINS MARRETTO,,,
"ESCRITOS TRANSDISCIPLINARES DE CRIMINOLOGIA, DIREITO E",,,"R$ 280,00","R$ 140,00"
PROCESSO PENAL: HOMENAGEM AOS MESTRES VERA,,,,
MALAGUTI E NILO BATISTA,MÁRCIA ADRIANA FERNANDES;,,,
https://www.revan.com.br/produto/escritos-transdisciplinares-de-,ROBERTA DUBOC PEDRINHA,,,
criminologia-direi-651,(Orgs.),,,
"",,,,
ESPAÇO ESCOLAR E CIDADANIA EXCLUÍDA,SUL BRASIL PINTO RODRIGUES,,"R$ 53,00","R$ 26,5"
https://www.revan.com.br/produto/espaco-escolar-e-cidadania-,,,,
excluida-274,,,,
"",,,,
ESPECTROS DA MÍDIA: POLÍTICAS AFIRMATIVAS OU POLÍTICAS,,,"R$ 45,00","R$ 22,50"
DA PIEDADE?,,,,
https://www.revan.com.br/produto/espectros-da-midia-460,MONIQUE FRANCO,,,
"",,,,
ESQUERDA BRASILEIRA E TRADIÇÃO REPUBLICANA,,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/esquerda-brasileira-e-tradicao-,,,,
republicana-329,LUIZ WERNECK VIANNA,,,
"",,,,
ESSE DESCONHECIDO ORIENTE MÉDIO,,,"R$ 36,00","R$ 18,00"
https://www.revan.com.br/produto/esse-desconhecido-oriente-medio-,,,,
16,MANSOUR CHALLITA,,,
"",,,,
ESTADO E REDES SOCIAIS,,,"R$ 64,00","R$ 32,00"
https://www.revan.com.br/produto/estado-e-redes-sociais-191,,,,
"",EDUARDO CESAR MARQUES,,,
"ESTADO E SEUS INIMIGOS, O",,,"R$ 73,00","R$ 36,50"
https://www.revan.com.br/produto/estado-e-seus-inimigos-o-326,ARNO DAL RI JÚNIOR,,,
"",,,,
ESTADO FEDERATIVO E POLÍTICAS SOCIAIS,MARTA ARRETCHE,POLÍTICAS,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/estado-federativo-e-politicas-,,PÚBLICAS,,
sociais-181,,,,
