Título,Autor(es) / Organizador(es),Assuntos,"Preçocapa","PreçoFeira"
RELATOS - UM ADVOGADO NA DITADURA,,,"R$ 40,00","R$ 20,00"
https://www.revan.com.br/produto/relatos-um-advogado-na-ditadura-,,,,
625,ANTÔNIO CARLOS BARANDIER,,,
"",,,,
"RELEVÂNCIA DA CIÊNCIA POLÍTICA, A",,,"R$ 59,00","R$ 29,50"
https://www.revan.com.br/produto/relevancia-da-ciencia-politica-a-647,ANTONIO LAVAREDA; GLÁUCIO,,,
"",ARY DILLON SOARES (Orgs.),,,
REPENSANDO O PÚBLICO ATRAVÉS DA SOCIEDADE,,POLÍTICAS,"R$ 62,00","R$ 31,00"
https://www.revan.com.br/produto/repensando-o-publico-atraves-da-,,PÚBLICAS,,
sociedade-145,NURIA CUNILL GRAU,,,
"",,,,
"RESISTÊNCIA À REMOÇÃO DE FAVELAS NO RJ, A",ALEXANDRE F MENDES;,,"R$ 64,00","R$ 32,00"
https://www.revan.com.br/produto/resistencia-a-remocao-de-favelas-,GIUSEPPE COCCO,,,
no-rj-a-instituicoes-do-comum-e-resistencias-urbanas-a-historia-do-,,,,
nucleo-de-terras-e-habitacao-e-a-luta-contra-a-remocao-de-688,,,,
"",,,,
RETRATOS E FATOS DA HISTÓRIA RECENTE,CARLOS CASTELLO BRANCO,,"R$ 40,00","R$ 20,00"
https://www.revan.com.br/produto/retratos-e-fatos-da-historia-recente-,,,,
51,,,,
"",,,,
"REVOLUÇÃO PASSIVA, A",LUIZ WERNECK VIANNA,,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/revolucao-passiva-a-113,,,,
RIO - DE PROVINCIA A METRÓPOLE,OSCAR NIEMEYER,,"R$ 178,00","R$ 89,00"
https://www.revan.com.br/produto/rio-de-provincia-a-metropole-387,,,,
"",,,,
"RIO DE JANEIRO: VIOLÊNCIA, JOGO DO BICHO E",,,"R$ 37,00","R$ 18,50"
NARCOTRÁFICO SEGUNDO UMA INTERPRETAÇÃO,HELIO DE ARAUJO,,,
https://www.revan.com.br/produto/rio-de-janeiro-violencia-jogo-do-,EVANGELISTA,,,
bicho-e-narcotra-265,,,,
"",,,,
SABOR DE MAR,JOSE INÁCIO WERNECK,,"R$ 38,00","R$ 19,00"
https://www.revan.com.br/produto/sabor-de-mar-307,,,,
"",,,,
"SEGREGAÇÕES, VIOLÊNCIAS E SUBJETIVAÇÕES",CRISTIANE OLIVEIRA; JOEL,,"R$ 48,00","R$ 24,00"
https://www.revan.com.br/produto/segregacoes-violencias-e-,BIRMAN; SILVIA ALEXIM NUNES;,,,
subjetivacoes-915,VERA MALAGUTI BATISTA,,,
"",(Orgs.),,,
SELETIVIDADE DO SISTEMA PENAL: O CASO RAFAEL BRAGA,SERGIO SOBRINHO; JOÃO,,"R$ 53,00","R$ 26,50"
https://www.revan.com.br/produto/seletividade-do-sistema-penal-o-,DORNELLES; ROBERTA,,,
caso-rafael-braga-720,PEDRINHA (Orgs.),,,
"",,,,
SEM RODEIOS,,CONTO,"R$ 45,00","R$ 22,50"
https://www.revan.com.br/produto/sem-rodeios-334,OSCAR NIEMEYER,,,
"",,,,
SEMPRE ELAS,,CONTO,"R$ 34,00","R$ 17,00"
https://www.revan.com.br/produto/sempre-elas-contos-622,CLAUDIO FERNANDO MAHLER,,,
"",,,,
"SER E A VIDA, O",OSCAR NIEMEYER,,"R$ 52,00","R$ 26,00"
https://www.revan.com.br/produto/ser-e-a-vida-0-373,,,,
"",,,,
SEXUALIDADE E GÊNERO NO IMAGINÁRIO BRASILEIRO,,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/sexualidade-e-genero-no-,HELENA BOCAYUVA,,,
imaginario-brasileiro-377,,,,
"",,,,
SIGNIFICADO IDEOLÓGICO DO SISTEMA PUNITIVO BRASILEIRO,YASMIN MARIA RODRIGUES,,"R$ 46,00","R$ 23,00"
https://www.revan.com.br/produto/significado-ideologico-do-sistema-,MADEIRA DA COSTA,,,
punitivo-brasile-309,,,,
"",,,,
SISTEMA PENITENCIÁRIO BRASILEIRO,ELIONALDO FERNANDES,,"R$ 60,00","R$ 30,00"
https://www.revan.com.br/produto/sistema-penitenciario-brasileiro-,JULIÃO,,,
aspectos-conceituais-politicos-e-ideologicos-da-reincidencia-914,,,,
"SISTEMAS DE INFORMAÇÃO NA ADMINISTRAÇÃO PÚBLICAhttps://www.revan.com.br/produto/sistemas-de-informacao-na-administracao-publica-303","ARÍDIO SILVA, ARAÚJO RIBEIRO,LUIS RODRIGUES",,"R$ 98,00","R$ 49,00"
"SOCIEDADE E POLÍTICAS - NOVOS DEBATEShttps://www.revan.com.br/produto/sociedade-e-politica-novos-debates-281","JOANA GARCIA; LEILAH LANDIM;TATIANA DAHMER",,"R$ 58,00","R$ 29,00"
"SOCIEDADE EXCLUDENTE, A – N. 7https://www.revan.com.br/produto/sociedade-excludente-a-n-7-605",JOCK YOUNG,,"R$ 74,00","R$ 37,00"
"STALIN: HISTÓRIA CRITICA DE UMA LENDA NEGRAhttps://www.revan.com.br/produto/stalin-historia-critica-de-uma-lenda-negra-450",DOMENICO LOSURDO,,"R$ 60,00","R$ 30,00"
"STALIN: UM NOVO OLHARhttps://www.revan.com.br/produto/stalin-um-novo-olhar-253",LUDO MARTENS,,"R$ 62,00","R$ 31,00"
"TAMBORZÃO: OLHARES SOBRE A CRIMINALIZAÇÃO DO FUNK -CRIMINOLOGIA DE CORDEL 2https://www.revan.com.br/produto/tamborzao-criminologia-de-cordel-2-639",CARLOS BRUCE BATISTA (Org.),,"R$ 38,00","R$ 19,00"
"TEORIA MATERIALISTA DO ESTADOhttps://www.revan.com.br/produto/teoria-materialista-do-estado-447",JOACHIM HIRSCH,,"R$ 58,00","R$ 29,00"
"TEORIAS CRITICAS E DIREITO CRIMINALhttps://www.revan.com.br/produto/teorias-criticas-e-direito-criminal-sobre-os-fundamentos-e-a-legitimacao-do-direito-de-punir-729",CLAUDIO GUIMARÃES,,"R$ 132,00","R$ 66,00"
"TEORIAS DA CONDUTAhttps://www.revan.com.br/produto/teorias-da-conduta-678",RENATO GOMES,,"R$ 76,00","R$ 38,00"
"TERMOS DE USO E DIREITOS HUMANOShttps://www.revan.com.br/produto/termos-de-uso-e-direitos-humanos-","JAMILA RODRIGUES VENTURINI;LUIZA DO CARMO LOUZADA;",,"R$ 65,00","R$ 32,50"
693,"MARILIA MACIEL; NICOLOZINGALES; KONSTANTINOSSTYLIANOU; LUCA BELLI",,,
"TESTAMENTO SOB A FORCAhttps://www.revan.com.br/produto/testamento-sob-a-forca-644",JULIO FUCHK,,"R$ 34,00","R$ 17,00"
"THINK TANKS, OShttps://www.revan.com.br/produto/thinks-tanks-os-380",TATIANA TEIXEIRA,,"R$ 50,00","R$ 25,00"
"TIPOS DE PERIGO E A PÓS-MODERNIDADE, OShttps://www.revan.com.br/produto/tipos-de-perigo-a-pos-modernidade-os-315",JULIANA CABRAL,,"R$ 59,00","R$ 29,50"
"TORMENTA JURIS PERMISSIONE – N. 13https://www.revan.com.br/produto/tormenta-juris-permissione-tortura-e-processo-pena-599",ANA LUCIA SABADELL,,"R$ 83,00","R$ 41,50"
"TRADUÇÃO DE LOMBROSO NA OBRA DE NINA RODRIGUES, Ahttps://www.revan.com.br/produto/traducao-de-lombroso-na-obra-de-nina-rodrigues-a-o-racismo-como-base-estruturante-da-criminologia-brasileira-686",LUCIANO GÓES,,"R$ 63,00","R$ 31,50"
"TRANSPARÊNCIA PÚBLICA, OPACIDADE PRIVADAhttps://www.revan.com.br/produto/transparencia-publica-opacidade-privada-361",TÚLIO VIANNA,,"R$ 58,00","R$ 29,00"
"TRIBUTO A LOUK HULSMANhttps://www.revan.com.br/produto/tributo-a-louk-hulsman-463","NILO BATISTA; ESTERKOSOVSKI (Orgs.)",,"R$ 59,00","R$ 29,50"
"TUTELA PENAL DO CONSUMOhttps://www.revan.com.br/produto/tutela-penal-do-consumo-283","SÉRGIO CHASTINET DUARTEGUIMARÃES",,"R$ 59,00","R$ 29,50"
"UNIVERSIDADE DE CONSTANTINEhttps://www.revan.com.br/produto/universidade-de-constantine-369",OSCAR NIEMEYER,,"R$ 136,00","R$ 68,00"
"UPP: O NOVO DONO DA FAVELA CADÊ O AMARILDO? –CRIMINOLOGIA DE CORDEL 4",,,"R$ 29,00","R$ 14,50"
https://www.revan.com.br/produto/upp-o-novo-dono-da-favela-cade-o-,PATRICK GRANJA,,,
amarildo-667,,,,
"",,,,
UPPS: GOVERNO MILITARIZADO E A IDEIA DE PACIFICAÇÃO,,,"R$ 47,00","R$ 23,50"
https://www.revan.com.br/produto/upps-governo-militarizado-e-a-ideia-,JÚLIA VALENTE,,,
de-pacificacao-683,,,,
"",,,,
VIAGENS CULTURAIS E A QUESTÃO CRIMINAL – N. 20,MÁXIMO SOZZO,,"R$ 51,00","R$ 25,50"
https://www.revan.com.br/produto/viagens-culturais-e-a-questao-,,,,
criminal-vol-20-654,,,,
"",,,,
"VIDA AGARRADA, A",CLAUDIA AHIMSA,POESIA,"R$ 34,00","R$ 17,00"
https://www.revan.com.br/produto/a-vida-agarrada-,,,,
339#productDescription,,,,
"",,,,
"VISÕES DO ""PARAÍSO CAPITALISTA"": A CONSTRUÇÃO DA",,,"R$ 66,00","R$ 33,00"
HEGEMONIA BURGUESA NA HISTÓRIA DE NOVA FRIBURGO,,,,
https://www.revan.com.br/produto/visoes-do-paraiso-capitalista-a-,,,,
construcao-da-hegemonia-burguesa-na-historia-de-nova-friburgo-724,RICARDO DA GAMA ROSA,,,
"",COSTA,,,
VOZ HUMANA: A DEFESA PERANTE OS TRIBUNAIS DA,,,"R$ 125,00","R$ 62,50"
REPÚBLICA,FERNANDO AUGUSTO,,,
https://www.revan.com.br/produto/voz-humana-a-defesa-perante-os-,FERNANDES,,,
tribunais-da-repub-287,,,,
"",,,,
WAGNER APESAR DE HITLER,,,"R$ 34,00","R$ 17,00"
https://www.revan.com.br/produto/wagner-apesar-de-hitler-635,MARCELLO CERQUEIRA,,,
Título,Autor(es) / Organizador(es),Assuntos,Preço capa,"PreçoFeira"
"2001-2010 RENASCIMENTO NO MEIO DO CAOShttps://www.revan.com.br/produto/2001-2010-renascimento-no-meio-do-caos-229",ARNALDO MOURTHÉ,"No caso de ficção,indicar gênero(romance, contos,poesia) e no de não-ficção, a área (política,educação etc.)","R$ 34,00","R$ 10,20"
"ADVOGADO MALDITO, Ohttps://www.revan.com.br/produto/advogado-maldito-o-474",WILSON SAAD,,"R$ 44,00","R$ 13,20"
"AGENTE SECRETO, Ohttps://www.revan.com.br/produto/agente-secreto-o-475",JOSEPH CONRAD,,"R$ 50,00","R$ 15,00"
"ÁGUAS PROFUNDAS: OU O PETRÓLEO É NOSSO?https://www.revan.com.br/produto/aguas-profundas-ou-o-petroleo-e-nosso-137",ILMAR PENNA MARINHO JR.,,"R$ 52,00","R$ 15,60"
"AMY FOSTERhttps://www.revan.com.br/produto/amy-foster-478",JOSEPH CONRAD,,"R$ 20,00","R$ 6,00"
"APAGÃO, POR QUE VEIO? COMO SAIR DELE?, Ohttps://www.revan.com.br/produto/apagao-por-que-veio-como-sair-dele-o-480",LUIZ PINGUELLI ROSA,,"R$ 30,00","R$ 9,00"
"APOSTA DE LUIZ IGNÁCIO MARANHÃO FILHO, Ahttps://www.revan.com.br/produto/aposta-de-luiz-ignacio-maranhao-filho-a-481","MARIA CONCEIÇÃO PINTO DEGÓES",,"R$ 52,00","R$ 15,60"
ARGENTINA E BRASIL: VENCENDO OS PRECONCEITOS,GLADYS LECHINI; VICTOR,,"R$ 66,00","R$ 19,80"
"https://www.revan.com.br/produto/argentina-e-brasil-vencendo-os-preconceitos-436","KLAGSBRUNN; WILLIAMSGONÇALVEZ (Org.)",,,
"AULA DE CANTO E OUTROS CONTOShttps://www.revan.com.br/produto/aula-de-canto-e-outros-contos-158",KATHERINE MANSFIELD,,"R$ 48,00","R$ 14,40"
"BABEL CONTOShttps://www.revan.com.br/produto/babel-contos-213",ALBERTO LINS CALDAS,CONTO,"R$ 50,00","R$ 15,00"
"BAGULHOhttps://www.revan.com.br/produto/bagulho-680",MUNIZ SODRÉ,ROMANCE,"R$ 46,00","R$ 13,80"
"BECO DAS GARRAFAS, Ohttps://www.revan.com.br/produto/beco-das-garrafas-o-57",MARCELLO CERQUEIRA,,"R$ 39,00","R$ 11,70"
"CAPITAL PARA A REPÚBLICA, UMAhttps://www.revan.com.br/produto/uma-capital-para-a-republica-180",AMÉRICO FREIRE,,"R$ 59,00","R$ 17,70"
"CASINHA AZUL, Ahttps://www.revan.com.br/produto/casinha-azul-a-242",SANDRA COMINO,,"R4 34,00","R$ 10,20"
"CHEGO AOS 100 ANOS DE BEM COM A VIDAhttps://www.revan.com.br/produto/chego-aos-100-anos-de-bem-com-a-vida-376",JULIETA CUPERTINO,BIOGRAFIA,"R$ 36,00","R$ 10,80"
"CLEOPHAS E SEUS MILÊNIOShttps://www.revan.com.br/produto/cleophas-e-seus-milenios-492",RENATO BENEVIDES,,"R$ 66,00","R$ 19,80"
"CORAÇÃO DAS TREVAShttps://www.revan.com.br/produto/coracao-das-trevas-454",JOSEPH CONRAD,ROMANCE,"R$ 35,00","R$ 10,50"
"CORAGEM PARA SONHAR E FAZERhttps://www.revan.com.br/produto/coragem-para-sonhar-e-fazer-685",RONALDO LESSA,,"R$ 39,00","R$ 11,70"
"CRÍTICA MARXISTA 17https://www.revan.com.br/produto/critica-marxista-17-278",DIVERSOS,,"R$ 29,00","R$ 8,70"
CRÍTICA MARXISTA 18,DIVERSOS,,"R$ 29,00","R$ 8,70"
https://www.revan.com.br/produto/critica-marxista-18-291,,,,
"CRÍTICA MARXISTA 19https://www.revan.com.br/produto/critica-marxista-19-301",DIVERSOS,,"R$ 34,00","R$ 10,20"
"CRÍTICA MARXISTA 21https://www.revan.com.br/produto/critica-marxista-21-322",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÍTICA MARXISTA 22https://www.revan.com.br/produto/critica-marxista-22-336",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÍTICA MARXISTA 23https://www.revan.com.br/produto/critica-marxista-23-347",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÍTICA MARXISTA 24https://www.revan.com.br/produto/critica-marxista-24-360",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÍTICA MARXISTA 25https://www.revan.com.br/produto/critica-marxista-25-378",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÍTICA MARXISTA 26https://www.revan.com.br/produto/critica-marxista-26-386",DIVERSOS,,"R$ 41,00","R$ 12,30"
"CRÔNICAS DO 2001https://www.revan.com.br/produto/cronicas-do-2001-153",LI-PO-TAO,CRÔNICA,"R$ 95,00","R$ 28,50"
"CURIOSA ILUMINAÇÃO DO PROFESSOR CARITAT, Ahttps://www.revan.com.br/produto/curiosa-iluminacao-do-professor-caritat-a-109",STEVEN LUKES,ROMANCE,"R$ 66,00","R$ 19,80"
"DENTRO DAS MARÉShttps://www.revan.com.br/produto/dentro-das-mares-306",JOSEPH CONRAD,,"R$ 41,00","R$ 12,30"
"DISCURSOS SEDICIOSOS N. 11https://www.revan.com.br/produto/discursos-sediciosos-n-11-222",DIVERSOS,,"R$ 29,00","R$ 8,70"
"DISCURSOS SEDICIOSOS N. 12https://www.revan.com.br/produto/discursos-sediciosos-n-12-256",DIVERSOS,,"R$ 77,00","R$ 23,10"
"",,,,
"DISCURSOS SEDICIOSOS N. 13https://www.revan.com.br/produto/discursos-sediciosos-n-13-298",DIVERSOS,,"R$ 47,00","R$ 14,10"
"DISCURSOS SEDICIOSOS N. 14https://www.revan.com.br/produto/discursos-sediciosos-n-14-319",DIVERSOS,,"R$ 61,00","R$ 18,30"
"DISCURSOS SEDICIOSOS N. 15/16https://www.revan.com.br/produto/discursos-sediciosos-n-15-16-382",DIVERSOS,,"R$ 58,00","R$ 17,40"
"DISCURSOS SEDICIOSOS N. 17/18https://www.revan.com.br/produto/discursos-sediciosos-n-17-18-456",DIVERSOS,,"R$ 82,00","R$ 24,60"
"DISCURSOS SEDICIOSOS N. 19/20https://www.revan.com.br/produto/discursos-sediciosos-n-19-20-627",DIVERSOS,,"R$ 94,00","R$ 28,20"
"DISCURSOS SEDICIOSOS N. 21/22https://www.revan.com.br/produto/discursos-sediciosos-n-21-22-657",DIVERSOS,,"R$ 81,00","R$ 24,30"
"DISCURSOS SEDICIOSOS N. 23/24https://www.revan.com.br/produto/discursos-sediciosos-n-23-24-697",DIVERSOS,,"R$ 85,00","R$ 25,50"
"DOIS ESTUDOS PARA A MÃO ESQUERDAhttps://www.revan.com.br/produto/dois-estudos-para-a-mao-esquerda-185",RENATO GUIMARÃES,,"R$ 30,00","R$ 9,00"
"DUAS HISTÓRIAShttps://www.revan.com.br/produto/duas-historias-300",JOSEPH CONRAD,,"R$ 40,00","R$ 12,00"
"DUELO, Ohttps://www.revan.com.br/produto/duelo-o-384",JOSEPH CONRAD,,"R$ 39,00","R$ 11,70"
"E TAREFA DE UMA ALDEIAhttps://www.revan.com.br/produto/e-tarefa-de-uma-aldeia-112",HILLARY CLINTON,,"R$ 52,00","R$ 15,60"
"EM PAUTA N. 19: PROCESSOS POLÍTICOS E DEMOCRACIA NAAMÉRICA LATINAhttps://www.revan.com.br/produto/em-pauta-19-363",DIVERSOS,CIÊNCIAS SOCIAIS,"R$ 41,00","R$ 12,30"
"",,,,
"EM PAUTA N. 20: TRABALHO E SUJEITOS POLÍTICOShttps://www.revan.com.br/produto/em-pauta-20-381",DIVERSOS,CIÊNCIAS SOCIAIS,"R$ 49,00","R$ 14,70"
"ENIGMA DE UM CRIME, Ohttps://www.revan.com.br/produto/enigma-de-um-crime-o-445",WILSON SAAD,ROMANCE,"R$ 46,00","R$ 13,80"
"ENTRE AS PERNAS DA RAINHAhttps://www.revan.com.br/produto/entre-as-pernas-da-rainha-267",MARCOS VITA,CULTURA; VIAGENS,"R$ 30,00","R$ 9,00"
"EVOÉ MOMO! UM CONTO DE CARNAVALhttps://www.revan.com.br/produto/evoe-momo-um-canto-de-carnaval-247",WILSON DE FARIAS,CONTO,"R$ 37,00","R$ 11,10"
"FACE OCULTA DE UM CRIME, Ahttps://www.revan.com.br/produto/face-oculta-de-um-crime-a-343",WILSON SAAD,ROMANCE,"R$ 58,00","R$ 17,40"
"FANTASIAShttps://www.revan.com.br/produto/fantasias-529",NILMA GONÇALVES LACERDA,,"R$ 35,00","R$ 10,50"
"FELICIDADE E OUTROS CONTOShttps://www.revan.com.br/produto/felicidade-e-outros-contos-29",KATHERINE MANSFIELD,CONTO,"R$ 41,00","R$ 12,30"
"FESTA E OUTROS CONTOS, Ahttps://www.revan.com.br/produto/festa-e-outros-contos-a-43",KATHERINE MANSFIELD,CONTO,"R$ 41,00","R$ 12,30"
"FIM DAS FORÇAS, Ohttps://www.revan.com.br/produto/fim-das-forcas-o-189",JOSEPH CONRAD,,"R$ 45,00","R$ 13,50"
"FINALMENTE!https://www.revan.com.br/produto/finalmente-533",NILMA GONÇALVES LACERDA,,"R$ 35,00","R$ 10,50"
"FINGIMENTOShttps://www.revan.com.br/produto/fingimentos-534",NILMA GONÇALVES LACERDA,,"R$ 35,00","R$ 10,50"
"FREYA DAS SETE ILHAShttps://www.revan.com.br/produto/freya-das-sete-ilhas-275",JOSEPH CONRAD,,"R$ 46,00","R$ 13,80"
"",,,,
"FUNDO FALSO DAS PESQUISAS, O",CYNTHIA CROSSEN,,"R$ 59,00","R$ 17,70"
https://www.revan.com.br/produto/fundo-falso-das-pesquisas-o-95,,,,
"",,,,
"FUTURO DAS METRÓPOLES, O",LUIZ CESAR DE QUEIROZ,,"R$ 93,00","R$ 27,90"
https://www.revan.com.br/produto/futuro-das-metropoles-o-179,RIBEIRO (Org.),,,
"",,,,
GEOPOLÍTICA DAS MINAS DO BRASIL,CLAUDIO SCLIAR,,"R$ 47,00","R$ 14,10"
https://www.revan.com.br/produto/geopolitica-das-minas-do-brasil-83,,,,
"",,,,
"GLOBALIZAÇÃO E A POLITICA FHC A LULA, A",TONY VOLPON,,"R$ 39,00","R$ 11,70"
https://www.revan.com.br/produto/globalizacao-e-a-politica-fhc-a-,,,,
lula-a-279,,,,
"",,,,
GOVERNANÇA DEMOCRÁTICA E PODER LOCAL,ORLANDO ALVES DOS,,"R$ 60,00","R$ 18,00"
https://www.revan.com.br/produto/governanca-democratica-e-poder-,SANTOS JUNIOR; LUIZ CESAR,,,
local-286,DE QUEIROZ RIBEIRO;,,,
"",SERGIO DE AZEVEDO,,,
"GOVERNO, POLÍTICAS PÚBLICAS E ELITES POLÍTICAS NOS",CELINA SOUZA; PAULO FÁBIO,,"R$ 66,00","R$ 19,80"
ESTADOS BRASILEIROS,DANTAS NETO (Org.),,,
https://www.revan.com.br/produto/governo-politicas-publicas-e-,,,,
elites-politicas-no-340,,,,
"",,,,
"HERDEIROS DO PODER, OS",FRANCISCO ANTONIO DORIA,,"R$ 58,00","R$ 17,40"
https://www.revan.com.br/produto/herdeiros-do-poder-os-60,,,,
"",,,,
HERÓIS DO CIMENTO: O TORCEDOR EM SUAS MÃOS,HILTON MATTOS,,"R$ 47,00","R$ 14,10"
https://www.revan.com.br/produto/herois-do-cimento-o-torcedor-em-,,,,
suas-maos-355,,,,
"",,,,
HISTÓRIAS DO FUTEBOL,,,"R$ 41,00","R$ 12,30"
https://www.revan.com.br/produto/historias-do-futebol-52,,,,
"",,,,
"HOMEM DAS MINIATURAS, O",,,"R$ 36,00","R$ 10,80"
"",VIRGINIE LOU,,,
https://www.revan.com.br/produto/homem-das-miniaturas-o-1,,,,
"",,,,
"",,,,
JE NE PARLE PAS FRANÇAIS E OUTROS CONTOS,KATHERINE MANSFIELD,CONTO,"R$ 41,00","R$ 12,30"
https://www.revan.com.br/produto/je-ne-parle-pas-francais-62,,,,
"",,,,
"JUVENTUDE – YOUTHhttps://www.revan.com.br/produto/juventude-youth-198",JOSEPH CONRAD,,"R$ 38,00","R$ 11,40"
"LINHA DE SOMBRA, Ahttps://www.revan.com.br/produto/linha-de-sombra-a-318",JOSEPH CONRAD,,"R$ 38,00","R$ 11,40"
"LORD JIMhttps://www.revan.com.br/produto/lord-jim-239",JOSEPH CONRAD,ROMANCE,"R$ 68,00","R$ 20,40"
"LOUCURA DO ALMAYER, Ahttps://www.revan.com.br/produto/loucura-do-almayer-a-163",JOSEPH CONRAD,,"R$ 53,00","R$ 15,90"
"MANUAL DE TAPEÇARIAhttps://www.revan.com.br/produto/manual-de-tapecaria-208",NILMA GONÇALVES LACERDA,,"R$ 49,00","R$ 14,70"
"MANUAL PARA INTERNEThttps://www.revan.com.br/produto/manual-para-internet-75",PEDRO R. DORIA,,"R$ 35,00","R$ 10,50"
"MARLEY: É POSSÍVEL APAGAR O PASSADO?https://www.revan.com.br/produto/marley-e-possivel-apagar-o-passado-258","HENRIQUE ERNESTO C.DAGNA",,"R$ 66,00","R$ 19,80"
"MESTIÇO É QUE É BOMhttps://www.revan.com.br/produto/mestico-e-que-e-bom-101",DARCY RIBEIRO,,"R$ 45,00","R$ 13,50"
"MODERNIDADE COM ÉTICAhttps://www.revan.com.br/produto/modernidade-com-etica-567",CRISTOVAM BUARQUE,,"R$ 41,00","R$ 12,30"
"MORTE NA REGIÃO DOS LAGOShttps://www.revan.com.br/produto/morte-na-regiao-dos-lagos-romance-280",WILSON SAAD,ROMANCE,"R$ 52,00","R$ 15,60"
"MUDANÇA SOCIAL NO PIAUÍhttps://www.revan.com.br/produto/mudanca-social-no-piaui-290",WASHINGTON BONFIM,,"R$ 58,00","R$ 17,40"
"MULHERES DO SERTÃOhttps://www.revan.com.br/produto/mulheres-do-sertao-215",MARIA CONCEIÇÃO DE GÓES,CONTO,"R$ 38,00","R$ 11,40"
"",,,,
MUNDOS VIRTUAIS,JOHN L. CASTI,,"R$ 52,00","R$ 15,60"
https://www.revan.com.br/produto/mundos-virtuais-130,,,,
"",,,,
NÃO DEIXE ESTA CHAMA SE APAGAR,JOAO FALCÃO,,"R$ 66,00","R$ 19,80"
https://www.revan.com.br/produto/nao-deixe-esta-chama-se-apagar-,,,,
344,,,,
"",,,,
NUMA PENSÃO ALEMÃ,KATHERINE MANSFIELD,,"R$ 41,00","R$ 12,30"
https://www.revan.com.br/produto/numa-pensao-alema-118,,,,
"",,,,
"OFÍCIO DE MATAR, O",JOSE EWERTON NETO,ROMANCE POLICIAL,"R$ 27,00","R$ 8,10"
https://www.revan.com.br/produto/oficio-de-matar-o-149,,,,
"",,,,
"OLHAR À ESQUERDA, UM",PAULO RIBEIRO DA CUNHA,,"R$ 60,00","R$ 18,00"
https://www.revan.com.br/produto/olhar-a-esquerda-um-232,,,,
"",,,,
"PACIENTE EXCLUÍDO, O",CLEUZA PANISSET ORNELLAS,,"R$ 52,00","R$ 15,60"
https://www.revan.com.br/produto/paciente-excluido-o-103,,,,
"",,,,
PAU-DE-TINTA,EDUARDO ALMEIDA REIS,,"R$ 45,00","R$ 13,5"
https://www.revan.com.br/produto/pau-de-tinta-63,,,,
"",,,,
PENSAR PELO AVESSO,BENJAMIN CORIAT,,"R$ 48,00","R$ 14,40"
https://www.revan.com.br/produto/pensar-pelo-avesso-574,,,,
"",,,,
"PLEBISCITO E OUTROS CONTOS DE HUMOR, O",ARTHUR AZEVEDO,CONTO,"R$ 28,00","R$ 8,40"
https://www.revan.com.br/produto/plebiscito-e-outros-contos-o-630,,,,
"",,,,
QUALQUER GATO VIRA-LATA TEM UMA VIDA SEXUAL MAIS,JUCA DE OLIVEIRA,,"R$ 27,00","R$ 8,10"
SADIA QUE A NOSSA,,,,
https://www.revan.com.br/produto/qualquer-gato-vira-lata-tem-uma-,,,,
vida-sexual-mais-s-144,,,,
"",,,,
REFORMAS CONSTITUCIONAIS NO BRASIL,MARCUS ANDRÉ MELO,,"R$ 69,00","R$ 20,70"
https://www.revan.com.br/produto/reformas-constitucionais-no-brasil-,,,,
221,,,,
"RENÚNCIA DE JÂNIO, A",CARLOS CASTELLO BRANCO,,"R$ 36,00","R$ 10,80"
https://www.revan.com.br/produto/renuncia-de-janio-a-91,,,,
"",,,,
REVISTA DO INSTITUTO DOS ADVOGADOS BRASILEIROS N. 92,RUI BARBOSA,DIREITO,"R$ 31,00","R$ 5,30"
https://www.revan.com.br/produto/revista-do-instituto-dos-,,,,
advogados-brasileiros-92-193,,,,
REVISTA DO INSTITUTO DOS ADVOGADOS BRASILEIROS N. 93,BARBOSA LIMA SOBRINHO,DIREITO,"R$ 31,00","R$ 5,30"
https://www.revan.com.br/produto/revista-do-instituto-dos-,,,,
advogados-brasileiros-93-196,,,,
"",,,,
SABER DOS JURISTAS E O CONTROLE PENAL,CAMILA CARDOSO DE MELLO,,"R$ 64,00","R$ 19,20"
https://www.revan.com.br/produto/saber-dos-juristas-e-o-controle-,PRANDO,,,
penal-631,,,,
"",,,,
"SAGRAÇÃO DA LIBERDADE, A",DIVERSOS,,"R$ 36,00","R$ 10,80"
https://www.revan.com.br/produto/sagracao-da-liberdade-a-55,,,,
"",,,,
"SAPATO DE HUMPREY BOGART, O (2aED)",MARCELLO CERQUEIRA,,"R$ 38,00","R$ 11,40"
https://www.revan.com.br/produto/sapato-de-humprey-bogart-o-2-ed-,,CONTO; CRÔNICA,,
203,,,,
"",,,,
SEGREDOS DE UMA PEQUENA RUA,,,"R$ 41,00","R$ 12,30"
https://www.revan.com.br/produto/segredos-de-uma-pequena-rua-,WILSON SAAD,ROMANCE,,
423,,,,
"",,,,
SELEÇÃO DE CONTOS,ARTHUR AZEVEDO,CONTO,"R$ 34,00","R$ 10,20"
https://www.revan.com.br/produto/selecao-de-contos-arthur-,,,,
azevedo-648,,,,
"",,,,
