Título,Autor,Preço,Preço com desconto
DO RENASCIMENTO A POS-MODERNIDADE,Gilbert Hottois,"R$99,90","R$                            49,95"
CADA DIA UM CAMINHO PARA FELICIDADE - SIMPLES,Rudolf Walter (Org.),"R$16,00","R$                              8,00"
MEDITACOES,Rabindranath Tagore,"R$19,90","R$                              9,95"
DIALETICA DA SECULARIZACAO: SOBRE RAZAO E RELIGIAO,Joseph Ratzinger,"R$13,50","R$                              6,75"
BIOETICA NO BRASIL TENDENCIAS E PERSPECTIVAS,José Eduardo de Siqueira,"R$19,90","R$                              9,95"
PEQUENO ESTUDO DE ETICA,Dietmar Mieth,"R$29,90","R$                            14,95"
"BIOETICA, VULNERABILIDADE E SAUDE",Elma Lourdes Campos Pavone Zoboli (Org.),"R$29,90","R$                            14,95"
GESTAO COMO DOENCA SOCIAL,Vincent de Gaulejac,"R$29,90","R$                            14,95"
EROS NA PASSAGEM,Amnéris Ângela Maroni,"R$30,00","R$                            15,00"
GUIA PARA PAIS DE PRIMEIRA VIAGEM ENTRAREM EM CAMPO,Tereza Tavares,"R$49,90","R$                            24,95"
"QUE NOS ADOECE... E O QUE NOS TORNA SADIOS, O",Anselm Grün,"R$18,00","R$                              9,00"
ADMINISTRACAO DO TEMPO,Paulo Labegalini,"R$12,00","R$                              6,00"
"SER E FAZER, NA CLINICA WINNICOTTIANA DA MATERNIDADE",Tânia Aiello Vaisberg,"R$21,90","R$                            10,95"
ESTATUTO DO IDOSO DE A a Z,Luiz Eduardo Alves de Siqueira,"R$34,90","R$                            17,45"
DIREITO A PRIVACIDADE,Antonio Joerge Pereira Jr,"R$29,50","R$                            14,75"
"QUE OS FILOSOFOS PENSAM, O",Jeremy Stangroom,"R$29,90","R$                            14,95"
CAMINHANDO PARA O SUCESSO,Milton Paulo de Lacerda,"R$15,00","R$                              7,50"
SOBRE O AMOR,C. G. Jung,"R$19,90","R$                              9,95"
"PSICOMOTRICIDADE NA EQUOTERAPIA, A",Tatiana Lermontov,"R$44,90","R$                            22,45"
"SER E FAZER, ENQUADRES DIFERENCIADOS NA CLINICA WINNICOTTIANA",Tania Aiello Vaisberg,"R$38,00","R$                            19,00"
"ARTE DE ENVELHECER, A",Rosângela Alcantara Zagaglia,"R$29,90","R$                            14,95"
