ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788584450060,"CALLIS - TRES PORQUINHOS, OS - CONTOS DE FADAS - 1ED -","R$ 42,90","R$ 21,45"
9788545400400,CALLIS - TUDO IGUAL - 1ED - BR,"R$ 35,90","R$ 17,95"
9788574169866,"CALLIS - ULTIMA CHANCE, A - 1ED - BR","R$ 45,90","R$ 22,95"
9788545400998,CALLIS - UM CACHORRO CHAMADO PIRATA,"R$ 42,90","R$ 21,45"
9788574167183,CALLIS - UM PRESENTE DIFERENTE - 2ED - BR,"R$ 44,90","R$ 22,45"
9788545400097,CALLIS - UM PRESENTE PARA MAMAE -1ED - BR,"R$ 35,90","R$ 17,95"
9788545400745,CALLIS - UMA ARANHA MUITO OCUPADA,"R$ 52,90","R$ 26,45"
9788574167176,CALLIS - UMA FESTA BEM BOLADA - TAN TAN - 2 ED - BR,"R$ 44,90","R$ 22,45"
9788574163987,CALLIS - UMA INCRIVEL POCAO MAGICA - TAN TAN - 2ED - B,"R$ 44,90","R$ 22,45"
9788574164809,CALLIS - VAMOS ADIVINHAR - TAN TAN - 2ED - BR,"R$ 44,90","R$ 22,45"
9788574163604,CALLIS - VAMOS BRINCAR! - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574167428,CALLIS - VAN GOGH - ARTISTAS FAMOSOS - 2ED - BR,"R$ 42,90","R$ 21,45"
9788574163772,CALLIS - VILLA-LOBOS - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788545400622,CALLIS - VINICIUS DE MORAES - CRIANCAS FAMOSAS 1ED BR,"R$ 32,90","R$ 16,45"
9788574164984,"CALLIS - VOCE SE LEMBRA, ANDORINHA? - TAN TAN - 1ED -","R$ 44,90","R$ 22,45"
9788574164670,CALLIS - VOLPI - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574165172,"CALLIS - VOO DA ARARA AZUL, O - 2ED - BR","R$ 42,90","R$ 21,45"
9788545400264,CALLIS - VOVO JA FOI PARA BARCELONA,"R$ 42,90","R$ 21,45"
9788545400608,CALLIS - VOVO JA FOI PARA LONDRES 1ED BR,"R$ 42,90","R$ 21,45"
9788545400714,CALLIS - ZOIC E A MUSICA MAGICA - 1ED - BR,"R$ 42,90","R$ 21,45"
9788545400707,CALLIS - ZOIC E AS PECAS ALIENIGENAS - 1ED - BR,"R$ 42,90","R$ 21,45"
9788545400691,CALLIS - ZOIC E O DESTINO DO PLANETA - 2ED - BR,"R$ 42,90","R$ 21,45"
9788598750514,CALLIS - ZUMBI - A LUTA DE CADA UM - 2ED - BR,"R$ 36,90","R$ 18,45"
