"",,"Preço comdesconto",
OBLIGACION INTERNACIONAL DE PROTEGER O CABALLO DE TROYA? INTERVENCIONE,9788560438419,"40,00","20,00"
"Olhares femininos sobre o Islã: etnografias, metodologias e imagens",9788579700255,"62,00","31,00"
Olhares para a saúde de mulheres e crianças: reflexões na perspectiva das boas prátic,9788584042074,"68,00","34,00"
Olhares sobre a história: culturas sensibilidades sociabilidades,9788579700514,"54,00","27,00"
Olhares socioantropológicos sobre os adoecidos crônicos,9788527107051,"43,00","21,50"
Organizações sociais: agenda política e os custos para o setor público da saúde,9788584041442,"68,00","34,00"
Os adultos não alfabetizados e suas conceptualizações do sistema da escrita,9788564806139,"54,00","27,00"
Os coletivos criminais de Porto Alegre,9788584042173,"78,00","39,00"
Os Diários de Campo da Ilha de Búzios,9788527106191,"35,00","17,50"
Os Hospitais no Brasil,9788564806887,"50,00","25,00"
Os Mapas do Cuidado: o agir leigo na saúde,9788584040193,"48,00","24,00"
Osmar Rodrigues Cruz. Uma vida no teatro,9788527105606,"65,00","32,50"
Outro Modo de Interpretar o Brasil,9788584041312,"54,00","27,00"
Para a Reconstrução do desenvolvimento no Brasil: eixos estratégicos e diretrizes de p,9788579701146,"79,00","39,50"
Para Alimentar o Desejo de Teatro,9788584040605,"46,00","23,00"
Para tirar os Pés do Chão. Corrida e Associativismo,9788527104975,"25,00","12,50"
Passagens para uma teoria sociológica: Florestan Fernandes e Gino Germani,9788564806849,"60,00","30,00"
"Paulo Duarte, um quixote brasileiro",9788579700392,"54,00","27,00"
"",,"25,00",
Pedagogia do jogo teatral: uma poética do efêmero: o ensino do teatro na escola públ,9788579700408,"44,00","22,00"
Pedagogia do Teatro: provocação e dialogismo,9786586039207,"45,00","22,50"
Pedagogia e estética do teatro do oprimido: marcas da arte teatral na gestão pública,9788584040575,"58,00","29,00"
Pedagogia teatral como cuidado de si,9788579700415,"40,00","20,00"
Pedagogias do Desterro: Práticas de Pesquisa de Artes Cênicas,9786586039085,"86,00","43,00"
Pensamento Industrial Cinematográfico Brasileiro,9788564806092,"67,00","33,50"
Peões em cena: Grupo de Teatro Forja,9788579700910,"72,00","36,00"
Pequenos espetáculos da memória: registro cênico‐dramatúrgico de uma trupe de mu,9788560438273,"38,00","19,00"
Percepções amorosas sobre o cuidado em saúde: estórias da Rua Balsa das 10,9788584042012,"75,00","37,50"
Percursos irregulares,9788584041626,"58,00","29,00"
"Performances Culturais | Robson Correa de Camargo, Eduardo José Reinato, Heloísa S",9788579700965,"53,00","26,50"
Perplexidade na universidade: Vivência nos cursos de saúde,9788584040643,"60,00","30,00"
Pesquisa Avaliativa em saúde mental: desenho participativo e efeitos da narratividade,9788560438648,"74,00","37,00"
Pesquisar com os pés: deslocamentos no cuidado e na saúde,9788584042005,"59,00","29,50"
Planejamento Público e Gestão por Resultados: Uma experiência Municipal Aplicada,9788584040896,"64,00","32,00"
"Poder e palavra : discursos, contendas e direito de padroado em Mariana (1748‐1764)",9788579700835,"53,00","26,50"
"Poder, autonomia e responsabilização: promoção da saúde em espaços sociais da vida",9788579700637,"45,00","22,50"
Poesia não Vende,9788584040988,"54,00","27,00"
Política e Gestão Pública em Saúde,9788579700873,"150,00","75,00"
"Política racial, Estado e Forças Armadas na época da independência : Bahia, 1790‐185",9788579701108,"72,00","36,00"
Políticas de Imigração na França e nos Estados Unidos,9788560438150,"44,00","22,00"
Políticas e riscos sociais no Brasil e na Europa: convergências e divergências,9788584041398,"66,00","33,00"
"Políticas, tecnologias e práticas em promoção da saúde",9788584040902,"82,00","41,00"
Por uma Crítica da Promoção da Saúde: Condições e Potencialidades no Contexto do S,9788564806917,"67,00","33,50"
"Por uma possível história do sorriso: institucionalização, ações e representações",9788584041725,"78,00","39,00"
Práticas Corporais na Clínica Ampliada,9788584040674,"53,00","26,50"
Práticas e Saberes no Hospital Contemporâneo: o Novo Normal,9788584041282,"47,00","23,50"
Práticas Lúdicas na Formação Vocal em Teatro,9788584041848,"55,00","27,50"
Práxis e Formação Paideia: apoio e cogestão em saúde,9788564806795,"70,00","35,00"
Privados de la salud: las políticas de privatización de los sistemas de salud en Argentin,9788584041572,"70,00","35,00"
Promoção da Saúde e Gestão Local,9788584040360,"44,00","22,00"
Promoção da saúde: práticas grupais na estratégia saúde da família,9788579701160,"46,00","23,00"
Proteção Social: Dilemas e Desafios,9788527106740,"62,00","31,00"
Psicanálise e Saúde Coletiva: Interfaces,9788564806498,"50,00","25,00"
Psicologia e saúde: repensando práticas,9788527102087,"48,00","24,00"
Quando a História Encontra a Saúde,9786586039528,"74,00","37,00"
Quem tem medo da Geopolítica?,9788564806290,"50,00","25,00"
Quero falar de sonhos: textos críticos do autor anteriores a Avalovara,9788584040292,"47,00","23,50"
Questões de Literatura e de Estética,9788527100731,"69,90","34,95"
Raízes da música brasileira: uma introdução à história da música erudita no Brasil,9788579700859,"48,00","24,00"
Rebilitação Psicossocial no Brasil,9788584040841,"50,00","25,00"
Redes e Processos de Aprendizado,9788564806641,"64,00","32,00"
Regiões de saúde: diversidade e processo de regionalização em Mato Grosso,9788564806993,"88,00","44,00"
Reinventando a Vida: Narrativas de Recuperação e convivência com o transtorno men,9788584040155,"53,00","26,50"
"Religiões e o paradoxo apoio social — intolerância, e implicações na política de drogas",9788584041961,"69,00","34,50"
"Repensando o Desenvolvimentismo: estado, instituições e a construção de uma nova",9788584040599,"73,00","36,50"
Ressignificação Ambiental e Modernização Ecologica no Semiarido Brasileiro,9788584040247,"59,00","29,50"
Retratos da formação médica nos novos cenários de prática,9788564806054,"44,00","22,00"
Revisão do pensamento conservador : ideias e política no Brasil,9788579700767,"68,00","34,00"
Revolução e Guerra: formação de uma elite dirigente na Argentina criolla | Tulio Halp,9788564806368,"81,00","40,50"
Rimbaud etc ‐ Historia e Poesia,9788579700989,"50,00","25,00"
"Roger Bastide: recriações da sociedade, raça e religião no Brasil (1938‐1973)",9788564806344,"62,00","31,00"
Roteiro da Literatura do Timo‐Leste em Língua Portuguesa,9788584041404,"47,00","23,50"
Saberes e práticas na atenção primária à saúde : cuidado à população em situação de,9788584040438,"58,00","29,00"
Saúde Coletiva e Promoção da Saúde: Sujeito e Mudança,9788527106818,"54,00","27,00"
Saúde comunitária: pensar e fazer,9788560438563,"55,00","27,50"
Saúde da mulher na diversidade do cuidado na atenção básica,9788579701252,"58,00","29,00"
Saúde e atenção psicossocial em prisões : um olhar sobre o sistema prisional brasileir,9788584040865,"52,00","26,00"
"Saúde e desenvolvimento local: princípios, conceitos, práticas e cooperação técnica",9788527106856,"44,00","22,00"
Saúde e previdência: estudos de política social,9788584041268,"64,00","32,00"
"",,"27,00",
Saúde e Utopia: o Cebes e a Reforma Sanitária Brasileira (1976‐1986),9788584040476,"63,00","31,50"
Saúde Loucura 1,9788527104043,"40,00","20,00"
Saúde Loucura 2,9788527101301,"43,00","21,50"
Saúde Loucura 3,9788527101851,"40,00","20,00"
Saúde Loucura 5,9788527103848,"47,00","23,50"
Saúde Loucura 6,9788527103770,"51,00","25,50"
Saúde Loucura 7: Saúde Mental e Saúde da Família,9788527105491,"50,00","25,00"
Saúde Loucura 8,9788527106634,"52,00","26,00"
Saúde Paideia,9788527106085,"52,00","26,00"
"Saúde suplementar, biopolítica e promoção da saúde",9788579700897,"58,00","29,00"
"Saúde, desenvolvimento e território",9788579700040,"68,00","34,00"
"Saúde, desenvolvimento, ciência, tecnologia e inovação",9788564806542,"78,00","39,00"
"Saúde, ecologias e emancipação : conhecimentos alternativos em tempos de crise(s)",9786586039757,"48,00","24,00"
"Saúde, sociedade e cultura : ciências sociais e humanas para graduação em saúde",9788584041015,"58,00","29,00"
"Saúde, Sociedade e História",9788584041046,"73,00","36,50"
"Saúde, sociedade, protagonismos : incursões históricas",9788584041251,"68,00","34,00"
Saúde: a cartografia do trabalho vivo,9788527105804,"46,00","23,00"
SaúdeLoucura 10: Tessituras da clínica: Itinerários da Reforma Psiquiátrica,9788584041930,"59,00","29,50"
SaudeLoucura 4: grupos e coletivos,9788527102520,"55,00","27,50"
"Segurança internacional: práticas, tendências e conceitos",9788579700248,"57,00","28,50"
Semblantes da violência,9788584041527,"60,00","30,00"
"Semiótica, afecção e cuidado em saúde",9788579700590,"48,00","24,00"
Sempre existimos,9786586039337,"50,00","25,00"
Ser Branco no Copo e Além Dele,9788564806177,"50,00","25,00"
"Shakespeare enfarinhado: Teatro, jogo e aprendizagem",9788564806443,"39,00","19,50"
Signo e desterro : Sérgio Buarque de Holanda e a imaginação do Brasil,9788584040377,"57,00","28,50"
Sindicato e estado: suas relações nas formação do proletariado de São Paulo,9788564806184,"67,00","33,50"
"Sobre a pandemia: experiências, tempos & reflexões",9786586039672,"65,00","32,50"
Sobre rochedos movediços: deliberação e hierarquia no pensamento político de José,9788564806306,"79,00","39,50"
Stagium: As paixões da dança,9788527104906,"60,00","30,00"
"Sujeito, sociedade e tecnologia: a discursividade da rede (de sentidos)",9788564806191,"56,00","28,00"
Sujeitos e utopias nos movimentos antiglobalização,9788579700675,"51,00","25,50"
"Sujeitos, saberes e estruturas: uma introdução ao enfoque relacional no estudo da sa",9788579700101,"74,00","37,00"
Surdez e teatro : a encenação está em jogo uma experiência trans‐disciplinar no cenár,9788584040384,"57,00","28,50"
SUS: pacto federativo e gestão pública,9788560438310,"52,00","26,00"
SUS: ressignificando a promoção da saúde,9788527107105,"50,00","25,00"
Tal qual apanhei do pe: uma atriz do Lume em pesquisa,9788560438044,"50,00","25,00"
Teatro de invasão do espaço urbano: a cidade como dramaturgia,9788584040995,"52,00","26,00"
Teatro documentário: a pedagogia da não ficção,9788579700712,"42,00","21,00"
Teatro e prisão : dilemas da liberdade artística,9788560438280,"43,00","21,50"
Teatro e sociedade: a formação da plateia brasileira no século XIX,9788584041305,"40,00","20,00"
Teatro e universidade : cena. pedagogia. [dialogismo],9788584041695,"44,00","22,00"
Teatro em prisões e a crise global do encarceramento | Ashley E. Lucas,9786586039795,"68,00","34,00"
Teatro em trânsito: a pedagogia das interações no espaço da cidade,9788564806436,"43,00","21,50"
Teatro na Margem,9788584040568,"58,00","29,00"
Teatro vocacional e a apropriação da atitude épica/dialética,9788579700729,"48,00","24,00"
"Tecendo redes. Os planos da educação, cuidado e gestão na construção do SUS: a exp",9788564806511,"69,00","34,50"
"Técnicas que Fazem Uso da Palavra, do Olhar e da Empatia: Pesquisa Qualitativa em A",9788584042081,"42,00","21,00"
Temas de História Cultural,9788564806214,"67,00","33,50"
"Tempos cruzados: a saúde coletiva no estado de São Paulo, 1920‐1980",9786586039061,"76,00","38,00"
Tempos e espaços do desenvolvimento,9788584041619,"61,00","30,50"
Tempos turbulentos na saúde pública brasileira: impasses do financiamento no capital,9788564806764,"45,00","22,50"
Teoria Crítica e Modernidade Política | José Maurício Domingues,9786586039962,"75,00","37,50"
Teóricos das relações internacionais,9788564806238,"71,00","35,50"
Terapia ocupacional: em enfoque epistemiológico e social,9788527105972,"45,00","22,50"
"Tiradentes nem patriota, nem frade: memória e representação no Museu Paulista e n",9788584041787,"52,00","26,00"
"Trabalhar no SUS : gestão, repercussões psicossociais e política de proteção à saúde",9788584041220,"68,00","34,00"
Trabalho e padrão de desenvolvimento: uma reflexão sobre a reconfiguração do merc,9788584041206,"62,00","31,00"
Trabalho e sindicalismo no Brasil e na Argentina,9788564806467,"67,00","33,50"
"Trabalho, produção do cuidado e subjetividade em saúde: textos reunidos",9788564806863,"68,00","34,00"
"",,,"28,00"
"Trajetórias do Feminino em narrativas de Clarice Lispector, Simone de Beauvoir & Agn",9786586039375,"69,00","34,50"
Tratado de Saúde Coletiva,9788564806566,"240,00","120,00"
"Um método para análise e cogestão de coletivos: a constituição do sujeito, a produçã",9788527105316,"56,00","28,00"
Um sertão chamado Brasil,9788564806832,"66,00","33,00"
Um teatro que conta: a dramaturgia de Osman Lins,9788579701061,"46,00","23,00"
Uma arqueologia do apagamento: narrativas de desaparecimento Charrúa no Uruguai,9788584042043,"48,00","24,00"
Uma fenda na justiça: as inovações democráticas construídas na defensoria pública,9788579700804,"56,00","28,00"
Uma História da Desigualdade: a concentração de renda entre os ricos no Brasil (1926,9788584041732,"68,00","34,00"
Uma ou Várias? Identidades para o sanitarista!,9788584040728,"43,00","21,50"
Unidade básica: a saúde pública brasileira na TV,9786586039108,"68,00","34,00"
"Universidade, Preconceitos e Trotes",9788527106931,"53,00","26,50"
Utupismo Modernista,9788579700422,"68,00","34,00"
Vargas: o Capitalismo em Construção (1906‐1954),9788584040049,"77,00","38,50"
Velhos e Novos Males da Saúde no Brasil: de Geisel a Dilma,9788584040469,"77,00","38,50"
Veredas do tempo: ensaios analíticos de economia e administração política,9788584042111,"89,90","44,95"
Veto ao Modernismo no Teatro Brasileiro,9788584041183,"56,00","28,00"
Violência e juventude,9788579700354,"66,00","33,00"
Violência e saúde na diversidade dos escritos acadêmicos,9788564806702,"59,00","29,50"
"Violências e suas configurações: vulnerabilidades, injustiças e desigualdades sociais",9786586039160,"86,00","43,00"
"Vozes do Sul e Agenda Global: África do Sul, Brasil e Índia",9788564806078,"60,00","30,00"
Vulnerabilidades e Saúde: grupos em cena por visibilidade no espaço urbano,9788584041602,"85,00","42,50"
Walter Sidney Pereira Leser. Das análises clínicas à medicina preventiva e à saúde púb,9788579700187,"80,00","40,00"
