"FESTA VIRTUALDO LIVRO DA USP 2021Lista de títulos",,,
TÍTULO,AUTOR(A),"PREÇODE CAPA","PREÇOCOM DESCONTO"
NZINGA MBANDI,Mariana Bracks,"R$ 50,00","R$ 25,00"
O ATLÂNTICO EM MOVIMENTO,Prisca Agustoni,"R$ 45,00","R$ 22,50"
O BARQUINHO INVISÍVEL,Leida Lusmar,"R$ 25,00","R$ 12,50"
O BOI E O JUMENTO DO PRESÉPIO,Jules Supervielle,"R$ 30,00","R$ 15,00"
O CALÇÃO DO JACARÉ,Hila Flávia,"R$ 30,00","R$ 15,00"
O CARTEIRO (COLEÇÃO QUERO SER),Hila Flávia,"R$ 15,00","R$ 7,50"
O CONGADO PARA CRIANCAS,Edimilson de Almeida Pereira,"R$ 25,00","R$ 12,50"
O CONGADO PARA CRINCAS - LIVRO DO PROFESSOR,Edimilson de Almeida Pereira,"R$ 18,00","R$ 9,00"
O ELEFANTINHO DA TROMBA CAIDA,Consuelo Dores da Silva,"R$ 35,00","R$ 17,50"
O JARDINEIRO (COLEÇÃO QUERO SER),Hila Flávia,"R$ 15,00","R$ 7,50"
O JOGADOR DE FUTEBOL (COLEÇÃO QUERO SER),Hila Flávia,"R$ 15,00","R$ 7,50"
O MEIO AMBIENTE NA FILATELIA BRASILEIRA,Maria Zilá Teixeira de Matos,"R$ 40,00","R$ 20,00"
O MENINO CORAÇÃO DE TAMBOR,Nilma Lino Gomes,"R$ 45,00","R$ 22,50"
O MENINO QUE NÃO NASCEU DA BARRIGA DA MÃE,Carmem Lucia Eiterer,"R$ 40,00","R$ 20,00"
O MOVIMENTO NEGRO,Marcos Antônio Cardoso,"R$ 50,00","R$ 25,00"
O MUITO E O POUCO,Joana D'arc Torres,"R$ 35,00","R$ 17,50"
O MUNDO DAS PESSOAS COLORIDAS,Caio Duca,"R$ 40,00","R$ 20,00"
O NEGRO NA FILATELIA BRASILEIRA,Maria Zilá Teixeira de Matos,"R$ 35,00","R$ 17,50"
