"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
ISBN,Título,Autores,Preço Capa,
9788575965665,Estrutura narrativa nos quadrinhos: construindo sentido a partir de fragmentos,Barbara Postema,"R$       68,00","R$    34,00"
9788575963364,Eu só só eu,Ana Saldanha | Yara Kono,"R$       51,00","R$    25,50"
"",Eu sou a Morte,"Elisabeth Helland Larsen | Marine Schneider(ilust.) | Regina Berlim (tradução)",Prelo,
"",Eu sou a Vida,"Elisabeth Helland Larsen | Marine Schneider(ilust.) | Regina Berlim (tradução)",Prelo,
"",Eu sou o Palhaço,"Elisabeth Helland Larsen | Marine Schneider(ilust.) | Regina Berlim (tradução)",Prelo,
9788575963050,"Eu, Fernando Pessoa em Quadrinhos","Textos de Fernando Pessoa por Susana Ventura eGuazzelli","R$       49,00","R$    24,50"
9788575960981,"Fabulosas Fábulas de Iauaretê, As",Kaká Werá Jecupé,"R$       51,00","R$    25,50"
9788575963456,Fases da Lua e outros segredos,Marilda Castanha,"R$       46,00","R$    23,00"
9788575963159,"Fausto, uma tragédia em Quadrinhos",Goethe por Leonardo  Santana,"R$       59,00","R$    29,50"
"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
9788575963609,Férias na Antártica,"Laura, Tamara e Marininha Klink","R$       52,00","R$    26,00"
9788575961537,"Flor mal-humorada, A - com CD",Renato Rocha,"R$       41,00","R$    20,50"
9788575960882,Florbela Espanca - Antologia de poemas para a juventude,Florbela Espanca | Denyse Cantuária (org.),"R$       39,00","R$    19,50"
9788575963500,"Floresta Canta, uma expedição sonora por terras indígenas do Brasil, A",Berenice de Almeida | Magda Pucci,"R$       50,00","R$    25,00"
9788575963418,Folclore de Chuteiras,Alex Gomes | Visca,"R$       48,00","R$    24,00"
9788575963661,Formosuras do Velho Chico - nova reimpressão: BROCHURA,Lalau | Laurabeatriz (ilust.),"R$       44,00","R$    22,00"
9788575962510,Frankenstein em quadrinhos,Mary Shelley por Taísa Borges,"R$       56,00","R$    28,00"
9788563313188,"Futebol-Arte, do Oiapoque ao Chuí",Caio Vilela | Eduardo Petta,"R$     120,00","R$    60,00"
9788575963463,"Futuros Possíveis, arte, museus e arquivos digitais (edição bílingue: inglês e português)",Giselle Beiguelman | Ana Gonçalves Magalhães,"R$       85,00","R$    42,50"
9788575963227,Gizamundo,Auro Danny Lescher,"R$       30,00","R$    15,00"
9788575961780,Grande Assim: uTshepo Mde,Mhlobo Jadezweni,"R$       41,00","R$    20,50"
9788575963777,Hans-Joachim Koellreutter: Ideias de mundo,Teca Alencar de Brito,"R$       51,00","R$    25,50"
9786586028690,Henriqueta Lisboa: Obra completa - BOX com 4 livros,"Org: Reinaldo Marques, Wander Melo Miranda","R$     360,00","R$  180,00"
9788575961803,História pra Boi Casar - com CD,Alessandra Roscoe,"R$       44,00","R$    22,00"
9788575966433,Homem pássaro,Caco Galhardo,"R$       42,00","R$    21,00"
9788575962312,"Hortas na educação ambiental: na escola, na comunidade, em casa",Maria Célia B. Bombana | Silvia Czapski,"R$       48,00","R$    24,00"
9788575962954,I-Juca Pirama em quadrinhos,Gonçalves Dias por Silvino,"R$       45,00","R$    22,50"
9788575961070,Impacto em renda no Microcrédito,Mario Monzoni,"R$       48,00","R$    24,00"
9788575963081,"Incrível álbum da pulga picolina, O",Maria Cristaldi | Laura Erber,"R$       44,00","R$    22,00"
9788575963722,"Instrumentalina, A",Lidia Jorge | Anna Cunha,"R$       45,00","R$    22,50"
9788575962152,Inveja,Renata Farhat Borges,"R$       39,00","R$    19,50"
"",Irmãs da chuva,Gabriela Romeu | Anabella Lopez (ilust.),Prelo,
9786559310081,Isa nas alturas,Maria Cristaldi,"R$       25,00","R$    12,50"
9786559310128,Isa no fundo do mar,Maria Cristaldi,"R$       25,00","R$    12,50"
9786559310166,Isa no quarto escuro,Maria Cristaldi,"R$       25,00","R$    12,50"
9786559310197,Isa pode ser quem quiser,Maria Cristaldi,"R$       25,00","R$    12,50"
9788575961711,Isso Isso,Selma Maria Kuasne,"R$       39,00","R$    19,50"
9788575961414,Japonesinhos,Lalau | Laurabeatriz (ilust.),"R$       39,00","R$    19,50"
9788575960707,João e Maria,Jacob e Wilhelm Grimm por Taisa Borges,"R$       48,00","R$    24,00"
9788575960615,Jonas e as cores,Regina Berlim,"R$       30,00","R$    15,00"
9788575961322,"Juventudes SP, Panoramas e iniciativas com foco na juventude de São Paulo",CENPEC,"R$       33,00","R$    16,50"
9788575963203,"Lá detrás daquela serra, Quadras e cantigas populares",Marco Haurélio | Taisa Borges,"R$       40,00","R$    20,00"
9788575966464,Lá no meu quintal,Gabriela Romeu | Marlene Peret | Kammal (ilust.),"R$       68,00","R$    34,00"
9788575962916,Labirintos: Parques Nacionais,Nurit Bensusan | Guazzelli (ilust.),"R$       52,00","R$    26,00"
"",Lança-chamas,Regina Azevedo,Prelo,
9788563313089,Ledazeda - Grão Editora,Mahyra Costivelli,"R$       46,00","R$    23,00"
9788575965764,Ledazeda - Peirópolis,Mahyra Costivelli,"R$       46,00","R$    23,00"
9788575961865,Leitura e Escrita em Movimento,Org Ana Elisa Ribeiro,"R$       37,00","R$    18,50"
9788575962213,"Lenhador, O","Catullo da Paixão Cearense | Chico dos Bonecos akaFrancisco Marques (org.)","R$       48,00","R$    24,00"
9788575961810,"Linguagem, tecnologia e educação","Ana Elisa Ribeiro, Ana Maria Nápoles Villela,Jerônimo Coura Sobrinho, Rogério Barbosa da Silva(Orgs.) | Co-edição com Centro Federal de EducaçãoTecnológica de Minas Gerais (CEFET-MG)","R$       44,00","R$    22,00"
9788575965269,"Linguagens dos Quadrinhos, As",Daniele Barbieri,"R$       72,00","R$    36,00"
"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
9788585663933,"Literatura oral para a infância e a juventude, Lendas, contos e fábulas populares no Brasil",Henriqueta Lisboa,"R$       64,00","R$    32,00"
97875961995,"Livro Extravagante e outros poemas, O",José Santos e José Jorge Letria,"R$       38,00","R$    19,00"
9786559310050,Luiz Gama: A saga de um libertador,Magui | Angelo Abu (ilust.) | Tom Farias (pref.),"R$       49,00","R$    24,50"
9788575960738,"Lusíadas em quadrinhos, Os",Luís de Camões por Fido Nesti,"R$       45,00","R$    22,50"
9788575963821,Macunaíma em Quadrinhos,Mário de Andrade por Angelo Abu e Dan-X,"R$       59,00","R$    29,50"
9788575961155,Maluquices musicais e outros poemas,José Santos | Guazzelli,"R$       45,00","R$    22,50"
9788575960929,Mandala do Lótus,Lama Padma Samten,"R$       35,00","R$    17,50"
9788575962435,Manual da criança caiçara,Marie Ange Bordas,"R$       48,00","R$    24,00"
9788575963074,"Mão e a Luva em quadrinhos, A",Machado de Assis por Alex Mir & Alex Genaro,"R$       56,00","R$    28,00"
9788575961582,"Mar é minha terra, O",Beto Pandiani,"R$       70,00","R$    35,00"
9788563313058,"Mar é minha terra, O - 2a edição",Beto Pandiani,"R$       70,00","R$    35,00"
9788575963531,"Mar que banha a Ilha de Goré, O",Kiusam de Oliveira | Taisa Borges,"R$       45,00","R$    22,50"
9788585663544,Meditando a vida,Lama Padma Samten,"R$       35,00","R$    17,50"
9788575963616,Meia hora para mudar a minha vida,Alice Vieira | Ana Cunha,"R$       38,00","R$    19,00"
9788575966419,Meio ambiente: e eu com isso? 2a edição,Nurit Bensusan,"R$       38,00","R$    19,00"
9788575963715,"Menina que organizava, A",Eve Ferretti | Fabiola Werlang,"R$       45,00","R$    22,50"
9788575966310,"Menino Invisível, O",Hugo Barros | Siren (ilust.),"R$       40,00","R$    20,00"
9788575965856,"Menino Poeta, O - 2a Edição",Henriqueta Lisboa,"R$       58,00","R$    29,00"
9788563313164,Meninos da Congada -  na Festa de São Benedito de Ilhabela,José Santos | Maristela Colucci,"R$       55,00","R$    27,50"
9788563313034,"Menor ilha do mundo, A",Tatiana Filinto,"R$       48,00","R$    24,00"
9786559311101,Mesma nova história,"Everson Bertucci | Mafuane Oliveira | Juão Vaz(ilust.)","R$       48,00","R$    24,00"
9788575962060,Meu tio lobisomem,Manu Maltez,"R$       55,00","R$    27,50"
9786559311088,Mil milhas,Tamara Klink,Prelo,
9788575962626,"Mobimento, Educação e Comunicação Móbile",Wagner Merije,"R$       41,00","R$    20,50"
9786586028065,Monstros lá de casa,Eleonora Marton,"R$       49,00","R$    24,50"
9788575963135,"Morte de Ivan Ilitch, A- em Quadrinhos",Liev Tolstói por Caeto | B. Schnaiderman (trad.),"R$       59,00","R$    29,50"
9788563313133,Mulheres reciclando a alma,Simone Romano,"R$       44,00","R$    22,00"
9788575963098,"Mundo no Black Power de Tayó, O",Kiusam de Oliveira | Taisa Borges (ilust.),"R$       46,00","R$    23,00"
9786575963005,"Mundo num segundo, O",Isabel Minhós Martins,"R$       45,00","R$    22,50"
9788575966037,"Música é um jogo de criança, A",François Delalande,"R$       56,00","R$    28,00"
9788585663650,Música na educação infantil - propostas para a formação integral da criança,Teca Alencar de Brito,"R$       64,00","R$    32,00"
9788575964507,Não Falta Nada,Tatiana Filinto | Visca (ilust.),"R$       39,00","R$    19,50"
9788575963265,Negócios com impacto social no Brasil,Edgard Barki (org.),"R$       52,00","R$    26,00"
9788575966396,"Negro nos Quadrinhos do Brasil, O",Nobu Chinen,"R$       72,00","R$    36,00"
9788575961391,Nos caminhos da literatura,Vários,"R$       40,00","R$    20,00"
9786586028096,"Novos dinos do Brasil, Outras boas histórias por trás das incríveis descobertas de novosfósseis",Luiz Eduardo Anelli | Julio Lacerda (ilust.),"R$       60,00","R$    30,00"
9788575963296,Num Tronco do Iroko ví a Iúna Cantar - com CD,Erika Balbino | Alexandre Keto (ilust.),"R$       67,00","R$    33,50"
9788575962961,Obrigado a todos,Isabel Minhós Martins,"R$       46,00","R$    23,00"
9788575963302,Odisseia em Quadrinhos,"Homero por Piero Bagnariol | Tereza Virginia RibeiroBarbosa","R$       59,00","R$    29,50"
9786559310340,Orestes em quadrinhos,"Eurípedes por Piero Bagnariol | Tereza VirginiaRibeiro Barbosa","R$       59,00","R$    29,50"
9788575962466,"Origem do beija-flor, A , Guanãby Muru-gãwa",Yaguarê Yamã,"R$       41,00","R$    20,50"
"",Orixás – Do Orum ao Ayê,Alex Mir,Prelo,
9788575962169,Otto,Rosaly Senra,"R$       38,00","R$    19,00"
"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
9788575965290,Panorama das Histórias em Quadrinhos no Brasil,Waldomiro Vergueiro,"R$       68,00","R$    34,00"
9788575962220,Passarinha,Regina Berlim,"R$       46,00","R$    23,00"
9788575963111,Passarinhos do Brasil – poemas que voam,Lalau | Laurabeatriz (ilust.),"R$       45,00","R$    22,50"
9788575962930,Paulina,Texto e ilustrações de Maria Eugênia,"R$       38,00","R$    19,00"
9788585663445,Pedagogia da Terra,Moacir Gadotti,"R$       53,00","R$    26,50"
9788575962411,"Pequeno livro, O",Marcelo Cipis,"R$       29,00","R$    14,50"
9788575962138,"Perseverante soldadinho de chumbo, O",Hans Christian Andersen |Tradução Tabajaras Ruas,"R$       40,00","R$    20,00"
9788575962992,Pescando imagens com a rede textual: HQ como tradução,"Andreia Guerini | Tereza Virgínia Ribeiro Barbosa(orgs.)","R$       44,00","R$    22,00"
9788575963739,"Pintor debaixo do lava-loiças, O",Afonso Cruz,"R$       45,00","R$    22,50"
9788575961629,"Poder da Cultura, O",Leo Brant,"R$       39,00","R$    19,50"
9788575964477,Poemas de brinquedo,"Álvaro Andrade Garcia | Marcio Koprowski | RicardoAleixo (org.)","R$       44,00","R$    22,00"
9788575961421,Príncipios da consultoria de processos,Edgar H. Schein,"R$       75,00","R$    37,50"
9788575962459,Quanto dura um rinoceronte?,Nurit Bensusan | Taisa Borges (ilust.),"R$       38,00","R$    19,00"
"",Quem tem pena de passarinho é passarinho,Líria Porto,Prelo,
9788575962756,Quidungo,Joaquim de Almeida,"R$       48,00","R$    24,00"
9788575965467,"Refugiados Urbanos, rematriamento de crianças e adolescentes em situação de rua",Auro Danny Lescher | Graziela Bendoian,"R$       45,00","R$    22,50"
9788575961100,Rimas da Floresta: poesia para os animais ameaçados pelo homem,José Santos | Laurabeatriz (ilust.),"R$       38,00","R$    19,00"
9788575963166,Rimas de lá e de cá,José Jorge Letria | José Santos | Yara Kono (ilust.),"R$       48,00","R$    24,00"
9788575960455,Rinconete e Cortadillo,"Miguel de Cervantes Saavedra por Sandra Nunes(org.)","R$       30,00","R$    15,00"
9788575961827,"Roda da Vida, A - Como caminho para a lucidez",Lama Padma Samten,"R$       81,00","R$    40,50"
9788575960776,"Sehaypóri, O livro sagrado do povo Saterê-Mawé",Yaguarê Yamã,"R$       62,00","R$    31,00"
9788585663582,"Serpentes que roubaram a noite, As",Daniel Munduruku,"R$       40,00","R$    20,00"
9788575962206,"Simbad, O marujo",Alaíde Lisboa | Angelo Abu,"R$       44,00","R$    22,00"
9788575962398,"Sinal do pajé, O",Daniel Munduruku,"R$       38,00","R$    19,00"
9786559310234,Sinfonia da Amazônia,Lalau | Laurabeatriz (ilust.),"R$       45,00","R$    22,50"
9788575963142,"Sofrimento do jovem Werther em Quadrinhos, Os",Daniel Gisé | Johann Wolfgang von Goethe,"R$       49,00","R$    24,50"
9788575965825,"Sol da sabedoria, O",Khenpo Tsültrim Gyamts,"R$       52,00","R$    26,00"
9786586028904,"Sombra da mangueira, À",Angelo Abu,"R$       45,00","R$    22,50"
9788575963241,"Sorte de Pipo, A",Matze Doebele,"R$       46,00","R$    23,00"
9788575961568,"Sub, Viagem ao Brasil submarino",Maristela Colucci,"R$       55,00","R$    27,50"
9788563313171,"Sub, Viagem ao Brasil Submarino - 2a Ed.",Maristela Colucci,"R$       55,00","R$    27,50"
9788575964156,"Terra de Cabinha, pequeno inventário da vida de meninos e meninas do sertão",Gabriela Romeu | Sandra Javera (ilust.),"R$       56,00","R$    28,00"
9786586028041,"Terra dos mil povos, A, História indígena do Brasil contada por um índio - 2a Edição",Kaká Werá Jecupé | Taisa Borges (ilust.),"R$       48,00","R$    24,00"
9788575961087,"Tradição e criação de jogos,  Reflexões e propostas para uma cultura lúdico-corporal",Patricio Casco,"R$       51,00","R$    25,50"
9788575962640,Trocoscópio,Bernardo Carvalho,"R$       49,00","R$    24,50"
9786586028218,Tupã Tenondé,Kaká Werá Jecupé,"R$       48,00","R$    24,00"
9788575963043,Ulisses,Alaíde Lisboa,"R$       49,00","R$    24,50"
9786586028874,Um canto para o rio,Roberta Brangioni Fontes | Taisa Borges (ilust.),"R$       49,00","R$    24,50"
9788575961209,"Um dia, um pássaro...",Sonia Junqueira,"R$       41,00","R$    20,50"
9788575965993,Um Jogo Chamado Música,Teca Alencar de Brito,"R$       80,00","R$    40,00"
9788575963708,Um livro para todos os dias,Isabel Minhós Martins | Bernardo Carvalho,"R$       49,00","R$    24,50"
9786559311071,Um mundo em poucas linhas,Tamara Klink,Prelo,
9788575961162,Um Pequeno tratado de brinquedos para meninos quietos - Sertão,Selma Maria Kuasne,"R$       41,00","R$    20,50"
"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
9788575962107,Um pequeno tratado de brinquedos para meninos quietos da cidade,Selma Maria Kuasne,"R$       45,00","R$    22,50"
9788575961940,Vale quanto pesa,Verônica Couto,"R$       38,00","R$    19,00"
9788575960806,Versos de amor e morte,Luís Vaz de Camões | Nelly Novaes Coelho (org.),"R$       35,00","R$    17,50"
9788575961735,Versos para os pais lerem aos filhos em noite de luar,José Jorge Letria | André Letria,"R$       65,00","R$    32,50"
9788575962145,Vestido de menina,Tatiana Filinto | Anna Cunha,"R$       48,00","R$    24,00"
9788575962404,Viagem às terras de Portugal,José Santos,"R$       55,00","R$    27,50"
9788575965320,Vida game,Adriana Calabró,"R$       38,00","R$    19,00"
9788575963210,"Volta do garoto, A",Jorge Emil | Renato Moriconi,"R$       47,00","R$    23,50"
9788575965573,Xica - nova edição -  BROCHURA,Rosinha,"R$       49,00","R$    24,50"
