TÍTULO,AUTOR (A),"PREÇOCAPA","PREÇO COMDESCONTO"
Difusão parlamentar do sistema partidário: exposição do caso brasileiro,"Santos, Wanderley Guilherme dos","50,00","R$ 25,00"
Dissonâncias: críticas democráticas à democracia,Guillermo O'Donnell,"60,00","R$ 30,00"
Dividir para dominar: a partilha da África (1880-1914),H. L. Wesseling,"75,00","R$ 37,50"
Do ritual ao teatro: a seriedade humana de brincar,Victor Witter Turner,"42,00","R$ 21,00"
"Dos meios às mediações: comunicação, cultura e hegemonia ED. 8",Jesús Martín-Barbero,"60,00","R$ 30,00"
"Doutor Benignus, O",Augusto Emílio Zaluar,"23,00","R$ 11,50"
"Doutrina dos sons de Goethe a caminho da música nova de Webern, A",Marcia Sá Cavalcante Schuback,"23,00","R$ 11,50"
E. P. Thompson e a tradição de crítica ativa do materialismo histórico,Marcelo Badaró Mattos,"50,00","R$ 25,00"
Economia e filosofia: controvérsias e tendências recentes,"Angela Ganem | Fábio Freitas | Maria Mello deMalta","50,00","R$ 25,00"
Educação é um direito,Anísio Teixeira,"35,00","R$ 17,50"
Educação e universidade,Anísio Teixeira,"35,00","R$ 17,50"
Educação no Brasil,Anísio Teixeira,"55,00","R$ 27,50"
Em marcha para a democracia,Anísio Teixeira,"18,00","R$ 9,00"
Encontros escritos: semântica histórica do Brasil no século XVI,Luciana Villas-Bôas,"42,00","R$ 21,00"
Ensaios sobre a música polifônica: vozes que iluminam o Ocidente,João Vicente Ganzarolli de Oliveira,"50,00","R$ 25,00"
"Escola de samba, ritual e sociedade",José Sávio Leopoldi,"32,00","R$ 16,00"
Escolinha de arte no Brasil: legado e memória,Jader de Medeiros Britto e Alexandre Palma (org.),"25,00","R$ 12,50"
Estética de György Lukács e o triunfo do realismo na literatura,Ranieri Carli,"40,00","R$ 20,00"
Extensão e políticas públicas: o agir integrado para o desenvolvimento social,Felipe Addor,"20,00","R$ 10,00"
"Fascismo da ambiguidade, O: um ensaio conceitual",Marcia Sá Cavalcante Schuback,"25,00","R$ 12,50"
"Fenomenologia em Wittgenstein: tempo, cor e figuração",Bento Prado Neto,"30,00","R$ 15,00"
Formação de cidades no Brasil colonial  ED. 3,Paulo Ferreira Santos,"60,00","R$ 30,00"
Futebol: a brincadeira mais séria do mundo,Christian Bromberger,"30,00","R$ 15,00"
"Governança, qualidade da democracia e políticas públicas: teoria e análise","Rodrigues, Marta Maria Assumpção (Org.)","50,00","R$ 25,00"
"Heloísa Alberto Torres e Marina de Vasconcellos: pioneiras na formação dasciências sociais no RJ",Adelia Miglievich-Ribeiro,"44,00","R$ 22,00"
História da arte no Brasil  ED. 2,"Myriam Andrade Ribeiro de Oliveira | AngelaAncora da Luz | Sônia Gomes Pereira","40,00","R$ 20,00"
História do pensamento econômico,Isaac Ilich Rubin,"70,00","R$ 35,00"
"Ilegalismos na globalização: migração, trabalho, mercado",Angelina Peralva | Vera da Silva Telles,"80,00","R$ 40,00"
"Implosão do capitalismo contemporâneo, A: outono do capitalismo,primavera dos povos?",Samir Amin,"55,00","R$ 27,50"
"Jóias de família: genero e parentesco em histórias sobre grupos empresariaisbrasileiro",Adriana Piscitelli,"42,00","R$ 21,00"
"Justificação, A: sobre as economias da grandeza",Luc Boltanski | Laurent Thévenot,"90,00","R$ 45,00"
Legalizar as drogas: para melhor prevenir os abusos,Line Beauchesne,"45,00","R$ 22,50"
Marx (sem ismos),Francisco Fernández Buey,"35,00","R$ 17,50"
Marxismo e filosofia,Karl Korsch,"30,00","R$ 15,00"
Mary Douglas: uma biografia intelectual,Richard Fardon,"55,00","R$ 27,50"
Michel Foucault: biopolítica e estética da existência,Guilherme Castelo Branco,"25,00","R$ 12,50"
Mulheres/mães e o abuso sexual incestuoso,Rosana Morgado,"40,00","R$ 20,00"
Narrando Paulo Freire: por uma pedagogia do diálogo,Paolo Vittoria,"36,00","R$ 18,00"
"Navegações: comunicação, cultura e crise",Aníbal Ford,"25,00","R$ 12,50"
Neurologia para o clínico,"Marleide da Mota Gomes | José Luiz de SáCavalcanti","50,00","R$ 25,00"
Notícias da pacificação: outro olhar sobre uma realidade em conflito,Pedro Barreto Pereira,"50,00","R$ 25,00"
Obras e vidas: o antropólogo como autor,Clifford Geertz,"60,00","R$ 30,00"
"Oito Batutas: história e música brasileira nos anos 1920, Os",Luiza Mara Braga Martins,"45,00","R$ 22,50"
"Ordenação social no Brasil: liberalismo, cientificismo e menoresabandonados e delinquentes",Vinícius Bandera,"45,00","R$ 22,50"
"Pálacio da Praia Vermelha, 0  ED. 4",Pedro Calmon,"50,00","R$ 25,00"
"Patrimônio em processo, O: trajetória da política federal de preservação noBrasil ED. 4",Maria Cecília Londres Fonseca,"60,00","R$ 30,00"
Patronato rural no Brasil recente,Sonia Regina de  Mendonça,"38,00","R$ 19,00"
Percursos na extensão universitária: saindo da torre de marfim,Felipe Addor | Sidney Lianza,"20,00","R$ 10,00"
"Percussão e o ensino superior em música, A",Marcello Teixeira,"30,00","R$ 15,00"
Pessoas desaparecidas: uma etnografia para muitas ausências,Letícia Carvalho de Mesquita Ferreira,"50,00","R$ 25,00"
Pierre Lucie: Professor e educador de cientista,Suzana de Souza Barros | Marcos Elia,"40,00","R$ 20,00"
"Poder dos jogos e os jogos do poder, O: os interesses em campo na prod. deuma cidade para o espetác",Nelma Gusmão de Oliveira,"60,00","R$ 30,00"
"Prática do assistente social na saúde mental, A",Erinaldo Matias Nicacio | José Augusto Bisneto,"40,00","R$ 20,00"
Práticas pedagógicas na pós-modernidade,"Nilma Lacerda | Vera Helena Ferraz de Siqueira |Regina Lúcia Faria de Miranda","40,00","R$ 20,00"
"Prova de redação e o acesso à UFRJ, A",Marcelo Macedo Corrêa e Castro,"48,00","R$ 24,00"
"Quarteto de cordas, O: teoria e prática",L. N. Raaben,"35,00","R$ 17,50"
Repensando a universidade,H. Moysés Nussenzveig,"30,00","R$ 15,00"
Ressonâncias: vibrações por simpatia e frequências de insurgência,Pretextato Taborda Júnior,"25,00","R$ 12,50"
"Revolucionário da convicção, O: vida e ação de Joaquim Câmara Ferreira",Luiz Henrique de Castro e Silva,"38,00","R$ 19,00"
Ronaldo Lima Lins: criação e pensamento,"Theotonio de Paiva | Carmen Lúcia Negreiro deFigueiredo","27,00","R$ 13,50"
"Samba e suas fronteiras, O: ""pagode romântico"" e ""samba de raiz"" nos anos1990",Felipe Trotta,"35,00","R$ 17,50"
"Saúde, corpo e sociedade  ED. 2",Alícia Navarro de Souza  | Jacqueline Pitanguy,"40,00","R$ 20,00"
"Secchin, uma vida em letras","Godofredo de Oliveira Neto | Maria LúciaGuimarães de Faria","65,00","R$ 32,50"
Serviço Social e Políticas Sociais,Ilma Rezende | Ludmila Fontenele Cavalcanti,"20,00","R$ 10,00"
Sete ensaios sobre Walter Benjamin e um lampejo,Beatriz Sarlo,"40,00","R$ 20,00"
Sociologia do direito: o pluralismo jurídico em Boaventura de Sousa Santos,Alex Ferreira Magalhães,"40,00","R$ 20,00"
"Sociologia urbana de Robert E. Park, A","Valladares, Licia do Prado (Org.)","50,00","R$ 25,00"
Sul global e integração regional: a política externa brasileira (2003-2016),ingrid Sarti (org.),"65,00","R$ 32,50"
"Tecnologia, participação e território: reflexões a partir da práticaextensionista",Felipe Addor | Flávio Chedid Henriques,"20,00","R$ 10,00"
"Teoria da medida, integração e probabilidade",Wladimir Neves | Glauco Valle,"40,00","R$ 20,00"
"Terra sem mal, A: uma saga Guarani",Rafael Mendes Júnior,"65,00","R$ 32,50"
"Todos os olhos: videovigilâncias, voyerismo e (re) produção imaginética",Bruno de Vasconcelos Cardoso,"50,00","R$ 25,00"
"Trabalho e moeda hoje: a chave para o pleno emprego e a estabilidade dospreços",L. Randall Wray,"40,00","R$ 20,00"
"Transversais da subjetividade: arte, clínica e política",Danichi Hausen Mizoguchi | Eduardo Passos,"25,00","R$ 12,50"
"Tribunal de contas no Brasil: a falsa cisão entre técnica e política: 1890-2018da legislação simbólica ao gerenciamento público do ajuste fiscal",Álvaro Miranda,"65,00","R$ 32,50"
Uma bola no pé e uma ideia na cabeça: o que o futebol nos faz pensar,"Arthur Arruda Leal Ferreira  | André Martins |Robert Segal","45,00","R$ 22,50"
Uma introdução à análise real,Wladimir Neves,"40,00","R$ 20,00"
"UNE em tempos de autoritarismo, A",Maria de Lourdes de A. Fávero,"35,00","R$ 17,50"
Universidade do Brasil: das origens à construção,Maria de Lourdes de A. Fávero,"35,00","R$ 17,50"
Universidade do Brasil: guia dos dispositivos legais (v. 2),Maria de Lourdes de A. Fávero,"15,00","R$ 7,50"
"Velhas histórias, memórias futuras: o sentido da tradição em Paulinho daViola",Eduardo Granja Coutinho,"35,00","R$ 17,50"
Vida de barro duro: cultura popular juvenil e grafite,José Manuel Valenzuela Arce,"20,00","R$ 10,00"
