"",,,,,"Lista delivros FestaVirtual dolivro da USP2021",
"",,,,,,
Título,ISBN,Autor,Preço Capa,Desc,,Preço com d
ESCUTA,,,,,,
Psicopatologia E Disfunção Erétil,9788571372351,Maria Virgínia Filomena Crem,"scRo$ G   r a 1ss1i2,00",50%,"R$          56,00"
Imagem Corporal Especular no Sujeito em Constituição de Freud a,"9a7c8an8,5 A71373938",Delia Maria Carmen de Césaris,"R$        60,00",50%,"R$          30,00"
"Intérprete Em Busca De Sentido, Um - Vol. 1",9788571370265,Piera Aulagnier,"R$      116,00",50%,"R$          58,00"
"Morte De Sócrates, A",9788571371750,Zeferino Rocha,"R$        72,00",50%,"R$          36,00"
"Conformismo, Etica, Subjetividade e Objetividade",9780003294200,WIDLOCHER,"R$     115,00",50%,"R$          57,50"
Litorais Da Psicanálise,9788571373662,Ana Costa,"R$        87,00",50%,"R$          43,50"
Anorexia e Bulimia,9788571371484,URRIBARRI,"R$        66,00",50%,"R$          33,00"
Nem Todos Os Caminhos Levam A Roma,9788571372511,Radmila Zygouris,"R$        41,00",50%,"R$          20,50"
Erotomania,9788571372764,Manoel Tosta Berlinck,"R$     144,00",50%,"R$          72,00"
"Que Resta Da Infância, O",9788571374065,Colette Soler,"R$        54,00",50%,"R$          27,00"
"Desenvolvimento Kleiniano, O - Vol.2",9788571370234,Donald Meltzer,"R$        71,00",50%,"R$          35,50"
Complexo de Édipo: Uma Nova Teoria,9788571374522,,"R$        33,00",50%,"R$          16,50"
"Torno de o Mal Estar na Cultura, de Freud, Em",9788571372023,Jacques Le Rider,"R$        79,00",50%,"R$          39,50"
"Metapsicologia de Chistopher Bollas, A",9788571374249,SARAH NETTLETON,"R$       55,00",50%,"R$          27,50"
Clinica em Transito. Acompanhamentos Terapeuticos,9788571374393,CRISTINA KEHDI/MARCIA F,"R$E S  / T   O 82M,0A0S",BO5N0%O,"RI $          41,00"
